                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.042,                 2.5213,                 3.0184,                0.97503,                0.08653,                0.15845,                0.06926,                  2.294,                 2.3109,                 2.7786,               0.070213,              0.0033097,              0.0033097
                      2,                 1.6486,                 1.4213,                 2.3838,                0.31791,                0.34117,                0.29403,                0.17151,                 1.3258,                 1.1772,                 2.3474,               0.040147,              0.0065773,              0.0065773
                      3,                 1.3294,                 1.1318,                 2.1157,                 0.3408,                0.41007,                0.35278,                0.21688,                 1.1723,                 1.0535,                 2.2904,               0.010015,              0.0097788,              0.0097788
                      4,                   1.15,                0.95068,                 1.9413,                0.44633,                0.46036,                0.42441,                 0.2848,                 1.0099,                0.90868,                 2.0233,               0.009703,               0.009703,               0.009703
                      5,                 1.0499,                0.85261,                 1.8758,                0.42062,                0.45693,                0.40396,                0.27441,                 1.0228,                0.84796,                 2.0887,               0.009604,               0.009604,               0.009604
                      6,                0.98817,                0.77576,                 1.7902,                0.51602,                0.51067,                0.49546,                0.34003,                0.97167,                0.78219,                 2.0032,               0.009505,               0.009505,               0.009505
                      7,                0.95575,                0.74663,                 1.7703,                 0.5601,                0.61349,                0.59613,                0.42756,                0.87474,                0.67268,                 1.8638,               0.009406,               0.009406,               0.009406
                      8,                0.93647,                0.72596,                 1.7536,                0.63102,                0.63752,                0.63929,                0.47057,                0.82943,                0.64037,                 1.8096,               0.009307,               0.009307,               0.009307
                      9,                0.91566,                0.69132,                 1.7402,                0.61936,                0.64036,                0.63909,                0.47047,                0.84663,                0.61555,                 1.7753,               0.009208,               0.009208,               0.009208
                     10,                0.90597,                0.68013,                 1.7122,                0.62352,                0.63997,                0.63172,                0.46945,                0.83409,                0.62608,                 1.8552,               0.009109,               0.009109,               0.009109
                     11,                0.89048,                0.66822,                 1.7068,                0.66646,                0.67164,                0.68394,                0.51049,                0.81079,                0.59034,                 1.7783,                0.00901,                0.00901,                0.00901
                     12,                0.88114,                0.65166,                 1.7028,                0.65884,                0.67345,                0.67427,                0.50946,                0.80573,                0.58098,                 1.7611,               0.008911,               0.008911,               0.008911
                     13,                0.87398,                0.64916,                  1.682,                0.69242,                0.67987,                0.71093,                0.53394,                0.79303,                0.56461,                 1.7851,               0.008812,               0.008812,               0.008812
                     14,                0.86623,                0.63478,                 1.6624,                 0.6813,                0.70333,                0.71573,                0.54219,                0.77794,                0.54515,                 1.7445,               0.008713,               0.008713,               0.008713
                     15,                0.85563,                0.62124,                 1.6681,                 0.6626,                0.68067,                0.67751,                0.51533,                 0.7873,                0.56894,                 1.7661,               0.008614,               0.008614,               0.008614
                     16,                0.84978,                  0.612,                 1.6639,                0.68441,                 0.6724,                0.69007,                0.51693,                0.80211,                0.56369,                 1.7393,               0.008515,               0.008515,               0.008515
                     17,                0.84141,                0.60587,                 1.6738,                0.69036,                0.70814,                0.72104,                0.55167,                 0.7674,                0.54806,                 1.7339,               0.008416,               0.008416,               0.008416
                     18,                0.83606,                0.60519,                 1.6404,                0.66716,                0.70165,                0.70336,                 0.5375,                0.77134,                0.54491,                  1.753,               0.008317,               0.008317,               0.008317
                     19,                0.83377,                0.59338,                  1.636,                0.69677,                  0.695,                0.70883,                0.54663,                0.76141,                0.53476,                 1.7104,               0.008218,               0.008218,               0.008218
                     20,                0.82784,                 0.5887,                 1.6367,                0.70012,                0.68123,                0.71265,                0.54755,                0.77201,                0.54958,                 1.7653,               0.008119,               0.008119,               0.008119
                     21,                0.82126,                0.58735,                 1.6261,                0.71323,                0.72997,                 0.7435,                0.57617,                0.74885,                0.51893,                 1.7053,                0.00802,                0.00802,                0.00802
                     22,                0.82811,                0.58755,                 1.6493,                0.72302,                0.74886,                 0.7547,                0.58456,                0.74894,                0.51049,                 1.7077,               0.007921,               0.007921,               0.007921
