                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8081,                 2.3279,                 2.9144,                0.25188,                0.18794,                0.22236,                0.11604,                 1.6747,                 1.5221,                 2.5204,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5732,                 1.3484,                 2.2688,                0.59269,                0.23679,                0.23246,                0.13285,                 1.6208,                 1.5241,                 2.5938,                0.04004,               0.006589,               0.006589
                      3,                 1.2435,                 1.0888,                 2.0004,                0.18634,                0.20617,                0.16585,                 0.0869,                 1.7155,                 1.7007,                 2.5818,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0847,                0.92518,                 1.8535,                0.38101,                0.39152,                0.32982,                0.21888,                 1.0614,                 1.1265,                 2.0317,               0.009703,               0.009703,               0.009703
                      5,                0.99439,                0.82427,                 1.8005,                0.46827,                 0.4804,                0.43817,                0.30726,                0.97785,                0.88641,                 1.9737,               0.009604,               0.009604,               0.009604
                      6,                0.95785,                0.75352,                 1.7281,                0.53747,                 0.5194,                0.49337,                0.34803,                0.96101,                0.78585,                 1.9631,               0.009505,               0.009505,               0.009505
                      7,                0.91635,                0.71017,                 1.7206,                0.58839,                0.62371,                0.60389,                0.43963,                  0.877,                0.66806,                 1.7894,               0.009406,               0.009406,               0.009406
                      8,                0.90617,                0.70556,                 1.6967,                0.60462,                0.65419,                0.62595,                0.45481,                 0.8145,                0.65119,                 1.7993,               0.009307,               0.009307,               0.009307
                      9,                0.89215,                0.67626,                 1.6933,                0.63778,                0.64228,                0.64251,                0.47493,                 0.8173,                0.62312,                 1.7685,               0.009208,               0.009208,               0.009208
                     10,                0.89042,                 0.6784,                 1.6642,                0.65332,                0.66214,                0.67073,                0.50057,                0.80064,                0.59558,                 1.7489,               0.009109,               0.009109,               0.009109
                     11,                0.88084,                 0.6614,                 1.6782,                0.65528,                0.68528,                0.68518,                0.51611,                0.80239,                0.58929,                 1.7406,                0.00901,                0.00901,                0.00901
                     12,                0.86951,                0.64759,                 1.6655,                0.65204,                0.69046,                 0.6787,                 0.5091,                0.77733,                0.57077,                 1.7366,               0.008911,               0.008911,               0.008911
                     13,                0.85688,                0.64315,                 1.6633,                0.69728,                0.66497,                0.70364,                0.53007,                0.77762,                0.58698,                 1.7507,               0.008812,               0.008812,               0.008812
                     14,                0.85431,                0.62831,                 1.6471,                0.67352,                0.70837,                0.70373,                0.53486,                0.77179,                0.56047,                 1.7359,               0.008713,               0.008713,               0.008713
                     15,                0.84841,                0.62686,                 1.6525,                0.69716,                0.68992,                 0.7103,                0.54259,                0.76956,                0.56673,                 1.7554,               0.008614,               0.008614,               0.008614
                     16,                0.84481,                0.61489,                  1.637,                0.70779,                0.71892,                0.74167,                0.56982,                0.75603,                0.53307,                 1.7228,               0.008515,               0.008515,               0.008515
                     17,                0.82963,                0.59902,                 1.6569,                0.73414,                0.72692,                0.75563,                0.58322,                0.75436,                0.52673,                  1.702,               0.008416,               0.008416,               0.008416
                     18,                0.82488,                 0.6012,                 1.6346,                0.72253,                0.71331,                 0.7419,                0.57179,                0.75486,                0.53224,                 1.7204,               0.008317,               0.008317,               0.008317
                     19,                0.82636,                0.59331,                 1.6098,                0.71399,                0.72485,                0.74556,                0.57786,                 0.7428,                 0.5186,                 1.7011,               0.008218,               0.008218,               0.008218
                     20,                0.82525,                0.58787,                 1.6211,                0.73638,                0.72814,                0.76396,                0.59515,                0.74718,                0.51169,                 1.6937,               0.008119,               0.008119,               0.008119
                     21,                0.81277,                0.58527,                 1.6335,                0.73579,                  0.734,                0.76633,                0.59967,                0.73364,                 0.5085,                 1.7016,                0.00802,                0.00802,                0.00802
                     22,                0.81233,                0.58071,                 1.6313,                0.73171,                   0.74,                0.76408,                0.59918,                0.73368,                0.50067,                 1.6899,               0.007921,               0.007921,               0.007921
                     23,                0.81023,                0.57562,                 1.6171,                0.75539,                0.73459,                 0.7847,                0.61526,                0.73169,                0.49294,                 1.6795,               0.007822,               0.007822,               0.007822
                     24,                0.80786,                0.57144,                  1.624,                0.77255,                0.73868,                0.77672,                0.61026,                0.72582,                 0.5029,                 1.6822,               0.007723,               0.007723,               0.007723
                     25,                0.79999,                0.56186,                 1.6127,                0.75144,                0.74729,                0.77908,                0.61179,                0.72703,                0.49537,                 1.6825,               0.007624,               0.007624,               0.007624
                     26,                 0.8014,                0.56674,                 1.6306,                0.75332,                0.76575,                 0.7954,                0.62656,                 0.7225,                0.48803,                 1.6879,               0.007525,               0.007525,               0.007525
                     27,                0.80141,                0.56642,                 1.6127,                0.75458,                0.76135,                0.79211,                0.62383,                 0.7251,                0.48549,                 1.6743,               0.007426,               0.007426,               0.007426
                     28,                0.80298,                0.56667,                 1.6193,                0.75613,                0.75807,                0.78652,                 0.6235,                0.71867,                0.48284,                 1.6713,               0.007327,               0.007327,               0.007327
                     29,                0.79004,                0.55878,                 1.6097,                0.73811,                0.76908,                0.78738,                0.62409,                0.71384,                0.48075,                 1.6717,               0.007228,               0.007228,               0.007228
                     30,                0.78666,                 0.5567,                 1.5781,                0.78771,                 0.7621,                0.80675,                 0.6407,                 0.7168,                0.47426,                  1.663,               0.007129,               0.007129,               0.007129
