                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1326,                 2.5415,                  3.059,                0.96979,                0.07305,                0.14283,                0.05922,                 2.4454,                 2.3746,                 2.7887,               0.070213,              0.0033097,              0.0033097
                      2,                 1.7778,                 1.4829,                 2.4345,                0.32355,                 0.3507,                0.28407,                0.15407,                 1.5495,                  1.246,                 2.3514,               0.040147,              0.0065773,              0.0065773
                      3,                 1.4108,                 1.1705,                 2.1256,                 0.1562,                0.19115,                0.15629,                0.07349,                 1.8473,                  1.569,                 2.9633,               0.010015,              0.0097788,              0.0097788
                      4,                 1.1899,                0.98793,                 1.9299,                0.43212,                0.49019,                0.45304,                0.29792,                 1.0357,                0.88602,                 1.9639,               0.009703,               0.009703,               0.009703
                      5,                 1.0674,                0.87602,                 1.8589,                0.48158,                0.50192,                0.46322,                0.31558,                 0.9552,                0.80246,                 1.9295,               0.009604,               0.009604,               0.009604
                      6,                 0.9943,                0.78665,                 1.7704,                0.51723,                0.57012,                0.54129,                0.38234,                0.90614,                0.72635,                 1.8718,               0.009505,               0.009505,               0.009505
                      7,                0.96467,                0.75856,                 1.7522,                0.55173,                0.57481,                0.56247,                0.40181,                0.90698,                0.72341,                 1.9162,               0.009406,               0.009406,               0.009406
                      8,                0.94467,                 0.7333,                 1.7368,                0.53702,                0.57131,                0.53471,                0.37934,                0.88624,                0.77039,                 1.8477,               0.009307,               0.009307,               0.009307
                      9,                0.92231,                 0.7002,                 1.7232,                0.60528,                0.61068,                0.60663,                0.44115,                0.86356,                0.66235,                 1.7964,               0.009208,               0.009208,               0.009208
                     10,                0.91082,                0.68716,                 1.6946,                0.54475,                0.57961,                0.55035,                0.39808,                0.85919,                0.67387,                  1.854,               0.009109,               0.009109,               0.009109
                     11,                0.89786,                0.67857,                 1.6896,                0.62781,                0.65068,                0.64278,                0.47172,                0.83051,                0.61432,                 1.8074,                0.00901,                0.00901,                0.00901
                     12,                0.88649,                0.65855,                 1.6867,                0.65223,                0.66051,                0.66724,                0.49815,                0.81359,                0.60559,                 1.7499,               0.008911,               0.008911,               0.008911
                     13,                0.87872,                0.65472,                 1.6686,                0.65398,                0.67364,                0.66978,                0.49466,                0.80475,                0.59356,                 1.7742,               0.008812,               0.008812,               0.008812
                     14,                0.87233,                0.64132,                 1.6527,                0.66853,                0.67358,                0.67787,                0.51133,                0.79083,                0.58651,                 1.7663,               0.008713,               0.008713,               0.008713
                     15,                0.86371,                0.63042,                 1.6548,                0.64585,                0.69127,                0.66774,                 0.5037,                0.79662,                0.58575,                 1.7464,               0.008614,               0.008614,               0.008614
                     16,                0.85787,                 0.6183,                 1.6522,                0.68697,                0.68985,                0.70216,                0.52745,                0.77827,                0.55565,                 1.7323,               0.008515,               0.008515,               0.008515
                     17,                0.84765,                0.61265,                 1.6628,                0.69106,                0.70556,                0.71378,                0.54256,                0.77464,                0.54782,                 1.7155,               0.008416,               0.008416,               0.008416
                     18,                0.83991,                 0.6115,                 1.6283,                0.71285,                0.71712,                 0.7344,                0.56174,                0.75751,                0.53362,                 1.7179,               0.008317,               0.008317,               0.008317
                     19,                0.83719,                0.59877,                 1.6271,                0.70985,                0.69888,                0.71394,                0.54729,                0.76563,                 0.5435,                 1.7128,               0.008218,               0.008218,               0.008218
                     20,                0.83423,                0.59803,                 1.6269,                0.70624,                0.71674,                0.73123,                0.56159,                0.75845,                 0.5338,                 1.6969,               0.008119,               0.008119,               0.008119
                     21,                0.82634,                0.59438,                 1.6171,                0.71467,                0.71736,                0.73332,                0.56025,                0.75939,                0.53236,                 1.7001,                0.00802,                0.00802,                0.00802
                     22,                0.83464,                 0.5939,                 1.6403,                0.72962,                0.72927,                0.75381,                0.57617,                0.75587,                0.52403,                 1.7005,               0.007921,               0.007921,               0.007921
                     23,                0.82435,                 0.5878,                 1.6337,                0.73446,                0.71815,                0.74784,                0.58153,                0.74636,                0.52066,                 1.6881,               0.007822,               0.007822,               0.007822
                     24,                0.81891,                0.57451,                 1.6252,                0.72389,                0.73928,                 0.7624,                0.58997,                 0.7507,                0.50791,                 1.6866,               0.007723,               0.007723,               0.007723
                     25,                0.81081,                0.56836,                 1.6203,                0.70798,                0.74579,                0.74343,                0.57651,                0.75131,                0.52223,                 1.6921,               0.007624,               0.007624,               0.007624
                     26,                 0.8087,                0.56898,                 1.6167,                0.70998,                 0.7467,                0.75093,                0.58437,                0.73909,                0.50134,                 1.6862,               0.007525,               0.007525,               0.007525
                     27,                0.80103,                0.56739,                 1.6092,                0.73457,                0.73357,                0.76231,                0.59687,                0.73715,                0.50772,                 1.6856,               0.007426,               0.007426,               0.007426
                     28,                0.80487,                0.56035,                 1.6096,                0.74542,                0.73859,                0.77729,                0.60835,                0.73745,                0.49141,                 1.6742,               0.007327,               0.007327,               0.007327
                     29,                0.79592,                0.55534,                 1.6114,                0.73823,                 0.7352,                0.76041,                0.59424,                0.74212,                0.50364,                 1.6735,               0.007228,               0.007228,               0.007228
                     30,                0.79663,                0.55311,                   1.59,                0.75048,                0.73705,                 0.7692,                0.60522,                 0.7302,                0.49733,                 1.6892,               0.007129,               0.007129,               0.007129
                     31,                0.79835,                0.55749,                  1.588,                0.77048,                0.74065,                0.78519,                0.61552,                0.72974,                0.48566,                 1.6836,                0.00703,                0.00703,                0.00703
                     32,                  0.786,                0.54151,                  1.596,                0.75778,                 0.7347,                0.76802,                0.60481,                0.73336,                0.49556,                 1.6669,               0.006931,               0.006931,               0.006931
                     33,                0.79535,                0.55188,                 1.5869,                0.76064,                0.75075,                0.78935,                0.62227,                 0.7216,                0.48122,                 1.6658,               0.006832,               0.006832,               0.006832
                     34,                0.78365,                0.53997,                 1.5974,                0.77703,                0.74744,                0.79989,                0.63159,                0.72711,                0.48034,                 1.6635,               0.006733,               0.006733,               0.006733
                     35,                  0.785,                0.53892,                 1.5969,                0.77617,                0.76164,                0.79472,                0.62809,                0.72298,                0.48151,                 1.6705,               0.006634,               0.006634,               0.006634
                     36,                0.78266,                0.53842,                 1.5801,                0.76472,                0.75359,                0.79297,                0.62663,                0.71595,                0.47554,                 1.6631,               0.006535,               0.006535,               0.006535
                     37,                0.77931,                0.52854,                 1.5904,                 0.7781,                0.74913,                0.79613,                0.63422,                  0.717,                 0.4698,                 1.6517,               0.006436,               0.006436,               0.006436
                     38,                0.77862,                0.53475,                 1.5828,                0.77143,                0.75263,                0.79196,                0.62922,                0.71809,                0.48114,                 1.6583,               0.006337,               0.006337,               0.006337
                     39,                0.77735,                0.52979,                 1.5851,                0.78769,                 0.7391,                0.80016,                0.63709,                0.71221,                0.47269,                 1.6594,               0.006238,               0.006238,               0.006238
                     40,                0.77539,                0.52814,                  1.581,                 0.7885,                 0.7725,                0.82151,                0.65446,                0.71217,                0.46184,                 1.6509,               0.006139,               0.006139,               0.006139
                     41,                0.76663,                0.52199,                 1.5819,                 0.7762,                0.77294,                 0.8142,                0.65257,                0.70977,                0.46324,                 1.6513,                0.00604,                0.00604,                0.00604
                     42,                0.76295,                0.51846,                 1.5792,                0.77139,                 0.7775,                0.81427,                0.65164,                0.70839,                0.46224,                 1.6649,               0.005941,               0.005941,               0.005941
                     43,                0.76203,                0.52014,                 1.5879,                0.79541,                0.75299,                0.80943,                 0.6467,                0.70934,                0.46283,                 1.6502,               0.005842,               0.005842,               0.005842
                     44,                0.75652,                0.51416,                 1.5613,                0.78215,                0.77006,                0.81365,                0.64844,                0.71073,                0.46318,                 1.6534,               0.005743,               0.005743,               0.005743
                     45,                0.76642,                 0.5206,                  1.573,                0.76151,                0.77847,                0.80623,                 0.6456,                0.70568,                0.46178,                 1.6477,               0.005644,               0.005644,               0.005644
                     46,                0.76219,                0.51666,                 1.5781,                0.78379,                0.76434,                0.80554,                0.64666,                0.70407,                0.46082,                 1.6421,               0.005545,               0.005545,               0.005545
                     47,                0.75275,                 0.5081,                 1.5672,                0.78064,                0.78433,                0.82005,                0.65698,                  0.707,                0.45638,                   1.64,               0.005446,               0.005446,               0.005446
                     48,                0.75892,                0.51537,                 1.5735,                0.77791,                0.77694,                0.81237,                0.65217,                0.70211,                 0.4544,                  1.652,               0.005347,               0.005347,               0.005347
                     49,                 0.7579,                0.50907,                 1.5717,                0.78811,                0.77406,                0.81337,                0.65318,                0.70607,                0.45411,                 1.6379,               0.005248,               0.005248,               0.005248
                     50,                0.74211,                0.49904,                 1.5692,                0.78863,                0.78142,                0.82039,                0.66201,                0.70273,                0.45127,                 1.6381,               0.005149,               0.005149,               0.005149
                     51,                0.73877,                0.49601,                 1.5628,                0.78913,                0.78955,                0.82737,                 0.6664,                0.70096,                0.44727,                 1.6325,                0.00505,                0.00505,                0.00505
                     52,                0.74591,                0.49998,                 1.5712,                0.78501,                0.80175,                 0.8298,                0.66832,                0.69787,                0.45075,                 1.6298,               0.004951,               0.004951,               0.004951
                     53,                0.74446,                0.49925,                 1.5535,                0.80355,                0.78871,                0.83229,                0.67192,                0.69658,                0.44832,                  1.631,               0.004852,               0.004852,               0.004852
                     54,                0.73926,                0.50084,                 1.5606,                0.80624,                0.78124,                0.82668,                0.66645,                0.69992,                 0.4473,                 1.6256,               0.004753,               0.004753,               0.004753
                     55,                0.74068,                0.49489,                 1.5558,                0.77819,                0.79439,                0.82269,                 0.6635,                0.69785,                0.44741,                 1.6283,               0.004654,               0.004654,               0.004654
                     56,                0.73328,                0.49066,                 1.5603,                0.81107,                0.78405,                0.82943,                0.66866,                0.69697,                0.44264,                 1.6289,               0.004555,               0.004555,               0.004555
                     57,                0.73321,                0.48961,                 1.5412,                0.81952,                0.78288,                 0.8324,                0.67266,                0.69545,                0.44461,                 1.6261,               0.004456,               0.004456,               0.004456
                     58,                0.73597,                0.48738,                 1.5504,                0.81149,                0.77677,                0.82787,                0.66845,                0.69408,                0.44355,                 1.6214,               0.004357,               0.004357,               0.004357
                     59,                0.73263,                0.48635,                 1.5569,                 0.8082,                0.78307,                0.83162,                0.67245,                0.69337,                0.44245,                  1.625,               0.004258,               0.004258,               0.004258
                     60,                0.72563,                0.48617,                 1.5452,                 0.8087,                0.78971,                0.83187,                0.67245,                0.69434,                0.44209,                 1.6261,               0.004159,               0.004159,               0.004159
                     61,                0.73413,                0.48622,                 1.5604,                 0.8247,                0.78235,                0.83642,                0.67681,                0.69074,                0.43777,                 1.6311,                0.00406,                0.00406,                0.00406
                     62,                0.72354,                0.47803,                 1.5433,                0.80227,                0.79919,                0.83366,                0.67483,                0.69194,                0.43838,                 1.6207,               0.003961,               0.003961,               0.003961
                     63,                0.72604,                0.47648,                  1.549,                  0.811,                0.78551,                0.82708,                0.66992,                0.69047,                0.44051,                 1.6246,               0.003862,               0.003862,               0.003862
                     64,                0.73101,                0.48684,                 1.5571,                0.80335,                0.79579,                0.83311,                0.67577,                0.69109,                0.43888,                 1.6214,               0.003763,               0.003763,               0.003763
                     65,                0.72217,                 0.4773,                 1.5486,                0.81258,                0.80079,                0.83816,                0.67991,                0.69042,                0.43617,                 1.6202,               0.003664,               0.003664,               0.003664
                     66,                0.71905,                0.47642,                 1.5414,                0.81678,                0.79667,                0.84423,                0.68424,                0.68705,                0.43406,                  1.624,               0.003565,               0.003565,               0.003565
                     67,                0.72217,                0.47229,                 1.5375,                0.81761,                0.79626,                0.84448,                0.68339,                 0.6864,                0.43379,                 1.6259,               0.003466,               0.003466,               0.003466
                     68,                0.71716,                0.47043,                 1.5474,                0.81644,                0.80071,                0.84241,                0.68337,                 0.6864,                0.43325,                 1.6211,               0.003367,               0.003367,               0.003367
                     69,                0.71745,                0.47156,                 1.5441,                0.82308,                0.78726,                0.83922,                0.68001,                 0.6884,                0.43263,                 1.6165,               0.003268,               0.003268,               0.003268
                     70,                0.71897,                0.46608,                 1.5286,                0.81925,                0.79614,                0.83936,                 0.6816,                0.68691,                0.43354,                  1.621,               0.003169,               0.003169,               0.003169
                     71,                0.71458,                0.46251,                 1.5368,                0.81067,                0.81296,                0.84393,                0.68561,                0.68722,                0.43232,                 1.6202,                0.00307,                0.00307,                0.00307
                     72,                0.71298,                0.46389,                 1.5346,                0.81564,                0.80746,                0.84244,                0.68494,                0.68591,                0.43201,                 1.6205,               0.002971,               0.002971,               0.002971
                     73,                0.71027,                 0.4618,                 1.5359,                0.82367,                0.80161,                0.84727,                0.68984,                0.68501,                0.43112,                 1.6179,               0.002872,               0.002872,               0.002872
                     74,                0.71308,                0.46636,                  1.526,                 0.8113,                0.81143,                 0.8445,                0.68637,                0.68424,                0.43099,                   1.62,               0.002773,               0.002773,               0.002773
                     75,                0.71156,                0.45829,                 1.5292,                  0.815,                0.80383,                0.84265,                0.68596,                0.68368,                0.43176,                 1.6178,               0.002674,               0.002674,               0.002674
                     76,                0.69352,                0.45146,                 1.5316,                 0.8151,                0.79879,                0.84094,                0.68451,                0.68301,                0.43064,                 1.6155,               0.002575,               0.002575,               0.002575
                     77,                0.70239,                0.45648,                 1.5246,                0.81273,                0.80175,                0.84144,                0.68431,                 0.6824,                0.42985,                  1.616,               0.002476,               0.002476,               0.002476
                     78,                 0.6996,                0.45499,                 1.5419,                0.82232,                0.79902,                0.84275,                0.68468,                0.68233,                0.42931,                  1.614,               0.002377,               0.002377,               0.002377
                     79,                 0.6989,                0.44853,                 1.5391,                0.82306,                0.79527,                0.84151,                0.68538,                0.68214,                0.42987,                 1.6131,               0.002278,               0.002278,               0.002278
                     80,                0.69574,                0.44677,                 1.5286,                 0.8176,                0.80113,                 0.8421,                 0.6862,                0.68157,                0.42886,                 1.6142,               0.002179,               0.002179,               0.002179
