                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0821,                 2.5378,                  3.041,                0.75935,                0.11129,                0.15789,                0.07199,                 2.2047,                 2.1552,                 2.7774,               0.070213,              0.0033097,              0.0033097
                      2,                 1.6685,                 1.4218,                 2.4021,                0.33128,                0.35721,                0.30454,                0.18106,                 1.3171,                 1.1453,                 2.3554,               0.040147,              0.0065773,              0.0065773
                      3,                 1.3303,                 1.1219,                 2.1223,                0.32974,                0.34555,                0.32699,                0.20502,                 1.2143,                 1.0704,                 2.2678,               0.010015,              0.0097788,              0.0097788
                      4,                 1.1443,                0.94499,                 1.9424,                0.40351,                0.46806,                0.39632,                0.26078,                 1.0682,                0.93458,                 2.1104,               0.009703,               0.009703,               0.009703
                      5,                 1.0462,                0.84753,                 1.8703,                0.47433,                0.49516,                0.46482,                0.31357,                0.98236,                  0.821,                 1.9761,               0.009604,               0.009604,               0.009604
                      6,                 0.9848,                0.76908,                 1.7855,                0.57287,                0.59417,                0.56829,                 0.4007,                 0.9052,                0.70821,                 1.8991,               0.009505,               0.009505,               0.009505
                      7,                0.95125,                0.73941,                  1.767,                0.57999,                0.62342,                0.59993,                0.42968,                0.85021,                0.66516,                 1.8592,               0.009406,               0.009406,               0.009406
                      8,                0.93259,                0.71666,                 1.7533,                 0.6338,                0.64389,                0.63209,                0.46885,                0.83684,                0.63719,                  1.795,               0.009307,               0.009307,               0.009307
                      9,                0.90869,                0.68369,                 1.7356,                0.62832,                0.66965,                0.65943,                 0.4826,                0.83187,                0.60884,                 1.7851,               0.009208,               0.009208,               0.009208
                     10,                0.90006,                0.67292,                 1.7095,                0.67073,                0.67045,                0.67692,                0.50345,                  0.809,                0.58913,                 1.7743,               0.009109,               0.009109,               0.009109
                     11,                0.88558,                0.66294,                 1.7003,                0.66713,                0.66944,                 0.6809,                0.50764,                0.79189,                0.58125,                 1.7701,                0.00901,                0.00901,                0.00901
                     12,                 0.8778,                0.64539,                  1.698,                0.67049,                0.68868,                0.68929,                0.51851,                 0.7936,                 0.5769,                 1.7406,               0.008911,               0.008911,               0.008911
                     13,                0.86865,                0.64299,                 1.6778,                0.63247,                0.65045,                0.63603,                0.47814,                0.79858,                0.60651,                 1.7935,               0.008812,               0.008812,               0.008812
                     14,                0.86154,                 0.6296,                 1.6587,                0.66516,                0.70424,                0.70279,                0.53188,                 0.7733,                0.55222,                 1.7514,               0.008713,               0.008713,               0.008713
                     15,                0.85052,                0.61568,                 1.6635,                0.67176,                0.68795,                0.69043,                0.52357,                0.79149,                0.55921,                 1.7255,               0.008614,               0.008614,               0.008614
                     16,                 0.8472,                0.60731,                 1.6584,                0.65655,                0.67003,                0.66469,                0.50084,                 0.7845,                0.55985,                 1.7456,               0.008515,               0.008515,               0.008515
                     17,                0.83616,                0.60067,                 1.6686,                0.68864,                0.71405,                0.71667,                0.54759,                0.76511,                0.54817,                 1.7219,               0.008416,               0.008416,               0.008416
                     18,                0.82998,                0.59904,                 1.6353,                 0.7084,                0.72091,                0.73107,                0.56137,                 0.7529,                0.52396,                 1.7259,               0.008317,               0.008317,               0.008317
                     19,                0.82746,                0.58869,                 1.6299,                0.69621,                0.69546,                0.70957,                0.54522,                0.75552,                0.53457,                 1.7203,               0.008218,               0.008218,               0.008218
                     20,                0.82355,                0.58521,                 1.6312,                0.72375,                0.70617,                0.73584,                0.56789,                0.75157,                0.52041,                 1.7059,               0.008119,               0.008119,               0.008119
                     21,                0.81563,                0.58108,                 1.6224,                0.68699,                0.71247,                0.71645,                0.55531,                 0.7597,                0.53362,                 1.7202,                0.00802,                0.00802,                0.00802
                     22,                0.82188,                0.58301,                 1.6445,                0.70867,                0.74378,                0.74516,                0.57012,                0.74966,                0.51187,                 1.6909,               0.007921,               0.007921,               0.007921
                     23,                0.81311,                 0.5767,                  1.635,                 0.7345,                0.72002,                0.75746,                0.58988,                0.73878,                0.51597,                 1.7104,               0.007822,               0.007822,               0.007822
                     24,                0.80895,                0.56458,                 1.6259,                  0.728,                0.74034,                0.76768,                0.59926,                0.73451,                0.50127,                 1.6986,               0.007723,               0.007723,               0.007723
                     25,                0.79807,                0.55753,                 1.6228,                0.71477,                 0.7449,                0.74734,                0.57805,                0.75807,                0.50727,                 1.6713,               0.007624,               0.007624,               0.007624
                     26,                0.79686,                0.55614,                 1.6205,                0.72989,                0.74172,                0.76235,                0.59532,                0.73547,                0.49804,                 1.7007,               0.007525,               0.007525,               0.007525
                     27,                0.79059,                0.55766,                 1.6097,                0.73126,                0.74434,                0.76889,                0.60569,                0.72687,                0.49477,                 1.6836,               0.007426,               0.007426,               0.007426
                     28,                0.79226,                0.54997,                 1.6117,                0.74909,                0.75123,                0.78687,                0.61841,                0.72794,                 0.4872,                 1.6907,               0.007327,               0.007327,               0.007327
                     29,                0.78288,                 0.5452,                 1.6088,                0.74494,                 0.7479,                0.77853,                0.61243,                 0.7286,                0.48896,                 1.6716,               0.007228,               0.007228,               0.007228
                     30,                0.78453,                0.54304,                 1.5871,                0.74607,                 0.7274,                0.76848,                0.60381,                0.72939,                0.49192,                 1.6752,               0.007129,               0.007129,               0.007129
                     31,                0.78811,                0.54592,                  1.587,                0.75589,                0.74868,                0.78794,                0.62207,                0.72856,                0.48002,                 1.6657,                0.00703,                0.00703,                0.00703
                     32,                0.77472,                0.53318,                 1.5945,                0.75163,                0.74351,                0.77225,                 0.6111,                0.72273,                 0.4865,                 1.6684,               0.006931,               0.006931,               0.006931
                     33,                 0.7851,                0.54162,                 1.5871,                0.74081,                0.74523,                0.77448,                0.61471,                0.71832,                0.48516,                 1.6843,               0.006832,               0.006832,               0.006832
                     34,                0.77407,                0.53064,                 1.5974,                0.77289,                0.75568,                0.80033,                0.63953,                0.71314,                  0.469,                 1.6688,               0.006733,               0.006733,               0.006733
                     35,                0.77369,                0.52843,                 1.5952,                0.76035,                0.76169,                0.78693,                0.62434,                0.72096,                0.47443,                 1.6633,               0.006634,               0.006634,               0.006634
                     36,                0.77166,                0.52895,                 1.5781,                0.78734,                0.74918,                0.80881,                0.64645,                0.71019,                0.46277,                 1.6563,               0.006535,               0.006535,               0.006535
                     37,                0.76812,                0.51832,                 1.5895,                0.75709,                0.76198,                0.79256,                0.63131,                0.70796,                0.47288,                 1.6638,               0.006436,               0.006436,               0.006436
                     38,                0.76632,                0.52167,                 1.5834,                0.76224,                0.77974,                0.80813,                0.64502,                0.70764,                0.46392,                 1.6637,               0.006337,               0.006337,               0.006337
                     39,                0.76646,                0.52057,                 1.5841,                0.77012,                 0.7501,                0.79168,                0.63216,                0.70897,                0.47485,                 1.6725,               0.006238,               0.006238,               0.006238
