                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1006,                 2.5818,                 3.0388,                0.95859,                0.09178,                0.14633,                0.05849,                 2.4592,                 2.3159,                 2.7965,               0.070213,              0.0033097,              0.0033097
                      2,                 1.7445,                 1.5128,                 2.4671,                0.30413,                0.33182,                0.28686,                0.16762,                 1.3639,                 1.2014,                 2.3836,               0.040147,              0.0065773,              0.0065773
                      3,                 1.3976,                  1.193,                 2.1637,                0.17251,                0.21701,                0.16948,                0.08841,                 1.7808,                 1.5508,                 2.7245,               0.010015,              0.0097788,              0.0097788
                      4,                 1.2024,                 1.0076,                 1.9389,                0.45079,                0.49662,                0.45059,                0.29354,                 1.0655,                 0.9043,                 1.9958,               0.009703,               0.009703,               0.009703
                      5,                 1.0911,                0.89975,                 1.8338,                0.51791,                0.54573,                0.50696,                0.34475,                0.96275,                0.78618,                 1.9878,               0.009604,               0.009604,               0.009604
                      6,                 1.0202,                0.81479,                 1.7397,                0.47617,                0.48426,                0.45885,                0.32223,                0.95992,                0.86893,                   1.87,               0.009505,               0.009505,               0.009505
                      7,                0.98131,                0.78207,                 1.7256,                0.48166,                0.57817,                0.52671,                0.37819,                0.94065,                 0.7767,                 1.8127,               0.009406,               0.009406,               0.009406
                      8,                0.96175,                0.75259,                 1.7094,                 0.4677,                0.46614,                0.42478,                0.30168,                0.92806,                0.89884,                 1.8361,               0.009307,               0.009307,               0.009307
                      9,                0.93621,                0.71693,                 1.6923,                0.58707,                0.62135,                0.59097,                0.43292,                 0.8658,                0.67321,                 1.7447,               0.009208,               0.009208,               0.009208
                     10,                0.92199,                  0.704,                 1.6667,                0.62235,                0.64315,                0.65231,                0.47368,                0.82829,                0.63521,                 1.7503,               0.009109,               0.009109,               0.009109
                     11,                0.90661,                0.69308,                 1.6625,                0.56653,                  0.564,                0.56648,                0.41733,                0.86378,                0.68688,                 1.7776,                0.00901,                0.00901,                0.00901
                     12,                0.89799,                0.67518,                 1.6596,                0.63948,                0.62736,                0.63748,                0.47669,                 0.8218,                0.63915,                  1.716,               0.008911,               0.008911,               0.008911
                     13,                0.89329,                0.67587,                 1.6427,                0.63708,                0.65434,                 0.6561,                 0.4828,                0.81662,                0.62434,                 1.7466,               0.008812,               0.008812,               0.008812
                     14,                0.88027,                0.65663,                 1.6277,                0.65746,                0.68084,                0.68244,                0.51533,                0.79845,                0.59242,                 1.6886,               0.008713,               0.008713,               0.008713
                     15,                0.87171,                0.64319,                 1.6319,                0.65568,                0.68813,                0.68195,                0.51914,                0.79434,                0.57589,                 1.6885,               0.008614,               0.008614,               0.008614
                     16,                0.86529,                0.62986,                 1.6303,                0.66734,                0.69694,                0.69089,                0.52333,                0.78229,                0.55941,                    1.7,               0.008515,               0.008515,               0.008515
                     17,                0.85588,                0.62621,                 1.6419,                0.65782,                0.68598,                0.68879,                0.52172,                0.78499,                0.57954,                 1.7131,               0.008416,               0.008416,               0.008416
                     18,                 0.8472,                0.62503,                 1.6092,                0.67062,                0.71462,                0.71575,                0.54729,                0.76137,                0.54558,                 1.6985,               0.008317,               0.008317,               0.008317
                     19,                0.84624,                0.61426,                 1.6062,                0.68343,                0.69586,                0.70509,                0.53994,                0.76624,                0.55828,                 1.6815,               0.008218,               0.008218,               0.008218
                     20,                0.84151,                0.60946,                 1.6081,                0.69228,                0.71379,                0.73625,                0.56437,                0.76023,                0.53995,                 1.6646,               0.008119,               0.008119,               0.008119
                     21,                0.83406,                0.60641,                 1.5984,                0.71467,                0.73384,                0.74788,                0.57422,                0.76071,                0.53085,                 1.6921,                0.00802,                0.00802,                0.00802
                     22,                 0.8393,                0.60434,                 1.6214,                0.71626,                0.71227,                0.73397,                 0.5644,                0.77004,                  0.542,                 1.6715,               0.007921,               0.007921,               0.007921
                     23,                 0.8298,                0.60053,                 1.6137,                0.71079,                0.73223,                0.75084,                0.57938,                0.75219,                0.53414,                 1.6742,               0.007822,               0.007822,               0.007822
                     24,                0.82425,                0.58627,                 1.6059,                0.73189,                0.74452,                0.77584,                0.59841,                   0.75,                0.51699,                 1.6511,               0.007723,               0.007723,               0.007723
                     25,                0.81665,                0.58217,                 1.6003,                0.70448,                0.68176,                0.70732,                0.54401,                0.76942,                0.55128,                 1.6548,               0.007624,               0.007624,               0.007624
                     26,                 0.8127,                 0.5786,                 1.5996,                0.72267,                0.73561,                0.75616,                 0.5847,                0.75282,                0.52399,                 1.6784,               0.007525,               0.007525,               0.007525
                     27,                0.80781,                0.57957,                 1.5911,                0.72914,                0.72477,                0.75761,                0.59083,                0.74648,                0.51704,                 1.6483,               0.007426,               0.007426,               0.007426
                     28,                0.80956,                0.56966,                 1.5947,                0.71928,                0.75143,                0.77136,                0.60008,                0.74638,                0.50733,                 1.6395,               0.007327,               0.007327,               0.007327
