                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7955,                 2.3925,                 2.9061,                0.42848,                0.19245,                0.20799,                0.10494,                 1.7503,                 1.6682,                 2.6486,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5181,                 1.3103,                 2.2813,                0.29108,                0.33671,                0.31093,                0.17738,                 1.3693,                 1.1835,                 2.3051,                0.04004,               0.006589,               0.006589
                      3,                 1.2216,                 1.0403,                 2.0303,                0.38405,                0.41174,                 0.4013,                  0.257,                  1.125,                0.99477,                 2.1434,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0771,                0.89863,                 1.8846,                0.42998,                0.47517,                0.43481,                0.29689,                 1.0303,                0.85368,                 2.0543,               0.009703,               0.009703,               0.009703
                      5,                0.99008,                0.80629,                 1.8378,                0.52548,                0.55772,                0.52302,                 0.3692,                0.91569,                0.73298,                 1.9116,               0.009604,               0.009604,               0.009604
                      6,                0.95488,                 0.7369,                 1.7567,                0.51965,                0.54926,                 0.5184,                0.36759,                 0.9345,                0.74614,                 1.9863,               0.009505,               0.009505,               0.009505
                      7,                0.91335,                0.70026,                 1.7491,                 0.5992,                0.62253,                0.61871,                0.44521,                0.86313,                0.65244,                 1.8486,               0.009406,               0.009406,               0.009406
                      8,                0.90322,                0.69401,                 1.7221,                 0.6424,                0.63987,                0.64298,                0.47304,                0.81253,                0.63475,                 1.8203,               0.009307,               0.009307,               0.009307
                      9,                0.88707,                0.66576,                 1.7139,                0.63052,                0.65568,                 0.6466,                0.47771,                0.82775,                0.60552,                 1.7924,               0.009208,               0.009208,               0.009208
                     10,                0.88903,                0.66829,                 1.6832,                0.66236,                0.67596,                0.67511,                 0.5027,                0.79772,                0.59998,                 1.7819,               0.009109,               0.009109,               0.009109
                     11,                0.87879,                0.65424,                 1.6949,                0.67786,                0.70578,                0.70186,                0.52291,                0.79034,                  0.569,                 1.7747,                0.00901,                0.00901,                0.00901
                     12,                0.86729,                0.64021,                  1.685,                0.67811,                0.68659,                0.68129,                0.51382,                 0.7818,                0.56514,                 1.7597,               0.008911,               0.008911,               0.008911
                     13,                0.85679,                0.63566,                 1.6817,                0.69509,                0.72093,                0.72572,                0.55326,                0.76887,                0.55198,                 1.7533,               0.008812,               0.008812,               0.008812
                     14,                0.85377,                0.62177,                 1.6643,                0.70915,                0.70189,                0.72003,                0.54633,                0.77093,                 0.5468,                 1.7655,               0.008713,               0.008713,               0.008713
                     15,                0.84829,                0.61777,                 1.6685,                0.71084,                0.72035,                0.72485,                0.55241,                0.76148,                0.53534,                 1.7506,               0.008614,               0.008614,               0.008614
                     16,                0.84275,                0.60788,                 1.6538,                0.71703,                 0.7258,                0.75097,                0.57365,                0.75359,                0.52181,                 1.7327,               0.008515,               0.008515,               0.008515
                     17,                0.82913,                0.59115,                 1.6695,                0.73645,                0.72059,                0.75517,                0.58176,                0.75078,                0.52241,                 1.7327,               0.008416,               0.008416,               0.008416
                     18,                0.82275,                0.59344,                 1.6469,                0.73316,                0.73206,                0.75954,                 0.5836,                0.75326,                0.51868,                 1.7205,               0.008317,               0.008317,               0.008317
                     19,                0.82768,                0.58747,                  1.623,                0.75014,                0.72735,                0.76631,                0.59168,                0.74613,                0.50718,                 1.7172,               0.008218,               0.008218,               0.008218
                     20,                0.82168,                0.58227,                 1.6338,                0.70368,                0.74685,                0.74852,                0.57883,                0.74771,                0.50476,                 1.7178,               0.008119,               0.008119,               0.008119
                     21,                0.81266,                 0.5774,                  1.647,                0.73274,                0.76061,                0.78037,                0.61009,                0.73631,                0.49473,                  1.702,                0.00802,                0.00802,                0.00802
                     22,                0.80996,                 0.5744,                 1.6436,                0.74695,                0.73166,                0.76048,                0.59334,                0.73187,                0.50041,                 1.7061,               0.007921,               0.007921,               0.007921
                     23,                0.81123,                0.56987,                 1.6315,                 0.7475,                0.74272,                0.76889,                0.60278,                0.73197,                0.49475,                 1.6984,               0.007822,               0.007822,               0.007822
                     24,                0.80814,                0.56552,                 1.6344,                0.75171,                0.74992,                0.78045,                 0.6135,                0.72278,                0.49097,                 1.7071,               0.007723,               0.007723,               0.007723
                     25,                0.79985,                0.55324,                 1.6236,                0.74546,                0.75454,                0.77295,                0.60827,                0.72456,                0.48445,                 1.6977,               0.007624,               0.007624,               0.007624
                     26,                 0.8005,                0.55832,                 1.6413,                0.76197,                0.77427,                0.80346,                0.63409,                0.72217,                0.47701,                  1.692,               0.007525,               0.007525,               0.007525
                     27,                0.80123,                0.55832,                 1.6248,                 0.7713,                0.77091,                0.80995,                 0.6387,                0.72124,                0.47824,                   1.69,               0.007426,               0.007426,               0.007426
                     28,                0.80161,                0.55923,                 1.6317,                0.77055,                0.77355,                 0.8054,                 0.6356,                0.71943,                0.47294,                 1.6887,               0.007327,               0.007327,               0.007327
                     29,                0.79088,                0.55311,                 1.6236,                0.76414,                0.74528,                0.78212,                0.61993,                0.71551,                0.47571,                 1.6814,               0.007228,               0.007228,               0.007228
                     30,                0.78707,                0.54965,                 1.5879,                0.76614,                0.76667,                0.80075,                0.63452,                0.71657,                0.47055,                 1.6726,               0.007129,               0.007129,               0.007129
                     31,                0.78839,                 0.5483,                 1.5906,                  0.773,                0.77693,                0.81258,                0.64811,                0.71064,                0.46398,                  1.674,                0.00703,                0.00703,                0.00703
                     32,                0.77947,                0.53889,                  1.626,                0.77587,                0.77439,                0.80882,                0.64287,                0.71059,                0.46649,                 1.6744,               0.006931,               0.006931,               0.006931
                     33,                0.78071,                0.53885,                 1.6015,                0.77229,                0.78145,                0.81856,                0.65233,                0.70957,                0.46165,                   1.67,               0.006832,               0.006832,               0.006832
                     34,                0.77985,                0.53637,                 1.5957,                0.77087,                0.77173,                0.80788,                 0.6436,                 0.7102,                0.46505,                 1.6739,               0.006733,               0.006733,               0.006733
                     35,                0.77359,                0.52995,                  1.607,                0.80004,                0.76454,                0.81831,                0.65371,                0.70675,                0.45748,                 1.6666,               0.006634,               0.006634,               0.006634
