                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9712,                 2.5473,                 2.9787,                 0.1928,                0.17589,                0.19127,                0.09667,                 1.8246,                 1.7557,                 2.7269,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5666,                 1.3475,                  2.341,                0.51155,                0.30402,                0.29927,                0.17524,                 1.3284,                 1.3677,                 2.3651,                0.04004,               0.006589,               0.006589
                      3,                 1.2509,                 1.0722,                  2.051,                0.38011,                 0.4312,                0.40557,                0.26392,                 1.0633,                0.95203,                  2.078,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0912,                0.92395,                 1.8949,                0.35546,                0.38811,                 0.3124,                0.20935,                 1.0724,                 1.0561,                 2.1053,               0.009703,               0.009703,               0.009703
                      5,                0.99344,                0.82273,                 1.8392,                0.53993,                0.56433,                0.51954,                0.37343,                0.90104,                0.75941,                 1.9137,               0.009604,               0.009604,               0.009604
                      6,                0.95792,                0.74809,                 1.7604,                 0.5051,                0.51932,                0.48557,                0.34531,                 0.9297,                 0.8084,                 1.9769,               0.009505,               0.009505,               0.009505
                      7,                0.91669,                0.71122,                 1.7496,                0.57409,                0.64552,                0.60462,                0.43572,                0.86627,                0.68989,                 1.8577,               0.009406,               0.009406,               0.009406
                      8,                  0.905,                0.70544,                 1.7243,                0.62583,                0.66021,                0.64294,                0.47129,                0.82381,                 0.6219,                 1.8583,               0.009307,               0.009307,               0.009307
                      9,                0.89187,                0.67394,                 1.7171,                0.65016,                0.66537,                0.66843,                0.48732,                0.83754,                0.61062,                 1.7879,               0.009208,               0.009208,               0.009208
                     10,                 0.8913,                0.67533,                 1.6862,                0.69162,                0.66474,                0.68432,                0.51135,                0.79852,                 0.5945,                 1.7824,               0.009109,               0.009109,               0.009109
                     11,                 0.8782,                0.65663,                 1.6975,                0.61354,                0.64903,                0.62927,                0.46502,                0.80551,                0.61946,                 1.7788,                0.00901,                0.00901,                0.00901
                     12,                0.86865,                0.64495,                 1.6859,                0.67548,                0.66265,                0.68142,                0.51195,                0.79476,                 0.5782,                 1.7569,               0.008911,               0.008911,               0.008911
                     13,                0.85996,                0.64218,                  1.682,                0.70334,                0.65638,                0.69436,                0.51976,                0.80321,                0.60642,                 1.7875,               0.008812,               0.008812,               0.008812
                     14,                0.85705,                0.62663,                 1.6612,                0.67242,                0.68553,                0.68892,                0.52126,                0.77892,                0.57694,                 1.7609,               0.008713,               0.008713,               0.008713
                     15,                 0.8511,                0.62526,                 1.6681,                0.69885,                0.71599,                0.72512,                 0.5564,                0.75843,                0.53806,                 1.7419,               0.008614,               0.008614,               0.008614
                     16,                0.84566,                0.61458,                 1.6544,                0.71281,                  0.723,                0.74144,                0.56434,                 0.7579,                0.52731,                 1.7492,               0.008515,               0.008515,               0.008515
                     17,                0.83288,                 0.5982,                 1.6695,                0.72674,                0.71834,                0.74781,                0.57671,                0.75305,                0.51982,                 1.7211,               0.008416,               0.008416,               0.008416
                     18,                0.82535,                0.59934,                 1.6461,                0.71899,                0.74681,                0.76258,                 0.5886,                0.75095,                0.51172,                 1.7138,               0.008317,               0.008317,               0.008317
                     19,                0.82924,                0.59428,                 1.6243,                0.73837,                0.72845,                 0.7575,                0.58947,                0.74611,                0.51123,                  1.714,               0.008218,               0.008218,               0.008218
                     20,                 0.8265,                0.58916,                 1.6344,                0.70577,                0.74108,                0.75278,                0.58591,                0.74285,                0.51287,                 1.7183,               0.008119,               0.008119,               0.008119
                     21,                0.81746,                0.58443,                 1.6453,                0.74269,                0.73123,                0.76527,                0.59656,                0.74083,                0.50547,                 1.7079,                0.00802,                0.00802,                0.00802
                     22,                0.81397,                0.57913,                 1.6429,                0.73005,                0.74492,                0.77172,                0.60324,                0.73178,                0.49922,                 1.7023,               0.007921,               0.007921,               0.007921
                     23,                0.81337,                0.57775,                 1.6314,                0.75054,                0.73108,                0.77803,                0.60825,                0.74362,                0.50042,                 1.6928,               0.007822,               0.007822,               0.007822
                     24,                0.81268,                0.57407,                 1.6361,                0.74598,                0.74802,                0.78041,                0.61104,                0.73082,                0.49526,                 1.6909,               0.007723,               0.007723,               0.007723
                     25,                0.80387,                0.56153,                 1.6265,                0.75684,                0.75492,                0.78311,                0.61414,                0.72855,                0.48709,                 1.6875,               0.007624,               0.007624,               0.007624
                     26,                 0.8049,                0.56606,                 1.6421,                0.76008,                0.76705,                 0.8026,                0.63131,                0.72427,                0.48354,                 1.6916,               0.007525,               0.007525,               0.007525
                     27,                0.80676,                0.56707,                 1.6248,                0.75037,                0.76283,                0.79325,                0.62531,                0.72404,                0.48554,                 1.6836,               0.007426,               0.007426,               0.007426
                     28,                0.80599,                0.57092,                 1.6324,                0.74659,                0.77053,                0.78723,                0.62409,                 0.7218,                0.48178,                 1.6798,               0.007327,               0.007327,               0.007327
                     29,                0.79508,                 0.5588,                 1.6234,                0.75353,                0.75217,                0.77683,                0.61491,                0.71693,                 0.4825,                 1.6827,               0.007228,               0.007228,               0.007228
                     30,                0.79141,                 0.5584,                 1.5895,                 0.7786,                 0.7583,                0.79898,                0.63289,                0.72069,                0.47599,                 1.6719,               0.007129,               0.007129,               0.007129
                     31,                0.79441,                0.55514,                 1.5912,                0.78638,                0.75871,                0.81074,                0.64475,                0.71573,                0.47114,                 1.6741,                0.00703,                0.00703,                0.00703
                     32,                0.78357,                0.54881,                 1.6262,                0.76864,                0.76733,                0.80179,                0.63703,                0.71477,                0.47115,                 1.6695,               0.006931,               0.006931,               0.006931
                     33,                0.78702,                0.54784,                 1.6031,                0.77502,                0.77244,                0.81301,                0.64694,                0.71514,                0.46952,                 1.6625,               0.006832,               0.006832,               0.006832
                     34,                0.78303,                0.54733,                 1.5951,                0.77495,                0.76715,                0.81129,                0.64559,                0.71199,                0.46796,                 1.6707,               0.006733,               0.006733,               0.006733
                     35,                0.77638,                0.53668,                 1.6082,                0.77717,                   0.77,                0.81013,                0.64622,                0.71099,                0.46693,                 1.6651,               0.006634,               0.006634,               0.006634
                     36,                 0.7757,                0.52887,                 1.6022,                0.78055,                 0.7711,                0.81391,                0.65097,                0.70954,                0.46451,                 1.6651,               0.006535,               0.006535,               0.006535
                     37,                0.78228,                0.53556,                 1.5989,                0.77923,                0.77298,                 0.8195,                0.65542,                0.70817,                0.46242,                 1.6608,               0.006436,               0.006436,               0.006436
                     38,                0.77314,                0.53647,                 1.6111,                0.80225,                0.76012,                0.82285,                0.65978,                0.70815,                0.46108,                 1.6596,               0.006337,               0.006337,               0.006337
                     39,                0.76853,                0.52919,                 1.6111,                0.79535,                0.76819,                0.82516,                0.66143,                0.70482,                0.45812,                 1.6611,               0.006238,               0.006238,               0.006238
                     40,                0.77691,                0.53212,                 1.6109,                0.80466,                0.77074,                0.83067,                0.66731,                 0.7052,                0.45643,                 1.6565,               0.006139,               0.006139,               0.006139
                     41,                 0.7696,                0.52715,                 1.5819,                0.80282,                0.76965,                0.82892,                0.66532,                0.70434,                0.45584,                 1.6538,                0.00604,                0.00604,                0.00604
                     42,                0.76216,                0.52464,                 1.6061,                0.79995,                0.77491,                0.82859,                0.66478,                0.70333,                0.45633,                 1.6541,               0.005941,               0.005941,               0.005941
                     43,                0.76808,                0.52906,                 1.6111,                0.80745,                0.76704,                0.82861,                0.66482,                0.70305,                0.45521,                 1.6529,               0.005842,               0.005842,               0.005842
                     44,                0.76265,                0.51967,                 1.5889,                0.80203,                 0.7744,                0.83072,                0.66818,                0.70207,                0.45397,                 1.6517,               0.005743,               0.005743,               0.005743
                     45,                0.76932,                0.52785,                 1.5791,                0.80905,                 0.7677,                0.83056,                0.66862,                0.70122,                0.45367,                  1.653,               0.005644,               0.005644,               0.005644
                     46,                 0.7596,                0.51733,                 1.6075,                 0.7988,                 0.7797,                 0.8335,                0.67096,                0.70016,                0.45241,                 1.6511,               0.005545,               0.005545,               0.005545
                     47,                0.75617,                0.51296,                 1.5936,                0.79623,                0.77933,                0.83065,                0.66927,                0.70039,                0.45166,                 1.6499,               0.005446,               0.005446,               0.005446
                     48,                0.76222,                 0.5194,                 1.6004,                0.79954,                0.77407,                 0.8307,                 0.6697,                0.69868,                0.45034,                  1.651,               0.005347,               0.005347,               0.005347
                     49,                0.76451,                0.52185,                 1.6119,                0.81466,                0.76346,                0.83117,                 0.6706,                0.69816,                0.44995,                 1.6491,               0.005248,               0.005248,               0.005248
                     50,                0.74758,                    0.5,                 1.5704,                0.81918,                  0.763,                0.83178,                0.67079,                0.69726,                0.44908,                 1.6475,               0.005149,               0.005149,               0.005149
                     51,                0.74634,                0.50068,                  1.569,                0.80579,                0.77258,                0.83323,                0.67253,                0.69677,                0.44795,                 1.6465,                0.00505,                0.00505,                0.00505
                     52,                0.74585,                0.50228,                  1.586,                0.81403,                0.76765,                0.83438,                0.67356,                0.69594,                0.44704,                 1.6457,               0.004951,               0.004951,               0.004951
                     53,                0.73914,                0.49476,                 1.5688,                  0.815,                0.76846,                0.83463,                0.67381,                0.69569,                0.44659,                 1.6449,               0.004852,               0.004852,               0.004852
                     54,                0.74239,                0.50542,                 1.5735,                0.81682,                0.76838,                 0.8353,                0.67466,                 0.6953,                0.44617,                  1.644,               0.004753,               0.004753,               0.004753
                     55,                0.73684,                0.49732,                  1.578,                0.81476,                0.76952,                0.83572,                0.67532,                0.69499,                0.44584,                 1.6434,               0.004654,               0.004654,               0.004654
                     56,                0.73787,                0.49751,                 1.5793,                0.81154,                0.77414,                 0.8368,                0.67636,                0.69428,                0.44506,                 1.6428,               0.004555,               0.004555,               0.004555
                     57,                0.73837,                0.49394,                 1.5726,                0.81502,                0.77275,                0.83716,                0.67711,                0.69367,                0.44461,                 1.6421,               0.004456,               0.004456,               0.004456
                     58,                0.74413,                0.49935,                  1.577,                0.81534,                0.77106,                0.83792,                0.67802,                0.69327,                0.44422,                 1.6412,               0.004357,               0.004357,               0.004357
                     59,                 0.7492,                0.49937,                 1.5848,                 0.8197,                0.76994,                0.83804,                0.67838,                  0.693,                0.44396,                 1.6407,               0.004258,               0.004258,               0.004258
                     60,                 0.7344,                0.49524,                 1.5811,                0.81899,                 0.7708,                0.83769,                0.67888,                0.69268,                0.44365,                 1.6402,               0.004159,               0.004159,               0.004159
                     61,                0.73431,                0.49116,                 1.5604,                0.82207,                0.77029,                0.83756,                0.67891,                0.69239,                 0.4433,                 1.6396,                0.00406,                0.00406,                0.00406
                     62,                0.73078,                0.48349,                 1.5793,                0.81706,                0.77186,                0.83782,                0.67948,                 0.6922,                0.44274,                 1.6388,               0.003961,               0.003961,               0.003961
                     63,                0.73261,                0.48584,                 1.5553,                0.81232,                0.77462,                0.83848,                 0.6796,                0.69202,                0.44238,                 1.6381,               0.003862,               0.003862,               0.003862
                     64,                0.73699,                0.48879,                 1.5781,                0.81512,                0.77303,                 0.8385,                0.67981,                0.69174,                0.44214,                 1.6377,               0.003763,               0.003763,               0.003763
                     65,                0.73581,                0.49163,                  1.571,                0.81676,                0.77435,                 0.8387,                0.67997,                0.69125,                0.44177,                 1.6373,               0.003664,               0.003664,               0.003664
                     66,                0.72392,                0.48237,                 1.5458,                0.81474,                0.77781,                0.83893,                0.67974,                0.69109,                0.44137,                 1.6369,               0.003565,               0.003565,               0.003565
                     67,                0.73227,                0.47894,                 1.5595,                 0.8135,                0.77876,                0.83922,                0.68023,                0.69079,                0.44107,                 1.6367,               0.003466,               0.003466,               0.003466
                     68,                0.72623,                0.47658,                 1.5664,                0.82008,                0.77384,                0.83993,                0.68066,                0.69055,                0.44072,                 1.6365,               0.003367,               0.003367,               0.003367
                     69,                0.73617,                0.48812,                 1.5518,                 0.8254,                0.77293,                0.84014,                0.68096,                0.69024,                 0.4405,                 1.6363,               0.003268,               0.003268,               0.003268
                     70,                0.72506,                0.47457,                  1.563,                0.82182,                0.77505,                0.84036,                0.68109,                0.69021,                 0.4405,                 1.6361,               0.003169,               0.003169,               0.003169
                     71,                0.71887,                0.47505,                 1.5593,                0.82155,                0.77645,                0.84038,                0.68101,                0.68986,                 0.4401,                 1.6358,                0.00307,                0.00307,                0.00307
                     72,                0.72703,                0.47748,                 1.5524,                0.82079,                0.77621,                 0.8405,                0.68135,                0.68958,                0.43996,                 1.6356,               0.002971,               0.002971,               0.002971
                     73,                0.71443,                0.47208,                  1.559,                 0.8239,                0.77477,                0.84059,                0.68161,                0.68938,                 0.4397,                 1.6355,               0.002872,               0.002872,               0.002872
                     74,                 0.7212,                0.47893,                 1.5576,                0.82095,                0.77517,                0.84056,                0.68189,                0.68913,                0.43953,                 1.6352,               0.002773,               0.002773,               0.002773
                     75,                0.71643,                0.46346,                 1.5513,                0.82599,                0.77317,                  0.841,                0.68259,                0.68891,                0.43938,                 1.6348,               0.002674,               0.002674,               0.002674
                     76,                0.70982,                0.46503,                 1.5518,                0.81646,                0.77719,                 0.8409,                0.68271,                0.68864,                0.43917,                 1.6345,               0.002575,               0.002575,               0.002575
                     77,                0.71251,                0.46291,                 1.5455,                0.81642,                0.77661,                0.84083,                0.68263,                0.68832,                0.43898,                 1.6343,               0.002476,               0.002476,               0.002476
                     78,                0.70545,                0.46129,                 1.5461,                0.81541,                0.77742,                0.84103,                0.68327,                0.68821,                0.43891,                 1.6339,               0.002377,               0.002377,               0.002377
                     79,                 0.7067,                 0.4543,                 1.5384,                0.81541,                0.77782,                0.84137,                0.68326,                0.68795,                0.43859,                 1.6336,               0.002278,               0.002278,               0.002278
                     80,                0.70412,                0.45739,                 1.5489,                 0.8189,                0.77672,                0.84133,                 0.6835,                0.68772,                0.43852,                 1.6333,               0.002179,               0.002179,               0.002179
                     81,                0.70834,                0.45437,                 1.5335,                0.81606,                0.78118,                 0.8416,                0.68396,                0.68738,                0.43832,                 1.6329,                0.00208,                0.00208,                0.00208
