                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7519,                 2.3329,                  2.907,                0.18488,                0.17926,                0.18448,                0.08508,                 2.0514,                 1.7687,                  2.717,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5096,                 1.3065,                 2.2881,                0.52416,                0.27679,                0.27473,                0.15713,                 1.4633,                 1.2864,                 2.3868,                0.04004,               0.006589,               0.006589
                      3,                 1.2181,                 1.0463,                 2.0317,                0.43119,                0.44647,                0.40747,                0.25702,                 1.0774,                0.93422,                 2.0867,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0771,                0.90225,                 1.8856,                0.47686,                0.50846,                0.47873,                0.32628,                0.96667,                0.81201,                 1.9345,               0.009703,               0.009703,               0.009703
                      5,                0.98795,                0.80859,                 1.8364,                 0.5178,                0.56466,                0.51646,                0.36408,                0.90085,                0.75053,                   1.92,               0.009604,               0.009604,               0.009604
                      6,                0.95464,                0.74231,                 1.7562,                0.45617,                0.44287,                0.41041,                0.28297,                0.99303,                0.90859,                 2.0447,               0.009505,               0.009505,               0.009505
                      7,                0.91718,                0.70639,                 1.7467,                0.54809,                0.60891,                0.57865,                0.42075,                0.86725,                0.67071,                 1.8419,               0.009406,               0.009406,               0.009406
                      8,                0.90695,                 0.7017,                 1.7209,                0.62938,                0.63513,                0.63224,                0.45423,                0.82816,                0.67113,                 1.8735,               0.009307,               0.009307,               0.009307
                      9,                0.89083,                0.66959,                 1.7139,                0.63621,                0.64563,                 0.6486,                0.47287,                0.82278,                0.61585,                  1.819,               0.009208,               0.009208,               0.009208
                     10,                 0.8909,                0.67124,                  1.683,                0.66714,                0.68712,                0.69026,                 0.5162,                0.79269,                0.57744,                 1.7698,               0.009109,               0.009109,               0.009109
                     11,                0.87907,                0.65657,                 1.6952,                0.67605,                0.70448,                0.69739,                0.52208,                0.78779,                0.58313,                 1.7756,                0.00901,                0.00901,                0.00901
                     12,                0.86805,                0.64242,                 1.6826,                0.67823,                0.68226,                0.68477,                0.51368,                0.78516,                0.56433,                 1.7538,               0.008911,               0.008911,               0.008911
                     13,                 0.8614,                0.64297,                 1.6823,                0.65831,                0.69812,                0.69754,                0.52735,                0.78352,                0.57303,                  1.784,               0.008812,               0.008812,               0.008812
                     14,                0.85571,                 0.6237,                 1.6638,                0.67844,                 0.7011,                0.70351,                0.53554,                 0.7725,                0.55421,                 1.7495,               0.008713,               0.008713,               0.008713
                     15,                0.84993,                0.62351,                 1.6702,                0.71228,                0.72788,                 0.7303,                0.56477,                 0.7567,                0.53765,                 1.7506,               0.008614,               0.008614,               0.008614
