                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8588,                 2.3171,                 2.8913,                0.93597,                0.15283,                0.21168,                0.11223,                 1.6951,                 1.5076,                  2.649,               0.070106,              0.0033215,              0.0033215
                      2,                  1.539,                 1.3175,                 2.2917,                0.29204,                0.39022,                0.31101,                0.18108,                 1.2976,                 1.2312,                 2.2377,                0.04004,               0.006589,               0.006589
                      3,                 1.2686,                 1.0916,                 2.0334,                0.31208,                 0.4132,                0.32317,                0.20453,                 1.2054,                 1.1463,                 1.9919,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.1061,                0.93457,                 1.8489,                0.41446,                0.45271,                0.38093,                0.26022,                  1.057,                0.95174,                 2.0707,               0.009703,               0.009703,               0.009703
                      5,                 1.0149,                 0.8316,                 1.7573,                0.40553,                0.43761,                0.38831,                 0.2633,                 1.1123,                0.92547,                 2.0811,               0.009604,               0.009604,               0.009604
                      6,                0.96286,                0.76532,                 1.7018,                0.58561,                0.57131,                0.55444,                0.39858,                0.93058,                0.73826,                 1.8249,               0.009505,               0.009505,               0.009505
                      7,                0.93387,                0.73264,                 1.6776,                 0.5588,                0.59421,                0.57059,                 0.4147,                0.89196,                0.70064,                 1.7692,               0.009406,               0.009406,               0.009406
                      8,                0.91519,                0.70551,                 1.6587,                0.64053,                0.61608,                0.64147,                0.47257,                0.83403,                0.64115,                  1.724,               0.009307,               0.009307,               0.009307
                      9,                0.90199,                0.69082,                 1.6455,                0.62295,                0.62169,                 0.6292,                0.46304,                0.84932,                 0.6493,                 1.7481,               0.009208,               0.009208,               0.009208
                     10,                0.89346,                 0.6751,                 1.6468,                0.62002,                0.67051,                0.66413,                0.48854,                0.85448,                0.62205,                 1.6894,               0.009109,               0.009109,               0.009109
                     11,                 0.8752,                0.65145,                 1.6377,                0.58408,                 0.5802,                 0.5707,                0.41023,                 0.8484,                0.69095,                 1.7722,                0.00901,                0.00901,                0.00901
                     12,                 0.8679,                0.64222,                  1.626,                0.67404,                  0.686,                0.70232,                0.53117,                0.78113,                0.57001,                 1.6784,               0.008911,               0.008911,               0.008911
                     13,                0.85797,                0.63151,                 1.6278,                0.66762,                0.70954,                0.70396,                 0.5308,                0.77703,                 0.5601,                 1.6794,               0.008812,               0.008812,               0.008812
                     14,                0.85228,                0.62898,                 1.6149,                0.66751,                0.72024,                0.71755,                0.54796,                 0.7707,                0.54626,                 1.6752,               0.008713,               0.008713,               0.008713
                     15,                0.84741,                0.61909,                 1.6118,                 0.7126,                0.70633,                0.72238,                0.54826,                 0.7706,                0.54369,                 1.6911,               0.008614,               0.008614,               0.008614
                     16,                0.84404,                0.61376,                 1.6041,                0.70509,                0.73558,                0.73202,                0.56519,                0.75531,                0.52362,                 1.6759,               0.008515,               0.008515,               0.008515
                     17,                0.83783,                0.60422,                 1.6069,                0.70475,                 0.7313,                0.74912,                0.57715,                0.74732,                0.52726,                 1.6794,               0.008416,               0.008416,               0.008416
                     18,                0.82722,                0.59319,                 1.5905,                0.71608,                0.74591,                0.75771,                0.58559,                0.74721,                0.51347,                 1.6544,               0.008317,               0.008317,               0.008317
                     19,                0.82748,                0.59155,                 1.5962,                 0.7302,                0.73924,                0.75952,                0.58628,                0.74797,                0.50918,                 1.6548,               0.008218,               0.008218,               0.008218
                     20,                0.82075,                0.58424,                 1.5915,                 0.7212,                 0.7496,                0.76952,                0.60071,                0.73993,                0.50481,                 1.6693,               0.008119,               0.008119,               0.008119
                     21,                0.81788,                 0.5808,                  1.584,                0.76274,                0.74433,                0.79003,                 0.6178,                0.73387,                0.49841,                 1.6423,                0.00802,                0.00802,                0.00802
                     22,                0.81357,                0.57909,                 1.5897,                0.73681,                0.76607,                0.78672,                0.61333,                0.73118,                0.49256,                 1.6439,               0.007921,               0.007921,               0.007921
                     23,                0.81013,                0.57231,                  1.591,                0.76227,                0.75285,                0.79473,                0.62436,                0.72669,                0.48505,                 1.6434,               0.007822,               0.007822,               0.007822
                     24,                0.80913,                 0.5712,                 1.5871,                0.76827,                0.74046,                0.79591,                0.62618,                 0.7269,                0.49193,                  1.639,               0.007723,               0.007723,               0.007723
                     25,                0.80463,                0.56509,                 1.5845,                0.75395,                0.77275,                0.79422,                0.62837,                0.72135,                0.48014,                 1.6425,               0.007624,               0.007624,               0.007624
                     26,                0.79763,                 0.5581,                 1.5806,                0.77617,                0.76032,                0.80682,                0.63669,                0.72205,                  0.477,                 1.6344,               0.007525,               0.007525,               0.007525
                     27,                0.79172,                0.55767,                 1.5829,                0.77552,                0.77746,                0.81763,                0.64603,                0.71758,                0.47234,                 1.6296,               0.007426,               0.007426,               0.007426
                     28,                0.79352,                0.55635,                  1.579,                0.76671,                0.76729,                0.80226,                 0.6372,                0.71902,                0.47463,                 1.6264,               0.007327,               0.007327,               0.007327
                     29,                0.78928,                0.55053,                 1.5871,                0.78202,                0.77871,                0.81534,                0.64408,                0.71326,                0.46765,                   1.63,               0.007228,               0.007228,               0.007228
                     30,                0.78957,                0.55048,                 1.5765,                0.78335,                0.77143,                0.81339,                 0.6466,                0.71057,                0.46366,                 1.6292,               0.007129,               0.007129,               0.007129
                     31,                0.78423,                0.54115,                 1.5801,                0.76945,                 0.7794,                0.81699,                0.65081,                0.70852,                0.46451,                  1.629,                0.00703,                0.00703,                0.00703
                     32,                0.78188,                0.54322,                 1.5781,                0.78353,                0.77309,                0.81767,                 0.6519,                0.70915,                 0.4611,                 1.6255,               0.006931,               0.006931,               0.006931
                     33,                0.77641,                0.53727,                 1.5764,                0.79428,                 0.7789,                0.82714,                0.65816,                 0.7047,                0.45651,                 1.6309,               0.006832,               0.006832,               0.006832
                     34,                0.77156,                0.53298,                 1.5702,                0.78622,                0.77519,                0.82196,                0.65685,                 0.7074,                 0.4564,                 1.6206,               0.006733,               0.006733,               0.006733
                     35,                0.77211,                0.52923,                  1.562,                0.78252,                0.78997,                0.82969,                0.66342,                0.70496,                0.45537,                 1.6208,               0.006634,               0.006634,               0.006634
                     36,                0.77157,                0.52536,                 1.5623,                0.78936,                0.78858,                0.83135,                 0.6662,                0.70026,                0.45267,                 1.6172,               0.006535,               0.006535,               0.006535
                     37,                0.76414,                0.52547,                 1.5679,                0.78621,                0.79523,                0.83322,                0.66699,                0.69861,                0.45085,                  1.616,               0.006436,               0.006436,               0.006436
                     38,                0.75962,                0.52182,                 1.5642,                 0.7851,                 0.8035,                0.83639,                0.66859,                0.69734,                0.44903,                 1.6151,               0.006337,               0.006337,               0.006337
                     39,                0.76056,                0.52064,                   1.57,                0.79531,                0.80571,                0.84223,                0.67485,                0.69477,                0.44424,                 1.6158,               0.006238,               0.006238,               0.006238
                     40,                0.76089,                0.52454,                 1.5599,                0.79657,                0.79995,                0.83975,                0.67388,                 0.6956,                 0.4457,                   1.61,               0.006139,               0.006139,               0.006139
                     41,                0.75402,                0.51125,                 1.5569,                0.81218,                0.78772,                0.84173,                0.67487,                 0.6941,                0.44421,                 1.6124,                0.00604,                0.00604,                0.00604
                     42,                0.75511,                0.51313,                 1.5584,                 0.7971,                0.80091,                0.84407,                0.67764,                0.69348,                0.44189,                 1.6117,               0.005941,               0.005941,               0.005941
                     43,                0.74743,                0.50997,                 1.5578,                0.79387,                0.80586,                0.84325,                0.67722,                0.69276,                0.44155,                 1.6083,               0.005842,               0.005842,               0.005842
                     44,                 0.7492,                0.50856,                 1.5546,                0.80741,                0.79556,                0.84392,                0.67822,                0.69148,                0.44014,                 1.6082,               0.005743,               0.005743,               0.005743
                     45,                0.74899,                0.50556,                 1.5555,                0.80896,                0.79457,                0.84513,                0.68041,                0.69016,                 0.4391,                 1.6099,               0.005644,               0.005644,               0.005644
                     46,                0.74766,                0.50768,                 1.5539,                 0.8092,                0.79849,                0.84669,                0.68162,                0.68929,                 0.4377,                  1.608,               0.005545,               0.005545,               0.005545
                     47,                0.74805,                0.50374,                 1.5521,                0.81258,                0.79926,                0.84619,                0.68216,                0.68873,                0.43674,                 1.6069,               0.005446,               0.005446,               0.005446
                     48,                0.74392,                 0.5046,                 1.5522,                0.80387,                0.80527,                0.84651,                0.68205,                0.68796,                 0.4361,                 1.6052,               0.005347,               0.005347,               0.005347
                     49,                0.74192,                0.49975,                 1.5456,                0.80845,                0.80154,                0.84716,                0.68288,                0.68742,                 0.4358,                 1.6034,               0.005248,               0.005248,               0.005248
                     50,                0.73822,                0.49506,                 1.5498,                0.81241,                0.79389,                0.84677,                0.68327,                0.68653,                0.43526,                 1.6024,               0.005149,               0.005149,               0.005149
                     51,                0.73797,                0.49431,                  1.545,                0.80469,                0.80296,                0.84823,                0.68513,                0.68599,                0.43371,                 1.6027,                0.00505,                0.00505,                0.00505
                     52,                0.73331,                0.49121,                 1.5541,                 0.8104,                    0.8,                0.84931,                0.68642,                0.68522,                0.43249,                 1.6028,               0.004951,               0.004951,               0.004951
                     53,                0.72963,                 0.4871,                 1.5441,                0.80615,                0.80324,                0.84913,                0.68693,                0.68467,                0.43196,                 1.6016,               0.004852,               0.004852,               0.004852
                     54,                0.72578,                0.48564,                 1.5508,                0.80977,                0.80349,                0.84922,                0.68753,                0.68384,                0.43141,                 1.6011,               0.004753,               0.004753,               0.004753
                     55,                0.73124,                0.48836,                 1.5439,                0.81409,                0.80177,                0.85021,                0.68856,                0.68342,                0.43077,                 1.6018,               0.004654,               0.004654,               0.004654
                     56,                0.72187,                0.48249,                  1.544,                0.81374,                0.80402,                0.85019,                0.68893,                0.68305,                 0.4303,                 1.6017,               0.004555,               0.004555,               0.004555
                     57,                0.72374,                0.48261,                 1.5366,                0.81416,                0.80469,                0.85067,                0.68893,                0.68296,                0.42977,                 1.6012,               0.004456,               0.004456,               0.004456
                     58,                0.72405,                0.47967,                  1.532,                0.81375,                0.80642,                0.85169,                0.68998,                0.68245,                0.42877,                 1.6009,               0.004357,               0.004357,               0.004357
                     59,                0.72427,                 0.4783,                 1.5397,                0.81598,                0.80607,                0.85213,                0.69062,                0.68193,                0.42823,                 1.6001,               0.004258,               0.004258,               0.004258
                     60,                0.71409,                0.47388,                 1.5268,                0.81386,                0.80721,                0.85209,                0.69008,                0.68157,                0.42776,                 1.5999,               0.004159,               0.004159,               0.004159
                     61,                0.71956,                 0.4757,                 1.5294,                0.81378,                0.80795,                0.85235,                0.69068,                0.68127,                 0.4274,                    1.6,                0.00406,                0.00406,                0.00406
                     62,                0.71755,                  0.473,                 1.5368,                0.81368,                0.80536,                0.85258,                0.69108,                0.68092,                0.42717,                 1.5996,               0.003961,               0.003961,               0.003961
                     63,                0.71803,                0.47513,                 1.5372,                0.81245,                0.80798,                0.85273,                0.69159,                0.68068,                0.42676,                 1.5992,               0.003862,               0.003862,               0.003862
                     64,                0.71806,                 0.4764,                 1.5341,                0.81308,                0.80727,                0.85274,                0.69183,                0.68031,                0.42667,                 1.5987,               0.003763,               0.003763,               0.003763
                     65,                 0.7139,                0.46712,                 1.5359,                0.81596,                0.80588,                0.85302,                0.69226,                0.68003,                0.42628,                 1.5988,               0.003664,               0.003664,               0.003664
                     66,                0.71075,                0.46886,                 1.5285,                0.81499,                0.80504,                0.85325,                0.69261,                0.67969,                0.42603,                 1.5985,               0.003565,               0.003565,               0.003565
                     67,                0.71022,                 0.4636,                 1.5235,                0.81645,                0.80469,                0.85363,                0.69335,                0.67953,                0.42561,                 1.5983,               0.003466,               0.003466,               0.003466
                     68,                0.70808,                 0.4596,                 1.5256,                0.81705,                0.80447,                0.85384,                0.69383,                0.67916,                0.42527,                  1.598,               0.003367,               0.003367,               0.003367
                     69,                0.70494,                0.45966,                 1.5283,                0.81891,                0.80323,                0.85413,                0.69402,                0.67882,                  0.425,                 1.5978,               0.003268,               0.003268,               0.003268
                     70,                0.70607,                0.46194,                 1.5174,                0.82073,                0.80386,                 0.8545,                 0.6942,                0.67847,                0.42446,                 1.5979,               0.003169,               0.003169,               0.003169
                     71,                0.70091,                0.45661,                 1.5234,                0.82257,                0.80416,                0.85464,                0.69467,                 0.6781,                0.42426,                 1.5977,                0.00307,                0.00307,                0.00307
                     72,                0.70098,                 0.4522,                 1.5253,                 0.8182,                0.80582,                0.85489,                0.69531,                0.67776,                0.42398,                 1.5976,               0.002971,               0.002971,               0.002971
                     73,                0.69686,                 0.4508,                 1.5267,                0.82071,                0.80458,                0.85522,                0.69546,                0.67757,                0.42361,                 1.5973,               0.002872,               0.002872,               0.002872
                     74,                 0.6955,                0.45198,                 1.5123,                0.82367,                0.80386,                0.85543,                0.69538,                 0.6773,                0.42314,                 1.5972,               0.002773,               0.002773,               0.002773
                     75,                 0.6968,                0.45219,                 1.5174,                0.82349,                0.80292,                0.85589,                0.69602,                0.67698,                0.42279,                 1.5969,               0.002674,               0.002674,               0.002674
                     76,                0.69026,                0.44714,                 1.5187,                0.82269,                0.80517,                0.85608,                0.69659,                0.67674,                 0.4224,                 1.5966,               0.002575,               0.002575,               0.002575
                     77,                0.69492,                0.44817,                 1.5166,                0.82447,                0.80504,                0.85638,                0.69676,                0.67641,                0.42228,                 1.5967,               0.002476,               0.002476,               0.002476
                     78,                0.69071,                0.44396,                 1.5069,                0.82484,                0.80515,                0.85652,                0.69723,                0.67629,                0.42208,                 1.5966,               0.002377,               0.002377,               0.002377
                     79,                0.69193,                0.44504,                 1.5139,                0.82364,                 0.8066,                0.85667,                0.69727,                0.67612,                0.42183,                 1.5965,               0.002278,               0.002278,               0.002278
                     80,                0.68208,                0.43874,                 1.5147,                0.82742,                0.80531,                0.85685,                 0.6969,                0.67573,                0.42147,                 1.5962,               0.002179,               0.002179,               0.002179
                     81,                0.68841,                0.44125,                 1.5121,                0.82786,                0.80482,                0.85723,                0.69753,                0.67548,                0.42116,                 1.5962,                0.00208,                0.00208,                0.00208
                     82,                  0.687,                0.43926,                 1.5047,                0.82273,                0.80868,                0.85715,                0.69753,                0.67511,                0.42086,                 1.5962,               0.001981,               0.001981,               0.001981
                     83,                0.68116,                0.43445,                 1.5121,                0.82428,                0.80802,                 0.8574,                0.69764,                0.67477,                0.42047,                 1.5963,               0.001882,               0.001882,               0.001882
                     84,                 0.6884,                0.43972,                 1.5149,                0.82667,                0.80601,                0.85726,                0.69782,                0.67454,                0.42029,                 1.5962,               0.001783,               0.001783,               0.001783
                     85,                0.68358,                0.43526,                 1.5067,                0.82749,                0.80522,                0.85747,                0.69794,                0.67417,                0.42009,                 1.5961,               0.001684,               0.001684,               0.001684
                     86,                0.67715,                0.43073,                 1.5029,                0.82314,                0.80706,                0.85771,                0.69826,                0.67396,                0.41968,                 1.5962,               0.001585,               0.001585,               0.001585
                     87,                0.67877,                0.43322,                 1.5014,                0.82352,                0.80722,                0.85771,                0.69837,                 0.6737,                0.41947,                  1.596,               0.001486,               0.001486,               0.001486
                     88,                0.67791,                0.43031,                 1.4988,                0.82266,                0.80986,                0.85772,                0.69842,                 0.6733,                0.41912,                 1.5959,               0.001387,               0.001387,               0.001387
                     89,                0.67479,                0.42568,                 1.5025,                0.82111,                0.81127,                0.85774,                0.69852,                0.67298,                0.41876,                 1.5959,               0.001288,               0.001288,               0.001288
