                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8302,                 2.3132,                  2.908,                0.55812,                0.14995,                0.21488,                0.11361,                 1.7398,                 1.6011,                  2.631,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5453,                 1.3295,                 2.3117,                0.33415,                0.30258,                0.27274,                0.15502,                  1.526,                 1.3142,                 2.4392,                0.04004,               0.006589,               0.006589
                      3,                 1.2555,                 1.0733,                 2.0139,                0.31849,                0.46821,                0.34703,                0.22514,                 1.1551,                 1.0179,                 2.1048,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0912,                0.91921,                 1.8392,                0.22504,                0.37914,                0.22087,                0.14057,                 1.2468,                 1.4565,                 2.2167,               0.009703,               0.009703,               0.009703
                      5,                 1.0098,                0.82409,                 1.7546,                0.42513,                0.43989,                0.40322,                0.27659,                0.99973,                0.91186,                 1.9536,               0.009604,               0.009604,               0.009604
                      6,                0.95841,                0.76232,                    1.7,                0.54721,                0.57113,                0.56016,                0.39971,                0.90787,                0.76615,                 1.8187,               0.009505,               0.009505,               0.009505
                      7,                0.93115,                0.72466,                  1.679,                0.55438,                0.56799,                0.56012,                0.40897,                0.88613,                0.70695,                 1.8267,               0.009406,               0.009406,               0.009406
                      8,                0.91268,                0.70591,                 1.6737,                0.59638,                 0.6064,                0.58581,                0.42074,                0.87911,                0.67464,                 1.8316,               0.009307,               0.009307,               0.009307
                      9,                0.89846,                0.68308,                 1.6467,                0.64364,                0.67758,                0.67521,                0.50479,                0.80336,                0.59579,                 1.7134,               0.009208,               0.009208,               0.009208
                     10,                0.88888,                0.67195,                 1.6379,                0.64894,                0.66468,                0.66663,                0.50135,                0.79647,                0.61195,                  1.716,               0.009109,               0.009109,               0.009109
                     11,                0.87833,                 0.6548,                 1.6328,                0.59313,                0.64153,                0.63101,                0.46722,                0.82441,                0.63835,                 1.7532,                0.00901,                0.00901,                0.00901
                     12,                0.86597,                0.63957,                 1.6224,                0.67255,                0.70594,                0.69547,                0.52434,                0.79152,                0.56831,                 1.6767,               0.008911,               0.008911,               0.008911
                     13,                0.85926,                  0.637,                 1.6218,                 0.6914,                0.70534,                0.71221,                0.54171,                0.78159,                0.56593,                 1.6989,               0.008812,               0.008812,               0.008812
                     14,                0.85196,                0.62821,                 1.6107,                0.66152,                0.72744,                0.72099,                0.55323,                0.76375,                 0.5472,                 1.6813,               0.008713,               0.008713,               0.008713
                     15,                0.84729,                0.61883,                 1.6124,                0.71155,                0.71175,                0.72986,                0.56133,                0.76964,                 0.5413,                 1.6663,               0.008614,               0.008614,               0.008614
                     16,                0.84251,                0.61039,                  1.603,                0.71816,                0.73397,                0.75324,                0.58313,                0.75874,                0.52172,                 1.6866,               0.008515,               0.008515,               0.008515
                     17,                0.83618,                0.60471,                  1.606,                0.71624,                0.73122,                0.75394,                0.58393,                  0.751,                0.52174,                 1.6714,               0.008416,               0.008416,               0.008416
                     18,                0.82812,                0.59512,                 1.5955,                  0.726,                0.76275,                0.77573,                  0.602,                0.74095,                0.50932,                  1.662,               0.008317,               0.008317,               0.008317
                     19,                0.82581,                0.59205,                 1.6062,                0.73717,                0.73979,                0.77781,                0.60777,                0.74468,                0.50822,                 1.6509,               0.008218,               0.008218,               0.008218
                     20,                0.82377,                0.59158,                 1.5956,                0.72137,                0.75949,                 0.7719,                0.60033,                0.73849,                0.50551,                 1.6752,               0.008119,               0.008119,               0.008119
                     21,                0.81879,                0.58156,                  1.597,                0.73416,                0.75889,                0.77759,                0.61069,                0.73544,                0.49523,                  1.649,                0.00802,                0.00802,                0.00802
                     22,                0.81182,                0.58099,                 1.5889,                0.74451,                 0.7564,                0.78106,                0.61272,                0.73119,                0.49471,                 1.6405,               0.007921,               0.007921,               0.007921
                     23,                0.80973,                0.57665,                 1.5966,                0.74477,                0.74258,                0.78328,                0.61726,                0.72975,                 0.4923,                 1.6399,               0.007822,               0.007822,               0.007822
