                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7281,                 2.2275,                 2.8748,                 0.8936,                0.15222,                 0.2141,                0.10775,                 1.7317,                 1.5226,                 2.6925,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4599,                 1.2209,                 2.2533,                0.34026,                0.35713,                0.33444,                0.19666,                 1.2988,                 1.0634,                 2.2622,                0.04004,               0.006589,               0.006589
                      3,                 1.2009,                0.99548,                 2.0031,                0.25917,                0.32907,                 0.2575,                0.15906,                 1.2776,                 1.1465,                 2.4001,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0564,                0.86185,                 1.8676,                0.28975,                0.32549,                0.27261,                0.17825,                 1.2006,                 1.2113,                 2.1449,               0.009703,               0.009703,               0.009703
                      5,                0.98202,                0.77906,                 1.7996,                0.52065,                0.55608,                0.52039,                0.36132,                0.92306,                0.74907,                 1.9418,               0.009604,               0.009604,               0.009604
                      6,                0.93853,                 0.7252,                 1.7516,                0.50936,                0.49772,                0.49874,                0.34751,                0.91267,                 0.8428,                 1.8831,               0.009505,               0.009505,               0.009505
                      7,                0.91213,                 0.6928,                 1.7268,                0.58702,                0.62341,                0.60154,                 0.4365,                0.83077,                0.63678,                 1.8267,               0.009406,               0.009406,               0.009406
                      8,                0.89639,                0.67901,                 1.7227,                0.61496,                 0.6479,                 0.6183,                0.45865,                0.81782,                0.62101,                 1.8023,               0.009307,               0.009307,               0.009307
                      9,                0.88585,                0.66127,                 1.6928,                0.64156,                0.69517,                0.67418,                0.49974,                 0.8151,                0.58732,                  1.772,               0.009208,               0.009208,               0.009208
                     10,                0.87541,                0.64959,                 1.6808,                0.64859,                0.66743,                0.67542,                0.50856,                0.78332,                0.56411,                 1.7665,               0.009109,               0.009109,               0.009109
                     11,                0.86711,                0.63543,                 1.6771,                0.65153,                0.68217,                0.67529,                 0.5047,                0.78034,                0.56337,                 1.7636,                0.00901,                0.00901,                0.00901
                     12,                0.85611,                0.62319,                 1.6656,                0.65962,                0.66143,                0.65425,                0.49059,                0.81502,                0.58981,                 1.7694,               0.008911,               0.008911,               0.008911
                     13,                0.85009,                0.61802,                 1.6586,                0.67739,                0.71195,                0.72066,                0.55035,                 0.7733,                0.53422,                 1.7482,               0.008812,               0.008812,               0.008812
                     14,                0.84316,                0.61032,                 1.6486,                0.67887,                0.71267,                0.71774,                 0.5536,                0.75742,                0.52804,                 1.7278,               0.008713,               0.008713,               0.008713
                     15,                0.83924,                0.60342,                 1.6487,                0.71598,                0.73243,                0.74472,                0.57347,                 0.7669,                0.51028,                 1.7124,               0.008614,               0.008614,               0.008614
                     16,                0.83337,                0.59333,                  1.639,                0.71331,                0.73993,                0.75602,                0.58551,                0.75216,                0.50919,                 1.7136,               0.008515,               0.008515,               0.008515
                     17,                 0.8268,                0.58783,                 1.6425,                0.70717,                0.73086,                0.74964,                0.57766,                0.75951,                 0.5123,                 1.7065,               0.008416,               0.008416,               0.008416
                     18,                0.82296,                0.58251,                 1.6274,                0.73375,                0.74386,                0.76837,                0.59507,                0.74146,                0.50222,                 1.7052,               0.008317,               0.008317,               0.008317
                     19,                0.82012,                0.57854,                  1.641,                0.74293,                0.74747,                0.77371,                0.60332,                0.74731,                0.49687,                 1.6947,               0.008218,               0.008218,               0.008218
                     20,                0.81683,                0.57828,                  1.626,                0.75099,                0.75579,                 0.7827,                0.60835,                0.73584,                 0.4903,                 1.6858,               0.008119,               0.008119,               0.008119
