                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7426,                 2.2665,                 2.8769,                0.75776,                0.18416,                0.19571,                0.09933,                 1.7673,                 1.5679,                   2.67,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4669,                 1.2327,                 2.2522,                0.30192,                0.35704,                0.30398,                0.17506,                 1.3306,                 1.1125,                 2.3294,                0.04004,               0.006589,               0.006589
                      3,                 1.2078,                 0.9988,                 2.0103,                0.16271,                0.14463,                0.10885,                0.05219,                 2.4331,                 2.6159,                 2.9657,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0639,                0.86007,                 1.8746,                0.44449,                0.54757,                0.47604,                0.32817,                0.98684,                0.84422,                 1.9635,               0.009703,               0.009703,               0.009703
                      5,                0.98561,                0.77617,                 1.8042,                0.45802,                0.47458,                 0.4473,                0.31066,                0.94084,                0.88315,                  1.974,               0.009604,               0.009604,               0.009604
                      6,                0.93958,                0.72442,                 1.7556,                0.55184,                 0.6067,                0.58081,                0.41318,                0.86052,                0.69725,                 1.8283,               0.009505,               0.009505,               0.009505
                      7,                0.91362,                0.69424,                 1.7306,                0.62708,                0.65133,                0.63768,                0.46325,                0.82841,                0.62091,                 1.8074,               0.009406,               0.009406,               0.009406
                      8,                0.89614,                0.67625,                 1.7232,                0.62094,                0.65531,                0.62763,                0.46109,                0.82305,                0.60945,                 1.7886,               0.009307,               0.009307,               0.009307
                      9,                0.88568,                0.65699,                  1.695,                0.65014,                 0.6756,                0.66808,                0.50054,                0.79876,                0.57405,                 1.7703,               0.009208,               0.009208,               0.009208
                     10,                0.87636,                0.64855,                 1.6822,                0.64145,                 0.6455,                0.65276,                0.49154,                0.79487,                 0.6066,                 1.7834,               0.009109,               0.009109,               0.009109
                     11,                0.86588,                0.63394,                 1.6769,                0.66829,                0.69148,                0.69874,                0.52637,                0.77848,                0.55864,                 1.7663,                0.00901,                0.00901,                0.00901
                     12,                0.85549,                0.61898,                 1.6637,                0.67507,                0.68811,                0.69012,                0.51604,                0.79013,                0.54959,                 1.7435,               0.008911,               0.008911,               0.008911
                     13,                0.84856,                0.61583,                 1.6593,                0.69463,                0.71394,                0.72752,                0.55666,                0.77414,                0.53535,                 1.7476,               0.008812,               0.008812,               0.008812
                     14,                 0.8431,                0.60904,                 1.6479,                0.69861,                0.70883,                0.71782,                0.55152,                 0.7589,                0.53031,                 1.7228,               0.008713,               0.008713,               0.008713
