                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7479,                 2.2846,                 2.9292,                0.45912,                0.16189,                0.20893,                0.10871,                 1.7181,                 1.5237,                 2.7444,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5235,                 1.3062,                 2.3572,                0.27312,                0.35282,                0.30715,                0.19087,                 1.2397,                 1.1405,                 2.2108,                0.04004,               0.006589,               0.006589
                      3,                 1.2549,                 1.0667,                 2.0514,                0.29492,                0.44779,                0.29752,                0.18092,                 1.2765,                 1.1294,                 2.2556,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.1022,                0.92116,                  1.861,                0.42401,                0.51884,                0.47087,                0.32865,                 1.0048,                0.84658,                 1.8969,               0.009703,               0.009703,               0.009703
                      5,                 1.0235,                0.82696,                 1.7662,                0.53384,                0.56516,                0.53132,                0.36533,                0.94144,                0.77368,                 1.8301,               0.009604,               0.009604,               0.009604
                      6,                 0.9666,                0.76131,                 1.7072,                 0.4931,                0.53119,                0.50039,                0.35025,                0.93053,                0.76969,                 1.8198,               0.009505,               0.009505,               0.009505
                      7,                0.93534,                0.72505,                 1.6862,                0.52662,                0.58295,                0.55454,                0.39256,                0.87205,                0.68568,                 1.7816,               0.009406,               0.009406,               0.009406
                      8,                0.91599,                0.70559,                 1.6821,                0.60172,                 0.6544,                0.60625,                0.44485,                0.84852,                0.65408,                 1.7396,               0.009307,               0.009307,               0.009307
                      9,                0.90058,                0.68166,                  1.656,                 0.5691,                0.60588,                0.57456,                0.41877,                0.83191,                0.66002,                 1.7573,               0.009208,               0.009208,               0.009208
                     10,                0.89243,                0.67075,                 1.6436,                0.64639,                 0.6911,                0.68895,                0.50924,                0.79699,                0.59481,                 1.7076,               0.009109,               0.009109,               0.009109
                     11,                0.87888,                0.65414,                 1.6391,                0.66999,                0.68791,                0.68926,                0.51069,                0.79973,                0.58845,                 1.7111,                0.00901,                0.00901,                0.00901
                     12,                0.86745,                0.63854,                 1.6289,                0.66122,                0.68903,                0.68041,                0.51165,                0.79636,                0.57404,                  1.667,               0.008911,               0.008911,               0.008911
                     13,                0.86178,                  0.636,                 1.6233,                0.67074,                0.69788,                0.70535,                0.53563,                0.78558,                0.55886,                 1.7237,               0.008812,               0.008812,               0.008812
                     14,                0.85379,                0.62587,                 1.6159,                0.64543,                0.69761,                0.68897,                0.52908,                0.77436,                0.55069,                 1.7245,               0.008713,               0.008713,               0.008713
                     15,                0.84971,                0.61887,                 1.6189,                0.70212,                0.72465,                 0.7351,                0.56121,                0.76223,                0.52996,                 1.6958,               0.008614,               0.008614,               0.008614
                     16,                 0.8417,                0.60704,                 1.6079,                 0.7105,                0.71085,                0.72882,                0.55888,                0.76376,                0.52847,                 1.6929,               0.008515,               0.008515,               0.008515
                     17,                0.83516,                0.60152,                 1.6104,                0.71951,                0.74588,                 0.7575,                0.58288,                0.75347,                0.51583,                 1.6611,               0.008416,               0.008416,               0.008416
                     18,                0.83063,                0.59621,                 1.5988,                0.72456,                0.73663,                0.76157,                0.58565,                0.74772,                0.51357,                 1.6553,               0.008317,               0.008317,               0.008317
                     19,                0.82758,                0.59191,                 1.6118,                0.75457,                0.71622,                0.76476,                0.59233,                0.74429,                0.50563,                 1.6539,               0.008218,               0.008218,               0.008218
                     20,                0.82544,                0.59032,                  1.601,                0.69959,                0.73838,                0.74815,                0.57827,                0.74415,                0.51636,                 1.6996,               0.008119,               0.008119,               0.008119
                     21,                0.82012,                 0.5786,                 1.6029,                0.74133,                0.75191,                0.78126,                0.60682,                0.73698,                0.49853,                 1.6556,                0.00802,                0.00802,                0.00802
                     22,                0.81325,                0.57845,                 1.5937,                0.73221,                0.73941,                0.76674,                 0.5979,                0.73237,                0.49372,                 1.6601,               0.007921,               0.007921,               0.007921
                     23,                0.81283,                0.57704,                 1.6038,                0.75359,                 0.7491,                0.78464,                0.61354,                0.73184,                0.48732,                 1.6495,               0.007822,               0.007822,               0.007822
