                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8668,                 2.2969,                 2.8637,                0.65782,                0.17409,                0.20904,                0.10436,                 1.7392,                 1.5649,                 2.6469,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5043,                 1.2716,                  2.238,                0.33174,                0.34316,                0.27352,                0.15907,                 1.4012,                 1.1712,                 2.3701,                0.04004,               0.006589,               0.006589
                      3,                 1.2121,                 1.0098,                 2.0132,                 0.2292,                0.32979,                0.23479,                0.12861,                 1.5177,                 1.2422,                 2.5384,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0643,                  0.868,                 1.8745,                0.44254,                0.55901,                0.50129,                0.33861,                0.99303,                0.79483,                 1.9211,               0.009703,               0.009703,               0.009703
                      5,                0.98813,                0.78416,                 1.8043,                0.57051,                0.60244,                0.57316,                0.40652,                0.89275,                0.70686,                  1.881,               0.009604,               0.009604,               0.009604
                      6,                0.94377,                0.73086,                 1.7547,                0.54535,                0.61787,                0.58025,                0.41363,                0.86915,                0.67476,                   1.84,               0.009505,               0.009505,               0.009505
                      7,                0.91655,                0.69852,                 1.7324,                0.54115,                0.58925,                0.56252,                 0.3991,                0.85814,                0.67206,                 1.8553,               0.009406,               0.009406,               0.009406
                      8,                0.90017,                0.68176,                 1.7278,                0.62685,                0.67426,                0.64038,                 0.4701,                0.82411,                0.62202,                 1.7896,               0.009307,               0.009307,               0.009307
                      9,                0.88939,                 0.6628,                 1.6981,                0.58735,                0.64813,                0.61884,                0.45748,                0.82304,                0.61688,                  1.799,               0.009208,               0.009208,               0.009208
                     10,                0.87859,                 0.6531,                 1.6845,                0.65288,                0.68065,                0.68433,                0.51129,                0.78482,                 0.5738,                 1.7593,               0.009109,               0.009109,               0.009109
                     11,                0.86935,                0.63876,                 1.6783,                0.66168,                 0.6925,                0.68825,                0.51278,                0.78282,                0.56226,                  1.773,                0.00901,                0.00901,                0.00901
                     12,                0.85924,                0.62533,                  1.666,                0.68074,                0.68624,                0.69433,                0.52019,                  0.793,                 0.5506,                   1.73,               0.008911,               0.008911,               0.008911
                     13,                0.85195,                0.62108,                  1.662,                0.66287,                0.70308,                0.69057,                 0.5229,                0.78626,                0.56799,                 1.7551,               0.008812,               0.008812,               0.008812
                     14,                0.84721,                0.61475,                 1.6517,                0.67139,                0.69434,                0.69771,                0.53289,                0.76358,                0.54185,                 1.7413,               0.008713,               0.008713,               0.008713
                     15,                0.84017,                0.60447,                 1.6499,                0.70454,                0.72754,                0.73435,                0.56724,                0.76232,                0.52123,                   1.72,               0.008614,               0.008614,               0.008614
                     16,                0.83584,                0.59523,                 1.6411,                0.72267,                0.73402,                0.74927,                0.57855,                0.74916,                0.51292,                 1.7208,               0.008515,               0.008515,               0.008515
                     17,                0.83079,                0.59128,                 1.6462,                0.70523,                0.75896,                0.74977,                0.57986,                0.74684,                0.50677,                 1.7145,               0.008416,               0.008416,               0.008416
                     18,                0.82546,                0.58502,                 1.6306,                0.69909,                0.73576,                0.73612,                0.56615,                0.75455,                0.51817,                 1.7112,               0.008317,               0.008317,               0.008317
                     19,                0.82249,                0.58075,                 1.6421,                0.74262,                0.73302,                0.76869,                0.59655,                0.74073,                0.49516,                  1.711,               0.008218,               0.008218,               0.008218
                     20,                 0.8192,                 0.5804,                   1.63,                0.73326,                 0.7457,                0.76616,                0.59501,                0.74132,                0.49746,                 1.6976,               0.008119,               0.008119,               0.008119
                     21,                0.81684,                0.56976,                 1.6299,                0.76099,                0.75533,                  0.793,                0.62179,                0.74131,                0.48486,                 1.6833,                0.00802,                0.00802,                0.00802
                     22,                0.80829,                0.57044,                 1.6208,                0.74164,                0.75936,                0.78602,                0.61587,                0.72923,                0.48331,                 1.6898,               0.007921,               0.007921,               0.007921
                     23,                0.80843,                0.56719,                 1.6299,                0.74797,                0.74998,                0.78665,                0.61546,                0.73073,                0.48227,                 1.6777,               0.007822,               0.007822,               0.007822
                     24,                 0.8065,                0.56443,                 1.6213,                0.74743,                0.76402,                0.79755,                0.62566,                0.72793,                0.47459,                 1.6755,               0.007723,               0.007723,               0.007723
                     25,                 0.8018,                0.55428,                 1.6161,                0.74193,                0.75898,                 0.7808,                0.61417,                0.72657,                0.47802,                 1.6754,               0.007624,               0.007624,               0.007624
                     26,                0.79623,                0.55068,                 1.6153,                0.76203,                0.76731,                0.80617,                0.63407,                0.72384,                0.47032,                 1.6715,               0.007525,               0.007525,               0.007525
                     27,                0.78993,                0.54926,                 1.6083,                0.77849,                0.76507,                0.81196,                0.64427,                0.71743,                 0.4661,                  1.665,               0.007426,               0.007426,               0.007426
                     28,                0.79162,                0.54667,                 1.6017,                0.74411,                0.78074,                0.79673,                0.63183,                0.71674,                0.46932,                 1.6656,               0.007327,               0.007327,               0.007327
