                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7255,                 2.2363,                 2.8669,                0.35959,                0.17125,                0.18252,                0.09544,                  1.756,                 1.6096,                 2.7031,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4586,                 1.2218,                 2.2561,                0.38691,                0.35236,                0.30865,                0.18638,                 1.2565,                 1.0809,                  2.202,                0.04004,               0.006589,               0.006589
                      3,                 1.2028,                0.99387,                 2.0085,                0.18273,                0.21363,                0.17558,                0.09255,                 1.6259,                 1.4129,                 2.6568,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0603,                0.86131,                 1.8761,                  0.453,                0.53396,                0.49836,                0.33898,                 1.0325,                0.81428,                 1.9368,               0.009703,               0.009703,               0.009703
                      5,                0.98284,                0.77817,                 1.8056,                0.46872,                0.49406,                0.47475,                0.32892,                0.93236,                0.80596,                 1.9599,               0.009604,               0.009604,               0.009604
                      6,                0.93889,                0.72463,                 1.7544,                0.55616,                0.61967,                0.59588,                0.41997,                0.88578,                0.69124,                 1.8421,               0.009505,               0.009505,               0.009505
                      7,                0.90984,                0.69213,                 1.7286,                0.62251,                0.66575,                0.64509,                0.46558,                 0.8302,                0.62185,                 1.8126,               0.009406,               0.009406,               0.009406
                      8,                0.89287,                0.67408,                 1.7202,                0.62516,                0.64045,                 0.6232,                0.45175,                0.84117,                0.63643,                 1.8588,               0.009307,               0.009307,               0.009307
                      9,                0.88244,                0.65742,                 1.6908,                0.60617,                0.65501,                0.63022,                0.46723,                0.81276,                0.62758,                 1.7824,               0.009208,               0.009208,               0.009208
                     10,                0.87298,                0.64595,                 1.6757,                0.64322,                0.67508,                0.67796,                0.50996,                0.78951,                0.58675,                 1.7531,               0.009109,               0.009109,               0.009109
                     11,                0.86256,                0.63188,                 1.6728,                0.62371,                0.65163,                0.64322,                0.47538,                0.82127,                0.59538,                 1.8206,                0.00901,                0.00901,                0.00901
                     12,                0.85182,                0.61655,                 1.6588,                0.67685,                0.71223,                0.71185,                0.53627,                0.78931,                0.53732,                 1.7253,               0.008911,               0.008911,               0.008911
                     13,                0.84423,                0.61257,                  1.656,                0.71214,                0.71282,                 0.7289,                 0.5569,                0.76984,                0.53544,                 1.7403,               0.008812,               0.008812,               0.008812
                     14,                0.83996,                 0.6054,                 1.6455,                0.68424,                0.71996,                0.72362,                0.55959,                0.75337,                 0.5233,                 1.7261,               0.008713,               0.008713,               0.008713
                     15,                0.83322,                0.59584,                 1.6442,                0.71967,                0.72627,                0.74509,                0.57327,                0.76675,                0.51434,                 1.7044,               0.008614,               0.008614,               0.008614
                     16,                0.82672,                 0.5865,                 1.6339,                0.71454,                0.74328,                0.74924,                0.58219,                 0.7485,                0.50359,                 1.7148,               0.008515,               0.008515,               0.008515
                     17,                0.82322,                0.58169,                 1.6372,                0.72489,                 0.7418,                0.75257,                0.58528,                0.74573,                0.50734,                  1.698,               0.008416,               0.008416,               0.008416
                     18,                0.81549,                0.57478,                 1.6225,                0.69725,                0.74649,                0.74763,                0.58223,                0.74199,                0.50927,                 1.7044,               0.008317,               0.008317,               0.008317
                     19,                0.81286,                0.57136,                  1.634,                0.75828,                 0.7171,                0.76455,                0.59649,                0.75274,                0.51028,                 1.7157,               0.008218,               0.008218,               0.008218
                     20,                0.81057,                0.57116,                  1.621,                0.73456,                0.76716,                0.78246,                0.61231,                0.73488,                0.48522,                 1.6817,               0.008119,               0.008119,               0.008119
                     21,                0.80778,                0.56024,                 1.6215,                  0.756,                0.75609,                0.78515,                0.61717,                 0.7304,                0.47971,                  1.679,                0.00802,                0.00802,                0.00802
                     22,                0.79914,                0.56093,                 1.6132,                0.74125,                0.76785,                0.78417,                0.61812,                0.72808,                0.47687,                 1.6758,               0.007921,               0.007921,               0.007921
                     23,                0.79794,                0.55581,                 1.6218,                0.76624,                0.73984,                0.79043,                0.62499,                0.72179,                0.47313,                 1.6779,               0.007822,               0.007822,               0.007822
                     24,                0.79694,                 0.5537,                 1.6121,                0.76166,                0.76124,                0.79932,                0.63189,                0.71847,                0.46832,                 1.6722,               0.007723,               0.007723,               0.007723
                     25,                0.79016,                0.54202,                  1.609,                0.76276,                0.75179,                0.78832,                0.62694,                0.71504,                0.46829,                 1.6695,               0.007624,               0.007624,               0.007624
                     26,                0.78477,                0.53766,                 1.6085,                 0.7727,                0.75803,                0.80513,                0.64186,                0.71501,                0.46417,                 1.6629,               0.007525,               0.007525,               0.007525
                     27,                0.77807,                0.53736,                  1.602,                0.75835,                0.76864,                 0.8054,                0.64274,                0.71326,                0.46275,                 1.6686,               0.007426,               0.007426,               0.007426
                     28,                0.77803,                0.53366,                 1.5935,                0.74281,                0.78621,                0.80229,                0.64086,                0.70654,                0.46116,                 1.6642,               0.007327,               0.007327,               0.007327
                     29,                0.77882,                0.53265,                 1.6001,                0.76143,                0.77344,                0.80603,                0.64407,                0.70535,                  0.457,                 1.6614,               0.007228,               0.007228,               0.007228
                     30,                0.77378,                0.52788,                 1.5865,                0.78021,                0.75964,                0.80784,                0.64691,                0.70688,                0.45324,                  1.659,               0.007129,               0.007129,               0.007129
                     31,                0.77608,                0.53023,                 1.5947,                0.77198,                0.78694,                0.82368,                0.66164,                0.70225,                 0.4504,                 1.6512,                0.00703,                0.00703,                0.00703
                     32,                0.76716,                0.52166,                 1.5904,                0.76853,                0.77516,                 0.8154,                0.65614,                0.69946,                0.44867,                 1.6533,               0.006931,               0.006931,               0.006931
                     33,                 0.7676,                0.52204,                  1.582,                0.78341,                0.76314,                  0.818,                0.66061,                0.69975,                0.44973,                 1.6476,               0.006832,               0.006832,               0.006832
                     34,                0.76108,                0.51619,                 1.5818,                0.77288,                0.77971,                0.82086,                0.66189,                0.69754,                0.44714,                 1.6445,               0.006733,               0.006733,               0.006733
                     35,                0.76366,                0.51483,                 1.5853,                0.77377,                0.78901,                 0.8247,                0.66685,                0.69618,                0.44324,                 1.6417,               0.006634,               0.006634,               0.006634
                     36,                0.75711,                0.51073,                 1.5718,                0.78348,                0.79056,                0.82778,                0.66951,                0.69431,                0.44163,                 1.6408,               0.006535,               0.006535,               0.006535
                     37,                0.74936,                0.50552,                 1.5701,                0.77907,                0.79075,                0.82927,                0.66962,                0.69269,                0.44022,                 1.6418,               0.006436,               0.006436,               0.006436
                     38,                 0.7519,                 0.5044,                 1.5743,                 0.7994,                0.78477,                 0.8354,                0.67551,                 0.6918,                0.43705,                  1.637,               0.006337,               0.006337,               0.006337
                     39,                0.74567,                0.49896,                 1.5735,                0.79879,                0.77975,                0.83382,                0.67445,                0.69037,                0.43692,                 1.6354,               0.006238,               0.006238,               0.006238
                     40,                0.74594,                 0.5027,                 1.5697,                0.78986,                0.78768,                0.83106,                0.67338,                0.68892,                0.43633,                 1.6374,               0.006139,               0.006139,               0.006139
                     41,                0.74217,                0.49466,                 1.5735,                0.77438,                0.80029,                0.83032,                0.67315,                0.68896,                0.43586,                 1.6353,                0.00604,                0.00604,                0.00604
                     42,                0.74094,                 0.4959,                 1.5641,                0.79021,                0.78768,                0.82836,                0.67218,                0.68791,                0.43528,                 1.6332,               0.005941,               0.005941,               0.005941
                     43,                0.73433,                0.49132,                 1.5658,                 0.7856,                0.78939,                0.82698,                0.67077,                0.68641,                0.43423,                 1.6308,               0.005842,               0.005842,               0.005842
                     44,                0.73477,                0.48858,                 1.5624,                0.79949,                0.79193,                 0.8345,                0.67856,                0.68477,                 0.4318,                 1.6305,               0.005743,               0.005743,               0.005743
                     45,                0.73765,                 0.4889,                 1.5659,                0.80189,                0.79229,                0.83533,                0.67953,                0.68441,                0.43084,                 1.6289,               0.005644,               0.005644,               0.005644
                     46,                0.73402,                0.48805,                 1.5679,                0.80139,                0.78862,                0.83438,                0.67937,                0.68475,                0.43029,                 1.6261,               0.005545,               0.005545,               0.005545
                     47,                0.73137,                0.48406,                 1.5534,                0.79911,                0.79304,                0.83402,                0.67969,                0.68346,                 0.4299,                 1.6255,               0.005446,               0.005446,               0.005446
                     48,                0.73065,                0.48606,                 1.5573,                0.79852,                0.79181,                0.83385,                 0.6789,                0.68331,                0.42954,                 1.6245,               0.005347,               0.005347,               0.005347
                     49,                0.72613,                0.48005,                 1.5468,                0.79905,                0.79094,                0.83442,                0.67921,                0.68262,                0.42926,                 1.6229,               0.005248,               0.005248,               0.005248
                     50,                0.72049,                0.47436,                 1.5471,                0.80145,                 0.7879,                0.83552,                0.68059,                0.68149,                0.42841,                 1.6229,               0.005149,               0.005149,               0.005149
                     51,                0.72307,                0.47849,                  1.554,                0.80397,                0.79042,                0.83732,                0.68136,                0.68063,                0.42749,                 1.6223,                0.00505,                0.00505,                0.00505
                     52,                0.71811,                0.47191,                 1.5578,                0.80357,                0.79564,                0.83951,                0.68321,                0.67973,                0.42618,                 1.6212,               0.004951,               0.004951,               0.004951
                     53,                0.71467,                0.46728,                 1.5528,                0.80564,                0.79576,                0.84108,                 0.6844,                 0.6796,                0.42557,                 1.6205,               0.004852,               0.004852,               0.004852
                     54,                0.70955,                 0.4646,                 1.5535,                0.79978,                0.80273,                0.84036,                 0.6844,                0.67907,                0.42523,                 1.6205,               0.004753,               0.004753,               0.004753
                     55,                0.71261,                0.46382,                 1.5463,                0.79839,                0.80502,                0.83973,                0.68431,                0.67876,                 0.4248,                  1.621,               0.004654,               0.004654,               0.004654
                     56,                0.70825,                0.46289,                 1.5428,                0.80157,                0.80525,                0.84107,                0.68542,                0.67822,                0.42356,                 1.6208,               0.004555,               0.004555,               0.004555
                     57,                0.70503,                0.45643,                 1.5359,                0.79622,                0.80878,                0.84165,                0.68586,                0.67769,                 0.4233,                 1.6207,               0.004456,               0.004456,               0.004456
                     58,                0.71126,                0.46038,                 1.5335,                0.79233,                0.81284,                0.84209,                0.68595,                0.67726,                0.42273,                 1.6201,               0.004357,               0.004357,               0.004357
                     59,                0.70877,                 0.4569,                 1.5521,                0.79652,                0.81067,                 0.8424,                0.68644,                 0.6769,                0.42246,                 1.6197,               0.004258,               0.004258,               0.004258
                     60,                0.70817,                0.45853,                  1.536,                 0.7987,                0.80859,                0.84266,                0.68716,                0.67666,                0.42201,                 1.6192,               0.004159,               0.004159,               0.004159
                     61,                0.70162,                0.45238,                 1.5331,                0.80389,                0.80429,                0.84319,                0.68768,                0.67634,                0.42162,                 1.6187,                0.00406,                0.00406,                0.00406
                     62,                0.69695,                0.44907,                 1.5388,                 0.8047,                0.80412,                0.84333,                0.68838,                0.67608,                0.42096,                 1.6185,               0.003961,               0.003961,               0.003961
                     63,                0.70013,                0.45027,                 1.5403,                0.80623,                0.80597,                0.84425,                0.68926,                0.67585,                0.42046,                 1.6181,               0.003862,               0.003862,               0.003862
                     64,                0.70039,                0.45021,                 1.5366,                0.80755,                0.80532,                0.84421,                0.68944,                0.67564,                0.42005,                 1.6178,               0.003763,               0.003763,               0.003763
                     65,                0.69258,                0.44434,                 1.5313,                0.80739,                0.80598,                0.84459,                0.69033,                0.67525,                0.41959,                 1.6177,               0.003664,               0.003664,               0.003664
                     66,                 0.6926,                0.44471,                 1.5332,                0.80819,                0.80593,                0.84465,                 0.6904,                0.67512,                0.41912,                 1.6176,               0.003565,               0.003565,               0.003565
                     67,                0.69794,                0.44318,                 1.5225,                0.80712,                0.80705,                0.84504,                0.69082,                0.67484,                0.41891,                 1.6174,               0.003466,               0.003466,               0.003466
                     68,                0.68868,                0.43853,                 1.5279,                0.80772,                0.80616,                0.84511,                0.69099,                0.67459,                 0.4186,                 1.6169,               0.003367,               0.003367,               0.003367
                     69,                0.68844,                0.43628,                 1.5298,                 0.8132,                0.80247,                0.84521,                0.69105,                0.67437,                0.41832,                 1.6168,               0.003268,               0.003268,               0.003268
