                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7988,                 2.3043,                 2.8836,                0.60994,                0.19521,                0.22563,                0.11805,                 1.6927,                 1.4804,                  2.632,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5366,                 1.2814,                 2.2688,                 0.3148,                0.36309,                0.32026,                0.19371,                 1.3157,                 1.1128,                 2.1681,                0.04004,               0.006589,               0.006589
                      3,                 1.2448,                 1.0371,                  1.975,                 0.3552,                0.46205,                0.37423,                0.23756,                  1.126,                0.98047,                 2.0685,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0758,                 0.8819,                 1.8376,                0.46023,                0.54757,                0.50191,                0.34401,                 1.0345,                 0.8248,                 1.8945,               0.009703,               0.009703,               0.009703
                      5,                0.99129,                0.79104,                 1.7688,                0.49709,                0.61022,                0.54928,                0.39126,                0.88081,                 0.7186,                 1.8086,               0.009604,               0.009604,               0.009604
                      6,                0.94355,                0.73437,                 1.7248,                0.45989,                0.50676,                0.47487,                0.33563,                0.93889,                0.75624,                 1.8916,               0.009505,               0.009505,               0.009505
                      7,                 0.9159,                0.70242,                 1.7056,                0.61581,                0.65562,                 0.6395,                0.46432,                0.83236,                0.63702,                  1.764,               0.009406,               0.009406,               0.009406
                      8,                0.90021,                0.68617,                 1.6994,                0.60908,                0.66761,                0.63632,                 0.4719,                0.84426,                0.62391,                 1.7571,               0.009307,               0.009307,               0.009307
                      9,                0.88944,                0.66727,                 1.6709,                0.63409,                0.67844,                0.66443,                0.49508,                0.81012,                0.58598,                 1.7242,               0.009208,               0.009208,               0.009208
                     10,                0.87997,                0.65678,                 1.6598,                0.67607,                0.66744,                0.68795,                 0.5159,                  0.785,                0.57526,                 1.7202,               0.009109,               0.009109,               0.009109
                     11,                0.86801,                0.63984,                 1.6562,                 0.6089,                0.68383,                0.65886,                0.49001,                0.80482,                0.59325,                 1.7257,                0.00901,                0.00901,                0.00901
                     12,                 0.8582,                0.62659,                  1.645,                0.67726,                0.72771,                0.71632,                0.53831,                0.78471,                0.54195,                   1.71,               0.008911,               0.008911,               0.008911
                     13,                0.85185,                0.62405,                  1.641,                0.69071,                0.70878,                0.72509,                0.55378,                 0.7717,                0.54847,                 1.7422,               0.008812,               0.008812,               0.008812
                     14,                 0.8466,                0.61611,                 1.6313,                0.69419,                0.70559,                 0.7192,                0.55247,                0.76185,                0.53481,                 1.6927,               0.008713,               0.008713,               0.008713
                     15,                 0.8408,                 0.6063,                  1.632,                0.71013,                0.73334,                0.74183,                0.57169,                0.76781,                0.52264,                 1.6811,               0.008614,               0.008614,               0.008614
                     16,                0.83534,                0.59825,                 1.6217,                0.71101,                0.73432,                0.74583,                 0.5766,                0.75563,                0.50837,                 1.6832,               0.008515,               0.008515,               0.008515
                     17,                0.83057,                0.59276,                 1.6257,                0.72718,                0.73967,                0.76373,                0.59149,                0.74937,                0.51082,                 1.6837,               0.008416,               0.008416,               0.008416
                     18,                 0.8241,                0.58656,                 1.6111,                0.71746,                0.73744,                 0.7627,                0.58871,                0.74553,                  0.509,                 1.6746,               0.008317,               0.008317,               0.008317
                     19,                0.82021,                0.58102,                 1.6258,                0.74813,                0.73944,                0.77596,                0.60342,                0.74279,                0.49685,                 1.6727,               0.008218,               0.008218,               0.008218
                     20,                0.81865,                0.58085,                 1.6123,                0.74589,                0.74984,                0.78097,                0.60565,                0.74071,                0.49905,                 1.6781,               0.008119,               0.008119,               0.008119
                     21,                0.81573,                0.57127,                 1.6117,                  0.753,                0.75281,                0.78935,                0.61873,                0.73234,                0.48409,                 1.6703,                0.00802,                0.00802,                0.00802
                     22,                0.80771,                0.57172,                 1.6032,                0.75235,                0.76022,                0.78522,                0.61545,                0.72902,                0.48531,                 1.6784,               0.007921,               0.007921,               0.007921
                     23,                 0.8064,                0.56751,                  1.615,                0.75751,                0.75681,                0.79154,                0.62307,                0.72664,                 0.4818,                 1.6679,               0.007822,               0.007822,               0.007822
                     24,                0.80472,                0.56493,                  1.606,                0.76717,                0.75323,                0.79873,                0.62799,                0.72636,                0.47764,                 1.6634,               0.007723,               0.007723,               0.007723
                     25,                0.79901,                0.55307,                 1.6002,                0.74541,                0.75729,                0.78519,                0.62073,                0.72137,                0.47734,                 1.6596,               0.007624,               0.007624,               0.007624
