                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.813,                  2.319,                 2.8791,                0.21474,                0.22091,                 0.2213,                0.11642,                 1.6836,                 1.4395,                 2.6075,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5536,                 1.3211,                   2.33,                0.24913,                0.28843,                0.26191,                0.14971,                 1.5007,                 1.3419,                 2.2516,                0.04004,               0.006589,               0.006589
                      3,                 1.2622,                 1.0726,                 2.0313,                0.22771,                0.38659,                 0.2449,                0.14825,                  1.351,                  1.278,                 2.4437,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0916,                0.91733,                 1.8441,                0.42606,                0.50464,                0.46643,                0.32609,                 1.0021,                0.84967,                 1.8832,               0.009703,               0.009703,               0.009703
                      5,                 1.0104,                0.81917,                 1.7533,                0.49631,                0.52658,                0.50137,                0.35598,                0.91053,                0.78843,                 1.8535,               0.009604,               0.009604,               0.009604
                      6,                0.96021,                0.75868,                 1.7028,                0.56959,                0.60984,                0.59021,                0.42752,                0.87858,                0.68952,                 1.7614,               0.009505,               0.009505,               0.009505
                      7,                 0.9293,                0.71947,                 1.6797,                0.58885,                0.64089,                0.62046,                0.45416,                0.84167,                0.64587,                 1.7288,               0.009406,               0.009406,               0.009406
                      8,                0.91282,                0.70193,                 1.6749,                0.59099,                0.65287,                0.61005,                0.45104,                0.82604,                0.63108,                 1.7518,               0.009307,               0.009307,               0.009307
                      9,                0.89814,                0.67838,                 1.6492,                0.65202,                0.67601,                0.67055,                0.50196,                0.80091,                0.59506,                 1.7014,               0.009208,               0.009208,               0.009208
                     10,                0.88789,                0.66568,                 1.6374,                0.64205,                0.67645,                0.67201,                0.50137,                0.78588,                0.59457,                 1.7123,               0.009109,               0.009109,               0.009109
                     11,                0.87817,                 0.6532,                 1.6362,                0.65314,                0.68749,                0.67906,                0.50772,                0.79982,                0.58165,                 1.7303,                0.00901,                0.00901,                0.00901
                     12,                0.86559,                0.63587,                 1.6253,                 0.6605,                0.70483,                0.70004,                 0.5277,                0.77981,                0.56018,                 1.6816,               0.008911,               0.008911,               0.008911
                     13,                0.85861,                0.63225,                 1.6227,                0.67197,                0.70594,                0.70676,                 0.5343,                0.78086,                0.55183,                 1.7394,               0.008812,               0.008812,               0.008812
                     14,                0.84984,                 0.6219,                 1.6136,                0.68508,                0.71334,                0.71707,                0.55308,                 0.7581,                0.53696,                 1.6687,               0.008713,               0.008713,               0.008713
