                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.73,                 2.2768,                 2.8609,                0.63362,                0.15337,                0.19804,                 0.1013,                 1.7266,                 1.6474,                 2.6539,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4743,                 1.2481,                 2.2545,                0.26473,                0.32605,                0.25426,                0.15002,                 1.4241,                 1.1708,                 2.4453,                0.04004,               0.006589,               0.006589
                      3,                 1.2078,                 1.0015,                 2.0062,                0.34081,                0.43515,                0.36017,                0.23132,                 1.1056,                0.99284,                 2.1897,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0615,                0.86436,                 1.8724,                0.47047,                0.53853,                0.49578,                0.32927,                 1.0377,                0.81526,                 1.9352,               0.009703,               0.009703,               0.009703
                      5,                0.98588,                0.78213,                 1.8026,                0.50119,                 0.5893,                0.53082,                0.37548,                0.89213,                0.74506,                 1.8997,               0.009604,               0.009604,               0.009604
                      6,                0.94088,                0.72877,                 1.7547,                0.57894,                0.62008,                0.60109,                0.42491,                0.88132,                0.66259,                 1.8232,               0.009505,               0.009505,               0.009505
                      7,                0.91487,                0.69463,                 1.7309,                0.59084,                0.61093,                0.59404,                0.42569,                 0.8578,                0.65479,                 1.8671,               0.009406,               0.009406,               0.009406
                      8,                0.89712,                0.67837,                 1.7246,                0.62881,                0.65108,                0.63406,                 0.4629,                0.82478,                0.60718,                 1.7881,               0.009307,               0.009307,               0.009307
                      9,                0.88654,                0.66065,                 1.6957,                0.63272,                0.68312,                0.66158,                0.49051,                 0.8017,                0.57986,                 1.7793,               0.009208,               0.009208,               0.009208
                     10,                0.87577,                0.64957,                 1.6836,                0.65842,                 0.6714,                0.67463,                0.50416,                0.79082,                0.57869,                 1.7741,               0.009109,               0.009109,               0.009109
                     11,                0.86859,                0.63705,                 1.6799,                0.63186,                0.68076,                0.66808,                0.49588,                0.80476,                0.58941,                 1.8136,                0.00901,                0.00901,                0.00901
                     12,                 0.8582,                0.62331,                  1.667,                0.68134,                0.69063,                  0.697,                0.52214,                0.79715,                0.54673,                 1.7262,               0.008911,               0.008911,               0.008911
                     13,                0.84974,                0.61855,                 1.6632,                0.71259,                0.73833,                0.74164,                0.56011,                0.77945,                0.53065,                 1.7284,               0.008812,               0.008812,               0.008812
                     14,                0.84414,                0.61187,                 1.6516,                0.68695,                 0.7119,                0.72318,                0.55462,                0.75745,                0.52926,                 1.7412,               0.008713,               0.008713,               0.008713
                     15,                 0.8399,                0.60545,                 1.6516,                0.71322,                0.72212,                0.74251,                0.56703,                0.76086,                0.52002,                 1.7208,               0.008614,               0.008614,               0.008614
                     16,                0.83366,                0.59382,                 1.6412,                0.71682,                0.73106,                0.74729,                0.57603,                0.75602,                0.51448,                 1.7285,               0.008515,               0.008515,               0.008515
                     17,                0.82849,                0.58743,                 1.6464,                0.71029,                0.74207,                0.75706,                0.58333,                0.74952,                0.50904,                 1.7123,               0.008416,               0.008416,               0.008416
                     18,                0.82251,                0.58313,                 1.6311,                0.70622,                0.76299,                0.75751,                0.58382,                0.74644,                0.50435,                 1.7069,               0.008317,               0.008317,               0.008317
                     19,                0.82121,                0.57949,                  1.642,                0.73598,                0.74069,                0.76996,                0.59536,                 0.7465,                 0.5045,                 1.7024,               0.008218,               0.008218,               0.008218
                     20,                0.81916,                0.57851,                 1.6306,                0.73788,                 0.7514,                0.77942,                0.60599,                0.73968,                0.49123,                 1.7021,               0.008119,               0.008119,               0.008119
                     21,                0.81552,                0.56915,                 1.6305,                0.75531,                 0.7612,                0.78885,                0.61548,                0.73795,                0.48575,                 1.6936,                0.00802,                0.00802,                0.00802
                     22,                0.80777,                0.56977,                 1.6214,                0.75999,                0.75399,                0.78739,                0.61557,                0.73025,                0.48149,                 1.6858,               0.007921,               0.007921,               0.007921
                     23,                0.80721,                0.56607,                   1.63,                0.76536,                0.73333,                0.78899,                0.61642,                0.72889,                0.48366,                 1.6851,               0.007822,               0.007822,               0.007822
                     24,                0.80559,                0.56405,                  1.622,                0.78391,                0.73549,                0.79968,                0.62748,                0.72618,                0.47442,                 1.6801,               0.007723,               0.007723,               0.007723
                     25,                0.79923,                0.55208,                 1.6161,                0.74654,                0.76536,                0.78784,                0.61846,                0.72233,                0.47362,                  1.678,               0.007624,               0.007624,               0.007624
                     26,                0.79405,                0.54823,                 1.6145,                0.76139,                0.77483,                0.80672,                0.63589,                0.72236,                0.46959,                 1.6715,               0.007525,               0.007525,               0.007525
                     27,                0.78961,                0.54915,                 1.6094,                0.77516,                0.75571,                0.80974,                0.64189,                 0.7153,                 0.4674,                 1.6716,               0.007426,               0.007426,               0.007426
                     28,                0.78846,                0.54406,                 1.6013,                0.78988,                0.75958,                0.81381,                0.64531,                0.71649,                 0.4641,                 1.6625,               0.007327,               0.007327,               0.007327
                     29,                0.78923,                0.54279,                  1.609,                0.76768,                0.78258,                0.81543,                0.64727,                0.71402,                0.46102,                 1.6654,               0.007228,               0.007228,               0.007228
                     30,                0.78494,                0.53972,                 1.5972,                0.75886,                0.78133,                0.80799,                0.64223,                 0.7139,                0.46012,                 1.6608,               0.007129,               0.007129,               0.007129
                     31,                0.78752,                0.54132,                 1.6067,                0.77313,                0.79324,                 0.8271,                0.65703,                0.71057,                0.45445,                 1.6595,                0.00703,                0.00703,                0.00703
                     32,                0.77842,                0.53374,                  1.598,                0.78593,                 0.7852,                 0.8246,                0.65413,                0.71017,                 0.4536,                 1.6602,               0.006931,               0.006931,               0.006931
                     33,                 0.7811,                0.53502,                 1.5924,                 0.7956,                0.76776,                0.82347,                0.65555,                0.70921,                0.45475,                 1.6554,               0.006832,               0.006832,               0.006832
                     34,                0.77475,                0.52912,                 1.5924,                0.77756,                0.77787,                0.81852,                 0.6522,                0.70853,                  0.454,                 1.6566,               0.006733,               0.006733,               0.006733
                     35,                0.77617,                0.52707,                 1.5937,                0.78873,                0.78038,                0.82575,                0.65892,                0.70722,                0.45115,                 1.6516,               0.006634,               0.006634,               0.006634
                     36,                0.76931,                0.52263,                 1.5832,                0.76658,                0.79933,                0.82395,                 0.6585,                0.70388,                0.44928,                 1.6516,               0.006535,               0.006535,               0.006535
