                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7263,                 2.2903,                  2.923,                0.62321,                0.16698,                0.20432,                0.10897,                 1.6782,                 1.5099,                 2.6864,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5185,                 1.3094,                  2.354,                0.27263,                0.33648,                0.28832,                0.16578,                 1.3854,                  1.195,                 2.2799,                0.04004,               0.006589,               0.006589
                      3,                 1.2582,                 1.0659,                 2.0541,                0.32656,                0.44506,                0.36008,                0.22759,                 1.1317,                0.98479,                 2.0185,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0948,                0.91707,                 1.8576,                0.44899,                0.52811,                0.48808,                0.33848,                0.99001,                0.81554,                 1.9319,               0.009703,               0.009703,               0.009703
                      5,                 1.0121,                0.82117,                 1.7677,                0.52337,                0.52533,                0.49215,                0.34614,                0.94239,                0.77516,                 1.8934,               0.009604,               0.009604,               0.009604
                      6,                 0.9675,                 0.7645,                 1.7095,                0.50595,                0.54297,                0.50539,                0.36066,                0.94127,                0.74451,                 1.9616,               0.009505,               0.009505,               0.009505
                      7,                0.93892,                0.73003,                  1.685,                0.61169,                0.64214,                0.62431,                0.45316,                0.83903,                 0.6331,                 1.7518,               0.009406,               0.009406,               0.009406
                      8,                0.91986,                  0.711,                 1.6776,                0.58441,                0.60688,                0.58472,                0.43117,                0.84357,                 0.6621,                 1.7361,               0.009307,               0.009307,               0.009307
                      9,                0.90398,                0.68677,                 1.6515,                0.63397,                0.68647,                0.65361,                0.48759,                0.80838,                0.60598,                 1.7061,               0.009208,               0.009208,               0.009208
                     10,                0.89401,                0.67474,                 1.6379,                0.58876,                 0.6636,                0.64068,                0.47596,                0.81176,                0.62675,                  1.721,               0.009109,               0.009109,               0.009109
                     11,                0.88517,                0.66046,                 1.6352,                 0.6441,                0.70664,                0.68973,                0.51442,                0.79349,                0.58785,                 1.6833,                0.00901,                0.00901,                0.00901
                     12,                0.87313,                0.64795,                 1.6257,                0.66465,                0.69158,                0.69692,                0.52206,                0.79751,                0.56192,                 1.6987,               0.008911,               0.008911,               0.008911
                     13,                0.86463,                0.63963,                 1.6241,                0.67988,                0.69688,                0.71045,                0.53963,                0.77822,                0.55864,                 1.7151,               0.008812,               0.008812,               0.008812
                     14,                0.85776,                0.63351,                 1.6147,                0.65039,                0.70116,                0.69514,                0.53149,                0.77592,                0.56162,                 1.6922,               0.008713,               0.008713,               0.008713
                     15,                0.85214,                0.62412,                 1.6134,                0.68915,                0.70409,                0.71727,                0.55244,                0.76638,                0.54358,                  1.687,               0.008614,               0.008614,               0.008614
                     16,                 0.8442,                0.61233,                 1.6068,                0.68579,                0.73596,                0.74562,                 0.5756,                0.75497,                0.52035,                 1.6734,               0.008515,               0.008515,               0.008515
                     17,                0.83855,                0.60447,                 1.6111,                0.69649,                0.73541,                0.73655,                0.56886,                0.75681,                0.52411,                   1.66,               0.008416,               0.008416,               0.008416
                     18,                0.83219,                0.59877,                 1.5954,                0.69549,                0.74171,                0.74758,                0.57741,                0.74626,                0.51532,                 1.6597,               0.008317,               0.008317,               0.008317
                     19,                0.83069,                0.59846,                 1.6092,                 0.7394,                0.72672,                 0.7727,                0.59884,                0.74902,                0.51062,                 1.6595,               0.008218,               0.008218,               0.008218
                     20,                0.82625,                0.59264,                 1.5991,                 0.7277,                0.75083,                0.76827,                 0.5941,                0.74748,                0.51055,                 1.6556,               0.008119,               0.008119,               0.008119
                     21,                0.82583,                0.58596,                 1.5996,                0.73864,                0.73598,                0.77104,                0.60283,                0.73564,                 0.4998,                 1.6681,                0.00802,                0.00802,                0.00802
                     22,                0.81658,                0.58377,                 1.5928,                0.74411,                0.74115,                0.77568,                0.60586,                0.73557,                0.50216,                 1.6407,               0.007921,               0.007921,               0.007921
                     23,                0.81532,                0.58177,                    1.6,                0.75032,                0.74997,                0.78959,                0.61624,                0.73894,                0.49117,                 1.6397,               0.007822,               0.007822,               0.007822
