                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7296,                 2.2957,                 2.8791,                0.70801,                0.15209,                0.20346,                0.10714,                 1.7008,                 1.4953,                 2.6878,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4656,                 1.2403,                 2.2556,                0.19564,                0.22451,                0.18725,                0.09525,                 1.8527,                 1.3937,                 2.6615,                0.04004,               0.006589,               0.006589
                      3,                 1.2047,                0.99672,                 2.0072,                0.24273,                 0.2757,                0.20562,                0.11417,                 1.7628,                 1.5894,                 2.5909,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0599,                 0.8635,                 1.8771,                0.34655,                0.46053,                0.37165,                0.25149,                 1.0748,                0.91226,                 2.0402,               0.009703,               0.009703,               0.009703
                      5,                0.98518,                 0.7823,                  1.809,                0.39543,                0.51056,                0.42407,                0.30095,                0.90958,                0.86936,                 1.9458,               0.009604,               0.009604,               0.009604
                      6,                 0.9397,                 0.7288,                  1.757,                0.47065,                 0.5149,                0.47955,                0.32767,                0.91461,                0.74137,                 1.8993,               0.009505,               0.009505,               0.009505
                      7,                0.91238,                0.69553,                 1.7344,                0.58055,                0.63993,                0.60909,                0.44061,                0.84165,                0.64456,                 1.8449,               0.009406,               0.009406,               0.009406
                      8,                0.89733,                0.67948,                 1.7266,                0.61242,                0.61468,                0.60388,                0.44605,                0.84551,                0.65321,                   1.81,               0.009307,               0.009307,               0.009307
                      9,                0.88698,                 0.6627,                 1.6976,                0.60472,                 0.6429,                0.62494,                0.45467,                0.82893,                0.63112,                 1.8217,               0.009208,               0.009208,               0.009208
                     10,                0.87818,                0.65127,                 1.6856,                0.63761,                0.68849,                0.67241,                0.50584,                0.78895,                0.57255,                 1.7591,               0.009109,               0.009109,               0.009109
                     11,                0.86825,                0.63688,                 1.6818,                0.67397,                0.71435,                0.70806,                0.53391,                0.78166,                0.55324,                 1.7475,                0.00901,                0.00901,                0.00901
                     12,                0.85782,                0.62203,                 1.6693,                0.72076,                0.69453,                0.72744,                0.54928,                0.77115,                0.53572,                 1.7467,               0.008911,               0.008911,               0.008911
                     13,                0.85066,                0.61911,                 1.6653,                 0.6934,                 0.7228,                0.73316,                0.55729,                0.77048,                0.53156,                  1.752,               0.008812,               0.008812,               0.008812
                     14,                 0.8441,                0.61214,                 1.6537,                0.67475,                0.71548,                0.70653,                0.54148,                0.76444,                0.54489,                 1.7498,               0.008713,               0.008713,               0.008713
                     15,                0.83969,                0.60406,                 1.6547,                0.71028,                0.73445,                0.74471,                0.57202,                0.76476,                0.51859,                 1.7249,               0.008614,               0.008614,               0.008614
                     16,                0.83421,                0.59468,                 1.6438,                0.70867,                0.73836,                0.75021,                0.57691,                 0.7499,                0.51228,                  1.739,               0.008515,               0.008515,               0.008515
                     17,                0.82975,                0.58903,                 1.6489,                0.71869,                0.74656,                0.75358,                0.58253,                0.75403,                0.50828,                 1.7065,               0.008416,               0.008416,               0.008416
                     18,                0.82341,                0.58293,                 1.6315,                0.72674,                0.73475,                0.75928,                0.58876,                0.74278,                0.50216,                  1.709,               0.008317,               0.008317,               0.008317
                     19,                0.82056,                0.58019,                 1.6451,                0.72539,                0.74801,                 0.7728,                0.59951,                0.74733,                0.49699,                 1.6971,               0.008218,               0.008218,               0.008218
                     20,                0.81917,                0.57933,                 1.6321,                0.73407,                0.76434,                0.77974,                0.60444,                 0.7396,                0.48863,                 1.6904,               0.008119,               0.008119,               0.008119
                     21,                0.81535,                0.56917,                  1.633,                0.74804,                0.74904,                0.78089,                 0.6073,                0.73679,                0.49204,                 1.6956,                0.00802,                0.00802,                0.00802
                     22,                0.80777,                0.56822,                 1.6225,                0.74456,                0.76855,                0.78352,                0.61293,                0.73088,                0.48259,                 1.6913,               0.007921,               0.007921,               0.007921
                     23,                0.80751,                0.56643,                 1.6319,                0.74808,                0.75274,                0.78664,                0.61461,                0.73145,                0.48068,                  1.689,               0.007822,               0.007822,               0.007822
                     24,                0.80468,                0.56227,                 1.6242,                 0.7564,                0.75694,                0.79113,                0.62034,                0.72627,                0.47568,                 1.6872,               0.007723,               0.007723,               0.007723
                     25,                 0.7989,                0.55156,                 1.6186,                0.73394,                0.76459,                0.78237,                0.61527,                0.72443,                  0.474,                 1.6734,               0.007624,               0.007624,               0.007624
                     26,                0.79389,                 0.5492,                 1.6152,                0.76241,                0.77561,                0.80614,                0.63745,                 0.7215,                0.46827,                 1.6744,               0.007525,               0.007525,               0.007525
                     27,                0.78868,                0.54721,                 1.6128,                0.76394,                0.76928,                0.80486,                0.63813,                0.71919,                0.46615,                 1.6672,               0.007426,               0.007426,               0.007426
                     28,                0.78873,                0.54507,                 1.6051,                0.73163,                 0.7733,                0.78487,                0.62254,                0.71975,                0.46962,                 1.6681,               0.007327,               0.007327,               0.007327
                     29,                0.78852,                0.54272,                 1.6122,                0.76977,                0.76935,                 0.8056,                0.63966,                 0.7127,                0.46061,                 1.6671,               0.007228,               0.007228,               0.007228
                     30,                 0.7849,                  0.539,                 1.6006,                0.75224,                 0.7844,                0.80038,                0.63489,                0.71316,                0.46123,                 1.6674,               0.007129,               0.007129,               0.007129
                     31,                0.78685,                0.54166,                 1.6084,                 0.7963,                0.76464,                0.81781,                0.65101,                 0.7114,                0.45654,                 1.6595,                0.00703,                0.00703,                0.00703
                     32,                0.77895,                0.53386,                 1.6014,                0.76128,                0.78758,                0.81128,                0.64587,                0.70961,                0.45474,                 1.6552,               0.006931,               0.006931,               0.006931
                     33,                0.78051,                0.53493,                  1.593,                0.78182,                0.76918,                0.81227,                0.64741,                0.71035,                0.45737,                 1.6515,               0.006832,               0.006832,               0.006832
                     34,                0.77455,                0.52731,                 1.5944,                0.78014,                0.77126,                0.81507,                0.65112,                 0.7089,                0.45361,                 1.6549,               0.006733,               0.006733,               0.006733
                     35,                0.77603,                0.52837,                 1.5971,                0.79226,                0.77857,                0.82508,                 0.6606,                0.70618,                  0.449,                  1.655,               0.006634,               0.006634,               0.006634
                     36,                0.77062,                 0.5226,                 1.5858,                0.77282,                0.77834,                0.81396,                0.65323,                0.70352,                0.44921,                 1.6508,               0.006535,               0.006535,               0.006535
                     37,                0.76239,                0.51764,                  1.582,                0.79203,                0.76586,                0.81554,                0.65384,                0.70191,                0.44834,                 1.6485,               0.006436,               0.006436,               0.006436
                     38,                0.76488,                0.51744,                 1.5858,                0.78734,                0.78466,                0.82489,                0.66259,                0.70062,                0.44564,                 1.6454,               0.006337,               0.006337,               0.006337
                     39,                0.75866,                0.51246,                 1.5886,                0.78193,                0.78506,                0.82629,                0.66451,                0.70027,                0.44445,                 1.6436,               0.006238,               0.006238,               0.006238
                     40,                0.75999,                0.51598,                 1.5839,                   0.79,                 0.7783,                0.82549,                0.66394,                0.70006,                0.44453,                 1.6445,               0.006139,               0.006139,               0.006139
                     41,                0.75594,                 0.5076,                 1.5881,                0.79003,                 0.7859,                0.82729,                0.66556,                0.69967,                0.44226,                 1.6453,                0.00604,                0.00604,                0.00604
                     42,                0.75644,                0.50955,                 1.5805,                0.79303,                 0.7857,                0.82944,                0.66816,                0.69862,                0.44107,                 1.6412,               0.005941,               0.005941,               0.005941
                     43,                0.74839,                0.50616,                 1.5793,                 0.7901,                0.78877,                0.83027,                0.66883,                0.69679,                0.44034,                 1.6385,               0.005842,               0.005842,               0.005842
                     44,                0.75056,                0.50195,                 1.5782,                0.79893,                0.78618,                0.83324,                0.67198,                0.69622,                0.43835,                 1.6376,               0.005743,               0.005743,               0.005743
                     45,                0.75247,                0.50371,                 1.5814,                0.79339,                0.79144,                 0.8328,                0.67274,                0.69485,                 0.4375,                 1.6374,               0.005644,               0.005644,               0.005644
                     46,                0.74785,                0.50299,                 1.5819,                0.78746,                0.79208,                0.83377,                0.67375,                0.69478,                0.43693,                 1.6349,               0.005545,               0.005545,               0.005545
                     47,                0.74624,                0.49791,                 1.5684,                0.79363,                   0.79,                0.83466,                0.67417,                0.69388,                0.43597,                 1.6334,               0.005446,               0.005446,               0.005446
                     48,                0.74536,                0.50071,                 1.5741,                0.79818,                0.78495,                0.83347,                0.67351,                0.69306,                0.43556,                  1.633,               0.005347,               0.005347,               0.005347
                     49,                0.74054,                0.49519,                 1.5634,                0.79623,                0.79311,                0.83621,                0.67579,                0.69261,                0.43455,                 1.6328,               0.005248,               0.005248,               0.005248
                     50,                0.73568,                0.48945,                 1.5629,                0.78958,                0.80405,                0.83552,                0.67513,                0.69149,                0.43437,                 1.6326,               0.005149,               0.005149,               0.005149
                     51,                0.73844,                0.49354,                  1.571,                0.79004,                0.80103,                0.83721,                0.67695,                0.69083,                 0.4337,                 1.6318,                0.00505,                0.00505,                0.00505
