                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.84,                 2.2977,                 2.9057,                0.37953,                0.21151,                0.21367,                0.11148,                 1.7423,                 1.4859,                 2.7913,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5444,                 1.2923,                 2.2997,                0.32673,                0.35387,                0.29776,                0.17699,                 1.4041,                 1.2156,                 2.2684,                0.04004,               0.006589,               0.006589
                      3,                 1.2612,                 1.0501,                  2.009,                0.30046,                0.36402,                0.28963,                0.17656,                    1.3,                  1.101,                 2.3828,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0893,                0.89686,                 1.8499,                0.43185,                 0.5241,                0.48631,                 0.3302,                 1.0061,                0.84369,                 1.9447,               0.009703,               0.009703,               0.009703
                      5,                0.99878,                0.80319,                 1.7761,                0.51101,                0.53778,                0.50565,                0.35377,                0.92817,                0.78888,                 1.9028,               0.009604,               0.009604,               0.009604
                      6,                0.95125,                0.74438,                 1.7271,                0.53458,                0.62117,                0.57404,                0.40904,                0.90126,                0.70628,                 1.7944,               0.009505,               0.009505,               0.009505
                      7,                 0.9237,                0.70918,                 1.7058,                0.60156,                 0.6516,                0.62997,                0.45463,                0.83121,                0.64931,                 1.7842,               0.009406,               0.009406,               0.009406
                      8,                0.90498,                0.69076,                 1.6991,                0.64989,                0.67394,                0.65981,                0.48294,                0.81936,                0.60192,                 1.7416,               0.009307,               0.009307,               0.009307
                      9,                0.89396,                0.67337,                 1.6724,                0.63486,                0.66062,                0.64941,                0.48364,                0.81098,                0.60785,                 1.7464,               0.009208,               0.009208,               0.009208
                     10,                0.88405,                0.66164,                 1.6598,                0.63571,                 0.6809,                0.66462,                0.50076,                0.78851,                0.57488,                 1.7286,               0.009109,               0.009109,               0.009109
                     11,                0.87473,                0.64848,                 1.6559,                0.63802,                0.65702,                0.66255,                0.49095,                0.81457,                0.60169,                 1.7561,                0.00901,                0.00901,                0.00901
                     12,                0.86352,                0.63319,                 1.6456,                0.68596,                0.69298,                0.69948,                0.52607,                0.79715,                0.55505,                 1.6908,               0.008911,               0.008911,               0.008911
                     13,                0.85688,                0.62971,                 1.6427,                0.67487,                0.73249,                 0.7226,                0.55177,                0.77002,                0.54241,                 1.7173,               0.008812,               0.008812,               0.008812
                     14,                0.85134,                0.62358,                 1.6329,                0.66257,                0.70416,                0.69201,                0.53345,                0.76512,                 0.5521,                 1.6982,               0.008713,               0.008713,               0.008713
                     15,                0.84455,                0.61302,                 1.6326,                0.68323,                0.72169,                0.71825,                0.55199,                0.76892,                0.53477,                 1.6829,               0.008614,               0.008614,               0.008614
                     16,                0.84142,                0.60531,                  1.623,                0.71441,                0.73677,                0.74937,                0.58126,                0.74805,                0.51725,                 1.6875,               0.008515,               0.008515,               0.008515
                     17,                0.83389,                0.59899,                 1.6278,                0.70362,                0.70855,                0.71416,                0.54567,                0.77554,                0.55291,                 1.6995,               0.008416,               0.008416,               0.008416
                     18,                 0.8274,                0.59145,                 1.6094,                0.68841,                0.72317,                0.73216,                0.56486,                0.75114,                0.52191,                 1.6948,               0.008317,               0.008317,               0.008317
                     19,                0.82612,                0.58806,                 1.6256,                 0.7067,                0.72846,                0.74714,                0.58108,                0.74499,                0.51303,                  1.693,               0.008218,               0.008218,               0.008218
                     20,                0.82339,                0.58782,                 1.6123,                0.72595,                0.75663,                0.77223,                 0.5994,                0.74138,                0.50719,                 1.6654,               0.008119,               0.008119,               0.008119
                     21,                 0.8197,                0.57698,                 1.6128,                0.75509,                0.74824,                0.78042,                0.61174,                0.73614,                0.49399,                 1.6606,                0.00802,                0.00802,                0.00802
                     22,                0.81264,                0.57713,                 1.6046,                0.74798,                0.75131,                  0.782,                0.61441,                0.73342,                0.49191,                 1.6572,               0.007921,               0.007921,               0.007921
                     23,                0.81251,                0.57392,                  1.613,                 0.7604,                0.73322,                0.78269,                0.61314,                0.73265,                  0.491,                 1.6585,               0.007822,               0.007822,               0.007822
                     24,                0.80849,                0.57029,                 1.6059,                0.77008,                 0.7352,                0.79095,                0.62164,                0.72937,                0.48622,                 1.6473,               0.007723,               0.007723,               0.007723
                     25,                0.80345,                0.55888,                 1.5998,                0.75328,                0.75022,                0.78425,                0.61712,                0.72633,                0.48564,                 1.6458,               0.007624,               0.007624,               0.007624
                     26,                 0.7974,                 0.5554,                 1.5995,                 0.7629,                0.75965,                0.79572,                0.62543,                0.72661,                 0.4815,                 1.6434,               0.007525,               0.007525,               0.007525
                     27,                0.79319,                0.55439,                  1.592,                0.77844,                0.76127,                  0.806,                0.63835,                0.72092,                0.47746,                 1.6459,               0.007426,               0.007426,               0.007426
                     28,                0.79408,                0.55169,                 1.5873,                0.74306,                0.77334,                0.79167,                0.62864,                0.72135,                0.47593,                 1.6382,               0.007327,               0.007327,               0.007327
                     29,                 0.7933,                0.55035,                 1.5935,                0.77263,                 0.7713,                0.80338,                0.63468,                0.71768,                0.47377,                 1.6429,               0.007228,               0.007228,               0.007228
                     30,                0.78746,                0.54593,                 1.5827,                0.77376,                0.77516,                0.80693,                0.64059,                0.71584,                0.46817,                 1.6418,               0.007129,               0.007129,               0.007129
                     31,                0.79177,                0.54961,                  1.591,                0.79157,                0.77326,                0.82181,                0.65471,                0.71362,                0.46528,                 1.6395,                0.00703,                0.00703,                0.00703
                     32,                0.78299,                0.54198,                 1.5882,                0.77435,                0.77784,                0.81284,                0.64563,                 0.7117,                0.46404,                 1.6401,               0.006931,               0.006931,               0.006931
                     33,                0.78362,                0.54278,                 1.5775,                0.77893,                0.76671,                0.81242,                 0.6476,                0.71166,                0.46432,                 1.6319,               0.006832,               0.006832,               0.006832
                     34,                0.77806,                0.53555,                 1.5805,                0.77299,                0.77894,                0.81462,                0.64869,                0.70865,                 0.4608,                 1.6368,               0.006733,               0.006733,               0.006733
                     35,                0.78052,                0.53479,                  1.583,                0.79808,                0.75851,                 0.8127,                0.64886,                0.70937,                0.46134,                 1.6347,               0.006634,               0.006634,               0.006634
                     36,                0.77356,                0.52949,                 1.5713,                0.78179,                0.78293,                0.81936,                0.65603,                0.70413,                0.45592,                  1.634,               0.006535,               0.006535,               0.006535
                     37,                0.76555,                0.52571,                 1.5646,                0.80621,                0.76012,                0.82242,                0.65903,                0.70298,                0.45537,                 1.6248,               0.006436,               0.006436,               0.006436
                     38,                0.76785,                0.52367,                 1.5726,                0.80963,                0.77132,                0.83112,                0.66592,                0.70303,                0.45242,                 1.6261,               0.006337,               0.006337,               0.006337
                     39,                0.76258,                0.51915,                 1.5743,                0.79616,                0.77657,                0.82903,                0.66569,                0.70056,                 0.4514,                 1.6255,               0.006238,               0.006238,               0.006238
                     40,                0.76319,                0.52207,                 1.5702,                0.80456,                0.77295,                0.82961,                0.66664,                0.70069,                0.45153,                 1.6264,               0.006139,               0.006139,               0.006139
                     41,                0.75986,                0.51504,                 1.5747,                0.80401,                0.77745,                0.82941,                0.66494,                0.70098,                0.45164,                 1.6275,                0.00604,                0.00604,                0.00604
                     42,                0.75992,                0.51672,                 1.5671,                0.79873,                0.78321,                0.82963,                0.66568,                0.69897,                0.45016,                 1.6259,               0.005941,               0.005941,               0.005941
                     43,                0.75171,                0.51296,                 1.5677,                0.79225,                0.77938,                0.82442,                 0.6628,                0.69807,                0.45054,                 1.6219,               0.005842,               0.005842,               0.005842
                     44,                0.75336,                0.50938,                 1.5622,                0.77577,                0.80261,                0.82858,                0.66563,                0.69755,                0.44829,                 1.6194,               0.005743,               0.005743,               0.005743
                     45,                0.75648,                0.51105,                 1.5662,                0.77179,                0.80769,                0.82923,                0.66687,                0.69603,                0.44703,                 1.6185,               0.005644,               0.005644,               0.005644
                     46,                0.75192,                0.50908,                 1.5682,                0.77969,                0.80631,                0.83322,                 0.6711,                0.69616,                0.44551,                 1.6156,               0.005545,               0.005545,               0.005545
                     47,                0.74932,                0.50355,                 1.5545,                0.78308,                0.80658,                0.83221,                0.67053,                  0.695,                0.44456,                 1.6144,               0.005446,               0.005446,               0.005446
                     48,                0.74949,                0.50809,                 1.5605,                0.78667,                0.80442,                0.83404,                0.67191,                0.69433,                0.44392,                 1.6139,               0.005347,               0.005347,               0.005347
                     49,                0.74371,                0.50049,                 1.5503,                0.79696,                0.79766,                0.83451,                0.67168,                0.69343,                0.44344,                 1.6137,               0.005248,               0.005248,               0.005248
                     50,                0.73884,                0.49495,                 1.5499,                0.79546,                0.80186,                0.83597,                0.67379,                0.69257,                0.44207,                 1.6127,               0.005149,               0.005149,               0.005149
                     51,                0.74107,                0.50007,                 1.5568,                 0.8001,                0.79787,                0.83694,                0.67511,                0.69127,                0.44085,                 1.6122,                0.00505,                0.00505,                0.00505
                     52,                0.73753,                0.49639,                 1.5597,                0.79614,                0.80582,                0.83866,                0.67591,                0.69049,                0.43979,                 1.6109,               0.004951,               0.004951,               0.004951
                     53,                0.73377,                0.48936,                  1.556,                0.79813,                0.80622,                0.84015,                0.67674,                0.68985,                 0.4391,                 1.6099,               0.004852,               0.004852,               0.004852
                     54,                0.72922,                0.48741,                 1.5569,                0.79977,                0.80503,                0.84076,                0.67759,                0.68944,                0.43833,                 1.6097,               0.004753,               0.004753,               0.004753
                     55,                0.73184,                0.48783,                 1.5478,                0.79608,                0.80788,                0.84014,                0.67698,                0.68892,                0.43785,                 1.6097,               0.004654,               0.004654,               0.004654
                     56,                0.72745,                0.48641,                 1.5482,                0.79955,                0.80718,                0.84179,                0.67887,                 0.6887,                0.43728,                 1.6097,               0.004555,               0.004555,               0.004555
                     57,                0.72408,                0.47876,                 1.5427,                0.80201,                0.80485,                0.84208,                0.67901,                0.68807,                0.43698,                 1.6093,               0.004456,               0.004456,               0.004456
                     58,                0.73024,                0.48322,                 1.5373,                 0.8007,                0.80576,                0.84282,                0.67976,                0.68747,                0.43632,                 1.6084,               0.004357,               0.004357,               0.004357
                     59,                  0.728,                0.48149,                 1.5572,                0.80102,                0.80418,                0.84335,                0.68105,                0.68715,                0.43609,                 1.6081,               0.004258,               0.004258,               0.004258
                     60,                0.72727,                0.48067,                 1.5421,                0.80204,                0.80301,                0.84377,                0.68102,                0.68658,                0.43547,                 1.6075,               0.004159,               0.004159,               0.004159
                     61,                0.71926,                0.47514,                  1.539,                0.80113,                0.80369,                0.84415,                0.68199,                0.68617,                0.43507,                 1.6074,                0.00406,                0.00406,                0.00406
                     62,                0.71747,                0.47305,                 1.5441,                0.79496,                0.80991,                0.84429,                0.68197,                0.68584,                0.43457,                 1.6074,               0.003961,               0.003961,               0.003961
                     63,                 0.7197,                0.47467,                 1.5443,                0.79662,                0.80995,                0.84474,                0.68265,                0.68564,                 0.4342,                 1.6072,               0.003862,               0.003862,               0.003862
                     64,                0.72044,                0.47599,                 1.5438,                0.79875,                0.80871,                0.84508,                0.68335,                 0.6851,                 0.4338,                  1.607,               0.003763,               0.003763,               0.003763
                     65,                0.71327,                0.46936,                 1.5376,                0.79816,                0.81019,                0.84565,                0.68413,                0.68485,                 0.4334,                 1.6066,               0.003664,               0.003664,               0.003664
                     66,                0.71254,                0.47059,                 1.5394,                0.80222,                0.80532,                0.84566,                0.68404,                0.68459,                0.43332,                 1.6062,               0.003565,               0.003565,               0.003565
                     67,                 0.7195,                0.46855,                 1.5311,                0.80213,                0.80683,                 0.8456,                0.68438,                0.68434,                0.43295,                 1.6061,               0.003466,               0.003466,               0.003466
                     68,                0.70919,                0.46241,                 1.5374,                0.79804,                0.81155,                0.84582,                0.68431,                0.68406,                0.43263,                 1.6058,               0.003367,               0.003367,               0.003367
                     69,                0.71089,                0.46348,                 1.5369,                0.79798,                0.81264,                0.84595,                0.68476,                0.68375,                0.43248,                 1.6053,               0.003268,               0.003268,               0.003268
                     70,                0.70623,                0.45933,                 1.5251,                0.80477,                0.80779,                0.84637,                0.68543,                0.68352,                0.43212,                 1.6048,               0.003169,               0.003169,               0.003169
                     71,                0.70595,                 0.4625,                 1.5296,                0.80816,                0.80428,                0.84679,                0.68575,                0.68319,                0.43179,                 1.6044,                0.00307,                0.00307,                0.00307
                     72,                0.70477,                0.45711,                 1.5253,                0.80493,                0.80847,                0.84671,                0.68588,                0.68289,                0.43142,                 1.6043,               0.002971,               0.002971,               0.002971
                     73,                0.70093,                0.45317,                  1.534,                0.81172,                0.80109,                0.84692,                0.68593,                0.68273,                0.43119,                 1.6039,               0.002872,               0.002872,               0.002872
                     74,                0.69966,                0.45253,                 1.5262,                0.81318,                0.80093,                0.84734,                0.68616,                0.68251,                0.43084,                 1.6036,               0.002773,               0.002773,               0.002773
                     75,                0.69947,                0.45276,                 1.5239,                0.81456,                0.79886,                0.84694,                0.68656,                0.68226,                0.43063,                 1.6035,               0.002674,               0.002674,               0.002674
                     76,                0.69764,                0.44992,                 1.5211,                0.81589,                0.79928,                0.84768,                0.68674,                0.68189,                 0.4304,                 1.6033,               0.002575,               0.002575,               0.002575
                     77,                0.69721,                0.44853,                 1.5151,                0.81706,                0.79795,                  0.848,                0.68688,                0.68154,                0.43019,                 1.6032,               0.002476,               0.002476,               0.002476
                     78,                0.69592,                0.44719,                 1.5194,                0.80281,                0.81264,                 0.8478,                0.68713,                 0.6814,                0.43009,                 1.6028,               0.002377,               0.002377,               0.002377
                     79,                0.69673,                0.44662,                 1.5221,                0.80305,                0.81328,                0.84795,                0.68704,                0.68111,                0.42975,                 1.6028,               0.002278,               0.002278,               0.002278
                     80,                0.69089,                0.44481,                 1.5184,                0.80849,                0.80944,                0.84777,                 0.6873,                0.68089,                0.42953,                 1.6026,               0.002179,               0.002179,               0.002179
                     81,                 0.6903,                0.44079,                 1.5215,                0.80951,                0.80872,                0.84859,                0.68796,                0.68061,                0.42919,                 1.6024,                0.00208,                0.00208,                0.00208
                     82,                0.69138,                 0.4435,                 1.5117,                0.81065,                0.80818,                 0.8487,                0.68818,                 0.6805,                0.42902,                 1.6021,               0.001981,               0.001981,               0.001981
