                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7188,                  2.253,                 2.8604,                0.78871,                0.14919,                0.20905,                0.10403,                   1.74,                 1.5982,                 2.6715,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4592,                  1.228,                 2.2477,                0.36703,                0.34759,                0.30422,                0.18231,                 1.3329,                 1.1353,                  2.254,                0.04004,               0.006589,               0.006589
                      3,                 1.2052,                0.99537,                  2.011,                0.36804,                0.45541,                0.38658,                0.24741,                 1.1143,                0.93374,                 2.1202,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0656,                 0.8644,                  1.878,                0.45619,                 0.5518,                0.50806,                0.34866,                 1.0045,                0.79349,                   1.93,               0.009703,               0.009703,               0.009703
                      5,                0.98541,                0.78038,                 1.8075,                0.52684,                0.54835,                0.52932,                0.37851,                0.90008,                0.75988,                 1.9097,               0.009604,               0.009604,               0.009604
                      6,                 0.9413,                0.72908,                 1.7593,                0.53382,                0.54242,                0.54515,                0.37924,                0.91428,                0.71919,                 1.8816,               0.009505,               0.009505,               0.009505
                      7,                0.91524,                0.69721,                 1.7359,                0.59908,                0.61902,                0.60256,                0.43651,                0.83454,                0.64701,                  1.834,               0.009406,               0.009406,               0.009406
                      8,                0.89652,                0.67956,                 1.7297,                0.64272,                0.65944,                0.64975,                0.47894,                0.82069,                0.61605,                 1.7967,               0.009307,               0.009307,               0.009307
                      9,                0.88648,                0.66194,                 1.7009,                0.64645,                0.66516,                0.65647,                0.48827,                0.81046,                0.58739,                 1.7663,               0.009208,               0.009208,               0.009208
                     10,                0.87756,                0.65312,                 1.6893,                0.66384,                0.68383,                0.69318,                0.52288,                0.78281,                0.55715,                 1.7574,               0.009109,               0.009109,               0.009109
                     11,                0.86836,                0.63751,                 1.6823,                0.64329,                0.68758,                 0.6899,                0.51911,                0.78415,                0.56909,                 1.7728,                0.00901,                0.00901,                0.00901
                     12,                0.85765,                0.62498,                 1.6708,                  0.679,                0.71565,                0.70298,                0.53092,                0.78566,                0.54235,                 1.7438,               0.008911,               0.008911,               0.008911
                     13,                0.85053,                0.61943,                 1.6681,                0.67865,                0.70813,                0.70932,                0.53982,                0.77762,                0.54916,                 1.7468,               0.008812,               0.008812,               0.008812
                     14,                0.84602,                0.61338,                 1.6562,                0.69312,                0.70963,                0.71382,                0.54676,                0.76473,                0.53447,                 1.7402,               0.008713,               0.008713,               0.008713
                     15,                 0.8389,                 0.6035,                  1.655,                0.71393,                0.72431,                0.73295,                0.56197,                0.76575,                0.52703,                 1.7249,               0.008614,               0.008614,               0.008614
                     16,                0.83388,                0.59499,                 1.6461,                0.70523,                  0.758,                0.75917,                0.58891,                0.74839,                0.50556,                 1.7193,               0.008515,               0.008515,               0.008515
                     17,                0.82858,                0.58971,                 1.6506,                0.70658,                 0.7478,                 0.7497,                0.57876,                0.74996,                0.50999,                 1.7139,               0.008416,               0.008416,               0.008416
                     18,                0.82255,                0.58427,                 1.6357,                0.70967,                0.73595,                0.75029,                0.58219,                 0.7447,                0.50527,                  1.711,               0.008317,               0.008317,               0.008317
                     19,                0.82051,                0.57979,                 1.6475,                 0.7557,                0.73507,                0.77657,                0.60463,                0.74247,                0.49591,                 1.7081,               0.008218,               0.008218,               0.008218
                     20,                0.81946,                0.58055,                 1.6355,                0.72044,                0.74911,                0.75909,                0.58788,                0.73779,                0.50516,                 1.7115,               0.008119,               0.008119,               0.008119
                     21,                0.81588,                0.56959,                 1.6357,                0.76698,                0.73305,                0.78056,                 0.6097,                0.73253,                0.48717,                 1.6998,                0.00802,                0.00802,                0.00802
                     22,                 0.8063,                0.56958,                 1.6258,                0.75327,                0.74058,                0.77442,                 0.6085,                0.72911,                0.48067,                 1.6888,               0.007921,               0.007921,               0.007921
                     23,                0.80685,                0.56565,                 1.6347,                0.74016,                0.74595,                0.78409,                0.61391,                0.73046,                0.48135,                 1.6857,               0.007822,               0.007822,               0.007822
                     24,                0.80554,                0.56482,                 1.6277,                 0.7499,                0.76416,                 0.7904,                0.61934,                 0.7287,                0.47931,                 1.6936,               0.007723,               0.007723,               0.007723
                     25,                0.79943,                0.55274,                 1.6214,                 0.7533,                0.74833,                0.78097,                 0.6149,                0.72095,                0.47695,                 1.6844,               0.007624,               0.007624,               0.007624
                     26,                0.79306,                 0.5478,                 1.6184,                0.77542,                0.76286,                0.80507,                 0.6351,                0.72131,                0.46814,                 1.6782,               0.007525,               0.007525,               0.007525
                     27,                0.78835,                 0.5471,                 1.6146,                0.76292,                0.75363,                0.79393,                0.62787,                0.72029,                 0.4714,                 1.6782,               0.007426,               0.007426,               0.007426
                     28,                0.78995,                0.54405,                 1.6057,                0.76721,                0.75607,                0.79474,                 0.6305,                0.71485,                0.46663,                 1.6725,               0.007327,               0.007327,               0.007327
                     29,                0.78898,                0.54153,                 1.6132,                0.76888,                0.77591,                0.80566,                0.63898,                0.71184,                0.46052,                 1.6726,               0.007228,               0.007228,               0.007228
                     30,                  0.784,                0.53861,                 1.6002,                0.76648,                0.76658,                0.80431,                0.63825,                0.71153,                0.45853,                 1.6703,               0.007129,               0.007129,               0.007129
                     31,                0.78679,                0.54232,                 1.6092,                0.76882,                0.78129,                0.81671,                0.64963,                0.70835,                0.45611,                 1.6676,                0.00703,                0.00703,                0.00703
                     32,                0.77846,                0.53194,                 1.6043,                   0.77,                0.77059,                0.80412,                0.63839,                0.70838,                0.45406,                 1.6636,               0.006931,               0.006931,               0.006931
