                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8592,                 2.3041,                 2.8885,                0.83072,                0.16696,                0.21324,                0.11603,                 1.6592,                 1.4999,                 2.6065,               0.070106,              0.0033215,              0.0033215
                      2,                  1.556,                 1.3028,                 2.2824,                0.35971,                0.34881,                0.31353,                0.18593,                 1.3439,                 1.1542,                 2.3222,                0.04004,               0.006589,               0.006589
                      3,                 1.2611,                 1.0567,                 2.0057,                0.36849,                0.47044,                0.39747,                0.25514,                 1.0959,                0.98928,                 2.1641,              0.0099086,              0.0097904,              0.0097904
                      4,                  1.085,                0.89507,                 1.8466,                0.39905,                0.49566,                0.44532,                0.30792,                 1.0168,                0.84633,                 1.9116,               0.009703,               0.009703,               0.009703
                      5,                0.99702,                0.79957,                 1.7721,                0.58936,                 0.6082,                0.59484,                 0.4188,                0.88053,                 0.6973,                 1.8203,               0.009604,               0.009604,               0.009604
                      6,                0.94787,                0.73965,                 1.7222,                0.51112,                0.59286,                0.54943,                0.38843,                0.89292,                0.72408,                 1.8114,               0.009505,               0.009505,               0.009505
                      7,                0.92031,                0.70542,                 1.7012,                0.61566,                 0.6468,                0.63375,                0.46214,                 0.8375,                0.63221,                 1.7522,               0.009406,               0.009406,               0.009406
                      8,                0.90283,                0.68828,                 1.6964,                0.63991,                0.68662,                0.65951,                0.48573,                0.81583,                 0.5995,                 1.7432,               0.009307,               0.009307,               0.009307
                      9,                0.89176,                0.66811,                 1.6672,                0.64084,                0.69036,                0.67067,                0.50072,                0.80698,                0.59467,                 1.7195,               0.009208,               0.009208,               0.009208
                     10,                0.88336,                0.65969,                 1.6581,                0.65632,                0.66707,                0.68352,                0.51229,                0.78591,                0.57517,                 1.7101,               0.009109,               0.009109,               0.009109
                     11,                0.87176,                 0.6436,                 1.6534,                0.55881,                0.56616,                0.55731,                0.40556,                0.85619,                0.70826,                 1.8109,                0.00901,                0.00901,                0.00901
                     12,                0.86101,                0.62931,                 1.6437,                 0.6682,                0.71066,                0.70588,                0.52834,                0.78181,                0.55054,                 1.6885,               0.008911,               0.008911,               0.008911
                     13,                0.85567,                0.62477,                 1.6405,                0.69459,                0.72096,                0.72841,                0.55516,                0.77135,                0.54274,                 1.7226,               0.008812,               0.008812,               0.008812
                     14,                0.84934,                0.61798,                 1.6291,                0.67978,                0.70808,                0.71388,                0.55188,                0.75867,                0.54018,                 1.6987,               0.008713,               0.008713,               0.008713
                     15,                0.84186,                 0.6085,                 1.6303,                0.71586,                0.73416,                0.74294,                0.57384,                0.76211,                0.52583,                 1.6844,               0.008614,               0.008614,               0.008614
