                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7268,                 2.2422,                 2.8825,                0.17823,                0.23943,                 0.2217,                0.11478,                  1.633,                 1.4783,                 2.6393,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4607,                 1.2227,                 2.2513,                0.31737,                0.37202,                0.32107,                 0.1896,                 1.2592,                 1.0501,                 2.2221,                0.04004,               0.006589,               0.006589
                      3,                 1.2047,                0.99142,                 1.9978,                0.35384,                0.49628,                0.40773,                 0.2659,                 1.0465,                0.93601,                 2.0722,              0.0099086,              0.0097904,              0.0097904
                      4,                  1.062,                0.86058,                   1.87,                0.47486,                0.55475,                0.51381,                0.35109,                0.99369,                0.78357,                 1.9192,               0.009703,               0.009703,               0.009703
                      5,                0.98669,                0.78047,                 1.8006,                0.46085,                0.52635,                0.48202,                0.34571,                0.89244,                 0.7578,                 1.9026,               0.009604,               0.009604,               0.009604
                      6,                0.94072,                0.72771,                 1.7509,                0.53989,                0.57614,                0.55189,                0.39302,                0.89063,                0.71214,                 1.8324,               0.009505,               0.009505,               0.009505
                      7,                0.91535,                0.69826,                 1.7285,                0.61247,                0.64659,                0.62337,                0.44745,                0.83714,                0.64335,                 1.8169,               0.009406,               0.009406,               0.009406
                      8,                0.89741,                0.68081,                 1.7229,                 0.6232,                 0.6688,                0.63609,                0.46964,                0.81413,                0.61092,                 1.7892,               0.009307,               0.009307,               0.009307
                      9,                0.88727,                0.66195,                 1.6919,                 0.6501,                0.65841,                0.65696,                0.48563,                0.80936,                0.59545,                 1.7724,               0.009208,               0.009208,               0.009208
                     10,                0.87774,                0.65182,                 1.6798,                 0.6107,                0.59769,                0.61546,                0.45566,                0.80965,                 0.6599,                 1.7955,               0.009109,               0.009109,               0.009109
                     11,                 0.8686,                0.63947,                 1.6742,                0.64814,                0.69768,                0.68964,                0.51658,                0.78214,                0.56884,                  1.759,                0.00901,                0.00901,                0.00901
                     12,                0.85734,                0.62263,                 1.6622,                0.68218,                0.70891,                0.70556,                0.53603,                 0.7762,                 0.5345,                 1.7261,               0.008911,               0.008911,               0.008911
                     13,                0.85071,                0.62032,                 1.6583,                 0.7096,                0.69026,                0.72283,                0.55059,                0.77184,                0.54218,                 1.7694,               0.008812,               0.008812,               0.008812
                     14,                0.84507,                0.61221,                 1.6482,                0.67552,                0.70461,                  0.714,                0.54888,                0.76086,                0.53412,                 1.7233,               0.008713,               0.008713,               0.008713
                     15,                0.83979,                0.60427,                 1.6481,                0.69154,                0.72625,                0.73465,                0.56458,                0.75849,                0.51643,                 1.7121,               0.008614,               0.008614,               0.008614
                     16,                0.83438,                0.59343,                 1.6373,                0.72545,                0.73131,                0.74836,                0.58155,                 0.7465,                0.50564,                 1.7159,               0.008515,               0.008515,               0.008515
                     17,                0.82803,                0.58945,                 1.6416,                 0.7038,                0.74372,                0.74172,                0.57511,                0.74373,                0.51044,                 1.7011,               0.008416,               0.008416,               0.008416
                     18,                0.82319,                0.58274,                 1.6269,                0.72836,                0.74851,                0.77148,                0.59815,                0.74082,                0.49783,                 1.7009,               0.008317,               0.008317,               0.008317
                     19,                 0.8212,                0.57982,                 1.6404,                0.75587,                 0.7382,                 0.7795,                0.60673,                0.74337,                 0.4919,                 1.6837,               0.008218,               0.008218,               0.008218
                     20,                0.82044,                0.58084,                 1.6255,                0.67968,                0.70983,                0.70568,                0.54034,                0.76349,                0.54032,                 1.7504,               0.008119,               0.008119,               0.008119
                     21,                 0.8155,                0.57008,                 1.6268,                0.75848,                0.74738,                 0.7888,                0.61967,                0.73059,                 0.4873,                 1.6867,                0.00802,                0.00802,                0.00802
                     22,                0.80851,                0.56986,                 1.6189,                0.74777,                0.75445,                0.77948,                0.61052,                0.72877,                0.48433,                 1.6864,               0.007921,               0.007921,               0.007921
                     23,                0.80699,                0.56485,                 1.6263,                0.76617,                0.75213,                0.79442,                0.62225,                0.72487,                0.47763,                 1.6832,               0.007822,               0.007822,               0.007822
                     24,                0.80355,                0.56234,                 1.6171,                0.76866,                0.74644,                0.79815,                0.62862,                0.72493,                 0.4751,                 1.6784,               0.007723,               0.007723,               0.007723
                     25,                0.80007,                0.55355,                 1.6129,                0.74927,                 0.7541,                0.78785,                0.62235,                0.71964,                0.47248,                 1.6669,               0.007624,               0.007624,               0.007624
                     26,                0.79437,                0.54967,                 1.6119,                0.77047,                0.75478,                0.80022,                0.63261,                0.72285,                 0.4702,                 1.6617,               0.007525,               0.007525,               0.007525
                     27,                0.79014,                 0.5488,                 1.6044,                0.76505,                0.76498,                0.80356,                0.63781,                0.71915,                0.46665,                 1.6632,               0.007426,               0.007426,               0.007426
                     28,                0.79203,                0.54653,                 1.5969,                0.78492,                0.75432,                0.79984,                0.63593,                0.71644,                0.46591,                 1.6587,               0.007327,               0.007327,               0.007327
                     29,                0.79061,                0.54394,                 1.6071,                0.77207,                0.77489,                0.81048,                0.64434,                0.71419,                0.46175,                  1.658,               0.007228,               0.007228,               0.007228
                     30,                 0.7852,                0.54112,                 1.5933,                0.77095,                0.77939,                0.80912,                0.64427,                 0.7152,                0.45953,                 1.6537,               0.007129,               0.007129,               0.007129
                     31,                0.78777,                0.54288,                 1.6024,                0.78601,                0.76366,                0.81692,                0.65071,                0.71026,                0.45743,                 1.6516,                0.00703,                0.00703,                0.00703
                     32,                0.77968,                0.53499,                 1.5972,                0.79801,                0.75679,                0.81518,                0.64931,                0.70968,                  0.455,                 1.6505,               0.006931,               0.006931,               0.006931
                     33,                0.78059,                0.53674,                 1.5878,                0.79051,                0.76786,                 0.8197,                0.65622,                0.70806,                0.45768,                 1.6478,               0.006832,               0.006832,               0.006832
                     34,                0.77393,                0.52781,                   1.59,                0.78669,                0.78274,                0.82171,                0.65618,                 0.7065,                0.45337,                 1.6487,               0.006733,               0.006733,               0.006733
                     35,                0.77878,                0.53041,                 1.5908,                0.79387,                0.78129,                 0.8255,                0.66024,                0.70599,                0.45123,                 1.6435,               0.006634,               0.006634,               0.006634
                     36,                0.77132,                0.52463,                  1.581,                0.81414,                0.76332,                0.82824,                0.66338,                0.70263,                0.44822,                 1.6435,               0.006535,               0.006535,               0.006535
                     37,                0.76354,                0.51972,                 1.5762,                0.79393,                0.78157,                0.82622,                  0.662,                 0.7003,                0.44768,                 1.6421,               0.006436,               0.006436,               0.006436
                     38,                0.76617,                0.52118,                 1.5819,                0.80435,                0.78373,                0.83318,                0.66753,                0.70101,                0.44544,                 1.6399,               0.006337,               0.006337,               0.006337
                     39,                0.76122,                0.51482,                 1.5822,                0.81345,                0.76173,                0.82971,                0.66615,                0.70138,                0.44568,                 1.6354,               0.006238,               0.006238,               0.006238
                     40,                0.76124,                0.51845,                  1.576,                0.79273,                0.77663,                0.82679,                0.66422,                0.69944,                0.44616,                 1.6346,               0.006139,               0.006139,               0.006139
                     41,                0.75789,                 0.5099,                 1.5797,                 0.7891,                0.78147,                0.82586,                0.66438,                0.69814,                0.44597,                 1.6351,                0.00604,                0.00604,                0.00604
                     42,                0.75733,                0.51191,                 1.5723,                0.80501,                0.76882,                0.82961,                0.66743,                 0.6977,                0.44396,                 1.6327,               0.005941,               0.005941,               0.005941
                     43,                0.74931,                0.50802,                 1.5748,                0.80246,                0.76617,                0.82847,                0.66709,                0.69728,                0.44328,                 1.6305,               0.005842,               0.005842,               0.005842
                     44,                0.75261,                0.50614,                 1.5697,                0.78661,                0.79654,                0.83348,                0.67137,                0.69648,                0.44112,                 1.6295,               0.005743,               0.005743,               0.005743
                     45,                 0.7553,                 0.5083,                 1.5765,                0.79872,                0.79051,                0.83652,                0.67423,                0.69595,                  0.439,                 1.6308,               0.005644,               0.005644,               0.005644
