                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7035,                 2.2438,                 2.8641,                0.90457,                0.15484,                 0.2133,                0.11392,                 1.6468,                 1.4916,                   2.58,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4684,                 1.2419,                 2.2413,                0.32433,                0.35776,                0.31131,                0.17991,                 1.3162,                  1.072,                 2.3296,                0.04004,               0.006589,               0.006589
                      3,                 1.2051,                0.99803,                  1.999,                 0.3351,                 0.4555,                0.37709,                0.24213,                 1.0794,                0.94439,                 2.1343,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0612,                0.86188,                 1.8695,                0.42697,                0.49877,                0.44754,                0.30318,                 1.0171,                0.84661,                 1.9399,               0.009703,               0.009703,               0.009703
                      5,                 0.9825,                0.77886,                 1.8031,                0.47192,                0.52785,                  0.472,                0.32924,                0.93261,                0.77696,                 1.9434,               0.009604,               0.009604,               0.009604
                      6,                0.93983,                0.72778,                 1.7534,                0.46276,                0.50417,                0.47734,                0.33113,                0.94058,                0.76614,                 1.9014,               0.009505,               0.009505,               0.009505
                      7,                0.91455,                0.69613,                 1.7299,                0.59482,                0.63499,                0.61769,                0.44848,                0.82785,                 0.6263,                 1.8198,               0.009406,               0.009406,               0.009406
                      8,                 0.8964,                0.67837,                 1.7251,                0.61423,                0.64748,                0.62169,                0.45345,                0.82881,                0.61517,                 1.8153,               0.009307,               0.009307,               0.009307
                      9,                0.88597,                0.65968,                 1.6964,                0.63094,                0.68349,                 0.6529,                0.48221,                0.81127,                0.58759,                 1.7896,               0.009208,               0.009208,               0.009208
                     10,                0.87559,                0.64956,                 1.6821,                0.64439,                0.69443,                0.67411,                0.50372,                0.79012,                0.58182,                 1.7652,               0.009109,               0.009109,               0.009109
                     11,                0.86687,                 0.6354,                 1.6792,                0.66255,                 0.6828,                0.68453,                0.51474,                0.78976,                0.56541,                 1.7859,                0.00901,                0.00901,                0.00901
                     12,                0.85533,                0.62005,                 1.6674,                0.66199,                0.70818,                 0.7017,                0.52731,                0.78709,                0.53821,                 1.7413,               0.008911,               0.008911,               0.008911
                     13,                0.84842,                0.61644,                 1.6633,                0.67728,                0.69601,                 0.7037,                 0.5324,                0.78112,                0.55924,                 1.7937,               0.008812,               0.008812,               0.008812
                     14,                0.84275,                0.60969,                 1.6509,                0.69241,                0.71037,                0.71793,                0.55086,                0.76237,                0.52639,                 1.7215,               0.008713,               0.008713,               0.008713
                     15,                0.83694,                 0.6011,                 1.6517,                 0.7109,                0.73141,                0.73622,                0.56688,                0.76094,                0.51591,                 1.7159,               0.008614,               0.008614,               0.008614
                     16,                0.83223,                0.59163,                 1.6424,                0.71527,                0.73796,                0.75334,                0.58525,                0.75268,                 0.5056,                 1.7146,               0.008515,               0.008515,               0.008515
                     17,                 0.8288,                0.58619,                 1.6458,                0.72435,                0.74742,                0.75527,                 0.5837,                0.74514,                0.50242,                  1.715,               0.008416,               0.008416,               0.008416
                     18,                0.82216,                0.58155,                 1.6317,                0.72048,                0.75477,                0.77229,                0.59842,                0.74434,                0.50187,                 1.7032,               0.008317,               0.008317,               0.008317
                     19,                0.81991,                 0.5776,                 1.6445,                0.73538,                 0.7418,                 0.7741,                0.60003,                0.75652,                0.50043,                 1.7006,               0.008218,               0.008218,               0.008218
                     20,                 0.8167,                0.57652,                 1.6322,                0.73203,                0.76049,                0.77602,                0.60397,                0.74036,                0.49123,                  1.702,               0.008119,               0.008119,               0.008119
                     21,                0.81412,                0.56736,                 1.6322,                0.75004,                0.76433,                0.79108,                0.62067,                0.73188,                0.48169,                 1.7033,                0.00802,                0.00802,                0.00802
                     22,                0.80557,                0.56757,                 1.6229,                0.74667,                0.76504,                0.78459,                0.61581,                 0.7318,                0.48052,                 1.6925,               0.007921,               0.007921,               0.007921
                     23,                0.80555,                0.56369,                 1.6327,                0.77175,                0.73374,                0.79471,                0.62255,                   0.73,                0.47678,                  1.684,               0.007822,               0.007822,               0.007822
                     24,                0.80403,                0.56025,                 1.6219,                0.76277,                0.75678,                0.80034,                 0.6277,                0.72534,                 0.4741,                 1.6867,               0.007723,               0.007723,               0.007723
                     25,                0.79801,                0.54995,                 1.6168,                 0.7471,                0.76996,                0.79175,                0.62544,                0.72068,                0.46969,                 1.6739,               0.007624,               0.007624,               0.007624
                     26,                0.79311,                0.54677,                 1.6166,                0.76524,                0.78245,                0.80866,                0.63984,                0.72075,                0.46393,                 1.6706,               0.007525,               0.007525,               0.007525
                     27,                0.78791,                 0.5476,                 1.6108,                0.77435,                0.76728,                0.80765,                0.63989,                0.71731,                0.46619,                 1.6702,               0.007426,               0.007426,               0.007426
