                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.719,                 2.2529,                 2.8605,                0.75511,                0.15018,                0.20856,                0.10485,                 1.7185,                 1.5669,                 2.6542,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4568,                 1.2242,                 2.2467,                0.31236,                 0.3089,                0.28374,                0.15808,                 1.4812,                 1.2223,                 2.4247,                0.04004,               0.006589,               0.006589
                      3,                 1.2037,                0.99412,                 2.0104,                0.30158,                0.43817,                0.33941,                0.21487,                 1.1255,                0.98437,                  2.147,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0656,                0.86637,                 1.8801,                0.46576,                0.46896,                0.44774,                0.30092,                 1.0745,                 0.8867,                  1.954,               0.009703,               0.009703,               0.009703
                      5,                0.98553,                0.78183,                 1.8102,                0.50671,                0.52122,                0.50392,                0.35676,                0.90882,                0.74998,                 1.9362,               0.009604,               0.009604,               0.009604
                      6,                0.94311,                0.73109,                 1.7613,                0.48552,                0.54444,                0.52288,                0.36404,                0.91954,                 0.7697,                 1.9143,               0.009505,               0.009505,               0.009505
                      7,                0.91536,                0.69752,                 1.7375,                0.60123,                0.64624,                0.63198,                0.45738,                0.82481,                0.62491,                 1.8192,               0.009406,               0.009406,               0.009406
                      8,                0.89737,                0.67979,                 1.7304,                0.62857,                0.64616,                0.63975,                0.47607,                0.81481,                 0.6025,                 1.8136,               0.009307,               0.009307,               0.009307
                      9,                0.88776,                0.66338,                 1.7012,                0.64219,                0.65672,                0.65098,                0.48344,                0.80474,                0.58592,                 1.7802,               0.009208,               0.009208,               0.009208
                     10,                0.87697,                0.65219,                  1.688,                0.62416,                0.64148,                0.65051,                0.48937,                0.79369,                0.59799,                 1.7848,               0.009109,               0.009109,               0.009109
                     11,                0.86913,                0.63951,                 1.6842,                 0.6242,                0.68697,                0.67195,                0.50225,                0.80217,                0.58502,                 1.8145,                0.00901,                0.00901,                0.00901
                     12,                0.85639,                0.62323,                  1.671,                0.65345,                0.69698,                0.68533,                0.50986,                0.79632,                0.55819,                 1.7441,               0.008911,               0.008911,               0.008911
                     13,                0.85014,                0.61918,                 1.6678,                0.68679,                0.71557,                0.71543,                0.54379,                0.78081,                0.54694,                 1.7585,               0.008812,               0.008812,               0.008812
                     14,                0.84517,                0.61481,                 1.6562,                0.67283,                0.71265,                0.70919,                0.54292,                0.76562,                0.53162,                 1.7333,               0.008713,               0.008713,               0.008713
                     15,                0.83998,                0.60443,                 1.6571,                0.69357,                0.72191,                0.71621,                0.54722,                0.76657,                0.52823,                 1.7353,               0.008614,               0.008614,               0.008614
                     16,                0.83411,                0.59435,                 1.6472,                0.70805,                0.73322,                0.74517,                0.57657,                0.75666,                0.50801,                 1.7194,               0.008515,               0.008515,               0.008515
                     17,                 0.8304,                0.59386,                 1.6538,                0.70603,                0.74558,                0.74574,                0.57869,                0.74751,                0.50768,                 1.7123,               0.008416,               0.008416,               0.008416
                     18,                0.82386,                  0.585,                 1.6381,                0.68424,                0.74084,                0.73932,                0.56972,                0.75503,                0.51719,                 1.7201,               0.008317,               0.008317,               0.008317
                     19,                0.82142,                0.58128,                 1.6512,                0.75325,                0.71492,                0.76046,                0.59187,                 0.7482,                0.50502,                 1.7151,               0.008218,               0.008218,               0.008218
                     20,                 0.8194,                0.58011,                 1.6378,                0.74912,                0.74556,                0.77724,                0.60179,                 0.7391,                  0.496,                 1.7045,               0.008119,               0.008119,               0.008119
                     21,                0.81512,                0.56949,                 1.6357,                0.75228,                0.75907,                0.78585,                0.61473,                0.73375,                0.48522,                 1.6966,                0.00802,                0.00802,                0.00802
                     22,                0.80884,                0.57141,                 1.6294,                0.73845,                0.77052,                0.78891,                0.61852,                0.72952,                0.47868,                 1.6969,               0.007921,               0.007921,               0.007921
                     23,                0.80696,                0.56711,                 1.6381,                0.75411,                0.74082,                0.78349,                0.60983,                 0.7282,                0.48099,                 1.6996,               0.007822,               0.007822,               0.007822
                     24,                0.80528,                0.56292,                 1.6297,                0.75959,                0.75611,                0.79566,                0.62486,                0.72727,                0.47349,                 1.6934,               0.007723,               0.007723,               0.007723
                     25,                0.79947,                0.55215,                 1.6232,                0.75072,                0.75233,                0.78693,                0.61991,                 0.7237,                0.47207,                 1.6837,               0.007624,               0.007624,               0.007624
                     26,                0.79431,                0.54828,                 1.6193,                0.78012,                0.76224,                0.80843,                0.63989,                0.72143,                0.46568,                 1.6754,               0.007525,               0.007525,               0.007525
                     27,                0.78937,                0.54983,                 1.6159,                0.78087,                0.76487,                0.81149,                0.64193,                0.71628,                0.46602,                  1.679,               0.007426,               0.007426,               0.007426
                     28,                0.78967,                0.54509,                 1.6089,                 0.7765,                0.76164,                0.80588,                0.63896,                0.71624,                 0.4649,                  1.669,               0.007327,               0.007327,               0.007327
                     29,                0.78892,                0.54334,                 1.6182,                0.78479,                0.77498,                0.81959,                0.64934,                0.71358,                0.45881,                  1.675,               0.007228,               0.007228,               0.007228
                     30,                0.78425,                0.53928,                 1.6037,                0.76066,                0.77672,                0.80742,                0.63944,                0.71431,                0.45921,                 1.6718,               0.007129,               0.007129,               0.007129
                     31,                0.78744,                0.54246,                 1.6137,                0.76932,                0.78381,                0.81971,                0.65255,                 0.7107,                 0.4546,                 1.6695,                0.00703,                0.00703,                0.00703
                     32,                0.77814,                0.53354,                 1.6078,                0.77571,                0.77721,                0.81777,                0.64979,                0.70911,                0.45236,                 1.6683,               0.006931,               0.006931,               0.006931
                     33,                0.77988,                0.53428,                 1.6001,                0.78539,                0.76218,                0.81398,                0.65038,                0.70987,                0.45563,                 1.6636,               0.006832,               0.006832,               0.006832
                     34,                0.77308,                0.52788,                 1.6005,                0.77507,                0.76437,                0.81371,                0.64854,                0.70796,                0.45405,                  1.664,               0.006733,               0.006733,               0.006733
                     35,                0.77582,                 0.5274,                 1.6023,                0.77078,                0.78054,                0.81786,                0.65448,                0.70729,                0.45165,                 1.6619,               0.006634,               0.006634,               0.006634
                     36,                0.76852,                0.52011,                 1.5915,                 0.7851,                0.77853,                 0.8239,                0.65955,                0.70325,                0.44747,                 1.6623,               0.006535,               0.006535,               0.006535
                     37,                0.76328,                0.51853,                 1.5878,                0.79454,                0.76526,                0.82302,                0.65955,                0.70136,                0.44739,                  1.658,               0.006436,               0.006436,               0.006436
                     38,                0.76302,                0.51626,                 1.5913,                0.80235,                0.77877,                0.83224,                0.66723,                0.70087,                0.44434,                 1.6555,               0.006337,               0.006337,               0.006337
                     39,                0.75822,                0.51255,                 1.5945,                0.78676,                 0.7804,                0.83056,                0.66651,                0.70153,                0.44354,                 1.6539,               0.006238,               0.006238,               0.006238
                     40,                 0.7601,                0.51644,                 1.5885,                 0.7901,                0.77583,                0.83137,                0.66767,                    0.7,                0.44222,                 1.6533,               0.006139,               0.006139,               0.006139
                     41,                0.75516,                 0.5074,                 1.5927,                0.77982,                0.79118,                0.82888,                0.66701,                0.69787,                 0.4419,                 1.6531,                0.00604,                0.00604,                0.00604
                     42,                0.75569,                0.50932,                  1.584,                0.79153,                0.77228,                0.82661,                 0.6659,                0.69752,                0.44151,                 1.6495,               0.005941,               0.005941,               0.005941
                     43,                0.74687,                 0.5053,                 1.5836,                0.78907,                0.77601,                 0.8286,                0.66709,                0.69622,                0.44011,                 1.6475,               0.005842,               0.005842,               0.005842
                     44,                0.74949,                0.50208,                 1.5825,                0.78063,                0.79229,                0.83348,                0.67142,                0.69548,                0.43829,                 1.6474,               0.005743,               0.005743,               0.005743
                     45,                0.75358,                0.50449,                 1.5848,                0.79334,                0.77986,                0.83267,                0.67118,                0.69482,                0.43799,                 1.6444,               0.005644,               0.005644,               0.005644
                     46,                0.74828,                0.50337,                 1.5861,                0.78381,                 0.7947,                0.83369,                0.67214,                0.69486,                0.43744,                 1.6435,               0.005545,               0.005545,               0.005545
                     47,                0.74594,                0.49625,                 1.5731,                0.79057,                0.78846,                0.83423,                0.67316,                0.69409,                0.43628,                 1.6414,               0.005446,               0.005446,               0.005446
                     48,                0.74488,                0.49958,                 1.5787,                0.79476,                0.78934,                0.83522,                0.67404,                0.69308,                0.43473,                 1.6415,               0.005347,               0.005347,               0.005347
                     49,                0.73969,                0.49412,                 1.5661,                 0.7995,                0.78642,                0.83662,                0.67556,                0.69188,                0.43413,                 1.6399,               0.005248,               0.005248,               0.005248
                     50,                0.73457,                0.48847,                 1.5683,                0.79596,                0.79003,                0.83851,                0.67709,                0.69108,                0.43344,                   1.64,               0.005149,               0.005149,               0.005149
                     51,                0.73771,                0.49457,                  1.575,                0.78915,                0.79772,                0.83826,                0.67742,                0.69042,                0.43324,                 1.6398,                0.00505,                0.00505,                0.00505
                     52,                0.73405,                0.48996,                 1.5774,                0.79181,                0.80027,                0.83992,                0.67937,                0.68957,                0.43212,                 1.6393,               0.004951,               0.004951,               0.004951
                     53,                0.73029,                0.48255,                 1.5743,                0.79452,                0.79929,                0.84066,                0.67946,                 0.6891,                0.43166,                 1.6387,               0.004852,               0.004852,               0.004852
                     54,                0.72679,                0.48238,                 1.5719,                0.79354,                0.80419,                0.84157,                0.68082,                0.68876,                 0.4312,                 1.6378,               0.004753,               0.004753,               0.004753
                     55,                0.72891,                0.48104,                 1.5651,                0.79846,                0.79768,                0.84203,                0.68151,                0.68848,                0.43081,                 1.6371,               0.004654,               0.004654,               0.004654
                     56,                0.72482,                0.48071,                 1.5653,                0.79486,                0.80371,                0.84347,                0.68224,                0.68839,                0.43003,                 1.6364,               0.004555,               0.004555,               0.004555
                     57,                0.72125,                0.47345,                 1.5559,                0.79204,                0.80377,                0.84294,                0.68212,                0.68799,                0.43002,                 1.6357,               0.004456,               0.004456,               0.004456
                     58,                0.72836,                0.47821,                 1.5548,                0.80193,                 0.7958,                0.84349,                0.68306,                0.68764,                0.42927,                  1.635,               0.004357,               0.004357,               0.004357
                     59,                 0.7254,                0.47701,                 1.5725,                0.79756,                0.80242,                  0.844,                 0.6832,                0.68726,                0.42891,                 1.6343,               0.004258,               0.004258,               0.004258
                     60,                0.72532,                0.47611,                 1.5559,                0.79947,                0.80108,                0.84472,                0.68353,                0.68692,                0.42841,                 1.6335,               0.004159,               0.004159,               0.004159
                     61,                0.71725,                 0.4701,                 1.5532,                0.80131,                0.80161,                0.84533,                0.68424,                0.68659,                0.42792,                 1.6325,                0.00406,                0.00406,                0.00406
                     62,                0.71366,                0.46769,                 1.5586,                0.80648,                0.79781,                0.84551,                0.68498,                0.68629,                0.42745,                  1.632,               0.003961,               0.003961,               0.003961
                     63,                 0.7169,                0.46913,                 1.5595,                 0.8104,                0.79574,                0.84608,                0.68553,                0.68591,                0.42709,                 1.6315,               0.003862,               0.003862,               0.003862
                     64,                0.71778,                0.46997,                 1.5553,                0.81018,                0.79608,                0.84625,                0.68604,                0.68572,                0.42701,                  1.631,               0.003763,               0.003763,               0.003763
                     65,                0.71041,                 0.4632,                 1.5518,                 0.8081,                0.79847,                0.84738,                0.68731,                0.68528,                0.42659,                 1.6305,               0.003664,               0.003664,               0.003664
                     66,                0.71001,                0.46502,                 1.5549,                0.80782,                0.79819,                0.84689,                0.68705,                0.68501,                0.42631,                 1.6303,               0.003565,               0.003565,               0.003565
                     67,                0.71564,                0.46165,                 1.5451,                0.80652,                0.79932,                0.84729,                0.68716,                0.68462,                  0.426,                   1.63,               0.003466,               0.003466,               0.003466
                     68,                0.70705,                0.45747,                 1.5521,                0.80875,                0.79836,                0.84779,                0.68791,                0.68454,                0.42582,                 1.6296,               0.003367,               0.003367,               0.003367
                     69,                0.70808,                0.45714,                  1.551,                0.80814,                0.79848,                0.84842,                0.68868,                0.68437,                0.42557,                 1.6292,               0.003268,               0.003268,               0.003268
                     70,                 0.7041,                 0.4553,                  1.536,                0.81098,                0.79865,                0.84905,                 0.6894,                0.68429,                 0.4253,                 1.6285,               0.003169,               0.003169,               0.003169
                     71,                0.70438,                 0.4574,                 1.5433,                0.81056,                0.80019,                0.84938,                0.69002,                 0.6841,                0.42496,                 1.6281,                0.00307,                0.00307,                0.00307
                     72,                0.70353,                0.45302,                 1.5397,                 0.8122,                0.79983,                0.84943,                0.69035,                0.68399,                0.42449,                 1.6276,               0.002971,               0.002971,               0.002971
                     73,                0.69831,                0.44779,                 1.5469,                0.81299,                0.79922,                   0.85,                0.69095,                0.68366,                 0.4243,                 1.6273,               0.002872,               0.002872,               0.002872
                     74,                0.69717,                0.44869,                 1.5377,                0.81948,                 0.7976,                0.85048,                0.69156,                0.68353,                0.42401,                  1.627,               0.002773,               0.002773,               0.002773
                     75,                0.69691,                0.44716,                 1.5348,                0.81725,                0.80025,                 0.8506,                 0.6921,                0.68326,                0.42361,                 1.6268,               0.002674,               0.002674,               0.002674
                     76,                 0.6955,                0.44603,                 1.5334,                0.81531,                0.80244,                0.85118,                0.69289,                0.68309,                0.42329,                 1.6266,               0.002575,               0.002575,               0.002575
                     77,                0.69444,                0.44381,                 1.5282,                0.81231,                0.80435,                0.85163,                 0.6928,                0.68294,                0.42317,                 1.6263,               0.002476,               0.002476,               0.002476
                     78,                0.69319,                 0.4419,                 1.5328,                0.81532,                0.80326,                0.85173,                0.69313,                 0.6828,                0.42304,                 1.6261,               0.002377,               0.002377,               0.002377
                     79,                0.69461,                0.44171,                 1.5348,                0.81536,                 0.8031,                0.85192,                0.69336,                0.68259,                0.42276,                 1.6257,               0.002278,               0.002278,               0.002278
                     80,                0.68859,                0.43971,                 1.5328,                0.81303,                0.80517,                0.85213,                0.69339,                0.68234,                 0.4225,                 1.6254,               0.002179,               0.002179,               0.002179
                     81,                0.68749,                0.43553,                 1.5354,                0.81306,                0.80671,                0.85245,                0.69354,                0.68224,                0.42227,                  1.625,                0.00208,                0.00208,                0.00208
                     82,                0.68974,                0.43854,                 1.5249,                0.81277,                0.80533,                0.85255,                0.69425,                0.68212,                0.42215,                 1.6248,               0.001981,               0.001981,               0.001981
                     83,                0.68483,                0.43178,                 1.5224,                0.81393,                0.80491,                0.85291,                 0.6945,                0.68185,                0.42178,                 1.6246,               0.001882,               0.001882,               0.001882
                     84,                0.68657,                 0.4362,                 1.5333,                0.82727,                0.79465,                0.85314,                0.69504,                0.68168,                0.42145,                 1.6243,               0.001783,               0.001783,               0.001783
                     85,                0.68671,                0.43313,                 1.5273,                0.82705,                0.79642,                0.85389,                0.69547,                0.68141,                0.42118,                  1.624,               0.001684,               0.001684,               0.001684
                     86,                0.67973,                0.42848,                 1.5253,                0.82792,                0.79466,                0.85426,                0.69599,                0.68132,                0.42112,                 1.6236,               0.001585,               0.001585,               0.001585
                     87,                0.67883,                0.42611,                 1.5185,                0.82804,                0.79516,                0.85452,                0.69621,                 0.6813,                0.42096,                 1.6233,               0.001486,               0.001486,               0.001486
                     88,                0.67894,                0.42719,                  1.531,                 0.8278,                0.79459,                0.85494,                0.69644,                0.68102,                0.42085,                  1.623,               0.001387,               0.001387,               0.001387
                     89,                0.67554,                0.42367,                 1.5278,                0.82917,                0.79489,                0.85504,                0.69669,                0.68095,                0.42062,                 1.6228,               0.001288,               0.001288,               0.001288
                     90,                0.67458,                0.42446,                 1.5159,                0.83063,                0.79443,                0.85534,                0.69726,                0.68069,                0.42046,                 1.6227,               0.001189,               0.001189,               0.001189
                     91,                0.67511,                0.42046,                 1.5164,                0.82367,                0.80305,                0.85571,                0.69764,                 0.6805,                0.42012,                 1.6225,                0.00109,                0.00109,                0.00109
                     92,                0.67112,                0.41544,                 1.5136,                0.82681,                0.79829,                 0.8559,                0.69796,                0.68022,                0.41978,                 1.6225,               0.000991,               0.000991,               0.000991
                     93,                0.66926,                0.41416,                 1.5153,                0.82477,                0.80242,                0.85594,                0.69779,                0.67995,                0.41961,                 1.6222,               0.000892,               0.000892,               0.000892
                     94,                 0.6698,                 0.4171,                 1.5148,                0.82499,                0.80379,                0.85602,                0.69814,                0.67969,                 0.4194,                  1.622,               0.000793,               0.000793,               0.000793
                     95,                0.66875,                0.41715,                 1.5098,                0.82026,                0.81067,                0.85626,                0.69828,                0.67935,                0.41912,                 1.6218,               0.000694,               0.000694,               0.000694
                     96,                 0.6646,                0.41192,                 1.5071,                0.82144,                0.80989,                0.85642,                0.69855,                0.67916,                0.41899,                 1.6216,               0.000595,               0.000595,               0.000595
