                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8306,                 2.2844,                 2.8841,                0.83826,                0.18384,                 0.2222,                0.11408,                 1.6597,                   1.47,                 2.6159,               0.070106,              0.0033215,              0.0033215
                      2,                  1.478,                  1.244,                 2.2685,                0.27124,                 0.2582,                0.22509,                0.12697,                 1.6074,                 1.4245,                 2.4096,                0.04004,               0.006589,               0.006589
                      3,                 1.2076,                 1.0012,                 2.0147,                0.19716,                0.32198,                0.20876,                0.12054,                 1.4604,                 1.2458,                 2.5349,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0605,                0.86343,                 1.8728,                0.44015,                0.51804,                0.47762,                0.32797,                 1.0128,                0.81141,                 1.9437,               0.009703,               0.009703,               0.009703
                      5,                0.98564,                0.78017,                 1.8041,                0.54846,                0.60055,                0.56562,                0.40106,                0.87321,                0.69901,                 1.9036,               0.009604,               0.009604,               0.009604
                      6,                0.93975,                0.72715,                 1.7559,                0.53415,                0.56613,                0.54816,                0.38484,                 0.8957,                0.70903,                  1.852,               0.009505,               0.009505,               0.009505
                      7,                0.91509,                0.69735,                 1.7318,                 0.5927,                0.60813,                0.59758,                0.42557,                0.85798,                 0.6439,                 1.8668,               0.009406,               0.009406,               0.009406
                      8,                0.89837,                0.68041,                  1.725,                0.61624,                0.66888,                0.63409,                0.46236,                0.81384,                0.61014,                 1.7927,               0.009307,               0.009307,               0.009307
                      9,                0.88801,                0.66096,                 1.6964,                0.62493,                0.65037,                0.64015,                0.47527,                0.81827,                0.60238,                 1.7924,               0.009208,               0.009208,               0.009208
                     10,                0.87827,                0.65182,                 1.6819,                0.67951,                0.67564,                0.68621,                0.51338,                0.78365,                 0.5732,                  1.768,               0.009109,               0.009109,               0.009109
                     11,                0.86889,                0.63607,                 1.6779,                0.66879,                0.68858,                0.68726,                0.51439,                0.79005,                0.56038,                 1.7707,                0.00901,                0.00901,                0.00901
                     12,                0.85742,                  0.623,                 1.6637,                0.66816,                 0.7103,                0.71973,                0.54169,                0.77785,                0.53934,                 1.7249,               0.008911,               0.008911,               0.008911
                     13,                0.85081,                0.61804,                 1.6613,                0.71406,                0.68193,                0.71575,                0.54569,                0.78507,                0.54874,                 1.7489,               0.008812,               0.008812,               0.008812
                     14,                0.84559,                0.61205,                 1.6502,                0.68476,                0.69738,                 0.7057,                 0.5463,                0.76018,                0.53528,                 1.7361,               0.008713,               0.008713,               0.008713
                     15,                0.83997,                0.60392,                 1.6497,                 0.7167,                0.73073,                0.74527,                0.56892,                 0.7676,                 0.5197,                 1.7169,               0.008614,               0.008614,               0.008614
                     16,                0.83357,                0.59314,                   1.64,                0.71228,                0.74076,                0.75746,                0.58419,                0.75385,                 0.5077,                 1.7181,               0.008515,               0.008515,               0.008515
