                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8417,                 2.2945,                 2.8848,                 0.9214,                0.16471,                0.21326,                 0.1116,                 1.6785,                 1.5152,                 2.6123,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4828,                 1.2518,                 2.2653,                0.30246,                0.33964,                0.29929,                0.17385,                 1.3228,                 1.1482,                 2.2188,                0.04004,               0.006589,               0.006589
                      3,                 1.2065,                 1.0033,                 2.0126,                0.29573,                0.38831,                0.30251,                0.17727,                 1.3801,                 1.1393,                 2.3786,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0612,                0.86595,                 1.8706,                0.39361,                0.51992,                0.43294,                0.30252,                0.98635,                0.87755,                 1.9367,               0.009703,               0.009703,               0.009703
                      5,                0.98466,                0.78284,                 1.7998,                0.54653,                0.59463,                0.56023,                0.39982,                 0.8719,                0.69912,                  1.871,               0.009604,               0.009604,               0.009604
                      6,                0.93999,                0.73023,                 1.7497,                0.54488,                 0.6071,                0.58167,                0.40929,                0.89326,                0.68282,                 1.8379,               0.009505,               0.009505,               0.009505
                      7,                0.91553,                0.69737,                 1.7256,                0.59198,                0.62898,                0.60868,                0.44241,                0.84545,                0.63453,                   1.82,               0.009406,               0.009406,               0.009406
                      8,                0.89729,                0.68037,                 1.7215,                0.60643,                0.67868,                0.64557,                0.47531,                0.82659,                0.60798,                 1.7891,               0.009307,               0.009307,               0.009307
                      9,                0.88782,                0.66228,                 1.6906,                0.61399,                0.65349,                 0.6342,                0.47167,                0.81646,                0.60813,                 1.7909,               0.009208,               0.009208,               0.009208
                     10,                0.87806,                0.65446,                  1.678,                0.65436,                 0.6779,                0.68291,                0.50753,                0.79011,                 0.5686,                 1.7522,               0.009109,               0.009109,               0.009109
                     11,                 0.8681,                0.63833,                 1.6746,                0.68863,                0.69322,                0.70415,                  0.529,                0.78292,                0.55583,                 1.7645,                0.00901,                0.00901,                0.00901
                     12,                0.85839,                0.62487,                  1.663,                0.68182,                0.70203,                0.71671,                0.54072,                0.78551,                0.53737,                 1.7238,               0.008911,               0.008911,               0.008911
                     13,                0.85054,                0.62074,                 1.6589,                0.70666,                0.71205,                0.72708,                0.55664,                0.77372,                0.53843,                 1.7501,               0.008812,               0.008812,               0.008812
                     14,                0.84548,                0.61296,                 1.6482,                0.69627,                0.72249,                0.72096,                0.55631,                0.75994,                0.52784,                 1.7354,               0.008713,               0.008713,               0.008713
                     15,                0.83954,                0.60412,                  1.647,                0.69818,                0.72654,                0.72885,                 0.5551,                 0.7751,                0.52928,                  1.714,               0.008614,               0.008614,               0.008614
                     16,                0.83396,                0.59461,                 1.6383,                0.74271,                0.72662,                 0.7581,                0.58544,                0.75194,                0.50587,                 1.7069,               0.008515,               0.008515,               0.008515
                     17,                0.82857,                0.58988,                 1.6427,                0.72599,                0.73689,                0.75401,                0.58168,                0.75115,                0.51041,                  1.713,               0.008416,               0.008416,               0.008416
                     18,                0.82375,                0.58449,                 1.6296,                0.72281,                0.74735,                0.76166,                0.59176,                0.74662,                0.50473,                 1.7098,               0.008317,               0.008317,               0.008317
                     19,                0.82093,                0.58039,                 1.6415,                0.74772,                0.74008,                0.78073,                0.60903,                0.74333,                 0.4958,                 1.6964,               0.008218,               0.008218,               0.008218
                     20,                 0.8189,                0.57895,                 1.6286,                0.73719,                0.73783,                0.76782,                0.59617,                 0.7396,                0.49869,                 1.7003,               0.008119,               0.008119,               0.008119
                     21,                0.81551,                0.56956,                 1.6282,                0.75064,                0.73921,                 0.7834,                0.61429,                0.73842,                0.48586,                 1.6939,                0.00802,                0.00802,                0.00802
                     22,                0.80866,                0.57101,                 1.6217,                0.74673,                0.76223,                0.78817,                0.61598,                 0.7317,                0.48163,                  1.691,               0.007921,               0.007921,               0.007921
                     23,                0.80785,                0.56684,                 1.6301,                0.74734,                0.74128,                0.78494,                0.61609,                0.72998,                0.48503,                  1.701,               0.007822,               0.007822,               0.007822
                     24,                0.80437,                0.56291,                 1.6215,                0.76729,                0.75029,                0.79857,                 0.6277,                0.72959,                0.47649,                 1.6789,               0.007723,               0.007723,               0.007723
                     25,                0.79997,                0.55175,                  1.616,                0.75687,                 0.7664,                0.79358,                0.62374,                0.72115,                0.47234,                 1.6741,               0.007624,               0.007624,               0.007624
                     26,                 0.7945,                0.54894,                  1.614,                0.77395,                0.77571,                0.80781,                 0.6369,                0.72269,                0.46609,                 1.6708,               0.007525,               0.007525,               0.007525
                     27,                0.79019,                0.54974,                 1.6086,                0.77943,                0.75877,                0.81163,                0.64233,                 0.7185,                0.46565,                 1.6717,               0.007426,               0.007426,               0.007426
                     28,                0.78974,                0.54529,                 1.6008,                 0.7648,                0.77026,                0.80359,                0.63693,                0.71823,                0.46587,                 1.6637,               0.007327,               0.007327,               0.007327
                     29,                0.78955,                0.54355,                 1.6093,                 0.7651,                0.78367,                0.81329,                0.64385,                0.71546,                0.46185,                 1.6651,               0.007228,               0.007228,               0.007228
                     30,                0.78519,                0.53964,                 1.5973,                0.77682,                0.77637,                0.81619,                0.64951,                0.71396,                0.45793,                  1.664,               0.007129,               0.007129,               0.007129
                     31,                0.78818,                0.54205,                 1.6077,                0.78279,                0.76704,                0.82039,                0.65247,                0.71061,                0.45911,                 1.6596,                0.00703,                0.00703,                0.00703
                     32,                0.77914,                0.53514,                 1.6006,                 0.7575,                0.78915,                0.81788,                0.65149,                0.70845,                0.45535,                 1.6595,               0.006931,               0.006931,               0.006931
                     33,                0.78055,                0.53547,                 1.5921,                0.77883,                0.77803,                0.81935,                0.65411,                0.71019,                 0.4554,                  1.652,               0.006832,               0.006832,               0.006832
                     34,                0.77339,                0.52782,                 1.5933,                0.79283,                0.77561,                0.82272,                0.65746,                0.70744,                0.45203,                 1.6552,               0.006733,               0.006733,               0.006733
                     35,                 0.7762,                0.52796,                 1.5964,                0.77962,                 0.7784,                0.82317,                 0.6591,                0.70547,                0.45073,                 1.6572,               0.006634,               0.006634,               0.006634
                     36,                0.77071,                 0.5231,                 1.5836,                0.77955,                 0.7864,                0.82846,                0.66355,                 0.7033,                0.44698,                 1.6557,               0.006535,               0.006535,               0.006535
                     37,                0.76397,                 0.5197,                 1.5805,                0.79192,                0.78288,                0.83005,                0.66406,                0.70089,                0.44571,                 1.6506,               0.006436,               0.006436,               0.006436
