                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8085,                 2.3173,                 2.8828,                0.18121,                0.16541,                0.19116,                0.10111,                 1.8244,                 1.5572,                 2.6118,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5509,                  1.323,                 2.3341,                0.26409,                0.31598,                0.28591,                 0.1637,                 1.4039,                 1.2306,                 2.2376,                0.04004,               0.006589,               0.006589
                      3,                 1.2687,                 1.0749,                 2.0333,                0.19893,                0.33532,                0.21985,                0.12609,                 1.4824,                 1.2924,                 2.6337,              0.0099086,              0.0097904,              0.0097904
                      4,                  1.094,                0.91937,                 1.8519,                0.36787,                0.47648,                0.40713,                0.27988,                 1.0319,                 0.9187,                 1.9236,               0.009703,               0.009703,               0.009703
                      5,                 1.0095,                0.82052,                 1.7579,                0.55153,                0.56783,                 0.5428,                0.38172,                0.92481,                0.78338,                 1.8493,               0.009604,               0.009604,               0.009604
                      6,                0.96011,                 0.7586,                 1.7022,                 0.5064,                0.52338,                0.49916,                0.35311,                0.95544,                0.79971,                 1.8818,               0.009505,               0.009505,               0.009505
                      7,                0.93068,                0.72182,                 1.6816,                0.57591,                0.61329,                0.59233,                 0.4349,                0.85187,                0.66107,                  1.764,               0.009406,               0.009406,               0.009406
                      8,                0.91261,                0.70327,                 1.6752,                0.63644,                0.64563,                0.64477,                0.48051,                0.82324,                0.61436,                 1.7212,               0.009307,               0.009307,               0.009307
                      9,                0.90002,                0.68086,                 1.6495,                0.61259,                0.63394,                 0.6208,                0.46379,                0.81834,                0.63437,                  1.727,               0.009208,               0.009208,               0.009208
                     10,                0.88923,                0.66835,                 1.6373,                0.67342,                0.67183,                0.68998,                0.51797,                 0.7853,                 0.5896,                 1.6939,               0.009109,               0.009109,               0.009109
                     11,                0.87781,                0.65377,                 1.6334,                0.64957,                0.66546,                 0.6622,                0.49265,                0.80056,                0.59529,                  1.727,                0.00901,                0.00901,                0.00901
                     12,                0.86583,                0.63655,                 1.6226,                0.66145,                0.69073,                0.68736,                0.51763,                0.79043,                0.57009,                 1.6947,               0.008911,               0.008911,               0.008911
                     13,                0.85686,                0.63273,                 1.6211,                0.67515,                0.70005,                0.70085,                0.53047,                0.78493,                0.55485,                 1.7039,               0.008812,               0.008812,               0.008812
                     14,                0.85094,                 0.6241,                 1.6136,                0.68277,                 0.6917,                0.70786,                0.54495,                0.76829,                0.55184,                 1.7171,               0.008713,               0.008713,               0.008713
                     15,                0.84574,                0.61587,                 1.6102,                0.72861,                0.69569,                0.73688,                0.56404,                0.76809,                0.53489,                 1.6591,               0.008614,               0.008614,               0.008614
                     16,                0.84002,                0.60542,                 1.6033,                0.71341,                0.74029,                0.74719,                0.57529,                0.75818,                0.52497,                 1.6663,               0.008515,               0.008515,               0.008515
                     17,                0.83421,                0.59927,                 1.6064,                0.70244,                0.75688,                0.74845,                0.57875,                0.74864,                0.51757,                 1.6472,               0.008416,               0.008416,               0.008416
                     18,                0.82646,                0.59212,                 1.5923,                0.71287,                0.73726,                0.75405,                 0.5838,                0.74448,                 0.5098,                   1.65,               0.008317,               0.008317,               0.008317
                     19,                 0.8251,                0.59125,                 1.6063,                0.75037,                0.73434,                0.77424,                0.60384,                0.74234,                0.50311,                 1.6423,               0.008218,               0.008218,               0.008218
                     20,                0.82347,                0.58941,                 1.5941,                0.72981,                0.74589,                0.76696,                0.59716,                0.74603,                0.51104,                 1.6394,               0.008119,               0.008119,               0.008119
                     21,                0.81822,                0.57713,                 1.5959,                0.76865,                0.74612,                0.79025,                0.61961,                0.73744,                 0.4956,                  1.626,                0.00802,                0.00802,                0.00802
                     22,                0.81028,                0.57757,                 1.5853,                0.72568,                0.76013,                0.76782,                0.60237,                0.73291,                0.49386,                 1.6279,               0.007921,               0.007921,               0.007921
                     23,                0.80945,                0.57374,                 1.5963,                0.76397,                0.74117,                0.78714,                 0.6202,                0.73082,                0.48984,                  1.631,               0.007822,               0.007822,               0.007822
                     24,                0.80634,                0.57011,                 1.5885,                0.75472,                0.75531,                0.79243,                0.62124,                0.72241,                0.48322,                  1.635,               0.007723,               0.007723,               0.007723
                     25,                0.79996,                 0.5589,                 1.5849,                0.74334,                0.76002,                0.78035,                 0.6163,                0.72229,                0.48019,                 1.6235,               0.007624,               0.007624,               0.007624
                     26,                0.79553,                0.55436,                  1.582,                0.75784,                0.77693,                0.79715,                0.63358,                0.71467,                0.47578,                 1.6258,               0.007525,               0.007525,               0.007525
                     27,                0.78961,                0.55377,                 1.5756,                0.76495,                0.77751,                0.80258,                0.63667,                 0.7138,                0.47312,                 1.6221,               0.007426,               0.007426,               0.007426
                     28,                0.79046,                0.55112,                 1.5711,                0.75521,                0.76662,                0.79331,                0.63249,                0.71107,                0.47258,                 1.6183,               0.007327,               0.007327,               0.007327
                     29,                 0.7873,                0.54697,                 1.5771,                0.76866,                0.77551,                0.80784,                0.64377,                0.71042,                0.46806,                 1.6132,               0.007228,               0.007228,               0.007228
                     30,                0.78417,                0.54497,                 1.5666,                 0.7595,                 0.7757,                0.80398,                0.64073,                0.70846,                0.46467,                 1.6161,               0.007129,               0.007129,               0.007129
                     31,                0.78646,                0.54585,                 1.5762,                0.78512,                0.77431,                0.81758,                0.65419,                0.70584,                0.46101,                 1.6099,                0.00703,                0.00703,                0.00703
                     32,                0.77677,                0.53708,                  1.569,                0.75893,                 0.7932,                0.81554,                0.65306,                0.70475,                0.45983,                 1.6067,               0.006931,               0.006931,               0.006931
                     33,                0.77848,                0.53884,                 1.5604,                 0.7796,                0.77624,                0.81572,                0.65339,                0.70456,                0.46167,                 1.6016,               0.006832,               0.006832,               0.006832
                     34,                 0.7725,                0.53189,                 1.5614,                 0.7807,                0.78071,                0.82264,                0.65907,                0.70206,                0.45677,                 1.6035,               0.006733,               0.006733,               0.006733
                     35,                0.77443,                0.53193,                 1.5662,                0.79043,                0.77942,                  0.825,                0.66142,                0.70065,                0.45598,                 1.6046,               0.006634,               0.006634,               0.006634
                     36,                0.76772,                0.52714,                 1.5553,                0.78893,                0.77944,                0.82247,                0.66161,                0.69872,                0.45296,                 1.6044,               0.006535,               0.006535,               0.006535
                     37,                0.76053,                0.52228,                 1.5547,                0.79456,                0.77089,                0.82493,                0.66361,                0.69646,                0.45118,                 1.6047,               0.006436,               0.006436,               0.006436
                     38,                0.76282,                0.52101,                 1.5567,                0.80978,                0.77401,                0.83284,                  0.672,                0.69551,                0.44844,                 1.5982,               0.006337,               0.006337,               0.006337
                     39,                0.75645,                0.51609,                 1.5576,                0.81488,                0.76952,                0.82797,                0.66951,                0.69414,                0.44748,                 1.5984,               0.006238,               0.006238,               0.006238
                     40,                0.75667,                0.51971,                 1.5526,                0.80765,                0.78178,                0.83316,                0.67277,                0.69299,                0.44653,                 1.5977,               0.006139,               0.006139,               0.006139
                     41,                0.75281,                0.50937,                 1.5598,                0.80771,                0.78355,                0.83774,                0.67769,                0.69103,                0.44362,                 1.6029,                0.00604,                0.00604,                0.00604
                     42,                0.75135,                0.51046,                 1.5499,                0.80669,                0.77409,                0.83181,                0.67291,                0.68962,                0.44327,                 1.6005,               0.005941,               0.005941,               0.005941
