                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8418,                 2.2979,                   2.91,                0.40761,                0.19798,                0.21678,                0.11608,                 1.6647,                 1.4994,                 2.7279,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5582,                 1.2984,                 2.3121,                0.37537,                0.31136,                0.29498,                0.16647,                 1.5136,                 1.3563,                 2.3211,                0.04004,               0.006589,               0.006589
                      3,                 1.2697,                 1.0556,                 2.0175,                0.30871,                0.35898,                0.31229,                0.18926,                 1.3031,                    1.1,                 2.3987,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0923,                0.89512,                  1.851,                0.38156,                0.44192,                0.38625,                0.26132,                 1.0672,                0.92781,                 2.0474,               0.009703,               0.009703,               0.009703
                      5,                 1.0019,                 0.7995,                 1.7785,                0.55349,                 0.5918,                0.56327,                0.40308,                0.88126,                0.71163,                 1.8573,               0.009604,               0.009604,               0.009604
                      6,                0.95129,                0.73765,                 1.7293,                0.42848,                0.46617,                  0.406,                0.27417,                 1.0274,                0.82363,                 1.9679,               0.009505,               0.009505,               0.009505
                      7,                0.92246,                 0.7044,                 1.7082,                0.58962,                0.65116,                0.62066,                0.45461,                0.83916,                0.64013,                 1.7609,               0.009406,               0.009406,               0.009406
                      8,                0.90507,                0.68735,                 1.7012,                 0.6369,                0.67253,                0.64664,                0.47831,                0.81409,                0.60673,                 1.7433,               0.009307,               0.009307,               0.009307
                      9,                0.89371,                0.66741,                  1.673,                0.55932,                0.60046,                0.57034,                0.41686,                0.84868,                0.65399,                 1.8074,               0.009208,               0.009208,               0.009208
                     10,                0.88258,                0.65751,                 1.6611,                0.64798,                0.66645,                0.66372,                0.49568,                 0.7989,                0.59768,                 1.7568,               0.009109,               0.009109,               0.009109
                     11,                0.87168,                0.64176,                 1.6578,                0.64185,                0.68486,                0.67988,                0.50945,                0.79028,                0.58298,                 1.7262,                0.00901,                0.00901,                0.00901
                     12,                0.86238,                0.62867,                 1.6472,                0.67186,                 0.7053,                0.70465,                0.53115,                0.77671,                0.54704,                 1.7051,               0.008911,               0.008911,               0.008911
                     13,                0.85419,                0.62392,                 1.6445,                0.68803,                0.71544,                0.71549,                 0.5448,                0.77627,                0.55262,                 1.7341,               0.008812,               0.008812,               0.008812
                     14,                0.84803,                0.61623,                 1.6348,                 0.6941,                 0.6798,                 0.6933,                0.53367,                0.76761,                0.55401,                 1.7104,               0.008713,               0.008713,               0.008713
                     15,                0.84376,                0.60781,                 1.6358,                0.71349,                0.72189,                0.73764,                0.56825,                0.76611,                0.52062,                 1.6824,               0.008614,               0.008614,               0.008614
                     16,                0.83698,                0.59871,                 1.6241,                0.71343,                0.74152,                0.74601,                 0.5784,                0.75556,                  0.512,                 1.7016,               0.008515,               0.008515,               0.008515
                     17,                0.83196,                0.59306,                 1.6292,                 0.7153,                0.73668,                0.74916,                 0.5803,                0.75812,                0.51499,                 1.6861,               0.008416,               0.008416,               0.008416
                     18,                0.82796,                0.58822,                 1.6127,                0.70147,                0.73527,                0.74789,                0.57877,                0.75189,                0.51878,                 1.6775,               0.008317,               0.008317,               0.008317
                     19,                0.82358,                0.58373,                 1.6285,                 0.7598,                0.72995,                 0.7845,                0.61188,                0.74175,                0.49182,                  1.692,               0.008218,               0.008218,               0.008218
                     20,                0.82125,                0.58256,                 1.6174,                0.72221,                0.75488,                 0.7667,                0.59622,                0.74128,                  0.502,                 1.6871,               0.008119,               0.008119,               0.008119
                     21,                0.81773,                0.57206,                 1.6167,                0.76461,                0.74832,                0.79253,                0.62079,                0.73506,                0.48793,                 1.6731,                0.00802,                0.00802,                0.00802
                     22,                 0.8109,                0.57321,                 1.6077,                0.73997,                0.77225,                0.78062,                0.61295,                0.73285,                0.48666,                 1.6725,               0.007921,               0.007921,               0.007921
                     23,                 0.8102,                0.56908,                 1.6176,                0.74947,                0.76302,                0.79318,                 0.6228,                0.73027,                0.48409,                 1.6683,               0.007822,               0.007822,               0.007822
                     24,                 0.8069,                0.56469,                 1.6105,                0.76266,                0.74487,                0.79775,                0.62765,                0.72813,                0.47813,                 1.6548,               0.007723,               0.007723,               0.007723
                     25,                0.80171,                0.55551,                 1.6032,                0.75872,                0.75335,                 0.7934,                0.62374,                0.72439,                0.47358,                 1.6649,               0.007624,               0.007624,               0.007624
                     26,                 0.7971,                0.55152,                 1.6034,                0.78576,                0.75924,                0.80855,                0.63922,                0.72382,                0.47204,                 1.6559,               0.007525,               0.007525,               0.007525
                     27,                 0.7926,                0.55171,                 1.5964,                0.78428,                0.77493,                 0.8209,                0.64987,                0.72245,                0.46742,                 1.6517,               0.007426,               0.007426,               0.007426
                     28,                0.79214,                 0.5477,                 1.5896,                0.76184,                  0.762,                0.80457,                0.63936,                0.72165,                0.47022,                 1.6397,               0.007327,               0.007327,               0.007327
                     29,                0.79149,                0.54608,                 1.6011,                0.77769,                0.78645,                0.82415,                0.65357,                0.71462,                 0.4617,                 1.6543,               0.007228,               0.007228,               0.007228
                     30,                 0.7868,                 0.5421,                 1.5871,                 0.7849,                0.78341,                0.82139,                0.65234,                0.71743,                0.46141,                 1.6433,               0.007129,               0.007129,               0.007129
                     31,                0.78968,                0.54535,                 1.5954,                0.78304,                0.79384,                0.83184,                0.66442,                0.71447,                0.45742,                 1.6393,                0.00703,                0.00703,                0.00703
                     32,                0.78138,                0.53639,                 1.5928,                0.77615,                0.77945,                0.82256,                0.65659,                0.71154,                0.45719,                 1.6497,               0.006931,               0.006931,               0.006931
