                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6939,                 2.2113,                 2.8675,                0.43182,                0.21684,                0.23036,                0.11892,                 1.6467,                 1.4627,                 2.6686,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4606,                  1.222,                 2.2679,                0.28819,                0.34831,                0.29096,                0.17611,                 1.2862,                 1.0951,                 2.3266,                0.04004,               0.006589,               0.006589
                      3,                 1.1989,                0.98968,                 2.0199,                0.35283,                0.48693,                0.40997,                0.26939,                 1.0348,                0.96564,                 2.1285,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0549,                0.85702,                 1.8825,                0.45447,                0.50375,                0.46372,                0.32306,                 1.0009,                0.82619,                 1.9432,               0.009703,               0.009703,               0.009703
                      5,                0.98221,                0.77674,                 1.8122,                0.54507,                0.59031,                0.55243,                0.39528,                 0.8801,                   0.71,                  1.887,               0.009604,               0.009604,               0.009604
                      6,                0.93718,                0.72394,                 1.7608,                0.49413,                0.55597,                0.52976,                0.37695,                 0.8959,                0.71714,                 1.8783,               0.009505,               0.009505,               0.009505
                      7,                 0.9131,                0.69262,                 1.7359,                0.59146,                0.58265,                0.57506,                0.41735,                0.87825,                0.67369,                 1.8714,               0.009406,               0.009406,               0.009406
                      8,                0.89733,                0.67829,                 1.7289,                0.62104,                0.68293,                 0.6485,                0.47765,                0.82135,                0.59468,                  1.786,               0.009307,               0.009307,               0.009307
                      9,                0.88811,                0.66127,                 1.7024,                0.59974,                0.63649,                0.60281,                 0.4482,                0.82107,                0.62574,                 1.8056,               0.009208,               0.009208,               0.009208
                     10,                0.87723,                0.65248,                 1.6876,                0.61413,                0.65678,                0.65335,                0.48615,                0.79467,                0.60089,                 1.7855,               0.009109,               0.009109,               0.009109
                     11,                0.86868,                0.63857,                 1.6843,                0.65777,                0.69592,                0.68527,                0.51355,                0.78816,                0.56933,                   1.77,                0.00901,                0.00901,                0.00901
                     12,                0.85784,                0.62566,                  1.672,                0.67577,                0.71168,                0.70106,                 0.5297,                0.78042,                0.54141,                 1.7428,               0.008911,               0.008911,               0.008911
                     13,                 0.8503,                0.62019,                  1.667,                0.68822,                0.69831,                0.71799,                0.54182,                0.77595,                0.55064,                 1.7827,               0.008812,               0.008812,               0.008812
                     14,                0.84654,                0.61506,                 1.6572,                0.65262,                0.67539,                 0.6926,                0.52543,                0.77942,                 0.5656,                 1.7602,               0.008713,               0.008713,               0.008713
                     15,                0.84058,                0.60492,                 1.6561,                0.69903,                0.71423,                 0.7298,                0.55919,                0.75765,                0.52352,                 1.7318,               0.008614,               0.008614,               0.008614
                     16,                0.83481,                0.59548,                 1.6471,                0.70928,                0.71403,                0.73233,                0.56093,                0.75396,                0.51619,                 1.7351,               0.008515,               0.008515,               0.008515
