                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8018,                 2.3375,                 2.9116,                0.95491,                0.14986,                0.20217,                0.10483,                 1.7584,                 1.5607,                 2.6982,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5373,                 1.3103,                 2.3434,                0.31565,                0.32202,                0.26712,                0.15025,                 1.4392,                  1.249,                 2.3444,                0.04004,               0.006589,               0.006589
                      3,                 1.2598,                 1.0621,                 2.0228,                0.30291,                0.44803,                0.35069,                0.22134,                 1.1916,                 1.0661,                 2.3333,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.1028,                0.91743,                 1.8318,                0.38535,                0.44016,                0.38334,                0.27159,                 1.0113,                 1.0179,                  1.944,               0.009703,               0.009703,               0.009703
                      5,                 1.0135,                0.81765,                 1.7506,                0.54094,                0.53558,                0.52865,                0.36391,                 0.9589,                0.78576,                 1.9262,               0.009604,               0.009604,               0.009604
                      6,                0.96338,                0.75782,                 1.6993,                0.55805,                0.59622,                 0.5823,                0.41784,                0.88695,                0.70436,                 1.7587,               0.009505,               0.009505,               0.009505
                      7,                0.93466,                0.72298,                  1.682,                0.59874,                0.61101,                0.60755,                0.44289,                0.83247,                0.67378,                 1.7544,               0.009406,               0.009406,               0.009406
                      8,                0.91352,                0.70206,                 1.6757,                0.61495,                0.67071,                0.63732,                0.47139,                0.82635,                 0.6185,                  1.707,               0.009307,               0.009307,               0.009307
                      9,                0.89887,                0.67976,                 1.6509,                0.58891,                0.59708,                0.59739,                0.43596,                0.84391,                0.65701,                  1.773,               0.009208,               0.009208,               0.009208
                     10,                0.88878,                0.66766,                  1.642,                0.63027,                0.64182,                0.64429,                0.48608,                0.78668,                0.63144,                 1.7077,               0.009109,               0.009109,               0.009109
                     11,                0.87708,                0.65208,                 1.6386,                0.66059,                0.70092,                0.69282,                0.52229,                 0.7896,                0.56966,                  1.698,                0.00901,                0.00901,                0.00901
                     12,                0.86621,                0.63778,                 1.6297,                0.66537,                0.69221,                 0.6876,                0.51743,                0.78904,                0.55906,                  1.676,               0.008911,               0.008911,               0.008911
                     13,                0.85965,                0.63473,                 1.6254,                0.67715,                0.70285,                0.70826,                 0.5374,                 0.7745,                0.55388,                 1.7208,               0.008812,               0.008812,               0.008812
                     14,                0.85326,                0.62567,                 1.6162,                 0.6414,                0.69074,                0.68569,                 0.5204,                0.77635,                0.56506,                 1.7098,               0.008713,               0.008713,               0.008713
                     15,                0.84664,                 0.6169,                 1.6185,                0.70558,                0.71978,                0.74545,                0.57123,                0.76611,                0.52865,                 1.6756,               0.008614,               0.008614,               0.008614
                     16,                0.84039,                 0.6052,                 1.6082,                0.70574,                0.73203,                0.74443,                0.57433,                0.75238,                 0.5184,                 1.6989,               0.008515,               0.008515,               0.008515
                     17,                0.83634,                0.60117,                 1.6127,                0.71036,                0.72707,                0.73904,                0.57058,                0.75142,                0.52448,                 1.6765,               0.008416,               0.008416,               0.008416
                     18,                0.82826,                0.59417,                 1.6033,                0.70415,                0.73154,                0.73935,                 0.5717,                 0.7472,                0.51328,                 1.6705,               0.008317,               0.008317,               0.008317
                     19,                0.82651,                0.59053,                 1.6128,                0.73775,                0.73658,                 0.7677,                 0.5971,                0.74639,                  0.508,                 1.6471,               0.008218,               0.008218,               0.008218
                     20,                0.82276,                   0.59,                  1.603,                0.73511,                0.71063,                0.75165,                0.58191,                0.74054,                0.51132,                 1.6776,               0.008119,               0.008119,               0.008119
                     21,                0.82088,                0.57867,                 1.6046,                0.73839,                0.74942,                0.77762,                 0.6069,                 0.7365,                0.49697,                 1.6553,                0.00802,                0.00802,                0.00802
                     22,                0.81378,                 0.5807,                 1.5958,                 0.7421,                0.75295,                0.77686,                0.60796,                0.72962,                0.48999,                 1.6608,               0.007921,               0.007921,               0.007921
                     23,                 0.8117,                0.57697,                  1.607,                0.75243,                0.74305,                0.77811,                0.60862,                0.73179,                0.48945,                 1.6504,               0.007822,               0.007822,               0.007822
