                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6888,                 2.2408,                 2.8616,                0.20287,                0.21015,                0.21978,                0.11166,                 1.6635,                 1.5316,                 2.6226,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4491,                 1.2303,                 2.2496,                0.30968,                0.31739,                0.28203,                0.17427,                 1.2405,                  1.111,                  2.252,                0.04004,               0.006589,               0.006589
                      3,                 1.1964,                0.99283,                 2.0024,                0.20198,                0.23872,                0.16466,                0.08973,                 1.7578,                 1.8082,                 2.6718,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0567,                0.86127,                 1.8729,                0.42426,                0.51361,                0.45336,                0.30831,                 1.0256,                0.82486,                  1.982,               0.009703,               0.009703,               0.009703
                      5,                0.98074,                0.77996,                 1.8052,                0.54467,                0.59708,                0.55077,                0.39376,                0.87987,                0.70244,                 1.8704,               0.009604,               0.009604,               0.009604
                      6,                0.93666,                0.72563,                 1.7551,                0.54934,                0.58347,                0.56714,                0.40635,                0.86838,                0.68114,                 1.8495,               0.009505,               0.009505,               0.009505
                      7,                0.91161,                 0.6958,                 1.7336,                0.59879,                0.63843,                0.61591,                0.44732,                0.83591,                0.62556,                 1.8262,               0.009406,               0.009406,               0.009406
                      8,                0.89559,                0.67974,                 1.7257,                0.63847,                0.64999,                0.63652,                 0.4659,                0.81624,                0.60878,                 1.7975,               0.009307,               0.009307,               0.009307
                      9,                0.88593,                0.66109,                 1.6959,                0.62943,                0.66386,                0.64549,                 0.4792,                0.80924,                0.58847,                  1.784,               0.009208,               0.009208,               0.009208
                     10,                0.87544,                0.65202,                 1.6817,                0.60843,                0.63955,                0.63144,                0.47115,                0.80526,                0.60999,                 1.7833,               0.009109,               0.009109,               0.009109
