                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7379,                 2.2373,                 2.8698,                0.72028,                 0.2121,                0.23043,                0.11991,                 1.6751,                 1.4617,                 2.6328,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4659,                  1.229,                 2.2517,                0.31213,                0.40077,                0.32434,                0.19207,                 1.2564,                 1.0664,                 2.2785,                0.04004,               0.006589,               0.006589
                      3,                 1.2169,                 1.0055,                 2.0055,                0.35295,                0.47339,                0.38165,                0.24651,                 1.1059,                0.98664,                 2.0848,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0686,                 0.8659,                 1.8731,                0.42036,                0.49848,                0.43183,                 0.2971,                 1.0024,                0.81932,                 1.9962,               0.009703,               0.009703,               0.009703
                      5,                0.98844,                0.77946,                 1.8016,                 0.4902,                0.51814,                 0.4947,                0.34798,                0.90555,                 0.7334,                 1.9237,               0.009604,               0.009604,               0.009604
                      6,                0.94253,                0.72578,                 1.7527,                0.54418,                0.58143,                0.55888,                0.39219,                0.89861,                0.70524,                 1.8585,               0.009505,               0.009505,               0.009505
                      7,                0.91626,                0.69744,                 1.7269,                0.58031,                0.61651,                0.59489,                0.43116,                 0.8464,                0.65425,                 1.8266,               0.009406,               0.009406,               0.009406
                      8,                0.89772,                0.67837,                 1.7196,                0.59889,                0.63548,                0.61087,                0.45144,                 0.8249,                 0.6248,                 1.7997,               0.009307,               0.009307,               0.009307
                      9,                0.88674,                0.65904,                 1.6895,                0.61322,                0.66375,                0.64247,                0.47586,                0.81897,                0.59461,                 1.7601,               0.009208,               0.009208,               0.009208
                     10,                 0.8788,                0.64902,                 1.6752,                0.63786,                0.68845,                0.67384,                0.50765,                0.78666,                0.57368,                 1.7486,               0.009109,               0.009109,               0.009109
                     11,                0.86707,                0.63493,                 1.6689,                0.65179,                0.68947,                0.69298,                0.52326,                0.78296,                0.55572,                 1.7486,                0.00901,                0.00901,                0.00901
                     12,                0.85686,                0.62107,                 1.6574,                0.68686,                  0.704,                0.70846,                0.53539,                0.79065,                0.53963,                 1.7257,               0.008911,               0.008911,               0.008911
                     13,                0.85017,                0.61741,                 1.6547,                0.68595,                0.73406,                0.73126,                0.55879,                0.77663,                0.54009,                 1.7478,               0.008812,               0.008812,               0.008812
                     14,                0.84483,                0.61126,                 1.6428,                0.66187,                 0.6787,                0.67577,                0.51953,                0.77643,                0.56209,                 1.7528,               0.008713,               0.008713,               0.008713
                     15,                0.84071,                0.60395,                 1.6465,                 0.6942,                0.73331,                0.73574,                0.56678,                 0.7656,                0.52145,                 1.7092,               0.008614,               0.008614,               0.008614
                     16,                 0.8343,                0.59361,                 1.6351,                0.72098,                0.73088,                0.74379,                0.57632,                0.75127,                0.51438,                 1.7201,               0.008515,               0.008515,               0.008515
                     17,                0.82967,                0.58858,                 1.6397,                0.70903,                0.73974,                0.73734,                0.57062,                 0.7498,                 0.5157,                 1.7025,               0.008416,               0.008416,               0.008416
