                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7537,                 2.2877,                 2.8698,                0.60564,                0.17468,                0.20733,                0.11127,                 1.7349,                 1.5526,                 2.6273,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5303,                 1.3191,                 2.2956,                0.55994,                0.24619,                0.27207,                0.16177,                 1.4013,                 1.3083,                 2.3605,                0.04004,               0.006589,               0.006589
                      3,                  1.252,                 1.0638,                 1.9986,                0.17076,                0.23744,                 0.1744,                0.09362,                  1.698,                 1.4848,                 2.6584,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0908,                0.90708,                 1.8297,                0.42955,                0.48368,                0.44654,                 0.3084,                 1.0084,                0.87057,                 1.8411,               0.009703,               0.009703,               0.009703
                      5,                0.99934,                0.80682,                 1.7453,                0.52827,                0.56394,                 0.5276,                0.37583,                0.91455,                0.78843,                 1.8546,               0.009604,               0.009604,               0.009604
                      6,                0.94905,                0.74401,                 1.6991,                0.51898,                0.51652,                0.49911,                0.35814,                0.93582,                0.76121,                 1.9274,               0.009505,               0.009505,               0.009505
                      7,                0.92213,                0.71093,                 1.6841,                0.57426,                0.62126,                0.59916,                0.44226,                0.84594,                0.66748,                 1.7504,               0.009406,               0.009406,               0.009406
                      8,                0.90326,                0.69259,                 1.6778,                0.61847,                0.61595,                0.58858,                0.43824,                 0.8671,                 0.6838,                 1.7656,               0.009307,               0.009307,               0.009307
                      9,                0.88987,                0.67284,                 1.6525,                0.56289,                0.57782,                0.53941,                0.39514,                 0.8702,                0.70169,                 1.7913,               0.009208,               0.009208,               0.009208
                     10,                0.88207,                0.66226,                 1.6424,                0.65689,                 0.6903,                0.67824,                 0.5116,                0.78099,                 0.5861,                 1.7108,               0.009109,               0.009109,               0.009109
                     11,                0.87431,                0.65094,                  1.639,                0.64348,                0.69294,                0.67417,                0.50855,                0.79614,                0.59256,                 1.7272,                0.00901,                0.00901,                0.00901
                     12,                0.86173,                0.63259,                  1.627,                0.67171,                0.70941,                0.70174,                0.53365,                0.77768,                 0.5497,                 1.6783,               0.008911,               0.008911,               0.008911
                     13,                 0.8537,                0.62767,                 1.6246,                0.67258,                0.67781,                0.68125,                0.51401,                0.79053,                0.57659,                 1.7604,               0.008812,               0.008812,               0.008812
                     14,                0.84804,                0.61997,                 1.6146,                0.67483,                0.71638,                0.70804,                0.54928,                0.75642,                0.54313,                 1.6866,               0.008713,               0.008713,               0.008713
                     15,                0.84347,                0.61206,                  1.615,                0.70042,                0.68275,                0.70395,                0.54173,                0.77713,                0.55221,                 1.6934,               0.008614,               0.008614,               0.008614
                     16,                0.83625,                0.60251,                 1.6081,                 0.6827,                 0.7178,                0.72127,                0.55825,                0.75476,                0.52818,                  1.687,               0.008515,               0.008515,               0.008515
                     17,                0.83505,                0.59986,                 1.6133,                0.71526,                 0.7367,                0.74431,                0.57938,                 0.7547,                0.51924,                 1.6696,               0.008416,               0.008416,               0.008416
                     18,                 0.8245,                0.58995,                 1.5995,                0.72616,                0.75054,                0.76373,                0.59541,                0.74339,                0.50605,                 1.6801,               0.008317,               0.008317,               0.008317
                     19,                0.82387,                0.58831,                 1.6096,                0.72859,                0.72435,                0.75917,                0.59458,                0.74299,                0.50888,                 1.6632,               0.008218,               0.008218,               0.008218
                     20,                0.82126,                0.58629,                  1.599,                0.72415,                0.75546,                0.76948,                0.60062,                0.74014,                0.50719,                  1.672,               0.008119,               0.008119,               0.008119
                     21,                0.81928,                0.57739,                 1.6013,                0.74552,                0.76222,                0.78799,                0.61838,                0.73856,                0.49189,                 1.6521,                0.00802,                0.00802,                0.00802
                     22,                0.81068,                 0.5771,                 1.5925,                0.74088,                0.75872,                0.78193,                0.61721,                0.72918,                0.48756,                 1.6625,               0.007921,               0.007921,               0.007921
                     23,                0.80887,                0.57309,                 1.6032,                0.72732,                0.73815,                0.76475,                0.60101,                0.73316,                0.50028,                 1.6603,               0.007822,               0.007822,               0.007822
                     24,                0.80871,                0.57177,                 1.5982,                0.75317,                0.76311,                0.79516,                0.62354,                 0.7287,                0.48669,                 1.6574,               0.007723,               0.007723,               0.007723
                     25,                0.80295,                0.55952,                 1.5926,                0.73587,                 0.7716,                0.78598,                0.62159,                0.72027,                 0.4834,                 1.6459,               0.007624,               0.007624,               0.007624
                     26,                0.79838,                0.55958,                 1.5914,                0.75246,                0.75633,                 0.7921,                0.62919,                0.71992,                 0.4776,                 1.6354,               0.007525,               0.007525,               0.007525
                     27,                0.79157,                0.55448,                 1.5853,                0.75077,                0.76861,                0.79906,                0.63636,                0.71645,                0.47376,                 1.6382,               0.007426,               0.007426,               0.007426
                     28,                0.79243,                0.55274,                 1.5805,                0.75138,                0.76429,                0.79308,                0.63087,                0.71606,                0.47516,                 1.6356,               0.007327,               0.007327,               0.007327
                     29,                0.79156,                0.54887,                 1.5862,                0.75702,                0.77972,                0.80588,                0.64121,                0.71558,                0.46799,                 1.6359,               0.007228,               0.007228,               0.007228
                     30,                0.78718,                0.54538,                 1.5739,                0.77667,                0.76902,                0.81137,                0.64618,                0.71293,                 0.4635,                 1.6364,               0.007129,               0.007129,               0.007129
                     31,                 0.7906,                0.54938,                 1.5841,                0.76893,                0.78466,                0.81557,                0.65084,                 0.7088,                0.46362,                 1.6325,                0.00703,                0.00703,                0.00703
                     32,                0.78317,                0.54046,                  1.578,                0.76706,                 0.7727,                0.81219,                0.64898,                0.70932,                0.46032,                 1.6311,               0.006931,               0.006931,               0.006931
