                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7707,                 2.2715,                 2.8432,                0.43388,                 0.2066,                0.23024,                0.10456,                 1.9371,                 1.5048,                 2.5212,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5356,                 1.2893,                 2.2294,                0.29363,                0.38411,                 0.3271,                0.19506,                 1.3413,                 1.1326,                 2.1399,                0.04004,               0.006589,               0.006589
                      3,                 1.2435,                 1.0422,                 1.9766,                0.32248,                0.42602,                0.35403,                 0.2297,                 1.1712,                 1.0024,                 2.1782,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0763,                0.88246,                 1.8379,                0.47818,                0.50066,                0.46523,                0.31727,                 1.0449,                0.90614,                 1.9416,               0.009703,               0.009703,               0.009703
                      5,                0.98718,                0.78861,                 1.7736,                0.35047,                 0.4796,                0.34734,                0.24214,                0.97569,                0.92823,                 1.9723,               0.009604,               0.009604,               0.009604
                      6,                0.94281,                 0.7311,                 1.7286,                0.54681,                0.58353,                0.57498,                0.40761,                0.90721,                0.69232,                 1.8525,               0.009505,               0.009505,               0.009505
                      7,                0.91471,                0.69666,                 1.7087,                0.59989,                 0.6193,                0.60886,                0.43968,                 0.8414,                 0.6428,                 1.8155,               0.009406,               0.009406,               0.009406
                      8,                0.89627,                0.67962,                 1.7021,                0.63206,                0.64821,                0.63929,                0.47009,                0.82183,                0.60999,                 1.7865,               0.009307,               0.009307,               0.009307
                      9,                0.88387,                0.65955,                 1.6755,                0.60756,                0.64813,                0.60369,                0.45307,                0.81793,                0.65084,                 1.7605,               0.009208,               0.009208,               0.009208
                     10,                0.87514,                0.64975,                  1.663,                0.68278,                0.69699,                 0.6995,                0.52919,                0.77868,                0.55653,                 1.7268,               0.009109,               0.009109,               0.009109
                     11,                 0.8644,                0.63461,                 1.6574,                0.66785,                0.71262,                0.70892,                0.53149,                0.77875,                0.54859,                  1.727,                0.00901,                0.00901,                0.00901
                     12,                0.85278,                0.62077,                 1.6458,                 0.6834,                0.70585,                0.71026,                0.53425,                0.78882,                0.54473,                 1.7095,               0.008911,               0.008911,               0.008911
                     13,                0.84659,                0.61612,                 1.6427,                0.66968,                 0.6991,                0.70361,                0.53606,                0.77134,                0.55346,                 1.7281,               0.008812,               0.008812,               0.008812
                     14,                0.84145,                0.60907,                 1.6323,                 0.6726,                0.71104,                0.70248,                0.53883,                0.76228,                0.53997,                 1.7268,               0.008713,               0.008713,               0.008713
                     15,                0.83594,                0.60076,                 1.6322,                0.71312,                0.72829,                0.73804,                0.56656,                0.75846,                0.51953,                 1.7034,               0.008614,               0.008614,               0.008614
                     16,                0.82983,                0.59154,                 1.6228,                0.70816,                 0.7324,                0.74202,                0.57453,                0.75518,                0.51322,                 1.6796,               0.008515,               0.008515,               0.008515
                     17,                0.82545,                0.58566,                 1.6265,                0.73619,                0.73885,                0.76713,                0.59696,                0.74122,                0.50349,                 1.6906,               0.008416,               0.008416,               0.008416
                     18,                0.81909,                0.57978,                 1.6121,                  0.726,                0.74528,                0.76279,                0.59109,                0.73696,                 0.5005,                 1.6966,               0.008317,               0.008317,               0.008317
                     19,                0.81682,                0.57806,                 1.6229,                0.73505,                0.75067,                 0.7694,                0.60059,                0.73903,                0.49376,                 1.6732,               0.008218,               0.008218,               0.008218
                     20,                0.81581,                0.57838,                 1.6102,                0.73112,                0.76413,                0.77651,                0.60398,                 0.7371,                0.49109,                 1.6794,               0.008119,               0.008119,               0.008119
                     21,                 0.8112,                0.56684,                 1.6108,                0.76891,                0.74832,                0.79496,                0.62586,                0.72961,                0.48477,                 1.6704,                0.00802,                0.00802,                0.00802
                     22,                0.80253,                0.56659,                 1.6017,                0.75725,                0.75387,                0.79156,                0.62428,                0.72507,                0.47677,                 1.6659,               0.007921,               0.007921,               0.007921
                     23,                0.80179,                0.56309,                   1.61,                0.74822,                0.76015,                0.79238,                0.62602,                0.72305,                0.47509,                 1.6664,               0.007822,               0.007822,               0.007822
                     24,                0.79925,                0.55889,                 1.6031,                0.78886,                0.75288,                0.80796,                0.63647,                0.72416,                0.47081,                 1.6553,               0.007723,               0.007723,               0.007723
                     25,                 0.7942,                0.54972,                 1.5989,                0.75397,                0.75222,                0.78764,                0.62464,                0.71793,                0.47298,                 1.6551,               0.007624,               0.007624,               0.007624
                     26,                0.78928,                0.54576,                 1.5993,                0.76668,                0.77587,                0.81039,                0.64384,                0.71692,                0.46449,                  1.646,               0.007525,               0.007525,               0.007525
                     27,                0.78351,                0.54381,                 1.5927,                0.75824,                0.77203,                0.80378,                0.63964,                0.71373,                0.46523,                 1.6454,               0.007426,               0.007426,               0.007426
                     28,                0.78446,                0.54249,                 1.5821,                0.74685,                0.77974,                0.80336,                0.64069,                0.70925,                0.46553,                 1.6408,               0.007327,               0.007327,               0.007327
                     29,                 0.7837,                0.53956,                 1.5894,                0.78422,                0.77376,                 0.8195,                0.65424,                0.70691,                0.45848,                 1.6446,               0.007228,               0.007228,               0.007228
                     30,                0.77796,                0.53509,                 1.5773,                0.75712,                0.79622,                0.81772,                0.65344,                0.70819,                0.45493,                 1.6418,               0.007129,               0.007129,               0.007129
                     31,                0.78082,                0.53779,                 1.5877,                0.78401,                0.78169,                0.82511,                0.66086,                0.70489,                0.45296,                 1.6364,                0.00703,                0.00703,                0.00703
                     32,                0.77283,                0.53015,                 1.5824,                0.76173,                0.78862,                0.81709,                0.65412,                0.70244,                0.45134,                 1.6385,               0.006931,               0.006931,               0.006931
                     33,                0.77409,                0.53068,                 1.5751,                0.77871,                0.76303,                0.81491,                0.65476,                 0.7014,                0.45527,                  1.636,               0.006832,               0.006832,               0.006832
                     34,                0.76717,                0.52368,                 1.5746,                0.77915,                0.77322,                0.81981,                0.65902,                0.69933,                0.45063,                 1.6345,               0.006733,               0.006733,               0.006733
                     35,                0.77005,                0.52491,                 1.5746,                0.80326,                0.76787,                0.82836,                0.66715,                0.69896,                 0.4467,                 1.6289,               0.006634,               0.006634,               0.006634
                     36,                0.76388,                0.51901,                  1.566,                0.79529,                0.77347,                0.82945,                0.66868,                0.69669,                0.44432,                  1.629,               0.006535,               0.006535,               0.006535
                     37,                0.75664,                0.51488,                 1.5631,                0.77434,                0.78586,                0.82921,                0.66824,                0.69416,                0.44371,                 1.6275,               0.006436,               0.006436,               0.006436
                     38,                0.75818,                0.51297,                 1.5668,                0.80247,                0.78318,                0.83775,                0.67792,                0.69312,                0.44075,                 1.6235,               0.006337,               0.006337,               0.006337
                     39,                0.75345,                 0.5085,                 1.5675,                0.77483,                 0.8021,                0.83375,                0.67301,                0.69315,                0.44085,                 1.6225,               0.006238,               0.006238,               0.006238
                     40,                0.75236,                0.51161,                 1.5628,                0.78956,                0.79846,                0.83782,                0.67758,                 0.6934,                0.43897,                 1.6224,               0.006139,               0.006139,               0.006139
                     41,                0.74969,                0.50382,                 1.5669,                0.78858,                0.79695,                0.83693,                0.67628,                0.69244,                0.43873,                 1.6213,                0.00604,                0.00604,                0.00604
                     42,                0.74941,                0.50617,                 1.5623,                0.77861,                0.80595,                0.83715,                0.67702,                0.69184,                0.43717,                 1.6201,               0.005941,               0.005941,               0.005941
                     43,                0.74189,                0.50185,                 1.5629,                0.77966,                0.79879,                0.83707,                0.67677,                0.68924,                0.43576,                 1.6212,               0.005842,               0.005842,               0.005842
                     44,                0.74399,                0.49892,                 1.5603,                0.78475,                0.80209,                0.84096,                0.68053,                0.68788,                0.43398,                 1.6197,               0.005743,               0.005743,               0.005743
                     45,                0.74645,                0.50116,                 1.5629,                0.79491,                0.78923,                0.83849,                0.67916,                0.68702,                0.43413,                 1.6196,               0.005644,               0.005644,               0.005644
                     46,                0.74295,                0.49919,                 1.5648,                0.77761,                 0.8091,                0.84082,                0.68152,                0.68729,                0.43347,                 1.6171,               0.005545,               0.005545,               0.005545
                     47,                0.73964,                0.49297,                 1.5533,                0.80023,                0.78815,                0.84144,                0.68252,                0.68673,                 0.4322,                 1.6161,               0.005446,               0.005446,               0.005446
                     48,                0.73828,                 0.4965,                 1.5549,                0.79574,                 0.7941,                0.84248,                 0.6826,                0.68597,                0.43145,                 1.6159,               0.005347,               0.005347,               0.005347
