                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6881,                 2.2259,                 2.8597,                0.82794,                0.15388,                 0.2133,                0.11158,                 1.6794,                 1.4305,                 2.6946,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4607,                 1.2253,                  2.245,                0.28279,                0.27108,                0.23436,                0.13236,                 1.5609,                 1.3787,                 2.5066,                0.04004,               0.006589,               0.006589
                      3,                  1.206,                0.99626,                  2.004,                 0.2926,                0.34188,                0.29571,                0.18765,                 1.2075,                 1.0487,                 2.2615,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0606,                0.86197,                 1.8741,                0.40003,                0.50717,                0.45111,                0.30821,                 1.0157,                  0.817,                 2.0087,               0.009703,               0.009703,               0.009703
                      5,                0.98422,                0.77974,                 1.8046,                0.53817,                0.57907,                0.55112,                0.39416,                0.87304,                0.70811,                 1.9085,               0.009604,               0.009604,               0.009604
                      6,                0.93882,                0.72593,                 1.7546,                0.49532,                0.53522,                 0.5072,                0.35694,                0.91638,                0.74317,                 1.8999,               0.009505,               0.009505,               0.009505
                      7,                0.91215,                0.69479,                 1.7356,                  0.616,                0.61736,                0.62191,                0.45096,                0.83951,                 0.6313,                 1.8152,               0.009406,               0.009406,               0.009406
                      8,                0.89664,                0.67788,                 1.7298,                0.63062,                0.64263,                0.63528,                 0.4689,                 0.8228,                0.61044,                 1.8076,               0.009307,               0.009307,               0.009307
                      9,                0.88532,                0.65949,                 1.6989,                0.63658,                0.68212,                0.65194,                0.48371,                0.80637,                0.58286,                 1.7715,               0.009208,               0.009208,               0.009208
                     10,                0.87504,                 0.6494,                 1.6864,                0.64461,                0.68393,                0.68352,                0.51025,                 0.7852,                0.55748,                 1.7695,               0.009109,               0.009109,               0.009109
                     11,                0.86725,                0.63606,                 1.6828,                0.68724,                0.70332,                0.70675,                0.52815,                0.78454,                0.55483,                  1.774,                0.00901,                0.00901,                0.00901
                     12,                0.85658,                0.62017,                 1.6685,                0.67239,                0.71217,                0.70128,                0.53482,                0.77124,                0.53057,                 1.7425,               0.008911,               0.008911,               0.008911
                     13,                0.84887,                0.61625,                  1.667,                0.68064,                0.71055,                0.72166,                0.54546,                0.77699,                0.54376,                 1.7834,               0.008812,               0.008812,               0.008812
                     14,                 0.8439,                   0.61,                 1.6548,                0.66681,                0.69661,                0.70316,                0.53381,                0.76434,                0.53817,                 1.7538,               0.008713,               0.008713,               0.008713
                     15,                0.84028,                0.60334,                 1.6552,                  0.706,                0.72199,                0.72342,                0.55201,                0.76651,                  0.526,                 1.7393,               0.008614,               0.008614,               0.008614
                     16,                 0.8334,                0.59235,                 1.6451,                 0.7278,                0.70956,                 0.7395,                0.57118,                0.75578,                0.51274,                 1.7211,               0.008515,               0.008515,               0.008515
                     17,                0.82771,                0.58596,                  1.649,                0.72909,                0.73505,                0.75743,                0.58524,                0.74707,                0.50026,                 1.7129,               0.008416,               0.008416,               0.008416
                     18,                0.82126,                0.57995,                 1.6334,                0.72426,                0.74419,                0.76291,                 0.5901,                0.74102,                 0.4936,                 1.7158,               0.008317,               0.008317,               0.008317
                     19,                0.81952,                0.57654,                 1.6461,                0.73405,                0.74358,                0.76617,                0.59647,                0.74115,                0.49024,                 1.7106,               0.008218,               0.008218,               0.008218
                     20,                0.81713,                0.57726,                 1.6335,                0.74252,                  0.738,                0.76928,                0.59658,                0.73781,                0.49085,                 1.7068,               0.008119,               0.008119,               0.008119
                     21,                 0.8136,                0.56521,                 1.6336,                0.75197,                0.75446,                0.78943,                 0.6195,                 0.7308,                0.47925,                 1.7006,                0.00802,                0.00802,                0.00802
                     22,                0.80601,                0.56636,                 1.6251,                0.74658,                0.75922,                0.78242,                0.61196,                0.72893,                0.47794,                 1.6991,               0.007921,               0.007921,               0.007921
                     23,                0.80546,                0.56316,                  1.634,                0.75829,                0.75306,                0.79144,                0.62084,                0.72921,                0.47428,                 1.6943,               0.007822,               0.007822,               0.007822
                     24,                0.80396,                  0.561,                 1.6235,                0.76839,                0.75549,                 0.8009,                0.63045,                0.72435,                0.47085,                 1.6782,               0.007723,               0.007723,               0.007723
                     25,                0.79787,                 0.5502,                 1.6178,                0.74231,                0.77062,                0.79193,                0.62515,                0.72028,                0.47129,                 1.6839,               0.007624,               0.007624,               0.007624
                     26,                0.79367,                0.54856,                 1.6189,                0.75685,                0.77919,                0.80775,                0.63577,                0.72334,                0.46697,                 1.6756,               0.007525,               0.007525,               0.007525
