                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8489,                  2.303,                 2.9003,                0.38901,                0.17768,                0.20168,                0.10833,                 1.7106,                 1.5064,                 2.6927,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5471,                 1.3049,                 2.2955,                0.29492,                0.29716,                0.26022,                0.14694,                 1.5993,                  1.363,                 2.4383,                0.04004,               0.006589,               0.006589
                      3,                  1.253,                 1.0577,                 2.0217,                0.25981,                0.38597,                0.27087,                0.16023,                 1.3406,                 1.1941,                 2.6005,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0873,                0.90148,                 1.8544,                0.47427,                0.56222,                0.51331,                0.35127,                0.98361,                0.80591,                 1.8657,               0.009703,               0.009703,               0.009703
                      5,                  1.001,                0.80708,                 1.7745,                0.31675,                0.42963,                0.29591,                 0.1944,                  1.098,                 1.1679,                  2.115,               0.009604,               0.009604,               0.009604
                      6,                0.95209,                0.74788,                 1.7225,                0.53823,                0.58944,                0.56977,                0.40486,                0.90081,                0.72633,                 1.8071,               0.009505,               0.009505,               0.009505
                      7,                0.92271,                0.71242,                 1.7015,                0.57092,                0.62358,                0.58477,                0.42122,                0.84141,                0.65526,                 1.7791,               0.009406,               0.009406,               0.009406
                      8,                0.90693,                0.69593,                  1.695,                 0.5668,                0.61961,                0.58281,                0.42204,                 0.8468,                0.69065,                 1.8087,               0.009307,               0.009307,               0.009307
                      9,                0.89442,                0.67441,                 1.6654,                0.61206,                0.65187,                0.62846,                 0.4596,                0.81637,                0.62162,                 1.7602,               0.009208,               0.009208,               0.009208
                     10,                0.88479,                  0.664,                 1.6541,                0.64949,                0.66398,                0.66027,                0.49928,                0.78686,                0.59307,                  1.723,               0.009109,               0.009109,               0.009109
                     11,                0.87422,                0.64895,                 1.6519,                0.62072,                0.67869,                0.67231,                 0.5042,                0.79425,                0.58784,                 1.7451,                0.00901,                0.00901,                0.00901
                     12,                0.86386,                0.63393,                 1.6408,                0.68314,                0.69387,                0.70179,                0.52752,                0.78513,                0.55442,                 1.6945,               0.008911,               0.008911,               0.008911
                     13,                0.85575,                0.63028,                  1.638,                0.66642,                0.70794,                0.69776,                0.53021,                0.78287,                0.57216,                 1.7477,               0.008812,               0.008812,               0.008812
                     14,                0.85005,                0.62213,                  1.628,                0.67095,                0.71451,                0.72373,                0.55941,                 0.7587,                0.53973,                 1.6956,               0.008713,               0.008713,               0.008713
                     15,                0.84488,                0.61395,                 1.6273,                0.73131,                0.73571,                0.74955,                 0.5751,                0.76146,                0.52937,                 1.6929,               0.008614,               0.008614,               0.008614
                     16,                0.83925,                 0.6042,                 1.6167,                0.72271,                0.70212,                0.73078,                0.56202,                0.75699,                0.53344,                 1.7128,               0.008515,               0.008515,               0.008515
                     17,                0.83384,                  0.599,                  1.622,                0.71818,                0.74101,                0.75698,                0.58435,                0.74971,                 0.5231,                 1.6791,               0.008416,               0.008416,               0.008416
                     18,                0.82743,                0.59232,                 1.6076,                 0.6928,                0.72981,                0.72394,                0.56195,                0.74906,                0.52231,                 1.6711,               0.008317,               0.008317,               0.008317
                     19,                0.82533,                0.58782,                 1.6221,                0.74018,                0.73713,                0.76597,                0.59645,                0.74661,                0.50815,                 1.6548,               0.008218,               0.008218,               0.008218
                     20,                  0.822,                0.58711,                 1.6094,                0.73036,                0.74536,                0.76374,                0.59483,                0.73862,                0.51015,                 1.6768,               0.008119,               0.008119,               0.008119
                     21,                0.81972,                0.57785,                 1.6096,                 0.7704,                0.75366,                0.79984,                0.62686,                0.73528,                0.49224,                 1.6523,                0.00802,                0.00802,                0.00802
                     22,                 0.8119,                0.57694,                 1.6014,                   0.76,                0.76568,                0.78789,                0.61962,                0.73427,                0.49323,                 1.6489,               0.007921,               0.007921,               0.007921
                     23,                0.81049,                0.57422,                 1.6096,                0.77488,                0.74076,                0.79412,                0.62532,                0.72887,                0.48778,                  1.661,               0.007822,               0.007822,               0.007822
                     24,                0.80707,                0.57029,                 1.5992,                0.76556,                0.75601,                0.79988,                 0.6291,                0.72876,                0.48608,                 1.6485,               0.007723,               0.007723,               0.007723
                     25,                0.80313,                0.55971,                 1.5957,                0.74383,                0.76416,                0.78264,                0.61741,                0.72228,                0.48518,                 1.6513,               0.007624,               0.007624,               0.007624
