                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9348,                 2.4207,                 2.9682,                0.91855,                0.10091,                 0.1661,                 0.0807,                 2.1438,                 2.3444,                 2.7688,               0.070213,              0.0033097,              0.0033097
                      2,                 1.6652,                 1.4252,                 2.3914,                0.28049,                0.37331,                 0.3016,                0.16335,                 1.4579,                 1.1982,                   2.41,               0.040147,              0.0065773,              0.0065773
                      3,                 1.3546,                 1.1532,                 2.1508,                0.32349,                0.39871,                0.35675,                0.22234,                 1.1711,                 1.0351,                 2.2842,               0.010015,              0.0097788,              0.0097788
                      4,                 1.1629,                0.96981,                  1.973,                0.44348,                0.51761,                0.45452,                0.30307,                0.99155,                0.87771,                   2.04,               0.009703,               0.009703,               0.009703
                      5,                 1.0648,                0.87007,                 1.9043,                0.45662,                0.51789,                 0.4586,                0.31244,                0.95591,                0.82614,                 1.9987,               0.009604,               0.009604,               0.009604
                      6,                 1.0021,                0.79113,                 1.8192,                0.54092,                 0.5883,                 0.5503,                0.38618,                 0.8993,                0.71432,                 1.9098,               0.009505,               0.009505,               0.009505
                      7,                0.96442,                0.75953,                 1.7993,                0.57251,                 0.6038,                0.58392,                0.42047,                0.87228,                 0.6809,                 1.8831,               0.009406,               0.009406,               0.009406
                      8,                0.94982,                0.73707,                 1.7816,                0.60807,                0.64984,                0.61521,                0.44808,                0.84939,                 0.6544,                 1.8488,               0.009307,               0.009307,               0.009307
                      9,                0.92387,                0.70229,                 1.7662,                0.54733,                0.58957,                0.56211,                0.40668,                0.87297,                0.68229,                 1.8489,               0.009208,               0.009208,               0.009208
                     10,                0.91481,                0.69225,                 1.7393,                0.64274,                0.64992,                0.65014,                0.47707,                0.82836,                0.61788,                 1.8223,               0.009109,               0.009109,               0.009109
                     11,                0.89991,                0.68015,                  1.728,                0.62341,                0.64936,                0.65152,                0.47708,                0.82231,                0.61512,                 1.8135,                0.00901,                0.00901,                0.00901
                     12,                0.88881,                0.66072,                 1.7267,                 0.6087,                0.65456,                0.63548,                0.47323,                0.82462,                0.61851,                 1.7995,               0.008911,               0.008911,               0.008911
                     13,                0.88268,                0.66093,                 1.7052,                0.62412,                0.66838,                0.66164,                0.48975,                 0.8124,                0.59698,                 1.8033,               0.008812,               0.008812,               0.008812
