                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8468,                 2.3119,                 2.8968,                0.79541,                0.15199,                0.19905,                0.10428,                 1.7636,                 1.5981,                 2.6277,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5635,                 1.3292,                 2.2771,                0.32082,                0.34484,                0.31816,                0.19542,                 1.2247,                 1.0988,                 2.1624,                0.04004,               0.006589,               0.006589
                      3,                 1.2501,                 1.0536,                 1.9932,                0.25792,                0.28218,                0.23844,                0.13803,                  1.483,                 1.2608,                 2.4444,              0.0099086,              0.0097904,              0.0097904
                      4,                  1.075,                0.89136,                  1.845,                0.40974,                0.46724,                0.42814,                0.29503,                  1.013,                0.86615,                 2.0328,               0.009703,               0.009703,               0.009703
                      5,                0.98983,                0.79579,                 1.7746,                0.56667,                0.60968,                0.57772,                0.41107,                0.88926,                0.71335,                 1.8299,               0.009604,               0.009604,               0.009604
                      6,                0.94543,                0.74195,                 1.7262,                0.52775,                0.59441,                0.56639,                0.40548,                0.87714,                  0.712,                 1.8134,               0.009505,               0.009505,               0.009505
                      7,                0.91851,                0.70534,                 1.7076,                0.54452,                0.58651,                0.56585,                0.41404,                0.85281,                0.67459,                 1.8145,               0.009406,               0.009406,               0.009406
                      8,                 0.9009,                0.68849,                 1.7014,                0.60199,                0.64927,                0.61299,                0.45385,                0.82922,                0.63593,                 1.7631,               0.009307,               0.009307,               0.009307
                      9,                0.88858,                0.66837,                 1.6763,                0.65019,                0.67696,                0.66001,                0.49234,                0.80937,                 0.5788,                 1.7404,               0.009208,               0.009208,               0.009208
                     10,                0.87901,                0.65837,                 1.6645,                  0.614,                0.66929,                0.67451,                0.50919,                0.78425,                0.57538,                 1.7255,               0.009109,               0.009109,               0.009109
                     11,                0.86967,                0.64318,                 1.6586,                 0.6427,                0.67745,                0.66458,                0.50037,                 0.7971,                0.57485,                 1.7521,                0.00901,                0.00901,                0.00901
                     12,                 0.8582,                0.62852,                 1.6475,                0.66044,                0.69175,                0.69345,                0.52556,                0.78029,                0.55197,                 1.7146,               0.008911,               0.008911,               0.008911
                     13,                0.85061,                0.62362,                 1.6461,                0.69455,                0.70757,                0.71697,                0.54483,                0.78266,                0.54218,                 1.7194,               0.008812,               0.008812,               0.008812
                     14,                 0.8451,                0.61669,                 1.6344,                0.65936,                0.71779,                0.70315,                0.53881,                0.76387,                 0.5348,                 1.7095,               0.008713,               0.008713,               0.008713
                     15,                0.84055,                0.60841,                 1.6344,                0.70087,                 0.7241,                0.73167,                0.56418,                0.75622,                0.52359,                 1.7035,               0.008614,               0.008614,               0.008614
                     16,                0.83344,                 0.5973,                 1.6255,                0.71386,                0.72194,                0.74203,                0.57339,                0.75223,                0.51144,                 1.7025,               0.008515,               0.008515,               0.008515
                     17,                0.82813,                0.59178,                 1.6305,                0.71407,                0.74112,                 0.7492,                 0.5809,                0.74335,                0.50367,                 1.6993,               0.008416,               0.008416,               0.008416
                     18,                0.82237,                0.58679,                 1.6174,                0.66882,                0.71233,                0.71908,                0.55323,                0.75514,                0.53269,                 1.7145,               0.008317,               0.008317,               0.008317
                     19,                0.81944,                0.58253,                 1.6272,                0.73787,                0.74028,                 0.7703,                0.59803,                0.74608,                0.50048,                 1.6783,               0.008218,               0.008218,               0.008218
                     20,                0.81728,                0.58253,                 1.6166,                0.71853,                0.74264,                0.75277,                0.58345,                0.73778,                0.50814,                 1.6898,               0.008119,               0.008119,               0.008119
                     21,                 0.8133,                0.57194,                 1.6168,                0.75208,                0.75151,                 0.7771,                0.60621,                0.73453,                0.49697,                 1.6835,                0.00802,                0.00802,                0.00802
                     22,                0.80498,                0.57135,                 1.6073,                0.72436,                0.76815,                0.77064,                0.60512,                0.72732,                 0.4838,                 1.6669,               0.007921,               0.007921,               0.007921
                     23,                0.80409,                0.56762,                 1.6159,                 0.7515,                0.74151,                0.78475,                0.61707,                0.72533,                0.48235,                 1.6683,               0.007822,               0.007822,               0.007822
