                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7959,                 2.3084,                 2.8782,                0.90291,                0.15702,                0.20212,                0.10472,                 1.7331,                 1.5881,                 2.7171,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4715,                 1.2327,                 2.2608,                0.31641,                0.35803,                0.30666,                0.18056,                 1.3577,                 1.1269,                 2.2992,                0.04004,               0.006589,               0.006589
                      3,                 1.2061,                 0.9924,                  2.014,                0.40962,                0.43858,                0.38647,                0.24701,                 1.0592,                0.93292,                 2.1441,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0615,                0.86253,                 1.8808,                0.45698,                0.54207,                0.49924,                0.34274,                0.97371,                0.79091,                  1.941,               0.009703,               0.009703,               0.009703
                      5,                0.98402,                0.77706,                 1.8106,                0.56243,                0.60791,                0.57177,                0.40458,                0.87571,                0.68505,                 1.8919,               0.009604,               0.009604,               0.009604
                      6,                0.93624,                0.72331,                 1.7595,                0.51086,                0.54068,                0.51419,                0.36576,                0.90094,                0.69656,                 1.8881,               0.009505,               0.009505,               0.009505
                      7,                0.90933,                0.69028,                 1.7359,                0.62554,                0.60262,                 0.6066,                0.44225,                0.84295,                 0.6346,                 1.8268,               0.009406,               0.009406,               0.009406
                      8,                0.89125,                0.67259,                 1.7277,                0.60086,                0.63379,                0.59932,                0.44103,                0.82126,                0.62698,                 1.8111,               0.009307,               0.009307,               0.009307
                      9,                0.87938,                0.65275,                 1.6974,                0.62433,                0.65721,                0.64715,                0.47606,                0.81349,                0.59794,                 1.7913,               0.009208,               0.009208,               0.009208
                     10,                0.86906,                0.64274,                 1.6831,                 0.6413,                0.65416,                0.65614,                0.49395,                0.79269,                0.57959,                  1.777,               0.009109,               0.009109,               0.009109
                     11,                0.85962,                0.62841,                 1.6763,                0.66758,                0.71507,                0.71095,                0.53564,                0.77892,                0.54173,                 1.7395,                0.00901,                0.00901,                0.00901
                     12,                0.84834,                0.61371,                 1.6615,                0.68894,                0.70961,                0.71537,                0.54041,                0.77501,                0.52691,                 1.7321,               0.008911,               0.008911,               0.008911
                     13,                0.84127,                 0.6108,                 1.6571,                0.69123,                0.71595,                0.72525,                0.55562,                0.77246,                0.52879,                 1.7359,               0.008812,               0.008812,               0.008812
                     14,                0.83552,                0.60253,                 1.6476,                 0.6805,                0.71191,                 0.7141,                0.55228,                0.75857,                0.53419,                 1.7305,               0.008713,               0.008713,               0.008713
                     15,                0.83044,                0.59462,                 1.6462,                0.70985,                0.73228,                0.73952,                0.57295,                0.74787,                0.51294,                 1.7194,               0.008614,               0.008614,               0.008614
                     16,                0.82525,                0.58657,                 1.6357,                0.72586,                0.71009,                0.74339,                0.57794,                0.74477,                0.50984,                 1.7253,               0.008515,               0.008515,               0.008515
                     17,                0.81873,                 0.5801,                 1.6402,                0.73186,                  0.726,                 0.7509,                0.58583,                0.73981,                0.49848,                 1.7061,               0.008416,               0.008416,               0.008416
                     18,                0.81135,                0.57298,                 1.6256,                0.72043,                0.72655,                 0.7491,                0.58238,                0.73696,                0.50245,                 1.7085,               0.008317,               0.008317,               0.008317
                     19,                0.81085,                 0.5711,                 1.6372,                0.74651,                0.71851,                0.76221,                0.59809,                0.73917,                0.49598,                  1.694,               0.008218,               0.008218,               0.008218
                     20,                0.80699,                0.56956,                 1.6246,                0.73117,                0.75152,                0.77078,                 0.6045,                0.72817,                0.48776,                  1.702,               0.008119,               0.008119,               0.008119
                     21,                0.80381,                0.55936,                 1.6218,                0.74192,                0.75229,                0.77891,                0.61559,                0.72501,                0.47892,                 1.6859,                0.00802,                0.00802,                0.00802
                     22,                0.79661,                0.56016,                  1.615,                0.74389,                0.74532,                0.77664,                 0.6122,                0.72442,                 0.4742,                 1.6769,               0.007921,               0.007921,               0.007921
                     23,                0.79674,                0.55699,                 1.6233,                0.74428,                 0.7354,                0.77775,                  0.615,                 0.7222,                0.47602,                 1.6831,               0.007822,               0.007822,               0.007822
                     24,                0.79429,                0.55302,                 1.6155,                0.77268,                0.73729,                0.79019,                0.62515,                0.71849,                0.47136,                 1.6886,               0.007723,               0.007723,               0.007723
                     25,                 0.7892,                0.54291,                 1.6089,                0.74603,                 0.7606,                0.78989,                0.62633,                0.71633,                0.46898,                 1.6623,               0.007624,               0.007624,               0.007624
                     26,                0.78493,                0.54087,                 1.6073,                0.78011,                0.76114,                0.80576,                0.64091,                0.71485,                0.46112,                 1.6612,               0.007525,               0.007525,               0.007525
                     27,                0.77923,                0.54038,                 1.6023,                0.76245,                0.75732,                0.79713,                0.63812,                0.70941,                 0.4629,                 1.6676,               0.007426,               0.007426,               0.007426
                     28,                0.78051,                0.53807,                 1.5949,                0.73756,                0.77095,                0.78959,                 0.6322,                 0.7082,                 0.4629,                 1.6639,               0.007327,               0.007327,               0.007327
                     29,                0.77922,                0.53393,                 1.6015,                0.76368,                0.77367,                0.80899,                0.64627,                 0.7056,                0.45682,                 1.6669,               0.007228,               0.007228,               0.007228
                     30,                0.77515,                0.53195,                 1.5882,                0.77759,                0.76099,                  0.807,                0.64548,                0.70639,                  0.455,                   1.66,               0.007129,               0.007129,               0.007129
                     31,                0.77624,                0.53389,                 1.5987,                0.77667,                0.76647,                0.81237,                0.65123,                0.70485,                0.45278,                  1.656,                0.00703,                0.00703,                0.00703
                     32,                0.76915,                0.52611,                 1.5917,                0.76717,                 0.7662,                0.80397,                0.64587,                0.70184,                 0.4524,                 1.6493,               0.006931,               0.006931,               0.006931
                     33,                0.76991,                0.52628,                 1.5836,                0.75884,                0.77631,                0.80623,                0.64795,                0.70312,                0.45228,                 1.6467,               0.006832,               0.006832,               0.006832
                     34,                0.76427,                0.52056,                 1.5867,                0.78686,                0.77977,                0.81507,                0.65558,                0.70023,                0.44758,                 1.6482,               0.006733,               0.006733,               0.006733
                     35,                0.76739,                0.52175,                 1.5862,                 0.7813,                0.78525,                0.81904,                0.65839,                0.70051,                0.44528,                 1.6486,               0.006634,               0.006634,               0.006634
                     36,                0.75939,                0.51465,                 1.5742,                0.81005,                0.76647,                0.82736,                0.66814,                0.69739,                0.44293,                  1.647,               0.006535,               0.006535,               0.006535
                     37,                0.75332,                0.51128,                 1.5731,                0.78126,                0.77975,                0.82063,                0.66206,                0.69459,                0.44249,                 1.6444,               0.006436,               0.006436,               0.006436
                     38,                0.75491,                0.50961,                 1.5811,                0.79543,                0.78163,                0.83017,                0.67094,                0.69462,                0.43852,                 1.6457,               0.006337,               0.006337,               0.006337
                     39,                0.75124,                0.50474,                 1.5808,                0.79204,                0.77636,                 0.8285,                 0.6701,                0.69383,                0.43906,                 1.6435,               0.006238,               0.006238,               0.006238
                     40,                0.75082,                0.50843,                 1.5738,                0.79298,                 0.7794,                 0.8295,                0.67187,                0.69373,                0.43826,                 1.6402,               0.006139,               0.006139,               0.006139
                     41,                0.74718,                0.50081,                 1.5784,                0.78569,                0.79356,                0.82917,                 0.6713,                0.69188,                0.43747,                 1.6404,                0.00604,                0.00604,                0.00604
                     42,                0.74677,                0.50249,                  1.571,                0.77949,                0.80083,                0.83219,                0.67516,                0.69153,                 0.4364,                 1.6372,               0.005941,               0.005941,               0.005941
                     43,                0.74018,                0.49997,                 1.5705,                0.79705,                  0.786,                0.83667,                0.67835,                0.69041,                0.43493,                 1.6349,               0.005842,               0.005842,               0.005842
                     44,                 0.7414,                0.49676,                 1.5663,                0.80035,                0.79421,                0.84112,                0.68053,                0.68927,                0.43323,                 1.6353,               0.005743,               0.005743,               0.005743
                     45,                0.74548,                 0.4985,                  1.572,                0.79075,                 0.8089,                0.84171,                0.68208,                0.68826,                0.43174,                 1.6329,               0.005644,               0.005644,               0.005644
                     46,                0.74044,                0.49626,                 1.5711,                0.78727,                0.80735,                0.84252,                0.68328,                0.68832,                0.43144,                 1.6315,               0.005545,               0.005545,               0.005545
                     47,                 0.7376,                0.49096,                 1.5624,                 0.7912,                 0.8056,                0.84064,                0.68199,                0.68688,                0.43057,                 1.6328,               0.005446,               0.005446,               0.005446
