                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6922,                  2.233,                 2.8704,                0.16499,                0.26356,                0.22878,                0.11849,                 1.6361,                 1.4644,                 2.6402,               0.070106,              0.0033215,              0.0033215
                      2,                  1.454,                 1.2293,                  2.265,                0.27052,                0.35798,                0.28243,                0.17365,                 1.2464,                 1.1846,                 2.3438,                0.04004,               0.006589,               0.006589
                      3,                 1.1973,                0.99435,                 2.0112,                0.28842,                0.40822,                0.30159,                 0.1921,                 1.1716,                 1.0447,                 2.3057,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0571,                0.86236,                 1.8768,                0.44958,                0.53185,                0.46419,                0.31723,                 1.0161,                  0.805,                  1.934,               0.009703,               0.009703,               0.009703
                      5,                0.98004,                0.77792,                  1.805,                 0.5413,                0.59238,                0.56443,                0.39552,                0.86804,                0.69159,                 1.8647,               0.009604,               0.009604,               0.009604
                      6,                 0.9367,                 0.7247,                 1.7553,                0.56706,                0.61272,                0.59996,                0.42492,                0.86056,                0.67094,                 1.8234,               0.009505,               0.009505,               0.009505
                      7,                0.91077,                0.69263,                 1.7327,                0.59256,                0.63611,                0.61638,                0.43805,                0.84446,                0.63871,                 1.8367,               0.009406,               0.009406,               0.009406
                      8,                0.89494,                0.67562,                 1.7256,                0.63831,                0.66366,                0.65128,                0.48258,                0.81598,                0.59942,                 1.7986,               0.009307,               0.009307,               0.009307
                      9,                0.88347,                0.65783,                 1.6963,                0.65229,                0.69332,                0.67547,                 0.5055,                0.79687,                0.57814,                 1.7762,               0.009208,               0.009208,               0.009208
                     10,                0.87194,                0.64513,                 1.6819,                0.66881,                0.69083,                0.69922,                0.52875,                0.78449,                 0.5674,                 1.7708,               0.009109,               0.009109,               0.009109
                     11,                0.86166,                0.63015,                 1.6795,                0.65151,                0.70313,                0.69578,                0.52576,                0.78106,                0.55879,                 1.7623,                0.00901,                0.00901,                0.00901
                     12,                0.85105,                0.61638,                 1.6649,                0.69884,                0.70334,                0.70967,                0.54173,                0.77472,                0.52905,                 1.7256,               0.008911,               0.008911,               0.008911
                     13,                 0.8432,                0.61262,                 1.6611,                0.71582,                0.71034,                0.73424,                0.55684,                0.76863,                0.53299,                 1.7504,               0.008812,               0.008812,               0.008812
                     14,                0.83755,                0.60415,                 1.6483,                0.66633,                0.70839,                0.70709,                0.54595,                0.75954,                0.53649,                 1.7423,               0.008713,               0.008713,               0.008713
                     15,                0.83058,                0.59482,                 1.6472,                0.69693,                0.72892,                0.73218,                0.56313,                0.75637,                0.51898,                 1.7357,               0.008614,               0.008614,               0.008614
                     16,                0.82629,                0.58552,                 1.6386,                0.71149,                0.74145,                0.75738,                0.58608,                0.74674,                0.49667,                 1.7183,               0.008515,               0.008515,               0.008515
                     17,                0.82051,                0.58098,                 1.6418,                0.71172,                0.73913,                0.74655,                0.58147,                0.74356,                  0.504,                 1.7142,               0.008416,               0.008416,               0.008416
                     18,                0.81426,                 0.5747,                 1.6252,                0.71647,                0.73006,                0.74624,                0.57869,                0.74027,                0.49813,                 1.7022,               0.008317,               0.008317,               0.008317
                     19,                 0.8118,                0.57027,                 1.6371,                0.76495,                0.74084,                0.78317,                0.61314,                0.73665,                0.48661,                 1.7044,               0.008218,               0.008218,               0.008218
                     20,                0.80731,                0.56998,                 1.6247,                0.71973,                0.75549,                0.76714,                0.59706,                0.73123,                0.49966,                 1.6956,               0.008119,               0.008119,               0.008119
                     21,                0.80585,                0.55963,                  1.625,                 0.7582,                0.75689,                0.79591,                0.62483,                0.72978,                0.47881,                 1.6874,                0.00802,                0.00802,                0.00802
                     22,                0.79832,                 0.5619,                 1.6146,                0.74562,                 0.7558,                0.77526,                0.60949,                0.72328,                0.47933,                 1.6809,               0.007921,               0.007921,               0.007921
                     23,                 0.7969,                0.55721,                 1.6257,                0.75045,                0.75001,                0.78869,                0.62059,                0.72231,                0.47457,                 1.6851,               0.007822,               0.007822,               0.007822
                     24,                0.79411,                0.55356,                 1.6171,                0.76216,                0.75886,                0.79799,                0.62973,                0.72354,                0.46916,                 1.6754,               0.007723,               0.007723,               0.007723
                     25,                0.78865,                0.54315,                 1.6097,                0.75775,                0.77431,                0.79725,                0.63016,                0.71464,                0.46689,                 1.6789,               0.007624,               0.007624,               0.007624
                     26,                0.78443,                0.53951,                 1.6095,                0.76291,                0.77121,                0.80434,                 0.6377,                0.71597,                0.46375,                 1.6696,               0.007525,               0.007525,               0.007525
                     27,                0.77959,                0.53987,                 1.6035,                 0.7768,                0.75573,                 0.8061,                0.64253,                0.71254,                0.46234,                 1.6666,               0.007426,               0.007426,               0.007426
                     28,                0.77883,                0.53479,                 1.5968,                0.76338,                0.77248,                0.80288,                0.64017,                0.70773,                 0.4598,                 1.6689,               0.007327,               0.007327,               0.007327
                     29,                 0.7792,                0.53466,                 1.6051,                0.77257,                0.76795,                0.80663,                0.64145,                 0.7077,                0.45849,                 1.6733,               0.007228,               0.007228,               0.007228
                     30,                0.77461,                0.53007,                  1.593,                0.77357,                0.77488,                0.81328,                   0.65,                0.70799,                0.45454,                 1.6583,               0.007129,               0.007129,               0.007129
                     31,                0.77659,                0.53273,                 1.6019,                0.76982,                0.77946,                0.81801,                0.65546,                0.70373,                0.45281,                 1.6608,                0.00703,                0.00703,                0.00703
                     32,                 0.7691,                0.52539,                 1.5966,                0.77679,                0.77829,                0.81449,                0.65159,                0.70302,                0.45008,                 1.6573,               0.006931,               0.006931,               0.006931
                     33,                0.77063,                0.52603,                 1.5904,                0.78807,                 0.7732,                0.81554,                0.65426,                0.70273,                0.45072,                  1.656,               0.006832,               0.006832,               0.006832
                     34,                0.76485,                0.51969,                 1.5882,                0.77496,                0.78268,                0.81792,                0.65756,                0.70199,                 0.4486,                 1.6532,               0.006733,               0.006733,               0.006733
                     35,                0.76717,                0.52068,                 1.5884,                0.77527,                0.78579,                0.82364,                0.66329,                 0.7015,                0.44607,                 1.6528,               0.006634,               0.006634,               0.006634
                     36,                0.76025,                0.51361,                 1.5777,                0.79333,                0.77384,                0.82219,                 0.6613,                0.69779,                0.44471,                 1.6516,               0.006535,               0.006535,               0.006535
                     37,                0.75314,                0.50947,                 1.5754,                0.79365,                0.77992,                0.82721,                0.66533,                0.69614,                0.44332,                 1.6502,               0.006436,               0.006436,               0.006436
                     38,                 0.7562,                0.50961,                 1.5821,                0.79481,                0.79678,                0.83284,                0.67047,                0.69788,                0.44031,                 1.6453,               0.006337,               0.006337,               0.006337
                     39,                0.74929,                0.50427,                 1.5814,                0.79184,                0.78023,                0.82816,                0.66873,                0.69613,                0.44134,                 1.6444,               0.006238,               0.006238,               0.006238
                     40,                0.75015,                 0.5071,                 1.5765,                0.79322,                0.78964,                0.83051,                0.67067,                0.69562,                0.43996,                  1.642,               0.006139,               0.006139,               0.006139
                     41,                0.74738,                0.49914,                 1.5799,                0.80016,                0.79327,                0.83575,                0.67651,                0.69433,                0.43764,                 1.6414,                0.00604,                0.00604,                0.00604
                     42,                0.74678,                  0.501,                 1.5748,                0.79682,                0.79288,                0.83643,                0.67663,                0.69237,                0.43623,                 1.6407,               0.005941,               0.005941,               0.005941
                     43,                0.73947,                0.49839,                 1.5745,                0.80044,                0.78442,                0.83575,                0.67728,                0.69123,                0.43516,                 1.6375,               0.005842,               0.005842,               0.005842
                     44,                0.74128,                0.49524,                 1.5681,                0.79421,                0.79703,                0.83805,                 0.6788,                0.69031,                0.43418,                 1.6368,               0.005743,               0.005743,               0.005743
                     45,                 0.7446,                0.49729,                 1.5722,                0.79571,                0.79944,                0.83821,                0.67962,                 0.6892,                0.43287,                 1.6344,               0.005644,               0.005644,               0.005644
                     46,                0.74034,                0.49423,                 1.5753,                0.79698,                0.80096,                0.84039,                0.68115,                0.68946,                0.43175,                 1.6322,               0.005545,               0.005545,               0.005545
                     47,                 0.7367,                0.48833,                 1.5643,                0.79646,                0.80697,                0.84053,                0.68315,                0.68771,                 0.4308,                 1.6338,               0.005446,               0.005446,               0.005446
                     48,                0.73607,                0.49231,                 1.5686,                0.80415,                0.80382,                0.84273,                0.68515,                0.68683,                 0.4297,                 1.6336,               0.005347,               0.005347,               0.005347
                     49,                0.73218,                0.48761,                 1.5547,                0.80047,                0.80676,                0.84363,                0.68537,                0.68647,                0.42906,                 1.6319,               0.005248,               0.005248,               0.005248
                     50,                0.72688,                0.48147,                 1.5568,                0.79941,                0.80467,                0.84264,                0.68464,                0.68603,                0.42906,                 1.6317,               0.005149,               0.005149,               0.005149
                     51,                0.73112,                0.48711,                 1.5601,                0.79611,                0.80743,                0.84261,                0.68491,                0.68594,                0.42903,                   1.63,                0.00505,                0.00505,                0.00505
                     52,                 0.7254,                0.48031,                 1.5648,                0.79584,                0.81163,                0.84321,                0.68567,                0.68579,                0.42847,                  1.629,               0.004951,               0.004951,               0.004951
                     53,                0.72266,                0.47641,                 1.5639,                0.79532,                 0.8108,                0.84303,                0.68599,                0.68499,                0.42752,                 1.6288,               0.004852,               0.004852,               0.004852
                     54,                0.71816,                0.47272,                 1.5606,                0.80026,                0.80651,                0.84296,                0.68618,                 0.6849,                0.42736,                 1.6277,               0.004753,               0.004753,               0.004753
                     55,                0.71989,                0.47314,                 1.5514,                0.80213,                0.80385,                0.84293,                0.68608,                 0.6847,                0.42667,                 1.6268,               0.004654,               0.004654,               0.004654
                     56,                0.71583,                0.47293,                 1.5528,                 0.8034,                0.80243,                0.84388,                 0.6871,                0.68418,                0.42612,                 1.6268,               0.004555,               0.004555,               0.004555
                     57,                0.71273,                0.46525,                 1.5454,                0.80257,                0.80551,                0.84356,                 0.6867,                0.68356,                0.42579,                 1.6261,               0.004456,               0.004456,               0.004456
                     58,                0.72001,                0.46959,                 1.5447,                0.80507,                0.80608,                0.84452,                0.68752,                0.68295,                0.42502,                 1.6259,               0.004357,               0.004357,               0.004357
                     59,                0.71804,                0.46888,                 1.5597,                0.80575,                0.80382,                0.84506,                0.68861,                0.68259,                0.42463,                 1.6254,               0.004258,               0.004258,               0.004258
                     60,                0.71725,                0.46869,                 1.5434,                0.80494,                0.80599,                 0.8459,                 0.6888,                0.68241,                0.42418,                 1.6245,               0.004159,               0.004159,               0.004159
                     61,                0.71067,                0.46283,                 1.5446,                0.80526,                0.80554,                0.84676,                0.68961,                0.68189,                0.42351,                  1.624,                0.00406,                0.00406,                0.00406
                     62,                0.70652,                0.45929,                 1.5491,                0.80268,                0.81099,                0.84721,                0.69019,                0.68138,                0.42307,                  1.624,               0.003961,               0.003961,               0.003961
                     63,                0.70969,                 0.4605,                 1.5518,                0.80095,                0.81235,                0.84757,                0.69062,                0.68118,                0.42251,                 1.6236,               0.003862,               0.003862,               0.003862
                     64,                0.71143,                0.46176,                 1.5483,                0.80379,                0.80869,                0.84815,                 0.6915,                0.68081,                0.42216,                 1.6233,               0.003763,               0.003763,               0.003763
                     65,                0.70359,                 0.4553,                 1.5424,                0.80434,                0.80895,                0.84895,                0.69216,                0.68042,                0.42182,                 1.6228,               0.003664,               0.003664,               0.003664
                     66,                0.70244,                0.45646,                 1.5446,                0.80578,                0.80965,                0.84949,                0.69264,                0.67994,                0.42149,                 1.6225,               0.003565,               0.003565,               0.003565
                     67,                0.70918,                0.45598,                  1.534,                0.80722,                0.81053,                0.85032,                 0.6935,                0.67968,                0.42126,                  1.622,               0.003466,               0.003466,               0.003466
                     68,                0.70034,                0.44926,                 1.5429,                0.80535,                0.81302,                0.85107,                0.69436,                0.67941,                0.42102,                 1.6215,               0.003367,               0.003367,               0.003367
                     69,                0.70005,                0.44862,                 1.5429,                 0.8062,                0.81143,                0.85114,                0.69438,                0.67905,                0.42097,                 1.6213,               0.003268,               0.003268,               0.003268
                     70,                0.69716,                0.44703,                 1.5282,                 0.8061,                  0.811,                0.85139,                0.69494,                 0.6788,                0.42061,                  1.621,               0.003169,               0.003169,               0.003169
                     71,                0.69854,                0.44994,                 1.5329,                0.80637,                0.81169,                0.85203,                0.69555,                0.67854,                0.42013,                 1.6206,                0.00307,                0.00307,                0.00307
                     72,                0.69641,                0.44491,                 1.5291,                0.80675,                0.81274,                0.85246,                0.69616,                 0.6783,                0.42001,                 1.6203,               0.002971,               0.002971,               0.002971
                     73,                0.69089,                0.44023,                 1.5352,                 0.8083,                0.81103,                0.85278,                0.69653,                0.67828,                0.41977,                 1.6201,               0.002872,               0.002872,               0.002872
                     74,                0.69066,                 0.4397,                 1.5326,                0.80833,                0.81097,                0.85278,                0.69658,                0.67809,                0.41941,                 1.6199,               0.002773,               0.002773,               0.002773
                     75,                 0.6898,                0.43885,                 1.5243,                0.81036,                0.80952,                0.85312,                0.69679,                0.67784,                0.41912,                 1.6196,               0.002674,               0.002674,               0.002674
                     76,                0.68819,                0.43698,                 1.5231,                0.81111,                0.81069,                0.85376,                0.69731,                0.67752,                0.41867,                 1.6194,               0.002575,               0.002575,               0.002575
                     77,                0.68753,                 0.4353,                 1.5184,                0.80808,                0.81394,                0.85361,                0.69788,                0.67722,                0.41841,                 1.6192,               0.002476,               0.002476,               0.002476
                     78,                0.68636,                0.43319,                 1.5247,                0.80929,                 0.8133,                0.85421,                0.69845,                0.67697,                0.41813,                  1.619,               0.002377,               0.002377,               0.002377
                     79,                0.68681,                0.43356,                 1.5249,                0.81055,                0.81425,                0.85414,                0.69847,                 0.6766,                0.41781,                 1.6192,               0.002278,               0.002278,               0.002278
                     80,                0.68162,                0.43172,                 1.5232,                0.81009,                0.81634,                 0.8546,                0.69899,                0.67636,                0.41763,                  1.619,               0.002179,               0.002179,               0.002179
                     81,                0.68159,                0.42814,                 1.5251,                 0.8109,                0.81655,                0.85482,                0.69889,                0.67628,                0.41741,                 1.6187,                0.00208,                0.00208,                0.00208
                     82,                0.68329,                0.43006,                 1.5149,                0.81637,                0.81253,                0.85481,                0.69947,                0.67605,                 0.4171,                 1.6183,               0.001981,               0.001981,               0.001981
                     83,                0.67841,                0.42399,                 1.5105,                 0.8165,                  0.814,                0.85493,                0.69966,                0.67593,                0.41711,                 1.6181,               0.001882,               0.001882,               0.001882
                     84,                0.68008,                0.42805,                 1.5206,                0.81741,                0.81447,                0.85502,                0.69995,                0.67572,                0.41681,                 1.6179,               0.001783,               0.001783,               0.001783
                     85,                0.67992,                0.42423,                  1.517,                0.81694,                 0.8137,                0.85499,                0.69985,                0.67558,                0.41671,                 1.6176,               0.001684,               0.001684,               0.001684
                     86,                 0.6739,                0.42077,                 1.5138,                0.81755,                0.81429,                0.85508,                0.70007,                0.67552,                0.41656,                 1.6174,               0.001585,               0.001585,               0.001585
                     87,                0.67301,                0.41817,                 1.5056,                0.81804,                0.81404,                0.85498,                0.70019,                0.67541,                0.41644,                 1.6172,               0.001486,               0.001486,               0.001486
                     88,                0.67213,                0.41869,                 1.5167,                0.81767,                0.81397,                0.85525,                 0.7008,                 0.6752,                0.41607,                  1.617,               0.001387,               0.001387,               0.001387
                     89,                0.66965,                0.41609,                 1.5159,                0.81783,                0.81398,                 0.8553,                0.70089,                0.67492,                0.41596,                 1.6171,               0.001288,               0.001288,               0.001288
                     90,                0.66842,                0.41523,                 1.5054,                0.81732,                0.81467,                0.85549,                0.70133,                0.67475,                0.41583,                 1.6167,               0.001189,               0.001189,               0.001189
                     91,                0.66826,                0.41208,                 1.5028,                0.81806,                0.81549,                0.85565,                0.70167,                0.67449,                0.41554,                 1.6166,                0.00109,                0.00109,                0.00109
                     92,                0.66509,                0.40757,                  1.503,                0.81814,                0.81525,                0.85556,                0.70176,                0.67425,                0.41541,                 1.6166,               0.000991,               0.000991,               0.000991
                     93,                0.66196,                0.40549,                 1.5042,                0.81915,                0.81448,                0.85557,                0.70187,                0.67395,                0.41536,                 1.6165,               0.000892,               0.000892,               0.000892
                     94,                 0.6633,                0.40764,                 1.5048,                0.81972,                0.81497,                0.85557,                0.70185,                0.67371,                0.41507,                 1.6164,               0.000793,               0.000793,               0.000793
                     95,                0.66173,                0.40839,                 1.4982,                0.82098,                0.81395,                0.85567,                0.70205,                0.67365,                0.41484,                 1.6161,               0.000694,               0.000694,               0.000694
                     96,                0.65796,                0.40335,                 1.4973,                0.82238,                0.81386,                0.85565,                0.70215,                 0.6734,                 0.4144,                 1.6161,               0.000595,               0.000595,               0.000595
                     97,                0.65546,                0.40084,                 1.4932,                0.82317,                0.81431,                0.85573,                0.70237,                0.67305,                0.41414,                  1.616,               0.000496,               0.000496,               0.000496
                     98,                0.65682,                0.40019,                 1.5047,                0.82126,                0.81531,                0.85577,                 0.7027,                0.67292,                0.41389,                  1.616,               0.000397,               0.000397,               0.000397
                     99,                0.65464,                0.39882,                 1.4984,                 0.8196,                  0.817,                0.85551,                0.70244,                0.67267,                0.41373,                 1.6161,               0.000298,               0.000298,               0.000298
                    100,                0.65463,                0.39903,                 1.4938,                0.82549,                 0.8134,                 0.8551,                0.70224,                0.67243,                0.41354,                 1.6161,               0.000199,               0.000199,               0.000199
