                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7685,                 2.2822,                 2.8741,                0.95587,                0.15324,                0.20487,                0.09769,                  1.849,                 1.6529,                 2.6782,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5326,                  1.277,                 2.2559,                 0.3049,                0.32779,                  0.294,                 0.1786,                 1.3167,                 1.1505,                 2.1401,                0.04004,               0.006589,               0.006589
                      3,                 1.2382,                 1.0369,                 1.9778,                0.34293,                0.44977,                0.36125,                0.22381,                 1.2228,                0.96974,                 2.1752,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0714,                0.88595,                 1.8374,                0.33833,                0.46031,                0.37711,                0.25263,                 1.0684,                0.99195,                 1.9822,               0.009703,               0.009703,               0.009703
                      5,                0.98868,                0.79397,                 1.7689,                 0.5523,                0.63347,                0.59466,                0.42213,                0.87737,                0.70265,                 1.8305,               0.009604,               0.009604,               0.009604
                      6,                0.94295,                0.73595,                 1.7208,                0.40315,                0.47691,                0.43669,                0.30241,                0.95178,                 0.8387,                 1.8958,               0.009505,               0.009505,               0.009505
                      7,                0.91671,                0.70387,                  1.702,                0.58618,                0.59944,                0.59146,                0.42672,                0.86675,                 0.6831,                  1.822,               0.009406,               0.009406,               0.009406
                      8,                0.90132,                0.68785,                 1.6978,                0.61567,                0.66013,                0.62931,                0.46163,                0.81888,                0.61727,                 1.7409,               0.009307,               0.009307,               0.009307
                      9,                0.88852,                0.66698,                 1.6706,                0.61624,                0.66373,                0.64269,                0.47412,                0.81645,                0.61699,                 1.7356,               0.009208,               0.009208,               0.009208
                     10,                0.87985,                0.65652,                  1.658,                 0.6307,                 0.6812,                0.67848,                0.50932,                0.79111,                0.58031,                 1.7368,               0.009109,               0.009109,               0.009109
                     11,                0.86911,                0.64262,                  1.653,                0.68226,                0.69604,                0.69951,                 0.5209,                0.79005,                0.56674,                 1.7418,                0.00901,                0.00901,                0.00901
                     12,                0.85884,                0.62853,                 1.6416,                 0.6754,                0.69375,                0.68901,                 0.5199,                0.78654,                0.56414,                 1.7122,               0.008911,               0.008911,               0.008911
                     13,                0.85264,                0.62331,                 1.6382,                0.66316,                0.71087,                 0.7024,                0.52912,                0.78054,                0.55537,                 1.7314,               0.008812,               0.008812,               0.008812
                     14,                0.84588,                0.61752,                 1.6301,                0.68136,                0.71211,                0.70722,                0.54517,                0.75947,                0.54258,                 1.7066,               0.008713,               0.008713,               0.008713
                     15,                0.84258,                   0.61,                 1.6291,                0.70556,                 0.7331,                0.73982,                0.56905,                0.76896,                0.51892,                 1.6908,               0.008614,               0.008614,               0.008614
                     16,                0.83592,                0.59968,                 1.6194,                0.73927,                0.72994,                0.75869,                0.58548,                0.75213,                0.51178,                 1.7029,               0.008515,               0.008515,               0.008515
                     17,                0.83024,                0.59344,                  1.623,                0.70974,                0.74313,                0.75308,                0.58045,                0.74744,                 0.5097,                 1.6953,               0.008416,               0.008416,               0.008416
                     18,                0.82403,                0.58814,                 1.6108,                0.71041,                0.74324,                0.76234,                0.58987,                0.74423,                0.50966,                 1.6828,               0.008317,               0.008317,               0.008317
                     19,                0.82233,                0.58328,                 1.6219,                0.73911,                0.73937,                0.77253,                0.60117,                0.74666,                0.50084,                 1.6713,               0.008218,               0.008218,               0.008218
                     20,                0.81916,                0.58326,                 1.6089,                0.73945,                0.73584,                0.76391,                0.59195,                0.74354,                0.51205,                 1.6981,               0.008119,               0.008119,               0.008119
