                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/illum_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/illum_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4752,                 1.7981,                  1.855,                0.14014,                0.56381,                0.45981,                0.42239,                0.30492,                 0.9424,                0.87334,                 1.7317,                0.13878,               0.070053,              0.0033274,              0.0033274
                      2,                 1.1826,                0.93132,                 1.6277,                0.10936,                0.58548,                 0.6481,                0.61955,                0.46262,                0.87302,                0.70232,                 1.5982,                0.03835,               0.039987,              0.0065948,              0.0065948
                      3,                0.97202,                0.74955,                 1.6026,                 0.0265,                0.60853,                0.64789,                0.62194,                0.47948,                0.77314,                0.60562,                 1.6428,                0.01173,              0.0098554,              0.0097962,              0.0097962
                      4,                0.82365,                  0.631,                 1.5109,                0.01952,                0.66863,                0.69164,                0.69006,                0.52839,                0.75723,                0.55063,                 1.6014,                0.00468,               0.009703,               0.009703,               0.009703
                      5,                0.79648,                 0.5969,                  1.471,                0.01416,                0.70301,                0.70689,                0.71477,                0.56823,                0.73514,                0.53136,                 1.5478,                0.00667,               0.009604,               0.009604,               0.009604
                      6,                0.78611,                0.57783,                 1.4487,                0.01215,                 0.7293,                 0.7285,                0.75605,                0.60843,                0.73363,                0.51226,                 1.5062,                0.00326,               0.009505,               0.009505,               0.009505
                      7,                 0.7751,                0.56508,                  1.433,                0.01133,                0.71409,                0.73477,                0.73648,                0.59311,                0.71523,                0.50077,                 1.5464,                0.00324,               0.009406,               0.009406,               0.009406
                      8,                0.76887,                 0.5557,                 1.4337,                0.01049,                 0.7452,                0.74674,                0.78706,                0.63817,                0.70779,                0.48709,                  1.523,                0.00314,               0.009307,               0.009307,               0.009307
                      9,                0.76433,                0.54648,                 1.4288,                0.01036,                0.75512,                0.73665,                0.78207,                0.63111,                0.71619,                0.48507,                 1.5248,                0.00393,               0.009208,               0.009208,               0.009208
                     10,                 0.7617,                0.54415,                 1.4211,                0.00939,                0.71591,                0.73336,                0.73744,                0.59734,                0.71355,                0.49205,                 1.5157,                0.00289,               0.009109,               0.009109,               0.009109
                     11,                0.75444,                 0.5341,                 1.4141,                0.00975,                0.77118,                0.74293,                  0.795,                0.64508,                0.70757,                0.47433,                 1.5076,                0.00382,                0.00901,                0.00901,                0.00901
                     12,                0.75161,                 0.5304,                 1.4169,                0.00915,                0.76442,                 0.7378,                0.79085,                0.64495,                0.69832,                0.46904,                 1.5205,                0.00321,               0.008911,               0.008911,               0.008911
                     13,                0.74621,                0.52586,                 1.4153,                0.00916,                0.74748,                0.73804,                0.76796,                0.62763,                0.68819,                0.47141,                 1.5071,                0.00449,               0.008812,               0.008812,               0.008812
                     14,                0.74178,                0.51811,                 1.4089,                0.00933,                0.78317,                0.77063,                0.81727,                0.67038,                0.69006,                0.45416,                 1.4971,                0.00336,               0.008713,               0.008713,               0.008713
                     15,                0.74047,                0.51532,                 1.4034,                0.00796,                0.78421,                0.77675,                0.81771,                0.66836,                0.68747,                0.45454,                 1.4996,                0.00245,               0.008614,               0.008614,               0.008614
                     16,                0.73689,                0.51164,                 1.4072,                0.00769,                0.77082,                 0.7734,                0.80703,                0.66097,                0.68132,                0.45177,                 1.4971,                0.00285,               0.008515,               0.008515,               0.008515
                     17,                0.73351,                0.50799,                 1.4022,                0.00849,                0.76623,                 0.7828,                 0.8137,                0.67119,                0.67801,                0.44508,                 1.5016,                0.00238,               0.008416,               0.008416,               0.008416
                     18,                0.72839,                0.50506,                 1.4048,                0.00839,                0.77318,                0.79045,                0.81389,                0.67127,                0.67826,                0.44447,                  1.467,                0.00238,               0.008317,               0.008317,               0.008317
                     19,                0.72751,                0.50283,                 1.3962,                0.00775,                0.78478,                0.79639,                0.83918,                0.69206,                0.68143,                0.43424,                 1.5065,                0.00242,               0.008218,               0.008218,               0.008218
                     20,                0.72676,                0.49655,                 1.4038,                0.00837,                0.79245,                0.79877,                0.84682,                0.69959,                 0.6745,                0.42908,                 1.4936,                0.00278,               0.008119,               0.008119,               0.008119
                     21,                 0.7207,                 0.4959,                 1.4024,                0.00836,                0.78972,                0.80174,                 0.8375,                0.69381,                0.66812,                0.42802,                 1.4738,                0.00322,                0.00802,                0.00802,                0.00802
                     22,                0.71963,                0.49182,                 1.3961,                0.00811,                0.78979,                0.78483,                0.83088,                0.68795,                0.67034,                0.43165,                 1.4697,                0.00319,               0.007921,               0.007921,               0.007921
                     23,                0.71858,                0.49277,                 1.3928,                0.00738,                0.79602,                0.77694,                0.82655,                0.68496,                 0.6695,                0.42842,                 1.4703,                0.00274,               0.007822,               0.007822,               0.007822
                     24,                0.71531,                0.48632,                 1.3984,                0.00757,                0.77833,                0.81157,                 0.8372,                0.69316,                0.66801,                0.42251,                 1.4833,                0.00248,               0.007723,               0.007723,               0.007723
                     25,                0.71274,                0.48425,                 1.3951,                0.00784,                0.80404,                0.81661,                0.85503,                0.71043,                0.66601,                0.41647,                 1.4649,                0.00312,               0.007624,               0.007624,               0.007624
