                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8388,                 2.3669,                  2.934,                0.20362,                0.22353,                0.22158,                0.10241,                 1.9481,                 1.6975,                 2.6924,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5657,                 1.3857,                 2.3552,                0.28466,                0.33578,                0.30666,                0.19084,                 1.2299,                 1.1821,                 2.2753,                0.04004,               0.006589,               0.006589
                      3,                 1.2788,                 1.1283,                 2.0642,                0.33857,                0.26092,                0.24499,                0.14279,                 1.5427,                 1.8427,                 2.4321,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.1189,                0.96718,                 1.8736,                 0.2846,                0.32811,                0.26977,                0.16579,                 1.3233,                 1.1612,                 2.3068,               0.009703,               0.009703,               0.009703
                      5,                 1.0263,                 0.8628,                 1.8116,                0.50314,                0.50079,                0.46994,                  0.336,                0.94536,                0.82456,                 1.9558,               0.009604,               0.009604,               0.009604
                      6,                 0.9874,                0.78291,                 1.7192,                0.57611,                0.60056,                0.57843,                0.41593,                0.87586,                0.71821,                 1.8024,               0.009505,               0.009505,               0.009505
                      7,                0.94178,                0.73864,                 1.6998,                0.49462,                0.52773,                0.50357,                0.35675,                0.91161,                0.81903,                 1.8419,               0.009406,               0.009406,               0.009406
                      8,                0.92967,                0.73038,                 1.6789,                 0.5484,                0.58949,                0.55429,                0.40178,                0.85206,                0.75424,                 1.7954,               0.009307,               0.009307,               0.009307
                      9,                0.91137,                0.69887,                 1.6708,                 0.5991,                0.62895,                0.60988,                0.44616,                0.83898,                0.66315,                  1.763,               0.009208,               0.009208,               0.009208
                     10,                0.90845,                0.69681,                 1.6411,                0.60108,                0.60784,                0.60199,                0.44446,                0.83497,                0.68262,                 1.7687,               0.009109,               0.009109,               0.009109
                     11,                0.89822,                 0.6837,                 1.6593,                0.67705,                0.66349,                0.67614,                0.50435,                0.80519,                0.61809,                 1.7004,                0.00901,                0.00901,                0.00901
                     12,                0.88341,                0.66898,                 1.6394,                0.67624,                0.68042,                0.68628,                0.51982,                0.78563,                 0.5933,                 1.7196,               0.008911,               0.008911,               0.008911
                     13,                0.87399,                 0.6658,                 1.6455,                0.69736,                0.68893,                0.71674,                0.54564,                0.78249,                0.57744,                 1.7126,               0.008812,               0.008812,               0.008812
                     14,                0.87054,                0.64308,                 1.6266,                0.68574,                0.69191,                0.71076,                0.53732,                0.78205,                0.58967,                 1.7184,               0.008713,               0.008713,               0.008713
                     15,                0.86371,                0.64314,                 1.6321,                0.69384,                0.70225,                0.71572,                 0.5496,                0.77146,                0.55477,                 1.6975,               0.008614,               0.008614,               0.008614
                     16,                0.85858,                0.63145,                 1.6218,                0.71255,                 0.7098,                0.73669,                0.56462,                0.76193,                0.54595,                 1.7018,               0.008515,               0.008515,               0.008515
                     17,                 0.8424,                0.61427,                 1.6387,                0.70024,                0.71816,                0.72912,                0.56142,                 0.7703,                0.54227,                   1.66,               0.008416,               0.008416,               0.008416
                     18,                0.83596,                0.61529,                 1.6155,                 0.7177,                0.71503,                0.74678,                 0.5765,                0.76335,                0.53091,                 1.6526,               0.008317,               0.008317,               0.008317
                     19,                0.84062,                0.60811,                 1.5927,                0.71657,                0.73286,                0.75409,                0.58491,                 0.7496,                0.52281,                 1.6754,               0.008218,               0.008218,               0.008218
                     20,                 0.8369,                0.60392,                  1.606,                0.71537,                0.72864,                0.74963,                0.58365,                0.75191,                0.52081,                 1.6707,               0.008119,               0.008119,               0.008119
                     21,                0.82576,                0.59889,                 1.6166,                0.71278,                0.73248,                0.74858,                0.58302,                0.74261,                0.51753,                 1.6779,                0.00802,                0.00802,                0.00802
                     22,                0.82107,                0.59209,                 1.6123,                0.72989,                 0.7375,                 0.7569,                 0.5926,                0.73628,                0.50692,                 1.6683,               0.007921,               0.007921,               0.007921
                     23,                0.82357,                0.58888,                 1.6067,                 0.7234,                0.75046,                0.76666,                0.60044,                  0.732,                0.50473,                 1.6665,               0.007822,               0.007822,               0.007822
                     24,                0.82043,                0.58622,                 1.6065,                0.74909,                0.73389,                0.76307,                0.59696,                0.73154,                0.50491,                 1.6676,               0.007723,               0.007723,               0.007723
                     25,                0.81093,                0.57322,                  1.599,                0.72746,                0.74445,                0.75926,                0.59331,                 0.7322,                0.50235,                 1.6515,               0.007624,               0.007624,               0.007624
                     26,                0.81264,                0.57677,                 1.6196,                0.74936,                0.75823,                0.78269,                0.61518,                0.73052,                 0.4937,                 1.6581,               0.007525,               0.007525,               0.007525
                     27,                0.81365,                0.57818,                 1.5999,                 0.7395,                 0.7697,                 0.7847,                0.61599,                0.72658,                0.49322,                 1.6654,               0.007426,               0.007426,               0.007426
                     28,                0.81649,                0.58141,                 1.6067,                0.73216,                0.77012,                0.77728,                0.61208,                0.72409,                0.49156,                 1.6506,               0.007327,               0.007327,               0.007327
                     29,                0.80448,                0.57026,                 1.5964,                0.75695,                0.73735,                0.77585,                0.61045,                0.72066,                0.48797,                 1.6518,               0.007228,               0.007228,               0.007228
                     30,                0.79973,                0.56766,                 1.5687,                0.77352,                0.73971,                0.79416,                0.62878,                0.72019,                0.48451,                 1.6466,               0.007129,               0.007129,               0.007129
                     31,                0.80285,                0.56775,                 1.5691,                0.77457,                0.76007,                0.79896,                0.63393,                0.71818,                0.47932,                 1.6493,                0.00703,                0.00703,                0.00703
                     32,                 0.7909,                0.55705,                 1.6003,                 0.7577,                0.76513,                0.78747,                 0.6227,                0.71947,                0.48156,                 1.6447,               0.006931,               0.006931,               0.006931
                     33,                0.79457,                0.55839,                 1.5803,                0.77036,                0.76509,                 0.8066,                0.63974,                0.71591,                0.47497,                 1.6426,               0.006832,               0.006832,               0.006832
                     34,                0.78984,                0.55612,                 1.5697,                0.75555,                0.76885,                0.79386,                0.63029,                0.71506,                0.47839,                 1.6419,               0.006733,               0.006733,               0.006733
                     35,                0.78476,                0.54682,                 1.5868,                0.76171,                0.77076,                 0.7937,                0.62967,                0.71317,                0.47441,                 1.6416,               0.006634,               0.006634,               0.006634
                     36,                0.78119,                0.53755,                 1.5855,                 0.7593,                0.78201,                 0.8074,                0.64131,                 0.7129,                0.47292,                 1.6367,               0.006535,               0.006535,               0.006535
                     37,                 0.7893,                0.54514,                 1.5801,                0.79027,                 0.7712,                 0.8163,                0.64988,                 0.7099,                0.46854,                 1.6316,               0.006436,               0.006436,               0.006436
