                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8404,                 2.2946,                 2.8954,                0.26141,                0.21107,                0.19932,                0.09993,                 1.7447,                 1.5532,                 2.6705,               0.070106,              0.0033215,              0.0033215
                      2,                 1.6364,                 1.3421,                 2.3243,                0.28043,                0.40774,                0.28167,                0.15444,                 1.4675,                  1.223,                 2.2695,                0.04004,               0.006589,               0.006589
                      3,                 1.2445,                 1.0437,                 2.0251,                0.29115,                0.42051,                0.33598,                0.22264,                 1.1113,                 1.1018,                 2.1737,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0727,                0.87861,                 1.8805,                0.50433,                 0.5465,                0.51945,                0.35309,                0.93147,                 0.7441,                 1.9683,               0.009703,               0.009703,               0.009703
                      5,                0.98459,                0.78635,                 1.8034,                0.51576,                0.55407,                0.51495,                0.36784,                0.88726,                0.74375,                 1.9324,               0.009604,               0.009604,               0.009604
                      6,                0.93166,                0.72629,                 1.7535,                0.59718,                0.59135,                0.59309,                0.43074,                0.87511,                0.66266,                 1.8206,               0.009505,               0.009505,               0.009505
                      7,                0.90605,                0.69946,                 1.7269,                0.60311,                0.64608,                0.62581,                0.46119,                0.84568,                0.62694,                 1.8052,               0.009406,               0.009406,               0.009406
                      8,                0.88573,                0.67414,                 1.7062,                0.60296,                0.66209,                0.63733,                0.48462,                0.80055,                0.59979,                 1.7628,               0.009307,               0.009307,               0.009307
                      9,                0.87578,                 0.6635,                 1.6908,                0.65282,                0.64362,                0.65852,                0.49046,                0.80316,                0.59488,                 1.7732,               0.009208,               0.009208,               0.009208
                     10,                0.86878,                0.65098,                 1.6849,                0.66794,                0.68491,                0.68874,                0.52329,                0.79996,                0.56744,                 1.7396,               0.009109,               0.009109,               0.009109
                     11,                0.85221,                0.62867,                 1.6748,                0.64987,                0.69754,                0.68481,                0.52459,                0.75989,                0.57925,                 1.7636,                0.00901,                0.00901,                0.00901
                     12,                0.84621,                0.62139,                 1.6606,                0.67971,                0.71007,                0.72207,                0.55291,                0.76106,                0.54488,                 1.7103,               0.008911,               0.008911,               0.008911
                     13,                0.83754,                0.61319,                 1.6612,                0.66306,                0.66819,                0.68186,                0.52487,                0.76294,                0.55111,                 1.7323,               0.008812,               0.008812,               0.008812
                     14,                 0.8323,                0.60889,                 1.6443,                0.70233,                0.69874,                0.71764,                0.55939,                0.73863,                0.52084,                 1.7308,               0.008713,               0.008713,               0.008713
                     15,                0.82529,                0.60045,                 1.6416,                0.68581,                 0.7326,                0.72019,                0.55774,                0.75167,                0.52414,                 1.6843,               0.008614,               0.008614,               0.008614
                     16,                0.82303,                 0.5965,                 1.6355,                0.72438,                0.72115,                 0.7352,                0.57424,                 0.7378,                0.50599,                 1.7095,               0.008515,               0.008515,               0.008515
                     17,                 0.8184,                0.58606,                  1.637,                0.70091,                0.71424,                0.73627,                0.57594,                0.73158,                0.51206,                 1.7159,               0.008416,               0.008416,               0.008416
                     18,                0.80839,                0.57742,                 1.6196,                0.72137,                0.73657,                  0.752,                0.59366,                0.72954,                 0.4965,                 1.6916,               0.008317,               0.008317,               0.008317
                     19,                0.80923,                0.57716,                 1.6222,                0.72707,                0.73987,                 0.7564,                0.59908,                0.72616,                0.49098,                 1.6964,               0.008218,               0.008218,               0.008218
                     20,                 0.8024,                0.56891,                 1.6145,                0.71235,                0.72469,                0.74753,                0.59088,                0.72799,                0.50108,                 1.6944,               0.008119,               0.008119,               0.008119
                     21,                0.79989,                0.56581,                 1.6066,                0.75165,                0.76436,                0.78805,                0.62659,                0.71339,                0.48019,                 1.6719,                0.00802,                0.00802,                0.00802
                     22,                 0.7942,                 0.5629,                 1.6142,                0.72828,                0.75234,                0.77332,                0.61353,                0.71622,                0.47621,                 1.6755,               0.007921,               0.007921,               0.007921
                     23,                0.79321,                0.55729,                 1.6187,                0.73805,                0.76984,                0.79355,                0.63378,                  0.709,                0.47646,                 1.6912,               0.007822,               0.007822,               0.007822
                     24,                0.79028,                0.55752,                 1.6134,                0.74704,                0.75883,                0.79556,                0.63474,                0.70945,                0.46948,                 1.6728,               0.007723,               0.007723,               0.007723
                     25,                0.78589,                0.55013,                 1.6079,                0.75229,                0.76691,                0.79552,                0.63738,                0.70558,                0.46691,                 1.6659,               0.007624,               0.007624,               0.007624
                     26,                0.77919,                0.54515,                 1.6021,                 0.7601,                0.76296,                0.80186,                 0.6459,                0.70394,                0.46201,                 1.6636,               0.007525,               0.007525,               0.007525
                     27,                0.77523,                0.54362,                 1.6029,                0.78559,                0.76437,                0.81805,                0.65787,                0.69925,                0.45734,                 1.6571,               0.007426,               0.007426,               0.007426
                     28,                0.77741,                0.54338,                 1.5969,                 0.7467,                0.78032,                0.80035,                0.64652,                0.69917,                0.45827,                 1.6577,               0.007327,               0.007327,               0.007327
                     29,                0.77294,                 0.5384,                 1.6066,                0.77649,                0.77767,                0.81384,                0.65595,                0.69661,                0.45464,                 1.6564,               0.007228,               0.007228,               0.007228
                     30,                  0.775,                0.53929,                 1.5919,                0.78341,                0.76507,                0.81104,                0.65458,                0.69569,                0.45331,                 1.6529,               0.007129,               0.007129,               0.007129
                     31,                0.76916,                0.53097,                 1.5995,                0.76324,                0.78844,                0.81489,                0.66009,                0.69239,                0.45009,                 1.6531,                0.00703,                0.00703,                0.00703
                     32,                0.76715,                0.53023,                 1.5956,                0.76904,                0.78458,                0.81707,                0.65949,                0.69409,                0.44864,                  1.653,               0.006931,               0.006931,               0.006931
                     33,                0.76155,                0.52608,                 1.5897,                0.79152,                0.77974,                0.82613,                0.66911,                0.69214,                0.44348,                 1.6498,               0.006832,               0.006832,               0.006832
                     34,                0.75932,                0.52253,                 1.5869,                0.78591,                0.78481,                0.82406,                0.66957,                0.69044,                0.44263,                 1.6501,               0.006733,               0.006733,               0.006733
                     35,                0.75845,                0.51932,                 1.5796,                0.78729,                0.78396,                 0.8271,                0.67126,                0.69135,                 0.4437,                 1.6457,               0.006634,               0.006634,               0.006634
                     36,                0.75766,                0.51507,                 1.5818,                0.78103,                0.78573,                0.82686,                0.67089,                0.68752,                0.44067,                 1.6435,               0.006535,               0.006535,               0.006535
                     37,                0.74955,                0.51333,                 1.5845,                0.77737,                0.79299,                0.82222,                0.66735,                0.68576,                0.44003,                  1.645,               0.006436,               0.006436,               0.006436
                     38,                 0.7475,                0.51057,                 1.5839,                0.78732,                0.79342,                0.82857,                0.67276,                0.68517,                0.43845,                 1.6394,               0.006337,               0.006337,               0.006337
                     39,                 0.7486,                0.51018,                 1.5864,                0.79976,                0.78638,                0.83438,                0.67967,                0.68401,                 0.4373,                 1.6392,               0.006238,               0.006238,               0.006238
                     40,                0.74904,                0.51402,                 1.5784,                 0.8036,                 0.7828,                0.83318,                0.67824,                0.68517,                0.43593,                 1.6374,               0.006139,               0.006139,               0.006139
                     41,                 0.7411,                0.50089,                 1.5713,                0.80213,                0.78557,                0.83694,                0.68132,                0.68294,                 0.4349,                  1.636,                0.00604,                0.00604,                0.00604
                     42,                0.74366,                0.50425,                 1.5741,                 0.7974,                0.79804,                0.84004,                0.68378,                 0.6822,                0.43274,                 1.6333,               0.005941,               0.005941,               0.005941
                     43,                0.73727,                0.50073,                 1.5727,                0.79681,                0.78831,                0.83635,                0.68156,                0.68163,                0.43274,                 1.6313,               0.005842,               0.005842,               0.005842
                     44,                0.73878,                0.49962,                 1.5678,                 0.8037,                 0.7899,                0.83796,                0.68232,                0.68116,                0.43188,                 1.6301,               0.005743,               0.005743,               0.005743
                     45,                0.73734,                0.49585,                 1.5691,                 0.7984,                0.79383,                0.83884,                0.68447,                0.67981,                0.43097,                 1.6328,               0.005644,               0.005644,               0.005644
                     46,                0.73556,                0.49743,                 1.5729,                0.79973,                0.79161,                0.84022,                0.68661,                0.67915,                0.42949,                 1.6342,               0.005545,               0.005545,               0.005545
                     47,                0.73798,                0.49593,                 1.5676,                0.80814,                0.79377,                0.84307,                0.68908,                0.67814,                0.42742,                 1.6324,               0.005446,               0.005446,               0.005446
                     48,                0.73305,                0.49489,                 1.5655,                0.80537,                  0.793,                0.84337,                0.69028,                0.67705,                0.42713,                 1.6312,               0.005347,               0.005347,               0.005347
                     49,                0.72924,                0.48793,                 1.5626,                0.80022,                0.79688,                0.84293,                0.69006,                0.67599,                0.42581,                 1.6318,               0.005248,               0.005248,               0.005248
                     50,                0.72764,                0.48647,                 1.5651,                0.79132,                0.80662,                0.84187,                0.68857,                 0.6758,                 0.4258,                 1.6307,               0.005149,               0.005149,               0.005149
                     51,                 0.7275,                0.48558,                 1.5561,                0.80416,                0.79254,                0.84206,                0.68934,                 0.6756,                0.42567,                 1.6286,                0.00505,                0.00505,                0.00505
                     52,                0.72207,                0.48169,                 1.5665,                0.80498,                0.79503,                0.84307,                0.69017,                0.67496,                0.42466,                 1.6278,               0.004951,               0.004951,               0.004951
                     53,                0.71916,                0.47819,                 1.5576,                0.80551,                0.79417,                0.84326,                0.69097,                0.67435,                0.42426,                 1.6263,               0.004852,               0.004852,               0.004852
                     54,                0.71611,                0.47697,                 1.5606,                0.80567,                0.79216,                0.84401,                0.69163,                0.67376,                0.42381,                 1.6245,               0.004753,               0.004753,               0.004753
                     55,                 0.7195,                0.47999,                 1.5564,                 0.8106,                 0.7917,                0.84487,                0.69195,                 0.6732,                 0.4231,                 1.6237,               0.004654,               0.004654,               0.004654
                     56,                0.71163,                0.47489,                 1.5586,                0.80733,                0.79334,                0.84597,                 0.6926,                0.67317,                0.42257,                 1.6238,               0.004555,               0.004555,               0.004555
                     57,                0.71282,                0.47383,                 1.5491,                0.80946,                0.79239,                0.84719,                0.69387,                0.67276,                0.42175,                 1.6231,               0.004456,               0.004456,               0.004456
                     58,                0.71248,                0.47136,                 1.5423,                0.80618,                0.79698,                0.84785,                0.69464,                0.67223,                0.42097,                 1.6219,               0.004357,               0.004357,               0.004357
                     59,                0.71337,                0.46964,                 1.5537,                0.79604,                0.80788,                0.84872,                0.69579,                0.67197,                0.42071,                 1.6212,               0.004258,               0.004258,               0.004258
                     60,                0.70438,                0.46576,                 1.5379,                0.79696,                0.80917,                0.84941,                0.69649,                0.67157,                0.42051,                 1.6208,               0.004159,               0.004159,               0.004159
                     61,                0.70863,                  0.468,                 1.5386,                0.79711,                 0.8096,                0.84954,                0.69677,                0.67104,                 0.4202,                   1.62,                0.00406,                0.00406,                0.00406
                     62,                0.70763,                0.46497,                 1.5473,                0.79497,                0.80924,                0.84953,                0.69715,                0.67068,                0.41963,                 1.6195,               0.003961,               0.003961,               0.003961
                     63,                0.70691,                0.46687,                  1.544,                0.79396,                0.81197,                0.85024,                0.69784,                0.67053,                0.41922,                 1.6187,               0.003862,               0.003862,               0.003862
                     64,                0.70602,                0.46667,                 1.5457,                0.79361,                0.81175,                0.85112,                0.69852,                0.67019,                  0.419,                 1.6183,               0.003763,               0.003763,               0.003763
                     65,                0.70236,                0.45877,                 1.5463,                0.79656,                0.80814,                0.85158,                0.69882,                0.66983,                0.41856,                  1.618,               0.003664,               0.003664,               0.003664
                     66,                0.69979,                0.45939,                 1.5395,                 0.7939,                0.81556,                0.85222,                0.69909,                0.66954,                0.41821,                 1.6177,               0.003565,               0.003565,               0.003565
                     67,                0.69898,                0.45518,                  1.532,                0.79884,                0.80809,                0.85244,                0.69929,                0.66908,                0.41779,                 1.6176,               0.003466,               0.003466,               0.003466
                     68,                0.69723,                0.45153,                 1.5313,                0.79869,                0.80969,                0.85272,                0.69975,                0.66873,                0.41758,                 1.6169,               0.003367,               0.003367,               0.003367
                     69,                0.69453,                0.45286,                 1.5355,                0.80203,                0.80474,                0.85327,                0.70046,                 0.6684,                0.41741,                 1.6164,               0.003268,               0.003268,               0.003268
                     70,                0.69436,                0.45213,                 1.5271,                0.79808,                0.81289,                 0.8537,                0.70093,                0.66796,                0.41709,                 1.6161,               0.003169,               0.003169,               0.003169
                     71,                0.68946,                 0.4477,                 1.5314,                0.79992,                0.81189,                0.85404,                 0.7013,                0.66768,                0.41671,                 1.6161,                0.00307,                0.00307,                0.00307
