                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/illum_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/illum_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4021,                 1.6749,                 1.8257,                0.13603,                0.55121,                0.53915,                0.42569,                0.31031,                0.92832,                 0.8214,                 1.6951,                0.13578,               0.070053,              0.0033274,              0.0033274
                      2,                  1.167,                0.92479,                 1.5771,                0.11147,                  0.582,                 0.6817,                0.63148,                0.46912,                0.90901,                0.71439,                 1.5603,                0.07382,               0.039987,              0.0065948,              0.0065948
                      3,                0.97298,                0.74814,                 1.5487,                  0.047,                0.61651,                0.70285,                0.65115,                0.50844,                0.76445,                0.57612,                 1.6109,                0.00863,              0.0098554,              0.0097962,              0.0097962
                      4,                0.83067,                0.63302,                 1.5232,                 0.0191,                0.72054,                0.70556,                0.73337,                0.56814,                 0.7549,                0.54992,                 1.5702,                0.00452,               0.009703,               0.009703,               0.009703
                      5,                0.79492,                0.59282,                 1.4589,                0.01463,                0.74479,                0.70508,                0.74194,                 0.5913,                 0.7305,                0.52193,                  1.532,                0.00692,               0.009604,               0.009604,               0.009604
                      6,                0.78279,                0.57494,                 1.4366,                0.01193,                0.72351,                0.72589,                0.76147,                0.61054,                0.72046,                0.51142,                 1.5099,                0.00308,               0.009505,               0.009505,               0.009505
                      7,                0.77161,                0.56065,                  1.417,                0.01113,                0.71656,                0.72759,                0.73682,                0.59386,                0.71496,                0.50869,                 1.5454,                0.00289,               0.009406,               0.009406,               0.009406
                      8,                0.76214,                0.54976,                 1.4166,                0.01049,                0.75368,                0.75567,                0.79328,                0.64329,                 0.7087,                0.49636,                 1.4597,                0.00302,               0.009307,               0.009307,               0.009307
                      9,                0.75852,                0.54372,                 1.4107,                0.01015,                0.75031,                 0.7458,                0.78401,                0.63771,                0.70753,                0.48401,                  1.483,                0.00366,               0.009208,               0.009208,               0.009208
                     10,                0.75387,                0.53751,                 1.4027,                0.00938,                0.76568,                0.75743,                0.78959,                0.64405,                0.69558,                  0.476,                 1.4533,                0.00267,               0.009109,               0.009109,               0.009109
                     11,                0.74819,                0.53049,                 1.3955,                0.00962,                 0.7532,                0.75349,                0.78917,                0.64053,                0.70861,                 0.4794,                 1.5008,                0.00325,                0.00901,                0.00901,                0.00901
                     12,                0.74529,                0.52604,                    1.4,                 0.0092,                0.78573,                0.74562,                0.80182,                0.65584,                0.69398,                0.46569,                 1.4915,                 0.0026,               0.008911,               0.008911,               0.008911
                     13,                0.74144,                0.52235,                 1.3981,                0.00902,                0.73867,                0.76321,                0.78732,                0.64372,                0.68931,                0.47541,                 1.4577,                0.00406,               0.008812,               0.008812,               0.008812
                     14,                0.73556,                0.51458,                 1.3927,                0.00931,                0.78148,                0.76728,                0.81515,                0.66519,                0.69078,                 0.4644,                 1.4859,                0.00309,               0.008713,               0.008713,               0.008713
                     15,                0.73398,                0.51063,                 1.3904,                0.00809,                0.77757,                0.79224,                0.82911,                0.68027,                0.68193,                0.44845,                 1.4873,                0.00223,               0.008614,               0.008614,               0.008614
                     16,                0.73004,                0.50845,                 1.3926,                0.00766,                0.76379,                0.76241,                0.80454,                0.66332,                0.67734,                0.45448,                  1.467,                0.00239,               0.008515,               0.008515,               0.008515
                     17,                0.72709,                0.50378,                 1.3883,                0.00849,                0.79155,                0.76373,                0.79955,                0.66136,                0.67519,                0.44971,                 1.4619,                0.00218,               0.008416,               0.008416,               0.008416
                     18,                0.72328,                0.50229,                 1.3895,                0.00823,                0.78602,                0.78649,                0.81024,                0.66823,                0.67505,                0.44987,                 1.4441,                0.00217,               0.008317,               0.008317,               0.008317
                     19,                0.72329,                0.50051,                 1.3801,                0.00766,                0.77153,                0.81124,                0.83665,                0.69029,                0.67576,                0.44098,                 1.4421,                0.00215,               0.008218,               0.008218,               0.008218
                     20,                 0.7211,                0.49374,                 1.3888,                0.00839,                0.79539,                0.80821,                0.85096,                0.70259,                0.67294,                0.43332,                 1.4708,                0.00254,               0.008119,               0.008119,               0.008119
                     21,                0.71604,                0.49313,                 1.3897,                0.00827,                0.80277,                0.79523,                0.84737,                0.69973,                0.67043,                0.43667,                 1.4539,                0.00282,                0.00802,                0.00802,                0.00802
                     22,                0.71505,                0.48927,                  1.387,                 0.0081,                0.79337,                0.79725,                0.82596,                0.68529,                0.66638,                0.42907,                 1.4592,                0.00265,               0.007921,               0.007921,               0.007921
                     23,                0.71431,                0.48874,                 1.3867,                0.00747,                0.79042,                0.77516,                0.81579,                0.67696,                 0.6661,                0.43236,                 1.4723,                0.00229,               0.007822,               0.007822,               0.007822
                     24,                0.71166,                0.48465,                 1.3825,                0.00732,                0.79098,                 0.7927,                0.81837,                0.67865,                0.66578,                0.43162,                 1.4568,                0.00212,               0.007723,               0.007723,               0.007723
                     25,                0.70816,                0.48075,                 1.3812,                0.00774,                0.80062,                 0.8035,                0.84938,                0.70662,                 0.6629,                0.42484,                 1.4569,                 0.0026,               0.007624,               0.007624,               0.007624
                     26,                0.70498,                0.47862,                 1.3819,                0.00779,                0.80045,                0.80966,                0.84804,                0.70407,                0.66261,                0.42405,                 1.4604,                0.00249,               0.007525,               0.007525,               0.007525
                     27,                0.70518,                0.47632,                 1.3814,                 0.0072,                0.78886,                0.80973,                0.84376,                0.70326,                0.66067,                0.42132,                 1.4562,                0.00234,               0.007426,               0.007426,               0.007426
                     28,                0.70112,                0.47322,                 1.3773,                0.00774,                0.80901,                0.78829,                0.83741,                0.69675,                0.66119,                0.42245,                 1.4543,                0.00213,               0.007327,               0.007327,               0.007327
                     29,                0.70214,                0.47249,                 1.3831,                0.00747,                0.80034,                0.81836,                0.84438,                  0.702,                0.66099,                0.41852,                 1.4546,                0.00247,               0.007228,               0.007228,               0.007228
                     30,                0.69962,                0.47006,                 1.3836,                0.00751,                0.79749,                0.80189,                0.84113,                0.69971,                0.65964,                0.42014,                 1.4582,                 0.0024,               0.007129,               0.007129,               0.007129
                     31,                0.69731,                 0.4687,                 1.3806,                0.00738,                0.79479,                0.80904,                0.84719,                0.70667,                0.65849,                0.41507,                 1.4534,                0.00269,                0.00703,                0.00703,                0.00703
                     32,                0.69577,                0.46639,                 1.3746,                0.00692,                0.81598,                0.81061,                0.85444,                0.71288,                0.65574,                0.41241,                 1.4496,                0.00211,               0.006931,               0.006931,               0.006931
                     33,                0.69384,                0.46349,                 1.3816,                0.00656,                0.81917,                0.80826,                0.85076,                0.70955,                 0.6553,                0.41422,                 1.4513,                0.00223,               0.006832,               0.006832,               0.006832
                     34,                0.69351,                0.46343,                 1.3825,                0.00701,                0.80366,                0.82127,                 0.8572,                0.71557,                0.65422,                0.41137,                  1.449,                0.00205,               0.006733,               0.006733,               0.006733
                     35,                0.69021,                0.46061,                 1.3778,                0.00619,                0.81408,                0.81551,                0.85888,                0.71836,                0.65382,                0.41099,                 1.4434,                0.00212,               0.006634,               0.006634,               0.006634
                     36,                0.69077,                0.45722,                   1.38,                0.00713,                0.82102,                0.81016,                0.85272,                0.71233,                0.65357,                0.40884,                 1.4522,                0.00239,               0.006535,               0.006535,               0.006535
                     37,                0.68833,                0.45713,                 1.3819,                0.00689,                0.81601,                  0.823,                0.86348,                0.72182,                0.65311,                0.40653,                 1.4518,                0.00224,               0.006436,               0.006436,               0.006436
                     38,                 0.6891,                0.45605,                 1.3807,                0.00641,                0.81581,                0.81174,                0.85944,                0.71939,                0.65239,                0.40573,                 1.4569,                 0.0025,               0.006337,               0.006337,               0.006337
                     39,                0.68553,                0.45161,                 1.3808,                0.00672,                0.81724,                0.81994,                0.86281,                0.72185,                0.65198,                0.40347,                 1.4585,                0.00251,               0.006238,               0.006238,               0.006238
                     40,                0.68648,                0.45376,                 1.3814,                0.00697,                0.82657,                0.81518,                0.86386,                0.72291,                0.65098,                0.40244,                  1.462,                0.00255,               0.006139,               0.006139,               0.006139
                     41,                0.68348,                0.45018,                 1.3761,                0.00649,                0.81528,                0.83145,                0.86869,                0.72778,                0.65028,                0.40051,                 1.4564,                0.00233,                0.00604,                0.00604,                0.00604
                     42,                0.68002,                0.44758,                 1.3748,                0.00667,                0.81284,                0.83188,                0.86911,                0.72911,                0.64847,                0.39988,                 1.4518,                0.00232,               0.005941,               0.005941,               0.005941
                     43,                0.68061,                0.44724,                 1.3789,                 0.0063,                0.81442,                0.82534,                0.86887,                0.72867,                0.64887,                0.39956,                 1.4532,                 0.0023,               0.005842,               0.005842,               0.005842
                     44,                0.67895,                0.44257,                 1.3787,                0.00624,                0.81748,                0.82294,                0.86474,                0.72516,                0.64837,                0.39967,                 1.4555,                0.00211,               0.005743,               0.005743,               0.005743
                     45,                 0.6758,                 0.4419,                 1.3769,                0.00597,                   0.81,                0.82979,                0.86439,                0.72541,                 0.6477,                0.39851,                 1.4625,                0.00219,               0.005644,               0.005644,               0.005644
                     46,                0.67454,                0.43918,                 1.3756,                0.00593,                0.81459,                0.82521,                0.86417,                 0.7247,                0.64698,                0.39771,                 1.4592,                0.00228,               0.005545,               0.005545,               0.005545
                     47,                0.67321,                0.43577,                 1.3805,                0.00596,                0.81372,                0.82957,                0.86481,                 0.7258,                0.64645,                 0.3969,                  1.463,                0.00216,               0.005446,               0.005446,               0.005446
                     48,                0.67287,                0.43459,                 1.3752,                 0.0059,                0.81357,                0.82615,                0.86372,                0.72456,                 0.6465,                 0.3974,                 1.4628,                0.00215,               0.005347,               0.005347,               0.005347
                     49,                 0.6693,                0.43129,                 1.3795,                0.00595,                 0.8178,                0.82455,                0.86235,                0.72344,                0.64645,                0.39761,                 1.4652,                0.00216,               0.005248,               0.005248,               0.005248
                     50,                0.66505,                0.42641,                 1.3776,                0.00596,                0.82193,                0.82147,                0.86283,                0.72447,                0.64641,                0.39661,                 1.4677,                0.00212,               0.005149,               0.005149,               0.005149
                     51,                0.66741,                0.42926,                 1.3747,                0.00592,                0.83177,                0.81635,                0.86268,                0.72427,                0.64638,                0.39608,                 1.4659,                0.00212,                0.00505,                0.00505,                0.00505
                     52,                0.66636,                0.42554,                 1.3734,                0.00592,                0.83214,                0.81709,                0.86273,                0.72455,                0.64627,                 0.3956,                 1.4657,                 0.0021,               0.004951,               0.004951,               0.004951
                     53,                0.66258,                0.42452,                 1.3748,                0.00511,                0.83252,                0.81563,                0.86264,                0.72428,                0.64622,                0.39544,                 1.4663,                 0.0021,               0.004852,               0.004852,               0.004852
                     54,                0.66532,                0.42531,                 1.3722,                0.00609,                0.84013,                0.81162,                0.86516,                0.72628,                 0.6456,                0.39463,                 1.4645,                0.00211,               0.004753,               0.004753,               0.004753
                     55,                0.66198,                0.42317,                 1.3702,                0.00635,                0.83962,                0.81327,                0.86612,                0.72747,                0.64552,                0.39417,                 1.4635,                0.00208,               0.004654,               0.004654,               0.004654
                     56,                0.65894,                0.41852,                 1.3715,                0.00537,                0.83214,                0.82154,                0.86689,                0.72807,                0.64553,                 0.3938,                 1.4638,                0.00204,               0.004555,               0.004555,               0.004555
                     57,                0.66002,                0.41828,                 1.3782,                0.00527,                0.83582,                0.82074,                0.86683,                 0.7283,                0.64543,                0.39352,                 1.4647,                0.00204,               0.004456,               0.004456,               0.004456
                     58,                0.65827,                0.41837,                 1.3659,                0.00617,                0.83435,                0.82441,                0.86697,                 0.7281,                0.64535,                 0.3933,                 1.4644,                0.00202,               0.004357,               0.004357,               0.004357
                     59,                0.65578,                0.41589,                 1.3671,                0.00569,                0.83514,                0.82289,                0.86694,                0.72849,                0.64512,                0.39282,                 1.4641,                0.00203,               0.004258,               0.004258,               0.004258
                     60,                0.65562,                0.41452,                 1.3685,                 0.0054,                0.83453,                0.82157,                0.86644,                0.72789,                0.64511,                0.39263,                  1.464,                  0.002,               0.004159,               0.004159,               0.004159
                     61,                0.65362,                0.41216,                 1.3602,                0.00506,                0.82934,                0.82712,                0.86674,                0.72851,                0.64496,                0.39252,                 1.4634,                  0.002,                0.00406,                0.00406,                0.00406
                     62,                0.65088,                0.41087,                 1.3657,                0.00585,                0.83282,                0.82677,                0.86704,                0.72857,                0.64488,                 0.3926,                 1.4635,                0.00198,               0.003961,               0.003961,               0.003961
                     63,                0.65131,                0.40822,                 1.3631,                0.00538,                0.83097,                0.82888,                0.86723,                0.72871,                0.64486,                0.39258,                 1.4629,                  0.002,               0.003862,               0.003862,               0.003862
                     64,                0.65105,                0.40822,                 1.3655,                  0.005,                 0.8373,                0.82541,                0.86759,                0.72899,                0.64482,                0.39261,                  1.463,                0.00198,               0.003763,               0.003763,               0.003763
                     65,                0.64744,                0.40369,                 1.3608,                0.00587,                0.83815,                0.82396,                0.86743,                 0.7288,                0.64481,                 0.3924,                  1.463,                  0.002,               0.003664,               0.003664,               0.003664
                     66,                0.64601,                0.40442,                 1.3656,                0.00517,                0.83885,                0.82305,                0.86708,                0.72873,                0.64476,                0.39224,                 1.4632,                0.00199,               0.003565,               0.003565,               0.003565
                     67,                0.64481,                 0.4023,                 1.3616,                0.00547,                0.83988,                0.82115,                0.86692,                0.72835,                0.64467,                0.39219,                 1.4633,                0.00196,               0.003466,               0.003466,               0.003466
                     68,                0.64634,                0.40252,                 1.3672,                0.00595,                0.83902,                0.82223,                0.86739,                0.72886,                0.64454,                0.39184,                 1.4637,                0.00193,               0.003367,               0.003367,               0.003367
                     69,                0.64243,                 0.3992,                 1.3565,                0.00545,                0.84268,                0.82183,                0.86748,                0.72893,                0.64437,                0.39195,                 1.4637,                0.00193,               0.003268,               0.003268,               0.003268
                     70,                0.64034,                0.39705,                 1.3626,                0.00501,                0.83894,                0.82466,                0.86765,                0.72912,                 0.6443,                 0.3918,                 1.4641,                0.00193,               0.003169,               0.003169,               0.003169
                     71,                0.64059,                0.39532,                 1.3615,                0.00459,                0.84051,                0.82353,                0.86706,                0.72856,                0.64424,                0.39203,                 1.4644,                0.00192,                0.00307,                0.00307,                0.00307
                     72,                0.63894,                0.39576,                 1.3587,                0.00505,                0.83996,                0.82389,                0.86705,                0.72847,                0.64412,                0.39183,                 1.4646,                0.00192,               0.002971,               0.002971,               0.002971
                     73,                  0.638,                0.39095,                 1.3576,                0.00542,                 0.8393,                 0.8247,                0.86665,                0.72827,                0.64411,                 0.3918,                 1.4648,                0.00191,               0.002872,               0.002872,               0.002872
                     74,                0.63359,                0.38881,                  1.351,                0.00537,                0.83852,                0.82423,                 0.8663,                0.72819,                0.64399,                0.39191,                 1.4649,                0.00192,               0.002773,               0.002773,               0.002773
                     75,                0.63338,                 0.3883,                 1.3592,                0.00533,                0.84051,                0.82351,                0.86582,                0.72782,                0.64396,                0.39201,                 1.4653,                0.00193,               0.002674,               0.002674,               0.002674
                     76,                0.63109,                0.38457,                 1.3506,                0.00534,                0.83876,                0.82387,                0.86537,                0.72742,                0.64401,                0.39232,                 1.4658,                0.00194,               0.002575,               0.002575,               0.002575
                     77,                0.62859,                0.38371,                 1.3549,                0.00476,                0.83518,                0.82661,                0.86506,                0.72709,                0.64394,                0.39227,                  1.466,                0.00195,               0.002476,               0.002476,               0.002476
                     78,                 0.6269,                0.38334,                 1.3504,                0.00489,                0.83574,                0.82702,                0.86472,                0.72749,                0.64391,                0.39241,                 1.4662,                0.00194,               0.002377,               0.002377,               0.002377
                     79,                0.62656,                0.38103,                 1.3469,                0.00517,                0.83813,                0.82611,                0.86475,                0.72748,                0.64388,                0.39217,                  1.466,                0.00196,               0.002278,               0.002278,               0.002278
                     80,                0.62415,                 0.3791,                 1.3459,                0.00454,                0.83888,                 0.8257,                0.86454,                0.72713,                0.64384,                0.39204,                 1.4661,                0.00198,               0.002179,               0.002179,               0.002179
                     81,                0.62453,                0.37811,                 1.3437,                0.00454,                0.83936,                0.82645,                0.86452,                0.72727,                0.64376,                0.39209,                 1.4663,                0.00198,                0.00208,                0.00208,                0.00208
                     82,                0.62019,                0.37496,                 1.3464,                0.00464,                 0.8394,                0.82581,                0.86463,                0.72743,                0.64356,                0.39216,                 1.4664,                0.00199,               0.001981,               0.001981,               0.001981
                     83,                0.62071,                0.37413,                 1.3459,                0.00381,                0.83927,                0.82461,                0.86446,                0.72744,                0.64351,                0.39215,                 1.4666,                0.00197,               0.001882,               0.001882,               0.001882
                     84,                0.61713,                0.37071,                 1.3475,                0.00452,                 0.8439,                0.82146,                0.86441,                0.72761,                0.64346,                0.39229,                 1.4669,                0.00196,               0.001783,               0.001783,               0.001783
                     85,                0.61748,                0.37062,                 1.3405,                0.00494,                0.84465,                0.82102,                0.86436,                0.72776,                0.64352,                0.39239,                  1.467,                0.00196,               0.001684,               0.001684,               0.001684
                     86,                0.61693,                0.36931,                 1.3427,                0.00443,                 0.8457,                0.82035,                0.86449,                 0.7279,                0.64364,                0.39266,                 1.4675,                0.00196,               0.001585,               0.001585,               0.001585
                     87,                 0.6134,                0.36679,                 1.3365,                0.00428,                0.84497,                0.82097,                 0.8644,                0.72769,                0.64346,                0.39267,                 1.4676,                0.00195,               0.001486,               0.001486,               0.001486
                     88,                0.61216,                0.36425,                  1.339,                0.00425,                0.84575,                0.82031,                0.86429,                0.72772,                0.64343,                0.39252,                  1.468,                0.00195,               0.001387,               0.001387,               0.001387
                     89,                0.60817,                0.36158,                 1.3392,                 0.0045,                0.83912,                0.82674,                0.86424,                0.72747,                0.64341,                0.39265,                 1.4683,                0.00193,               0.001288,               0.001288,               0.001288
                     90,                0.60781,                0.36114,                 1.3356,                0.00464,                0.84098,                0.82311,                0.86422,                0.72739,                0.64354,                 0.3929,                 1.4689,                0.00192,               0.001189,               0.001189,               0.001189
                     91,                0.60773,                0.36009,                 1.3373,                0.00403,                0.83086,                0.83182,                0.86391,                0.72757,                0.64349,                0.39308,                 1.4691,                 0.0019,                0.00109,                0.00109,                0.00109
                     92,                0.60448,                 0.3576,                 1.3285,                 0.0042,                 0.8292,                0.83355,                0.86384,                 0.7274,                0.64353,                0.39326,                 1.4688,                 0.0019,               0.000991,               0.000991,               0.000991
                     93,                0.60363,                0.35548,                 1.3361,                0.00387,                0.82272,                0.83991,                0.86378,                 0.7277,                0.64348,                0.39349,                 1.4692,                0.00188,               0.000892,               0.000892,               0.000892
