                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1231,                 2.5874,                 3.0821,                0.75668,                0.10461,                0.15406,                0.06819,                 2.2924,                 2.2288,                 2.7832,               0.070213,              0.0033097,              0.0033097
                      2,                 1.7552,                 1.5278,                 2.5166,                0.26683,                0.35339,                0.28662,                0.16137,                 1.3809,                  1.265,                 2.3563,               0.040147,              0.0065773,              0.0065773
                      3,                 1.4063,                 1.2111,                 2.2052,                0.34061,                0.37413,                 0.3375,                0.20273,                 1.2914,                 1.1189,                  2.283,               0.010015,              0.0097788,              0.0097788
                      4,                 1.2016,                  1.025,                 1.9791,                0.48475,                0.53956,                0.49168,                0.32914,                0.98501,                0.84939,                 1.9553,               0.009703,               0.009703,               0.009703
                      5,                 1.0879,                0.91688,                  1.883,                0.51855,                0.51862,                0.49508,                0.34118,                0.98266,                0.81869,                 1.9949,               0.009604,               0.009604,               0.009604
                      6,                 1.0396,                 0.8474,                  1.759,                0.57568,                0.60684,                0.59207,                0.41828,                0.90446,                0.72535,                  1.837,               0.009505,               0.009505,               0.009505
                      7,                0.98234,                0.77621,                 1.7195,                0.52228,                0.54107,                0.52598,                0.37693,                0.93726,                0.74716,                 1.9126,               0.009406,               0.009406,               0.009406
                      8,                0.96758,                0.77412,                 1.7193,                0.47713,                0.44158,                0.41778,                0.29144,                 1.0272,                0.91123,                 2.0047,               0.009307,               0.009307,               0.009307
                      9,                0.93036,                0.71252,                  1.678,                0.63425,                0.64464,                0.64187,                0.47019,                0.83447,                0.64936,                 1.7667,               0.009208,               0.009208,               0.009208
                     10,                0.92596,                0.71155,                 1.6773,                0.61565,                0.65491,                0.63496,                0.46469,                0.84028,                0.64022,                 1.8242,               0.009109,               0.009109,               0.009109
                     11,                0.90623,                0.68792,                 1.6619,                0.63182,                0.64841,                 0.6541,                0.48342,                0.82907,                0.61896,                 1.7369,                0.00901,                0.00901,                0.00901
                     12,                0.88967,                0.67336,                 1.6515,                  0.638,                0.65697,                0.65049,                0.48362,                0.80632,                0.63536,                 1.7465,               0.008911,               0.008911,               0.008911
                     13,                0.88272,                0.67002,                 1.6408,                0.65749,                0.69294,                0.67049,                0.50474,                0.80782,                0.58834,                 1.7431,               0.008812,               0.008812,               0.008812
                     14,                0.88701,                0.65998,                 1.6441,                0.65061,                0.67592,                0.66831,                0.50389,                0.79834,                0.60032,                 1.7004,               0.008713,               0.008713,               0.008713
                     15,                0.86981,                0.63801,                 1.6318,                0.64415,                0.67087,                0.65579,                0.49667,                0.79938,                0.59483,                 1.6945,               0.008614,               0.008614,               0.008614
                     16,                0.85798,                0.62725,                 1.6392,                0.65942,                0.71031,                0.70784,                0.53855,                0.78911,                 0.5669,                 1.6775,               0.008515,               0.008515,               0.008515
                     17,                0.85735,                 0.6184,                 1.6373,                0.71767,                0.71362,                0.73931,                0.56811,                0.77271,                0.54549,                 1.6722,               0.008416,               0.008416,               0.008416
                     18,                0.84332,                0.61518,                 1.6142,                 0.6969,                0.68545,                0.70844,                0.53852,                0.77678,                0.56848,                 1.6887,               0.008317,               0.008317,               0.008317
                     19,                 0.8468,                 0.6117,                 1.6157,                0.71893,                0.72768,                0.74046,                0.57078,                0.76408,                0.53595,                 1.6649,               0.008218,               0.008218,               0.008218
                     20,                0.83549,                0.60279,                 1.6185,                0.71545,                0.71569,                0.73474,                0.56332,                0.76634,                0.53395,                 1.6857,               0.008119,               0.008119,               0.008119
                     21,                0.82817,                0.60767,                 1.6156,                0.71247,                0.71503,                0.74315,                0.57299,                0.75236,                 0.5317,                 1.6875,                0.00802,                0.00802,                0.00802
                     22,                0.82897,                0.59278,                 1.6278,                0.73296,                0.72616,                0.75564,                0.58836,                0.74771,                0.52139,                 1.6711,               0.007921,               0.007921,               0.007921
                     23,                0.82532,                0.58979,                 1.6016,                0.72816,                0.71468,                 0.7523,                0.58661,                0.74535,                0.52446,                 1.6843,               0.007822,               0.007822,               0.007822
                     24,                0.82955,                0.59135,                  1.623,                0.70583,                0.73055,                0.74236,                0.57645,                0.74527,                0.51545,                 1.6723,               0.007723,               0.007723,               0.007723
                     25,                0.81555,                0.58523,                 1.6094,                0.73095,                0.73488,                0.75285,                0.58773,                 0.7429,                0.51535,                 1.6614,               0.007624,               0.007624,               0.007624
                     26,                  0.806,                0.57096,                 1.6065,                0.73884,                0.73022,                0.76525,                0.59669,                0.73826,                0.51316,                  1.659,               0.007525,               0.007525,               0.007525
                     27,                0.80339,                0.56468,                 1.6041,                0.74895,                0.73308,                0.77085,                 0.6054,                0.73819,                0.50773,                 1.6464,               0.007426,               0.007426,               0.007426
                     28,                0.81402,                0.57361,                 1.6091,                0.74305,                0.73523,                0.75491,                 0.5904,                0.73125,                0.50481,                 1.6598,               0.007327,               0.007327,               0.007327
                     29,                0.80958,                0.57048,                 1.5907,                0.73114,                0.75303,                0.76961,                0.60578,                0.73294,                0.50769,                 1.6578,               0.007228,               0.007228,               0.007228
                     30,                0.78586,                  0.551,                 1.5783,                0.75645,                0.73948,                0.78465,                0.61892,                0.73238,                0.49951,                 1.6646,               0.007129,               0.007129,               0.007129
                     31,                0.78669,                0.55622,                 1.5738,                0.73909,                0.73253,                0.76574,                0.60242,                 0.7343,                0.50706,                  1.666,                0.00703,                0.00703,                0.00703
                     32,                0.79184,                0.55767,                 1.6145,                0.73956,                0.73518,                0.76502,                 0.6025,                0.73577,                0.50066,                  1.668,               0.006931,               0.006931,               0.006931
                     33,                0.79118,                0.55386,                 1.5919,                0.75186,                0.75709,                0.79532,                0.63018,                0.72006,                0.48532,                 1.6292,               0.006832,               0.006832,               0.006832
                     34,                0.77898,                0.54678,                 1.5799,                0.75887,                0.75555,                0.79402,                0.62751,                0.72023,                 0.4851,                 1.6461,               0.006733,               0.006733,               0.006733
                     35,                0.78588,                0.55016,                 1.5569,                0.74525,                0.75775,                0.78266,                0.62068,                0.72608,                0.48342,                  1.632,               0.006634,               0.006634,               0.006634
                     36,                0.77835,                0.53529,                 1.5615,                0.76126,                0.76116,                0.79231,                0.62947,                0.71731,                0.48432,                  1.642,               0.006535,               0.006535,               0.006535
                     37,                0.78767,                0.53718,                 1.5711,                 0.7656,                 0.7776,                0.80931,                0.64475,                0.71599,                 0.4723,                 1.6219,               0.006436,               0.006436,               0.006436
                     38,                0.78001,                0.54473,                 1.5827,                0.77127,                0.76474,                0.79982,                0.63675,                0.71342,                 0.4738,                 1.6307,               0.006337,               0.006337,               0.006337
                     39,                0.77607,                0.53741,                 1.5884,                0.75774,                0.77356,                0.80017,                0.63793,                0.71385,                0.47305,                 1.6383,               0.006238,               0.006238,               0.006238
                     40,                0.77096,                 0.5351,                 1.5831,                0.76256,                0.77311,                0.80568,                0.64166,                0.71211,                0.47389,                 1.6312,               0.006139,               0.006139,               0.006139
                     41,                0.76662,                0.52919,                 1.5791,                0.78874,                0.75111,                0.80959,                0.64811,                0.71141,                0.47263,                 1.6129,                0.00604,                0.00604,                0.00604
                     42,                0.76858,                0.53534,                 1.5871,                0.77943,                0.77625,                0.81807,                0.65561,                0.70592,                0.46435,                 1.6246,               0.005941,               0.005941,               0.005941
                     43,                 0.7651,                0.52548,                 1.5787,                 0.7676,                0.77656,                0.80854,                0.64883,                0.70695,                0.46325,                 1.6356,               0.005842,               0.005842,               0.005842
                     44,                0.76115,                0.51946,                 1.5555,                0.77141,                0.77636,                0.80651,                0.64671,                0.70931,                 0.4653,                 1.6236,               0.005743,               0.005743,               0.005743
                     45,                0.76091,                0.52156,                  1.563,                0.77067,                  0.785,                0.81204,                0.65083,                0.70438,                0.46416,                 1.6113,               0.005644,               0.005644,               0.005644
                     46,                0.75437,                0.51809,                 1.5757,                0.78012,                0.76868,                0.81136,                  0.653,                0.70292,                0.46135,                 1.6132,               0.005545,               0.005545,               0.005545
                     47,                0.74828,                0.50941,                 1.5687,                0.78862,                 0.7739,                0.81758,                0.65619,                0.70184,                0.45875,                  1.621,               0.005446,               0.005446,               0.005446
                     48,                0.75431,                0.51058,                 1.5713,                 0.7853,                0.78649,                0.82288,                0.66264,                0.70029,                0.45803,                 1.6193,               0.005347,               0.005347,               0.005347
                     49,                0.75694,                0.52152,                 1.5726,                0.80199,                0.77792,                0.82859,                0.66597,                0.69768,                0.45487,                 1.6065,               0.005248,               0.005248,               0.005248
                     50,                0.74918,                0.50325,                 1.5638,                0.78812,                 0.8058,                0.83565,                0.67236,                0.69801,                0.45095,                 1.6069,               0.005149,               0.005149,               0.005149
                     51,                0.73934,                 0.5003,                 1.5624,                 0.7787,                 0.7899,                0.82099,                0.66167,                0.69818,                0.45575,                 1.6129,                0.00505,                0.00505,                0.00505
                     52,                0.74213,                0.50086,                 1.5635,                0.79305,                0.78101,                0.82535,                0.66493,                0.69686,                0.45105,                 1.6125,               0.004951,               0.004951,               0.004951
                     53,                  0.742,                0.50183,                 1.5486,                0.78841,                0.78405,                0.81999,                0.66243,                0.69615,                0.45097,                 1.5982,               0.004852,               0.004852,               0.004852
                     54,                0.73377,                0.50324,                 1.5493,                0.77832,                0.79738,                0.82607,                0.66789,                0.69557,                0.45159,                 1.6057,               0.004753,               0.004753,               0.004753
                     55,                0.73912,                 0.5011,                 1.5544,                0.80007,                0.77959,                0.83412,                 0.6751,                0.69595,                0.44582,                 1.6004,               0.004654,               0.004654,               0.004654
                     56,                0.74341,                0.49911,                 1.5486,                0.81082,                0.78809,                0.83716,                0.67649,                0.69448,                0.44517,                 1.6042,               0.004555,               0.004555,               0.004555
                     57,                0.73171,                0.49486,                 1.5378,                0.80207,                  0.793,                0.83764,                0.67788,                0.69271,                0.44726,                 1.6045,               0.004456,               0.004456,               0.004456
                     58,                0.74174,                0.49798,                 1.5504,                0.81763,                0.78097,                 0.8373,                0.67971,                0.69216,                0.44443,                 1.6006,               0.004357,               0.004357,               0.004357
                     59,                0.74043,                0.49322,                  1.552,                0.80182,                0.77649,                0.82559,                0.66904,                0.69353,                0.44673,                 1.6017,               0.004258,               0.004258,               0.004258
