                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0987,                  2.574,                 3.0473,                0.94538,                0.10203,                0.13844,                0.06303,                  2.255,                 2.2802,                 2.8115,               0.070213,              0.0033097,              0.0033097
                      2,                 1.7428,                  1.523,                 2.4782,                0.27948,                0.32645,                0.27426,                0.15767,                 1.4026,                 1.2408,                 2.3299,               0.040147,              0.0065773,              0.0065773
                      3,                 1.3967,                 1.2075,                 2.1848,                0.31546,                0.37582,                0.31573,                0.19001,                 1.3002,                 1.1173,                 2.4696,               0.010015,              0.0097788,              0.0097788
                      4,                 1.1966,                 1.0155,                 1.9702,                0.42074,                0.48901,                0.43328,                0.28791,                 1.0203,                0.93272,                 2.0096,               0.009703,               0.009703,               0.009703
                      5,                 1.0876,                0.90964,                 1.8644,                0.47863,                0.53972,                0.48912,                0.33327,                0.95689,                0.80093,                 1.8601,               0.009604,               0.009604,               0.009604
                      6,                 1.0163,                0.82058,                 1.7598,                0.56754,                 0.6024,                0.57344,                0.40629,                0.91294,                0.74056,                 1.8167,               0.009505,               0.009505,               0.009505
                      7,                0.98133,                0.78672,                 1.7355,                0.47672,                0.46294,                0.45088,                0.31847,                 1.0029,                0.89889,                 2.0101,               0.009406,               0.009406,               0.009406
                      8,                0.96258,                0.75678,                 1.7185,                0.55781,                0.51884,                0.52029,                0.36262,                0.94845,                0.75765,                  1.907,               0.009307,               0.009307,               0.009307
                      9,                  0.935,                0.71732,                 1.6976,                0.59886,                0.61858,                0.60935,                0.44794,                0.84362,                0.67565,                 1.7397,               0.009208,               0.009208,               0.009208
                     10,                0.92081,                0.70618,                 1.6673,                0.62015,                0.61071,                0.60908,                0.44981,                0.86396,                0.68264,                 1.7972,               0.009109,               0.009109,               0.009109
                     11,                0.90341,                0.68996,                  1.662,                0.60434,                0.64226,                 0.6336,                0.46218,                0.83716,                0.63659,                 1.7727,                0.00901,                0.00901,                0.00901
                     12,                0.89255,                0.66925,                 1.6579,                0.65606,                0.66204,                0.67299,                0.50767,                0.82074,                0.60953,                 1.7195,               0.008911,               0.008911,               0.008911
                     13,                0.88491,                0.66591,                 1.6401,                0.63087,                0.64247,                0.63698,                0.47219,                0.81522,                0.63255,                 1.7489,               0.008812,               0.008812,               0.008812
                     14,                0.87559,                0.65134,                 1.6283,                0.68023,                 0.6886,                0.70804,                0.53706,                0.78219,                0.57416,                 1.7032,               0.008713,               0.008713,               0.008713
                     15,                0.86767,                0.63729,                 1.6307,                0.65133,                0.67881,                 0.6667,                0.50531,                0.79227,                    0.6,                 1.6925,               0.008614,               0.008614,               0.008614
                     16,                0.86111,                0.62597,                 1.6269,                 0.6695,                0.68959,                0.69291,                0.52129,                0.79176,                0.56758,                 1.7195,               0.008515,               0.008515,               0.008515
                     17,                0.84954,                0.62061,                  1.635,                0.70662,                0.72004,                0.73305,                0.56312,                0.76302,                0.54654,                 1.6692,               0.008416,               0.008416,               0.008416
                     18,                0.84357,                0.61789,                 1.6029,                 0.7096,                0.71072,                0.73205,                0.56383,                0.76401,                0.54167,                 1.6687,               0.008317,               0.008317,               0.008317
                     19,                0.84012,                0.60595,                  1.601,                0.69139,                0.71342,                0.72514,                0.55803,                0.77038,                0.54544,                 1.6837,               0.008218,               0.008218,               0.008218
                     20,                0.83607,                0.60217,                 1.6001,                0.72311,                0.72478,                0.75653,                0.58318,                 0.7582,                0.52936,                 1.6801,               0.008119,               0.008119,               0.008119
                     21,                0.82736,                0.59869,                 1.5937,                0.70621,                0.72842,                 0.7442,                0.57295,                0.75475,                0.52598,                 1.6595,                0.00802,                0.00802,                0.00802
                     22,                0.83228,                0.59803,                 1.6175,                0.73752,                0.73073,                 0.7658,                0.59294,                0.75377,                0.51792,                 1.6505,               0.007921,               0.007921,               0.007921
                     23,                0.82482,                0.59325,                 1.6104,                0.72545,                0.72225,                0.75154,                0.58581,                0.74136,                0.52142,                 1.6576,               0.007822,               0.007822,               0.007822
                     24,                0.81906,                0.57998,                 1.5998,                0.71656,                0.74878,                0.76643,                0.59742,                0.74162,                0.51276,                 1.6469,               0.007723,               0.007723,               0.007723
                     25,                0.80718,                0.57066,                 1.5976,                0.72821,                0.74116,                0.76436,                0.59412,                0.74276,                0.50999,                 1.6372,               0.007624,               0.007624,               0.007624
                     26,                0.80608,                0.57169,                 1.5941,                0.70375,                0.72527,                0.73238,                0.57131,                0.74346,                0.51332,                 1.6975,               0.007525,               0.007525,               0.007525
                     27,                0.79883,                0.57038,                 1.5876,                0.73113,                0.73174,                0.76402,                0.59987,                0.73965,                0.51269,                   1.64,               0.007426,               0.007426,               0.007426
                     28,                0.80016,                0.56078,                 1.5874,                0.75031,                0.74615,                0.78505,                0.61812,                0.73546,                0.50033,                 1.6555,               0.007327,               0.007327,               0.007327
                     29,                0.79231,                0.55765,                 1.5891,                0.74645,                   0.73,                0.77602,                0.61154,                0.73074,                0.50023,                 1.6458,               0.007228,               0.007228,               0.007228
                     30,                0.79155,                 0.5542,                 1.5695,                0.73887,                0.76384,                0.78854,                0.62012,                0.73263,                0.48944,                 1.6296,               0.007129,               0.007129,               0.007129
                     31,                0.79453,                0.55756,                 1.5674,                 0.7484,                 0.7643,                0.78727,                0.61877,                 0.7338,                0.49684,                 1.6357,                0.00703,                0.00703,                0.00703
                     32,                0.78367,                0.54553,                 1.5767,                0.74669,                0.75848,                0.78827,                0.62563,                0.72352,                0.48763,                 1.6291,               0.006931,               0.006931,               0.006931
                     33,                0.79138,                0.55262,                 1.5686,                0.75186,                0.74886,                0.78626,                0.62317,                0.72651,                0.48706,                  1.636,               0.006832,               0.006832,               0.006832
                     34,                0.77988,                0.54443,                 1.5765,                0.77028,                0.75216,                0.80203,                0.63555,                 0.7181,                0.47987,                 1.6289,               0.006733,               0.006733,               0.006733
                     35,                0.78044,                0.54098,                 1.5758,                0.75917,                0.77075,                0.79679,                0.63213,                0.71687,                0.47835,                 1.6293,               0.006634,               0.006634,               0.006634
                     36,                0.77752,                0.53897,                 1.5594,                0.78209,                0.75384,                 0.8029,                0.63811,                0.71319,                0.47309,                 1.6437,               0.006535,               0.006535,               0.006535
                     37,                 0.7756,                0.52966,                 1.5697,                0.75438,                0.77031,                0.79954,                0.63474,                0.71145,                 0.4739,                 1.6377,               0.006436,               0.006436,               0.006436
                     38,                0.77433,                0.53558,                  1.564,                0.75353,                0.77772,                 0.8036,                0.64013,                0.71265,                0.47733,                  1.635,               0.006337,               0.006337,               0.006337
                     39,                0.77413,                0.53364,                 1.5659,                0.77191,                0.77078,                0.80927,                0.64507,                0.71009,                 0.4693,                 1.6192,               0.006238,               0.006238,               0.006238
                     40,                0.77254,                0.52978,                 1.5616,                 0.7636,                0.77794,                0.80995,                0.64649,                0.71099,                0.46725,                 1.6251,               0.006139,               0.006139,               0.006139
                     41,                0.76187,                0.52299,                  1.562,                0.77567,                0.79443,                0.81941,                0.65601,                 0.7074,                0.46525,                 1.6155,                0.00604,                0.00604,                0.00604
                     42,                0.76058,                0.52134,                 1.5579,                0.76588,                0.77791,                0.80892,                 0.6446,                 0.7097,                0.46821,                  1.622,               0.005941,               0.005941,               0.005941
                     43,                0.75934,                0.52399,                 1.5701,                0.77605,                0.76385,                0.80807,                  0.649,                0.70716,                 0.4651,                 1.6168,               0.005842,               0.005842,               0.005842
                     44,                0.75399,                0.51327,                 1.5468,                0.76209,                 0.7743,                0.80759,                0.64589,                0.70653,                0.46256,                 1.6188,               0.005743,               0.005743,               0.005743
                     45,                0.76256,                0.52272,                 1.5567,                0.77103,                 0.7577,                0.80366,                0.64255,                 0.7053,                0.46247,                 1.6197,               0.005644,               0.005644,               0.005644
                     46,                0.75833,                0.51608,                 1.5601,                0.76368,                0.77399,                0.81045,                0.65014,                0.69962,                0.46004,                 1.6187,               0.005545,               0.005545,               0.005545
                     47,                0.74942,                0.50884,                 1.5493,                 0.7648,                0.78187,                0.81547,                0.65217,                0.70364,                0.46382,                 1.6367,               0.005446,               0.005446,               0.005446
                     48,                0.75458,                0.51423,                 1.5539,                 0.7773,                0.78724,                 0.8183,                0.65465,                0.70074,                0.45798,                 1.6216,               0.005347,               0.005347,               0.005347
                     49,                0.75356,                0.50883,                 1.5553,                0.78175,                0.79125,                0.82391,                0.66209,                0.69908,                0.45221,                 1.6187,               0.005248,               0.005248,               0.005248
                     50,                0.73895,                 0.4993,                 1.5542,                0.79023,                0.79138,                0.82738,                0.66623,                0.69865,                 0.4504,                 1.6064,               0.005149,               0.005149,               0.005149
                     51,                0.73513,                0.49562,                 1.5479,                0.79739,                0.78008,                0.83113,                0.67043,                0.69571,                0.44918,                  1.608,                0.00505,                0.00505,                0.00505
                     52,                0.74189,                0.49771,                 1.5554,                0.79664,                0.77925,                0.82284,                0.66525,                0.69394,                0.45203,                 1.6078,               0.004951,               0.004951,               0.004951
                     53,                0.73874,                0.49912,                 1.5369,                0.82253,                0.77792,                0.84028,                0.67772,                0.69365,                0.44456,                   1.61,               0.004852,               0.004852,               0.004852
                     54,                 0.7358,                0.49998,                 1.5451,                0.79142,                0.79109,                0.82682,                0.66812,                0.69228,                0.44669,                 1.6076,               0.004753,               0.004753,               0.004753
                     55,                 0.7375,                0.49431,                 1.5411,                0.77603,                0.80504,                0.83034,                0.67127,                0.69309,                0.44455,                 1.6104,               0.004654,               0.004654,               0.004654
