                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1241,                 2.5383,                 3.0295,                0.66575,                  0.103,                0.15677,                0.07083,                 2.2325,                 2.2285,                 2.7528,               0.070213,              0.0033097,              0.0033097
                      2,                 1.7878,                 1.5078,                 2.4246,                 0.2901,                0.33922,                0.30057,                0.16389,                 1.4561,                 1.2218,                 2.3134,               0.040147,              0.0065773,              0.0065773
                      3,                 1.4036,                 1.1848,                 2.1172,                0.31394,                0.32619,                0.30646,                0.18294,                 1.3374,                 1.1591,                 2.6088,               0.010015,              0.0097788,              0.0097788
                      4,                 1.1814,                0.99111,                 1.9171,                0.43599,                0.49551,                0.44953,                0.29759,                 1.0599,                0.87356,                 1.9605,               0.009703,               0.009703,               0.009703
                      5,                 1.0624,                0.87754,                 1.8489,                0.50424,                0.55249,                0.50947,                0.35315,                0.93032,                0.77432,                 1.8816,               0.009604,               0.009604,               0.009604
                      6,                0.99525,                0.78827,                 1.7677,                0.57372,                0.60353,                0.57726,                0.41526,                 0.8812,                0.69521,                 1.8782,               0.009505,               0.009505,               0.009505
                      7,                0.95979,                0.75826,                   1.75,                0.62357,                0.59826,                0.61475,                0.44171,                0.86556,                0.66903,                 1.8063,               0.009406,               0.009406,               0.009406
                      8,                0.94184,                0.73183,                 1.7365,                0.60985,                0.63671,                0.63654,                0.46384,                0.83592,                0.65752,                 1.8092,               0.009307,               0.009307,               0.009307
                      9,                0.91965,                0.69964,                 1.7195,                0.55976,                0.61326,                0.59211,                0.43152,                0.86475,                 0.6798,                 1.8106,               0.009208,               0.009208,               0.009208
                     10,                0.90732,                0.68506,                  1.693,                0.63975,                0.67858,                 0.6669,                0.49061,                0.81826,                0.60126,                  1.764,               0.009109,               0.009109,               0.009109
                     11,                0.89238,                0.67343,                 1.6875,                0.68075,                0.68508,                0.68942,                 0.5187,                0.80815,                0.60048,                 1.7448,                0.00901,                0.00901,                0.00901
                     12,                0.88342,                0.65509,                 1.6841,                0.65664,                0.67412,                0.67032,                0.50933,                0.79664,                0.58731,                  1.748,               0.008911,               0.008911,               0.008911
                     13,                0.87365,                0.65137,                 1.6667,                0.66537,                 0.6949,                 0.6804,                0.51323,                0.78938,                0.57664,                 1.7289,               0.008812,               0.008812,               0.008812
                     14,                 0.8678,                0.63848,                 1.6504,                0.66475,                0.69818,                0.69833,                0.53508,                0.77702,                0.55934,                 1.7391,               0.008713,               0.008713,               0.008713
                     15,                0.85741,                0.62325,                 1.6559,                0.66019,                0.69358,                0.68952,                0.52469,                0.78846,                0.56703,                 1.7324,               0.008614,               0.008614,               0.008614
                     16,                0.85235,                0.61265,                 1.6523,                0.65466,                0.66801,                0.66211,                0.50095,                0.79592,                0.58327,                 1.7461,               0.008515,               0.008515,               0.008515
                     17,                0.84244,                0.60929,                 1.6615,                0.71325,                0.69405,                0.72299,                 0.5519,                0.77076,                0.54774,                 1.7236,               0.008416,               0.008416,               0.008416
                     18,                 0.8365,                0.60557,                 1.6278,                0.69814,                0.69815,                0.71426,                0.54715,                0.76576,                0.53887,                 1.7332,               0.008317,               0.008317,               0.008317
                     19,                0.83446,                0.59573,                 1.6257,                0.69909,                0.69289,                0.72066,                0.55312,                0.77043,                0.55556,                 1.7504,               0.008218,               0.008218,               0.008218
                     20,                0.82804,                0.59168,                  1.625,                0.69127,                0.71984,                0.73671,                0.56844,                0.76028,                0.52801,                 1.6963,               0.008119,               0.008119,               0.008119
                     21,                0.82158,                 0.5907,                 1.6169,                0.70563,                 0.6904,                0.71788,                0.55285,                0.75717,                0.54334,                 1.7185,                0.00802,                0.00802,                0.00802
                     22,                0.82707,                0.58753,                 1.6393,                0.74041,                0.73394,                0.76192,                0.59207,                0.74789,                0.50625,                 1.6904,               0.007921,               0.007921,               0.007921
                     23,                0.81736,                0.58379,                 1.6332,                0.72877,                0.73333,                0.75334,                0.58858,                0.74184,                0.50875,                 1.6908,               0.007822,               0.007822,               0.007822
                     24,                0.81259,                0.56983,                 1.6215,                0.72343,                0.74146,                0.76368,                0.59667,                0.74223,                0.50259,                 1.6906,               0.007723,               0.007723,               0.007723
                     25,                0.80378,                0.56359,                 1.6176,                0.73359,                0.73923,                0.75959,                0.59379,                0.75642,                0.50271,                 1.6699,               0.007624,               0.007624,               0.007624
                     26,                0.80129,                0.56139,                 1.6166,                 0.7358,                0.74035,                0.76175,                0.59542,                0.73368,                0.49467,                 1.6831,               0.007525,               0.007525,               0.007525
                     27,                0.79231,                0.55991,                 1.6089,                0.73016,                0.73638,                0.76691,                0.60167,                0.73842,                0.49994,                 1.6672,               0.007426,               0.007426,               0.007426
                     28,                0.79682,                0.55492,                 1.6072,                0.73277,                0.74702,                0.77864,                0.61433,                0.72798,                0.49148,                 1.6835,               0.007327,               0.007327,               0.007327
                     29,                0.78705,                 0.5494,                 1.6079,                0.74939,                0.72677,                0.76679,                 0.6063,                0.72833,                 0.4917,                 1.6847,               0.007228,               0.007228,               0.007228
                     30,                 0.7883,                0.54842,                 1.5869,                 0.7525,                0.73957,                 0.7746,                0.60981,                 0.7293,                0.49257,                 1.6765,               0.007129,               0.007129,               0.007129
                     31,                0.79034,                0.54988,                 1.5856,                0.74348,                0.74919,                0.77819,                0.61718,                0.72569,                0.48436,                 1.6633,                0.00703,                0.00703,                0.00703
                     32,                0.77915,                0.53734,                 1.5959,                0.75501,                0.74142,                0.78174,                0.61797,                0.72623,                0.48669,                 1.6647,               0.006931,               0.006931,               0.006931
                     33,                0.78788,                0.54504,                 1.5871,                0.74711,                0.74422,                0.78097,                0.61926,                0.72272,                0.48325,                 1.6706,               0.006832,               0.006832,               0.006832
                     34,                 0.7765,                 0.5341,                  1.597,                0.79057,                0.73766,                 0.8006,                0.63745,                0.71322,                0.47351,                 1.6683,               0.006733,               0.006733,               0.006733
                     35,                0.77761,                0.53259,                 1.5958,                0.76578,                0.76881,                0.80436,                0.64115,                0.71158,                0.46989,                 1.6705,               0.006634,               0.006634,               0.006634
                     36,                0.77475,                0.53212,                 1.5787,                0.75109,                0.74652,                0.78078,                0.61875,                0.71716,                0.47812,                 1.6619,               0.006535,               0.006535,               0.006535
                     37,                0.77137,                0.52168,                 1.5901,                0.75679,                 0.7599,                0.79291,                0.63134,                0.71063,                0.47298,                 1.6689,               0.006436,               0.006436,               0.006436
                     38,                0.76876,                0.52744,                 1.5835,                0.75858,                0.76064,                0.79007,                0.62965,                0.71021,                0.47239,                 1.6643,               0.006337,               0.006337,               0.006337
                     39,                0.76863,                0.52432,                  1.584,                0.75562,                 0.7578,                0.79433,                0.63684,                0.70706,                0.47017,                 1.6656,               0.006238,               0.006238,               0.006238
                     40,                0.76529,                0.51858,                 1.5787,                0.78249,                0.75795,                0.81181,                0.64948,                0.70603,                0.46544,                 1.6558,               0.006139,               0.006139,               0.006139
