                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0805,                0.95972,                 2.5544,                0.00221,                0.02548,                0.00163,                0.00027,                 1.4219,                0.61578,                 1.4094,               0.070106,              0.0033215,              0.0033215
                      2,                0.96982,                0.77704,                 1.2199,                0.01969,                0.03906,                0.01083,                 0.0023,                  1.041,                0.73939,                0.94845,                0.04004,               0.006589,               0.006589
                      3,                0.36375,                 1.1608,                0.76691,                 0.1178,                0.17839,                0.11619,                0.04862,                 0.3605,                 1.1993,                0.75874,              0.0099086,              0.0097904,              0.0097904
                      4,                0.12732,                0.97312,                0.52003,                0.31815,                0.41027,                0.31177,                0.18384,                0.14403,                0.85379,                0.50182,               0.009703,               0.009703,               0.009703
                      5,                0.08597,                0.85129,                0.43419,                0.29257,                0.43399,                 0.2694,                0.14715,                0.19663,                0.91637,                0.46034,               0.009604,               0.009604,               0.009604
                      6,                0.07308,                0.78165,                  0.407,                0.37064,                0.49981,                0.36381,                0.21186,                0.14262,                0.75486,                0.38293,               0.009505,               0.009505,               0.009505
                      7,                0.06702,                0.74689,                 0.3844,                0.48239,                0.52957,                 0.4751,                 0.3001,                0.10836,                0.70501,                0.38007,               0.009406,               0.009406,               0.009406
                      8,                0.06191,                0.72542,                0.37445,                  0.495,                0.57651,                0.50014,                0.32396,                0.10945,                0.66634,                0.34314,               0.009307,               0.009307,               0.009307
                      9,                0.05853,                0.69466,                0.35442,                   0.56,                0.60317,                0.55149,                0.36553,                0.09815,                0.64621,                0.33782,               0.009208,               0.009208,               0.009208
                     10,                 0.0574,                0.67527,                0.35354,                0.56522,                0.61137,                0.57159,                0.37647,                0.10174,                0.64061,                0.33648,               0.009109,               0.009109,               0.009109
                     11,                0.05167,                0.66508,                 0.3398,                0.59373,                0.64849,                0.59521,                0.40783,                0.08392,                0.61933,                0.31756,                0.00901,                0.00901,                0.00901
                     12,                0.05387,                0.64914,                0.33484,                0.59086,                0.60053,                0.56648,                 0.3751,                0.10149,                0.60269,                0.32513,               0.008911,               0.008911,               0.008911
                     13,                0.05101,                0.64565,                  0.326,                0.58022,                0.62459,                0.56432,                0.37631,                0.10212,                0.58979,                0.32717,               0.008812,               0.008812,               0.008812
                     14,                0.05011,                0.64041,                0.32582,                0.53873,                0.58637,                0.53415,                0.35095,                 0.1068,                0.66488,                0.33385,               0.008713,               0.008713,               0.008713
                     15,                0.04795,                0.62387,                  0.316,                0.62938,                 0.6807,                0.64407,                0.44948,                0.07501,                0.58123,                0.30395,               0.008614,               0.008614,               0.008614
                     16,                0.04942,                 0.6074,                0.31593,                 0.6123,                0.62307,                0.60096,                0.40634,                0.12154,                0.59353,                 0.3603,               0.008515,               0.008515,               0.008515
                     17,                0.04478,                0.61623,                0.31381,                 0.6364,                0.69445,                0.65764,                0.45241,                0.08352,                0.54872,                0.30358,               0.008416,               0.008416,               0.008416
                     18,                 0.0442,                0.60649,                0.30998,                0.66538,                0.70156,                0.68295,                0.47967,                0.07352,                0.53575,                0.29405,               0.008317,               0.008317,               0.008317
                     19,                0.04473,                0.58914,                0.30831,                0.65885,                0.68924,                0.67325,                0.47078,                0.07963,                0.54145,                0.30126,               0.008218,               0.008218,               0.008218
                     20,                0.04349,                0.58488,                0.30471,                0.67789,                 0.7018,                0.69473,                0.48957,                0.07296,                0.53634,                0.29394,               0.008119,               0.008119,               0.008119
                     21,                0.04171,                0.57736,                0.30155,                0.67002,                0.72123,                0.69569,                0.49443,                0.06848,                0.53114,                0.29343,                0.00802,                0.00802,                0.00802
                     22,                0.04019,                0.58653,                0.29948,                 0.6718,                0.70611,                0.68553,                0.48286,                0.07791,                0.55536,                0.29799,               0.007921,               0.007921,               0.007921
