                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8317,                 3.6887,                 2.5765,                0.00095,                0.02539,                0.00222,                0.00058,                 3.1649,                 3.9657,                 2.2496,               0.070273,               0.003303,               0.003303
                      2,                 2.5867,                 2.5428,                  1.845,                0.66117,                0.11696,                0.08506,                0.03422,                 2.3432,                 2.4897,                 1.9762,                0.04024,              0.0066035,              0.0066035
                      3,                 1.9205,                 1.9762,                 1.5967,                0.65065,                0.09055,                0.05389,                 0.0229,                 2.4334,                  2.747,                 2.2027,               0.010174,               0.009871,               0.009871
                      4,                 1.5432,                 1.6431,                 1.4578,                 0.5752,                 0.1817,                0.15247,                0.08876,                 1.5789,                 2.0589,                 1.6435,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3483,                 1.4249,                 1.3917,                0.30458,                0.31724,                0.27757,                0.17305,                 1.3022,                 1.8879,                 1.5489,               0.009802,               0.009802,               0.009802
                      6,                 1.2902,                 1.3388,                 1.3666,                0.27932,                0.31481,                0.23127,                 0.1436,                 1.3179,                 1.6183,                 1.6118,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1879,                 1.2113,                  1.327,                0.48309,                0.52923,                0.42254,                0.27116,                 1.0978,                  1.322,                  1.481,               0.009703,               0.009703,               0.009703
                      8,                 1.1394,                 1.1455,                  1.312,                0.37848,                0.36744,                0.34818,                0.22091,                 1.1636,                  1.548,                 1.5888,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1346,                 1.1262,                 1.2852,                0.48734,                0.46744,                0.49527,                0.33204,                  1.032,                 1.2614,                 1.4606,               0.009604,               0.009604,               0.009604
                     10,                 1.0906,                 1.0614,                 1.2741,                0.52075,                0.41754,                0.43216,                0.30711,                 1.0126,                 1.3814,                 1.4474,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0727,                 1.0216,                 1.2681,                0.46731,                0.50111,                0.49969,                0.34016,                 1.0277,                 1.4699,                 1.4277,               0.009505,               0.009505,               0.009505
                     12,                 1.0609,                 0.9949,                 1.2801,                0.47752,                0.42338,                0.42575,                0.30547,                0.99761,                 1.3977,                 1.4559,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0328,                0.97478,                 1.2498,                0.37684,                0.52868,                0.40996,                0.26871,                 1.0252,                 1.2977,                 1.4608,               0.009406,               0.009406,               0.009406
                     14,                 1.0295,                0.93241,                 1.2406,                0.61806,                0.56426,                0.65635,                0.47754,                0.95833,                 1.1035,                  1.375,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.018,                0.90688,                 1.2569,                0.67782,                0.53246,                0.61383,                0.44218,                0.96661,                 1.0898,                 1.3486,               0.009307,               0.009307,               0.009307
                     16,                 1.0191,                0.88587,                 1.2246,                0.54264,                0.44846,                0.48854,                0.33952,                 1.0157,                 1.2635,                 1.4781,              0.0092575,              0.0092575,              0.0092575
                     17,                0.99792,                0.87555,                 1.2209,                0.66768,                0.47863,                 0.5825,                0.42768,                0.96353,                  1.206,                  1.435,               0.009208,               0.009208,               0.009208
                     18,                0.97962,                0.84143,                 1.2237,                0.69825,                0.57103,                0.65144,                0.47533,                0.96147,                 1.0815,                 1.3313,              0.0091585,              0.0091585,              0.0091585
                     19,                0.97881,                0.82853,                 1.2398,                0.62675,                0.54488,                0.60525,                0.42564,                0.95598,                 1.0698,                 1.4434,               0.009109,               0.009109,               0.009109
                     20,                 0.9583,                0.80548,                 1.2165,                 0.5643,                0.49928,                0.56591,                0.39988,                0.94837,                 1.0951,                 1.4198,              0.0090595,              0.0090595,              0.0090595
                     21,                0.95047,                0.79342,                 1.2134,                0.45693,                0.64993,                0.59559,                0.44089,                0.90926,                 1.1156,                 1.3657,                0.00901,                0.00901,                0.00901
                     22,                0.95933,                 0.7947,                 1.2219,                0.67314,                0.58956,                0.66114,                0.48706,                0.89901,                 1.0324,                 1.3757,              0.0089605,              0.0089605,              0.0089605
                     23,                0.95524,                0.78845,                 1.2208,                0.66883,                0.54047,                 0.6308,                0.46294,                0.90284,                 1.0312,                 1.3703,               0.008911,               0.008911,               0.008911
                     24,                0.93485,                 0.7532,                 1.2034,                 0.7749,                0.65683,                0.71786,                0.53826,                0.87218,                0.97502,                 1.3336,              0.0088615,              0.0088615,              0.0088615
                     25,                0.93594,                0.75725,                 1.2055,                0.69279,                0.59763,                0.68267,                0.50862,                0.88669,                0.96491,                 1.3428,               0.008812,               0.008812,               0.008812
                     26,                0.92441,                0.73908,                 1.2064,                0.59975,                0.51865,                0.59165,                0.42508,                0.91674,                 1.0976,                 1.3925,              0.0087625,              0.0087625,              0.0087625
                     27,                0.92348,                0.72068,                 1.2002,                0.73913,                0.66343,                0.73074,                0.54758,                0.85913,                0.92599,                 1.3262,               0.008713,               0.008713,               0.008713
                     28,                0.91845,                0.73055,                 1.2109,                0.71427,                0.60862,                0.68643,                0.51949,                0.86537,                 1.0527,                 1.3432,              0.0086635,              0.0086635,              0.0086635
                     29,                0.90754,                0.72161,                 1.1927,                0.78449,                0.69598,                0.79773,                0.60855,                0.83933,                0.88483,                 1.3334,               0.008614,               0.008614,               0.008614
                     30,                0.91204,                0.72167,                 1.2053,                0.77331,                0.69316,                0.76118,                0.57416,                0.85666,                0.88903,                 1.3646,              0.0085645,              0.0085645,              0.0085645
                     31,                0.91624,                0.71125,                 1.2187,                0.73487,                  0.735,                0.77636,                0.58134,                0.83997,                0.87784,                 1.3312,               0.008515,               0.008515,               0.008515
                     32,                0.90614,                0.69708,                 1.1878,                0.68672,                0.63541,                0.71945,                0.54928,                0.85126,                0.96456,                 1.3394,              0.0084655,              0.0084655,              0.0084655
                     33,                0.90151,                0.70351,                 1.2014,                0.77153,                0.59192,                 0.7104,                0.53081,                0.88299,                0.95003,                  1.387,               0.008416,               0.008416,               0.008416
                     34,                0.88849,                0.68496,                 1.1918,                0.79889,                0.67877,                0.76414,                0.57671,                0.84572,                0.87241,                 1.3267,              0.0083665,              0.0083665,              0.0083665
                     35,                0.89521,                0.68305,                 1.1984,                0.72075,                0.53261,                0.63922,                0.47982,                0.86754,                 1.0454,                 1.3748,               0.008317,               0.008317,               0.008317
                     36,                0.88375,                0.66784,                 1.1892,                0.84613,                0.71988,                 0.8083,                0.61176,                0.82282,                0.86879,                 1.3108,              0.0082675,              0.0082675,              0.0082675
                     37,                0.88163,                0.66849,                  1.195,                  0.778,                0.66004,                0.74444,                 0.5776,                0.83196,                0.89493,                 1.3243,               0.008218,               0.008218,               0.008218
                     38,                0.86628,                0.66221,                 1.1985,                0.73781,                0.56266,                0.64797,                0.48326,                0.87087,                0.99946,                 1.3919,              0.0081685,              0.0081685,              0.0081685
                     39,                0.88208,                0.66402,                 1.1948,                0.84266,                0.65526,                0.78546,                0.61589,                0.82321,                0.87174,                 1.3298,               0.008119,               0.008119,               0.008119
                     40,                0.87274,                0.65822,                 1.1923,                0.84172,                0.67207,                0.78396,                0.61195,                0.82638,                0.85135,                 1.3396,              0.0080695,              0.0080695,              0.0080695
                     41,                0.86719,                0.65198,                 1.1826,                0.78404,                0.69926,                0.77738,                0.61836,                0.81431,                0.88333,                 1.3166,                0.00802,                0.00802,                0.00802
                     42,                0.87847,                0.64843,                 1.1919,                0.73289,                0.65552,                0.73506,                0.55793,                0.83537,                0.95457,                 1.3481,              0.0079705,              0.0079705,              0.0079705
                     43,                0.86996,                0.64736,                 1.1973,                0.81646,                0.71897,                0.78977,                0.61546,                 0.8199,                0.84673,                 1.3225,               0.007921,               0.007921,               0.007921
                     44,                 0.8599,                0.63853,                 1.1867,                0.81208,                0.70303,                0.78928,                0.61506,                0.80848,                0.83838,                 1.3292,              0.0078715,              0.0078715,              0.0078715
                     45,                0.86797,                0.64439,                 1.1822,                0.79494,                 0.6928,                0.76223,                0.60146,                0.81494,                0.89861,                 1.3303,               0.007822,               0.007822,               0.007822
                     46,                0.86066,                0.63882,                 1.1819,                0.80094,                0.71356,                0.78908,                0.61866,                0.80288,                0.85393,                 1.3138,              0.0077725,              0.0077725,              0.0077725
                     47,                0.86426,                0.63354,                 1.2009,                0.77847,                0.68563,                0.77491,                 0.5859,                0.82985,                0.89484,                  1.357,               0.007723,               0.007723,               0.007723
                     48,                0.86084,                0.62027,                 1.1812,                0.82943,                0.69023,                0.79618,                0.62922,                0.79384,                0.85016,                  1.324,              0.0076735,              0.0076735,              0.0076735
                     49,                0.86043,                0.62682,                 1.2007,                0.82601,                0.72167,                0.78915,                0.61336,                0.80798,                0.82454,                 1.3405,               0.007624,               0.007624,               0.007624
                     50,                0.83995,                0.61052,                 1.1803,                0.80203,                0.70153,                0.78867,                0.61041,                0.83523,                0.86369,                  1.365,              0.0075745,              0.0075745,              0.0075745
