                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8562,                 3.7384,                 2.5875,                0.06005,                0.02732,                 0.0315,                0.00948,                 3.2227,                 4.1413,                 2.2667,               0.070273,               0.003303,               0.003303
                      2,                   2.62,                 2.6271,                 1.8728,                0.65004,                0.12184,                 0.0835,                0.03775,                 2.2746,                 3.5151,                 2.1502,               0.040207,              0.0065707,              0.0065707
                      3,                 1.9756,                 2.0379,                 1.5856,                0.43567,                0.15227,                0.13277,                0.06785,                 1.9484,                 2.3594,                 1.7575,               0.010075,              0.0097723,              0.0097723
                      4,                 1.5811,                 1.7018,                 1.4931,                0.31132,                0.23051,                0.14206,                0.08288,                 1.5902,                 2.1549,                 1.6731,               0.009703,               0.009703,               0.009703
                      5,                 1.3603,                  1.449,                 1.3617,                0.50205,                0.26009,                0.26247,                0.15397,                 1.2939,                 1.8649,                 1.5197,               0.009604,               0.009604,               0.009604
                      6,                 1.2702,                 1.3314,                 1.3486,                0.47304,                0.27712,                0.30333,                0.19906,                 1.3057,                 1.6166,                 1.4215,               0.009505,               0.009505,               0.009505
                      7,                 1.2162,                 1.2737,                 1.3119,                0.36638,                0.36988,                0.29117,                0.20977,                 1.1441,                 1.5724,                  1.483,               0.009406,               0.009406,               0.009406
                      8,                 1.1964,                 1.2672,                  1.342,                 0.3653,                0.44453,                0.41025,                0.26835,                 1.1467,                 1.4331,                 1.4049,               0.009307,               0.009307,               0.009307
                      9,                 1.1404,                 1.1767,                 1.2772,                0.58847,                 0.3645,                0.39304,                0.27145,                 1.1028,                 1.4327,                 1.3983,               0.009208,               0.009208,               0.009208
                     10,                 1.1228,                 1.1313,                 1.2735,                 0.5928,                0.43572,                0.48097,                0.33669,                 1.0385,                 1.3443,                 1.3706,               0.009109,               0.009109,               0.009109
                     11,                 1.0827,                  1.069,                 1.2359,                0.42514,                0.54573,                  0.494,                0.34436,                 1.0496,                  1.326,                 1.3905,                0.00901,                0.00901,                0.00901
                     12,                 1.0447,                  1.015,                 1.2541,                0.51857,                0.51503,                0.52881,                0.37012,                  1.027,                 1.2732,                 1.3575,               0.008911,               0.008911,               0.008911
                     13,                 1.0531,                0.99306,                 1.2307,                0.57244,                0.47023,                0.53965,                0.38162,                 1.0938,                 1.3311,                 1.3498,               0.008812,               0.008812,               0.008812
                     14,                 1.0285,                0.96335,                  1.229,                0.66455,                0.54379,                0.59964,                0.43095,                0.98805,                 1.1834,                 1.3455,               0.008713,               0.008713,               0.008713
                     15,                 1.0138,                0.92749,                  1.241,                0.60044,                0.50829,                  0.571,                0.41703,                0.99148,                 1.2382,                 1.3505,               0.008614,               0.008614,               0.008614
                     16,                 1.0061,                0.91971,                 1.2327,                0.60566,                0.57376,                0.59412,                0.42347,                0.97869,                 1.2075,                 1.3705,               0.008515,               0.008515,               0.008515
                     17,                0.98638,                 0.9063,                  1.229,                  0.593,                0.57171,                0.60383,                0.43313,                0.98213,                  1.273,                 1.3923,               0.008416,               0.008416,               0.008416
                     18,                0.99803,                0.86995,                 1.2244,                0.52638,                0.57302,                0.55016,                0.39696,                0.99308,                 1.3561,                 1.3324,               0.008317,               0.008317,               0.008317
                     19,                0.97216,                0.85151,                 1.2316,                0.61077,                0.60463,                0.63971,                0.46523,                 0.9273,                 1.1007,                 1.3605,               0.008218,               0.008218,               0.008218
                     20,                 0.9695,                0.84308,                  1.248,                0.63892,                0.61619,                0.66698,                0.48513,                0.93758,                 1.0717,                 1.3855,               0.008119,               0.008119,               0.008119
                     21,                0.95469,                0.82689,                 1.2117,                0.61064,                0.56127,                0.61161,                0.44087,                0.93216,                 1.1252,                 1.3694,                0.00802,                0.00802,                0.00802
                     22,                0.96378,                 0.8235,                 1.2272,                0.60515,                0.55516,                0.61156,                0.44771,                 0.9409,                 1.1744,                 1.3575,               0.007921,               0.007921,               0.007921
                     23,                0.95191,                0.79581,                 1.1952,                0.72941,                0.59446,                0.68895,                0.50785,                0.90813,                 1.1215,                 1.3299,               0.007822,               0.007822,               0.007822
                     24,                0.93453,                0.77149,                 1.1902,                0.76077,                0.64115,                0.74543,                  0.558,                0.88467,                 1.0116,                 1.3317,               0.007723,               0.007723,               0.007723
                     25,                0.92488,                0.77568,                  1.205,                0.76104,                0.61701,                0.70536,                0.53092,                0.90378,                  1.023,                 1.3185,               0.007624,               0.007624,               0.007624
                     26,                0.93286,                0.75833,                  1.204,                0.71061,                0.65067,                0.71463,                0.53289,                0.88556,                 1.0472,                 1.3647,               0.007525,               0.007525,               0.007525
                     27,                0.92071,                0.74807,                 1.2099,                 0.7187,                0.67547,                0.72297,                0.54602,                0.88565,                 1.0603,                 1.3361,               0.007426,               0.007426,               0.007426
                     28,                0.92267,                0.74467,                 1.2013,                  0.803,                0.63635,                0.74119,                0.56013,                0.90417,                 1.0226,                  1.358,               0.007327,               0.007327,               0.007327
                     29,                0.91462,                0.71848,                 1.2125,                0.79263,                0.67725,                0.76287,                0.58273,                0.86347,                0.95613,                 1.3277,               0.007228,               0.007228,               0.007228
                     30,                0.91551,                0.72944,                 1.2006,                0.81649,                0.68462,                 0.7722,                0.58047,                0.86874,                 0.9659,                 1.3277,               0.007129,               0.007129,               0.007129
                     31,                0.90931,                 0.7057,                 1.1999,                0.58638,                0.59888,                 0.6173,                0.46882,                0.87723,                 1.1901,                 1.3181,                0.00703,                0.00703,                0.00703
                     32,                0.90658,                0.70215,                 1.1936,                0.77841,                0.66827,                0.77053,                0.60815,                0.83978,                0.96085,                 1.3091,               0.006931,               0.006931,               0.006931
                     33,                0.89762,                0.75398,                 1.2115,                 0.6695,                0.67199,                0.70818,                0.54715,                 0.8745,                 1.0731,                 1.3003,               0.006832,               0.006832,               0.006832
                     34,                0.88032,                  0.704,                 1.1965,                0.74545,                0.70953,                0.77769,                0.60206,                 0.8424,                0.91781,                 1.3108,               0.006733,               0.006733,               0.006733
                     35,                0.88794,                0.70506,                 1.2104,                0.76685,                0.71243,                 0.7731,                0.59016,                0.84914,                0.95238,                   1.31,               0.006634,               0.006634,               0.006634
                     36,                0.88644,                0.68124,                 1.1965,                0.78026,                0.67743,                0.76515,                0.59086,                0.83695,                0.94958,                 1.3072,               0.006535,               0.006535,               0.006535
                     37,                0.86672,                0.67148,                 1.1945,                0.77457,                0.63531,                0.73391,                0.56536,                0.85908,                 1.0003,                 1.3262,               0.006436,               0.006436,               0.006436
                     38,                0.87537,                0.66821,                 1.1911,                0.83798,                0.67338,                0.79541,                0.61981,                0.83637,                0.92332,                 1.3122,               0.006337,               0.006337,               0.006337
                     39,                0.85631,                0.64886,                 1.2036,                0.82388,                0.68631,                0.78952,                0.60645,                0.83756,                0.91351,                 1.3322,               0.006238,               0.006238,               0.006238
                     40,                0.86668,                0.67208,                 1.1988,                0.78115,                0.70075,                0.77344,                0.60087,                0.83826,                0.96645,                 1.3159,               0.006139,               0.006139,               0.006139
                     41,                0.85742,                0.63626,                 1.1733,                0.77972,                 0.6946,                0.78229,                0.59678,                0.84363,                0.96483,                 1.3211,                0.00604,                0.00604,                0.00604
                     42,                0.86365,                0.65083,                 1.1857,                0.78123,                0.73719,                0.80831,                0.62175,                 0.8114,                0.89654,                 1.3149,               0.005941,               0.005941,               0.005941
                     43,                0.85975,                0.66008,                 1.1948,                0.72972,                0.68837,                0.74272,                0.56475,                 0.8321,                0.96061,                 1.3107,               0.005842,               0.005842,               0.005842
                     44,                0.85319,                0.63991,                 1.1933,                0.80571,                0.71153,                0.80527,                0.62536,                0.81782,                0.91782,                 1.3148,               0.005743,               0.005743,               0.005743
                     45,                0.85016,                0.64144,                 1.1992,                0.81948,                0.73072,                0.81185,                0.62728,                0.82271,                0.88647,                 1.3183,               0.005644,               0.005644,               0.005644
                     46,                0.83332,                0.62055,                 1.1806,                0.82184,                0.71181,                0.81266,                0.63782,                0.81479,                0.90283,                 1.3039,               0.005545,               0.005545,               0.005545
                     47,                0.85185,                0.62864,                 1.1812,                0.83074,                0.72246,                0.80434,                0.63911,                0.81313,                0.89782,                  1.305,               0.005446,               0.005446,               0.005446
                     48,                0.84415,                0.63481,                 1.1666,                0.82279,                0.68523,                0.79484,                0.61331,                0.80983,                0.91162,                 1.3177,               0.005347,               0.005347,               0.005347
                     49,                0.82512,                0.62157,                 1.1924,                0.85625,                0.72427,                0.82677,                0.64563,                0.81082,                0.88563,                 1.3059,               0.005248,               0.005248,               0.005248
                     50,                0.82385,                0.60135,                 1.1582,                0.85947,                0.69032,                0.82197,                0.64774,                0.80007,                0.88484,                 1.3064,               0.005149,               0.005149,               0.005149
                     51,                0.83468,                0.59878,                 1.1785,                0.86181,                0.68941,                0.81127,                0.64039,                0.81807,                0.88872,                 1.3153,                0.00505,                0.00505,                0.00505
                     52,                0.83046,                0.60618,                  1.173,                0.83809,                0.70586,                0.82655,                0.65685,                0.80245,                 0.8747,                 1.3059,               0.004951,               0.004951,               0.004951
                     53,                0.82621,                0.60297,                 1.1656,                0.80347,                0.72789,                0.80803,                0.63406,                0.81757,                0.91807,                 1.3171,               0.004852,               0.004852,               0.004852
                     54,                0.83235,                0.60225,                 1.1795,                0.82731,                0.71976,                0.81695,                0.63058,                0.81131,                0.88989,                 1.3191,               0.004753,               0.004753,               0.004753
                     55,                0.80725,                  0.583,                 1.1767,                0.82198,                0.72998,                0.82288,                0.65369,                0.79168,                0.90234,                 1.2883,               0.004654,               0.004654,               0.004654
                     56,                 0.8148,                0.58975,                 1.1977,                0.86506,                0.71112,                0.81275,                0.64075,                0.80448,                 0.9045,                 1.3143,               0.004555,               0.004555,               0.004555
                     57,                 0.8185,                0.59212,                  1.181,                0.90614,                0.70128,                 0.8251,                 0.6557,                0.79756,                0.89524,                 1.3057,               0.004456,               0.004456,               0.004456
