                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8451,                 3.7382,                 2.6002,                0.00081,                0.01921,                0.00121,                0.00038,                 3.1573,                  4.143,                 2.2537,               0.070273,               0.003303,               0.003303
                      2,                 2.6252,                 2.6249,                 1.8746,                0.36524,                0.11394,                0.07306,                0.02819,                 2.5139,                  4.234,                 2.2431,               0.040207,              0.0065707,              0.0065707
                      3,                 1.9629,                   2.03,                 1.5829,                0.42938,                 0.1615,                0.11985,                0.06615,                   1.85,                 2.2337,                  1.798,               0.010075,              0.0097723,              0.0097723
                      4,                 1.5909,                 1.6934,                 1.4946,                0.33644,                0.19257,                0.16321,                0.09088,                 1.8233,                 2.2029,                 1.6353,               0.009703,               0.009703,               0.009703
                      5,                 1.3635,                 1.4538,                 1.3687,                0.57478,                0.24805,                0.25065,                0.14751,                 1.3637,                  1.779,                 1.5313,               0.009604,               0.009604,               0.009604
                      6,                 1.2763,                 1.3286,                 1.3495,                0.21968,                0.35711,                0.23462,                0.15968,                 1.3124,                 1.9331,                 1.4812,               0.009505,               0.009505,               0.009505
                      7,                 1.2183,                 1.2644,                  1.316,                0.37582,                0.35424,                0.32703,                0.22378,                  1.152,                 1.5248,                 1.4659,               0.009406,               0.009406,               0.009406
                      8,                  1.203,                 1.2612,                 1.3424,                0.47016,                0.40367,                0.40947,                0.27069,                 1.1677,                 1.4011,                 1.4415,               0.009307,               0.009307,               0.009307
                      9,                 1.1323,                 1.1663,                 1.2791,                0.48361,                0.45945,                0.46935,                 0.3244,                 1.1086,                 1.3588,                 1.3731,               0.009208,               0.009208,               0.009208
                     10,                 1.1185,                 1.1244,                 1.2743,                0.50161,                0.45887,                0.48561,                0.34657,                 1.0414,                 1.2647,                 1.4113,               0.009109,               0.009109,               0.009109
                     11,                 1.0821,                 1.0586,                 1.2401,                0.51791,                0.45656,                0.46127,                0.31272,                 1.0735,                 1.4085,                 1.4491,                0.00901,                0.00901,                0.00901
                     12,                 1.0475,                 1.0072,                 1.2575,                0.64895,                0.39455,                0.49819,                0.35241,                 1.0629,                 1.4752,                 1.3996,               0.008911,               0.008911,               0.008911
