                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3707,                 1.8319,                 1.7163,                0.32277,                0.38366,                0.32033,                0.21086,                 1.2887,                 1.0975,                 1.7531,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1603,                 1.0024,                 1.5493,                0.33502,                0.53155,                0.40745,                0.27729,                 1.0496,                0.89175,                 1.6327,               0.040021,              0.0064209,              0.0064209
                      3,                0.97057,                0.84563,                 1.5015,                0.43891,                0.59411,                0.49871,                0.37068,                0.86455,                0.68284,                 1.5897,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88846,                0.74813,                 1.4917,                0.45555,                0.58286,                0.51357,                 0.3842,                0.83899,                0.67608,                 1.5571,                0.00901,                0.00901,                0.00901
                      5,                 0.8623,                0.70895,                 1.4794,                0.53376,                 0.6168,                 0.5466,                0.41009,                0.82582,                0.64821,                 1.5706,                0.00868,                0.00868,                0.00868
                      6,                0.84406,                0.66907,                 1.4742,                0.51348,                0.63725,                0.56003,                0.42107,                0.81903,                0.62728,                 1.5583,                0.00835,                0.00835,                0.00835
                      7,                0.84215,                0.65369,                 1.4584,                 0.5765,                0.65904,                0.60505,                0.45328,                0.83474,                0.60733,                 1.5494,                0.00802,                0.00802,                0.00802
                      8,                0.82154,                0.63536,                 1.4535,                0.58845,                0.62854,                0.58887,                0.45037,                0.79613,                0.60863,                 1.5342,                0.00769,                0.00769,                0.00769
                      9,                0.81141,                0.61861,                  1.462,                0.64941,                0.62785,                0.63371,                0.47822,                0.80317,                0.59409,                 1.5657,                0.00736,                0.00736,                0.00736
                     10,                0.80826,                 0.6065,                 1.4639,                0.63634,                0.66014,                0.62369,                0.47345,                0.79933,                0.58891,                 1.5204,                0.00703,                0.00703,                0.00703
                     11,                0.80767,                0.59695,                 1.4483,                0.62243,                0.66475,                 0.6341,                0.48228,                0.79219,                0.58519,                 1.5423,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79582,                0.59272,                 1.4362,                0.64482,                0.65067,                0.65045,                0.49586,                0.78835,                0.58394,                 1.5488,                0.00637,                0.00637,                0.00637
                     13,                0.79637,                0.58184,                 1.4489,                0.64938,                0.68187,                0.66254,                0.51107,                0.78471,                0.55769,                 1.5463,                0.00604,                0.00604,                0.00604
                     14,                0.78312,                0.56962,                 1.4352,                0.63831,                0.61801,                0.60816,                0.46075,                0.80289,                0.60137,                 1.5692,                0.00571,                0.00571,                0.00571
                     15,                0.77014,                0.55546,                 1.4296,                0.65509,                0.66106,                0.65393,                0.50272,                0.77689,                0.55859,                 1.5319,                0.00538,                0.00538,                0.00538
                     16,                 0.7764,                0.55736,                  1.423,                0.65592,                0.64251,                0.65085,                0.50194,                0.78769,                0.57169,                 1.5524,                0.00505,                0.00505,                0.00505
                     17,                0.76554,                0.54876,                   1.43,                0.67075,                0.66563,                0.66542,                0.51776,                0.77326,                0.55276,                 1.5129,                0.00472,                0.00472,                0.00472
                     18,                0.76561,                0.54639,                 1.4263,                0.69651,                0.66438,                0.68638,                0.52812,                0.78174,                0.55766,                 1.5334,                0.00439,                0.00439,                0.00439
                     19,                0.75673,                0.53564,                 1.4167,                0.68775,                0.65738,                 0.6723,                0.51778,                0.77351,                0.55288,                 1.5162,                0.00406,                0.00406,                0.00406
                     20,                0.74879,                0.52891,                 1.4241,                0.67637,                0.68381,                0.69239,                0.53385,                0.77253,                0.54742,                 1.5278,                0.00373,                0.00373,                0.00373
                     21,                0.73027,                 0.5036,                 1.4574,                0.67687,                0.63522,                0.66746,                0.51412,                0.78941,                0.56384,                 1.5521,                 0.0034,                 0.0034,                 0.0034
                     22,                0.71979,                0.49517,                 1.4434,                0.70222,                0.66997,                0.69962,                0.53859,                0.77138,                0.54182,                 1.5313,                0.00307,                0.00307,                0.00307
                     23,                0.71389,                0.48031,                 1.4339,                0.69519,                0.67615,                0.70056,                0.54023,                0.77747,                0.54005,                  1.535,                0.00274,                0.00274,                0.00274
                     24,                0.70915,                0.47602,                 1.4305,                0.66117,                0.65681,                0.66172,                0.51389,                0.77471,                 0.5569,                 1.5684,                0.00241,                0.00241,                0.00241
                     25,                0.70582,                0.47232,                 1.4392,                0.68296,                0.68692,                0.68895,                0.53888,                0.76603,                 0.5382,                 1.5128,                0.00208,                0.00208,                0.00208
                     26,                0.70127,                0.46843,                 1.4388,                0.70211,                0.67125,                 0.6962,                0.54551,                 0.7659,                0.53874,                 1.5258,                0.00175,                0.00175,                0.00175
                     27,                0.69774,                 0.4578,                 1.4288,                 0.6953,                 0.6744,                0.68935,                0.53847,                0.76826,                0.53973,                 1.5317,                0.00142,                0.00142,                0.00142
                     28,                0.69512,                0.45807,                 1.4304,                0.71528,                0.68695,                0.70918,                0.55336,                0.75929,                 0.5264,                 1.5216,                0.00109,                0.00109,                0.00109
                     29,                0.68786,                0.45186,                 1.4232,                0.70566,                0.67325,                0.69792,                  0.546,                0.76156,                0.53244,                   1.52,                0.00076,                0.00076,                0.00076
                     30,                0.68529,                0.44652,                 1.4219,                0.68873,                0.69055,                0.70284,                0.54935,                0.75912,                0.53062,                  1.517,                0.00043,                0.00043,                0.00043
