                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3584,                 1.8649,                 1.7119,                0.49432,                0.28953,                0.26371,                0.17141,                 1.1324,                  1.089,                 1.7582,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1585,                 1.0127,                 1.5564,                0.52631,                0.48412,                0.38463,                0.26122,                 1.0857,                0.83783,                 1.5977,               0.040021,              0.0064209,              0.0064209
                      3,                0.96413,                0.84777,                 1.4979,                0.42243,                0.58003,                0.49718,                0.36714,                 0.8597,                0.68664,                 1.5951,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88849,                 0.7436,                 1.4938,                0.44128,                0.58075,                0.51988,                0.39076,                0.83843,                0.66436,                 1.5382,                0.00901,                0.00901,                0.00901
                      5,                0.85777,                0.70381,                  1.478,                0.55017,                0.62585,                0.56214,                0.42268,                0.81395,                0.63352,                 1.5462,                0.00868,                0.00868,                0.00868
                      6,                0.84319,                0.66385,                 1.4699,                0.52341,                0.61001,                0.55264,                0.41437,                0.81584,                0.62826,                 1.5634,                0.00835,                0.00835,                0.00835
                      7,                0.83996,                0.64962,                  1.456,                0.59882,                0.62664,                0.60177,                0.45422,                0.83817,                0.60905,                 1.5375,                0.00802,                0.00802,                0.00802
                      8,                0.82382,                0.63436,                 1.4556,                0.60197,                0.63342,                0.59518,                0.45431,                0.79539,                0.60884,                 1.5486,                0.00769,                0.00769,                0.00769
                      9,                0.81319,                0.61559,                 1.4612,                 0.6317,                0.65235,                0.63626,                 0.4808,                0.79519,                0.58796,                 1.5394,                0.00736,                0.00736,                0.00736
                     10,                0.80711,                0.60308,                 1.4637,                0.59291,                0.67207,                0.61793,                 0.4672,                0.79849,                 0.5959,                 1.5423,                0.00703,                0.00703,                0.00703
                     11,                0.80553,                0.59436,                 1.4495,                0.64852,                  0.626,                0.63765,                0.48026,                 0.7966,                0.58376,                 1.5564,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79564,                  0.589,                 1.4406,                0.62506,                0.66657,                0.64378,                0.48969,                0.78748,                0.58262,                 1.5444,                0.00637,                0.00637,                0.00637
                     13,                0.79476,                0.58031,                 1.4459,                0.67829,                0.67137,                0.66457,                0.51145,                0.78237,                0.55542,                 1.5384,                0.00604,                0.00604,                0.00604
                     14,                0.78119,                0.56829,                 1.4303,                0.66952,                0.60739,                0.62482,                0.46629,                 0.8123,                0.59078,                 1.5897,                0.00571,                0.00571,                0.00571
                     15,                0.76851,                0.55336,                 1.4309,                0.65573,                0.66362,                0.66063,                0.50927,                0.77741,                 0.5595,                 1.5615,                0.00538,                0.00538,                0.00538
                     16,                0.77645,                 0.5579,                 1.4251,                0.68869,                0.65043,                0.66415,                0.50858,                0.78278,                0.56297,                 1.5508,                0.00505,                0.00505,                0.00505
                     17,                0.76391,                0.54743,                 1.4263,                0.66472,                0.66459,                0.66468,                0.51837,                0.77519,                  0.557,                  1.506,                0.00472,                0.00472,                0.00472
                     18,                0.76524,                0.54415,                 1.4264,                0.65701,                0.70753,                0.67742,                0.52245,                0.77297,                0.55361,                 1.5412,                0.00439,                0.00439,                0.00439
                     19,                0.75613,                0.53338,                 1.4203,                0.67379,                0.67624,                0.67538,                0.51573,                0.77633,                0.56131,                 1.5445,                0.00406,                0.00406,                0.00406
                     20,                0.74825,                 0.5255,                 1.4276,                 0.6839,                 0.6828,                0.68529,                 0.5332,                0.77167,                0.54404,                 1.5256,                0.00373,                0.00373,                0.00373
                     21,                 0.7288,                0.50037,                  1.454,                 0.6496,                0.63701,                0.64873,                0.49721,                0.79422,                0.58045,                 1.5571,                 0.0034,                 0.0034,                 0.0034
                     22,                0.71957,                0.49207,                 1.4471,                0.65402,                0.69435,                0.68085,                0.53104,                0.76937,                0.53937,                 1.5338,                0.00307,                0.00307,                0.00307
                     23,                0.71297,                0.47878,                 1.4304,                0.70012,                0.67988,                0.68597,                0.52901,                0.77347,                0.54588,                 1.5286,                0.00274,                0.00274,                0.00274
                     24,                0.70822,                0.47258,                 1.4286,                0.69682,                0.67038,                0.68596,                0.53412,                0.76564,                0.53947,                 1.5255,                0.00241,                0.00241,                0.00241
                     25,                0.70376,                0.46941,                 1.4383,                0.68047,                0.67926,                0.68463,                0.53319,                0.76968,                 0.5428,                 1.5356,                0.00208,                0.00208,                0.00208
                     26,                0.70081,                0.46663,                 1.4375,                0.70387,                0.66495,                0.68249,                0.53426,                0.76647,                0.54221,                 1.5316,                0.00175,                0.00175,                0.00175
                     27,                0.69842,                0.45843,                 1.4301,                0.71185,                0.68303,                 0.6984,                0.54529,                0.76497,                0.53574,                 1.5258,                0.00142,                0.00142,                0.00142
                     28,                0.69336,                0.45497,                 1.4314,                0.70834,                0.68484,                 0.6936,                0.54117,                0.76353,                0.53598,                 1.5311,                0.00109,                0.00109,                0.00109
                     29,                0.68819,                0.45049,                 1.4232,                0.70158,                0.69229,                0.69538,                0.54536,                0.76142,                0.53394,                 1.5214,                0.00076,                0.00076,                0.00076
                     30,                 0.6847,                 0.4441,                  1.419,                0.71178,                0.68968,                0.69694,                0.54676,                0.76009,                0.53328,                 1.5213,                0.00043,                0.00043,                0.00043
