                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4407,                 1.9326,                 1.8551,                 0.5166,                0.36342,                0.30991,                0.20816,                 1.2354,                 1.0413,                 1.8577,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1808,                 1.0476,                  1.581,                0.51519,                0.50515,                0.38873,                0.27364,                0.94764,                0.81257,                 1.6168,               0.040021,              0.0064209,              0.0064209
                      3,                0.96091,                0.85378,                 1.4964,                0.39376,                0.60426,                0.48457,                0.35992,                0.85269,                0.71355,                 1.5902,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88468,                 0.7495,                 1.4912,                0.42863,                 0.6003,                0.52296,                0.39124,                0.85264,                0.66616,                 1.5364,                0.00901,                0.00901,                0.00901
                      5,                0.85907,                0.70871,                 1.4789,                0.50782,                 0.5845,                0.52035,                0.38859,                0.84353,                0.66217,                 1.5896,                0.00868,                0.00868,                0.00868
                      6,                0.84388,                0.66624,                 1.4725,                0.54198,                0.62939,                0.58485,                 0.4406,                0.81266,                0.62725,                 1.5591,                0.00835,                0.00835,                0.00835
                      7,                0.84066,                0.64993,                 1.4566,                0.56925,                0.64011,                0.59589,                0.44527,                 0.8329,                0.61161,                 1.5284,                0.00802,                0.00802,                0.00802
                      8,                0.82253,                0.63381,                 1.4526,                0.56664,                0.64822,                0.58259,                0.44433,                0.79319,                0.61482,                 1.5439,                0.00769,                0.00769,                0.00769
                      9,                0.81039,                0.61534,                 1.4571,                0.61182,                0.67258,                0.64338,                0.48662,                0.79548,                0.57783,                 1.5358,                0.00736,                0.00736,                0.00736
                     10,                0.80577,                0.60238,                 1.4584,                0.58849,                0.67231,                0.62191,                0.46831,                 0.7943,                0.59081,                  1.538,                0.00703,                0.00703,                0.00703
                     11,                0.80726,                0.59348,                 1.4509,                0.59076,                0.65538,                0.60856,                0.45486,                0.79831,                 0.5973,                 1.5577,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79469,                0.58799,                 1.4408,                0.63293,                0.62752,                0.62202,                0.47646,                0.78659,                0.59252,                 1.5454,                0.00637,                0.00637,                0.00637
                     13,                0.79329,                0.57749,                  1.446,                0.70022,                0.64457,                0.65998,                0.50446,                0.78017,                0.56545,                 1.5334,                0.00604,                0.00604,                0.00604
                     14,                0.78261,                0.56742,                 1.4344,                0.64128,                0.67589,                0.64563,                0.49569,                0.78294,                0.58658,                 1.5444,                0.00571,                0.00571,                0.00571
                     15,                0.76897,                0.55135,                 1.4303,                 0.6582,                0.64762,                0.65319,                0.50309,                0.77223,                0.55976,                 1.5282,                0.00538,                0.00538,                0.00538
                     16,                0.77631,                0.55686,                 1.4227,                0.69414,                0.65908,                0.68621,                 0.5278,                0.77469,                0.55306,                 1.5407,                0.00505,                0.00505,                0.00505
                     17,                0.76468,                0.54698,                 1.4247,                0.67828,                0.68064,                0.67767,                0.52133,                0.77812,                 0.5523,                 1.5076,                0.00472,                0.00472,                0.00472
                     18,                0.76551,                0.54377,                 1.4274,                0.70334,                0.66365,                0.69184,                0.53001,                0.78015,                0.55751,                 1.5327,                0.00439,                0.00439,                0.00439
                     19,                0.75509,                0.53228,                 1.4191,                0.70148,                0.65969,                 0.6884,                0.52761,                0.77006,                0.54737,                 1.5159,                0.00406,                0.00406,                0.00406
                     20,                0.74624,                0.52491,                 1.4236,                0.70837,                0.64542,                0.67122,                0.51573,                0.77461,                0.55351,                 1.5254,                0.00373,                0.00373,                0.00373
                     21,                0.75077,                0.52995,                 1.3984,                0.71238,                0.70045,                0.71758,                0.55524,                0.77191,                0.53791,                 1.5208,                 0.0034,                 0.0034,                 0.0034
                     22,                0.74673,                0.51988,                 1.4017,                0.69819,                0.69424,                0.70705,                0.55218,                0.76344,                0.53804,                 1.5121,                0.00307,                0.00307,                0.00307
                     23,                0.73791,                0.51326,                 1.3922,                0.70856,                0.66214,                0.69259,                0.53836,                0.76747,                0.54552,                 1.5245,                0.00274,                0.00274,                0.00274
                     24,                0.73654,                0.51124,                  1.405,                0.70754,                0.68607,                0.69891,                0.54263,                 0.7694,                 0.5303,                 1.5278,                0.00241,                0.00241,                0.00241
                     25,                0.73386,                0.50192,                 1.3964,                0.72221,                 0.6721,                0.70232,                0.54418,                0.76632,                0.53245,                 1.5257,                0.00208,                0.00208,                0.00208
                     26,                0.72322,                0.49483,                 1.3931,                0.72153,                0.67451,                0.70971,                0.55209,                0.75903,                0.52974,                 1.5114,                0.00175,                0.00175,                0.00175
                     27,                0.72626,                0.49221,                 1.3928,                0.69304,                0.67182,                0.69393,                0.54161,                0.76417,                0.54022,                 1.5229,                0.00142,                0.00142,                0.00142
                     28,                 0.7293,                0.49254,                 1.3965,                0.69946,                0.68054,                0.70524,                0.55205,                0.76022,                0.53022,                 1.5199,                0.00109,                0.00109,                0.00109
                     29,                0.72256,                0.49001,                 1.3956,                0.68091,                0.70084,                0.71104,                0.55699,                0.75999,                0.52825,                 1.5152,                0.00076,                0.00076,                0.00076
                     30,                0.71485,                0.48454,                 1.3891,                0.70313,                0.68438,                0.71181,                0.55758,                0.75811,                0.52599,                 1.5144,                0.00043,                0.00043,                0.00043
