                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3651,                 1.8353,                 1.7792,                0.32068,                0.39566,                0.32791,                0.20495,                 1.3967,                 1.1286,                 1.7307,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1672,                 1.0275,                 1.5571,                0.52743,                0.52233,                0.38144,                0.26792,                 1.0779,                0.85853,                 1.5859,               0.040021,              0.0064209,              0.0064209
                      3,                0.95847,                0.84662,                 1.5061,                0.41254,                0.57715,                0.47948,                0.35784,                0.86097,                0.70009,                 1.6082,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88719,                0.74189,                 1.4967,                0.44876,                 0.6227,                0.53901,                0.40036,                0.83298,                0.65747,                  1.574,                0.00901,                0.00901,                0.00901
                      5,                0.86039,                0.70588,                 1.4784,                 0.5876,                0.61915,                0.58735,                0.43634,                0.82882,                0.63495,                 1.5664,                0.00868,                0.00868,                0.00868
                      6,                0.84639,                0.66864,                  1.475,                0.54607,                0.63434,                0.58158,                0.43609,                0.81403,                0.63177,                 1.5637,                0.00835,                0.00835,                0.00835
                      7,                0.84242,                0.65054,                 1.4562,                0.58149,                0.64801,                0.61894,                0.46551,                  0.838,                0.61212,                 1.5135,                0.00802,                0.00802,                0.00802
                      8,                0.82474,                0.63512,                 1.4526,                0.57598,                0.63523,                0.59456,                0.45053,                0.81073,                0.61608,                 1.5701,                0.00769,                0.00769,                0.00769
                      9,                0.81386,                0.61862,                 1.4588,                0.65255,                 0.6371,                0.65094,                0.49177,                0.79449,                0.58581,                 1.5378,                0.00736,                0.00736,                0.00736
                     10,                0.80697,                0.60594,                 1.4592,                0.59661,                0.67059,                0.61932,                0.47109,                0.79478,                0.59649,                 1.5421,                0.00703,                0.00703,                0.00703
                     11,                0.80893,                0.59846,                 1.4548,                0.66638,                0.63559,                0.63672,                0.47695,                0.80758,                0.59113,                 1.5754,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79765,                0.59214,                 1.4412,                0.63461,                0.65483,                0.64359,                0.49568,                0.78532,                  0.573,                 1.5236,                0.00637,                0.00637,                0.00637
                     13,                0.79767,                0.58097,                 1.4495,                0.63769,                0.68932,                0.67253,                0.51822,                0.78336,                 0.5631,                  1.539,                0.00604,                0.00604,                0.00604
                     14,                0.78484,                0.57033,                 1.4355,                0.67939,                0.63361,                 0.6416,                0.48617,                 0.8047,                0.57925,                 1.5703,                0.00571,                0.00571,                0.00571
                     15,                0.77206,                0.55532,                 1.4326,                0.67039,                0.64996,                0.65519,                 0.5068,                 0.7767,                0.56317,                 1.5255,                0.00538,                0.00538,                0.00538
                     16,                0.77803,                0.55759,                 1.4245,                0.66064,                0.64376,                0.63876,                0.49331,                0.77869,                0.56782,                 1.5385,                0.00505,                0.00505,                0.00505
                     17,                0.76468,                0.54601,                 1.4269,                0.66469,                0.68007,                0.66878,                0.51875,                0.78532,                0.56215,                 1.5035,                0.00472,                0.00472,                0.00472
                     18,                0.76981,                0.54659,                 1.4308,                0.69136,                0.68225,                0.69337,                0.53518,                0.77659,                0.55983,                 1.5418,                0.00439,                0.00439,                0.00439
                     19,                0.75871,                0.53308,                  1.424,                0.71705,                0.64433,                0.67708,                0.52313,                0.76867,                 0.5527,                 1.5302,                0.00406,                0.00406,                0.00406
                     20,                0.74865,                0.52562,                 1.4275,                0.70091,                0.66224,                 0.6835,                0.52624,                0.76859,                0.54831,                 1.5207,                0.00373,                0.00373,                0.00373
                     21,                0.75241,                0.52952,                 1.4025,                0.68995,                0.67586,                0.69131,                0.53602,                0.77223,                0.54655,                 1.5351,                 0.0034,                 0.0034,                 0.0034
                     22,                0.74671,                0.51965,                 1.4055,                0.69492,                 0.6797,                0.69601,                0.54258,                0.76228,                 0.5415,                 1.5212,                0.00307,                0.00307,                0.00307
                     23,                0.73786,                 0.5143,                  1.391,                 0.6794,                 0.6785,                0.69416,                0.53962,                0.76524,                0.53999,                 1.5256,                0.00274,                0.00274,                0.00274
                     24,                0.73752,                0.51057,                 1.4096,                 0.7289,                0.67441,                0.70603,                0.55085,                0.76703,                0.53539,                 1.5296,                0.00241,                0.00241,                0.00241
                     25,                0.73448,                0.50084,                  1.398,                0.70616,                0.68054,                0.70039,                0.54563,                0.76762,                0.53812,                 1.5431,                0.00208,                0.00208,                0.00208
                     26,                0.72505,                0.49336,                 1.3998,                0.69562,                0.70148,                0.71616,                0.56058,                0.75848,                0.52737,                 1.5166,                0.00175,                0.00175,                0.00175
                     27,                0.72727,                0.49206,                 1.3939,                0.69164,                0.68957,                0.70022,                0.54863,                0.76579,                0.54396,                   1.53,                0.00142,                0.00142,                0.00142
                     28,                0.72961,                0.49171,                 1.3983,                0.70816,                 0.6829,                0.70499,                0.55349,                0.75792,                0.53195,                 1.5202,                0.00109,                0.00109,                0.00109
                     29,                 0.7243,                0.49051,                 1.3977,                0.69381,                 0.6968,                0.71314,                 0.5622,                0.75932,                0.53071,                  1.512,                0.00076,                0.00076,                0.00076
                     30,                0.71658,                0.48448,                 1.3912,                 0.7067,                0.68479,                0.71353,                0.56105,                0.75693,                0.52704,                 1.5162,                0.00043,                0.00043,                0.00043
