                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3531,                 1.9339,                 1.7186,                 0.6946,                0.33188,                0.31102,                0.20011,                 1.2457,                 1.1017,                  1.731,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1588,                 1.0272,                 1.5367,                0.55266,                0.50471,                0.41406,                0.28689,                  1.034,                0.81852,                 1.5868,               0.040021,              0.0064209,              0.0064209
                      3,                0.96732,                0.84871,                 1.4882,                0.40982,                0.57547,                 0.4825,                 0.3609,                0.85329,                 0.7019,                 1.6069,              0.0095818,              0.0093151,              0.0093151
                      4,                 0.8862,                0.74923,                 1.4905,                0.43576,                0.56485,                0.51382,                  0.388,                0.84175,                0.67728,                 1.5618,                0.00901,                0.00901,                0.00901
                      5,                0.86617,                0.70965,                 1.4784,                0.57866,                0.61621,                0.57487,                0.42947,                0.82193,                0.63103,                 1.5473,                0.00868,                0.00868,                0.00868
                      6,                 0.8456,                0.66564,                 1.4752,                0.55826,                0.64557,                0.58841,                0.43878,                0.81621,                0.63607,                  1.538,                0.00835,                0.00835,                0.00835
                      7,                0.84258,                0.65194,                 1.4546,                0.56828,                0.65954,                 0.6037,                0.45301,                0.84656,                0.61883,                 1.5336,                0.00802,                0.00802,                0.00802
                      8,                0.82258,                0.63415,                 1.4515,                0.58603,                0.62425,                0.58605,                 0.4463,                0.80309,                0.61504,                 1.5406,                0.00769,                0.00769,                0.00769
                      9,                0.81097,                0.61935,                 1.4581,                0.65542,                0.63135,                0.64949,                0.49345,                0.80077,                0.59239,                 1.5433,                0.00736,                0.00736,                0.00736
                     10,                0.80795,                0.60618,                 1.4604,                0.62721,                0.66042,                0.61507,                 0.4633,                0.79625,                0.60018,                  1.536,                0.00703,                0.00703,                0.00703
                     11,                0.80887,                0.60149,                 1.4483,                0.63228,                0.63827,                0.62316,                0.46739,                0.80351,                0.59004,                 1.5553,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79706,                0.59265,                 1.4397,                0.64458,                0.66025,                0.64459,                0.49111,                0.79016,                0.59151,                 1.5385,                0.00637,                0.00637,                0.00637
                     13,                0.79534,                0.58219,                 1.4447,                0.67825,                0.66398,                0.65914,                0.50706,                0.78174,                0.56018,                 1.5289,                0.00604,                0.00604,                0.00604
                     14,                0.78591,                0.57169,                  1.436,                0.67949,                0.66849,                 0.6751,                0.51439,                0.78452,                0.56758,                 1.5333,                0.00571,                0.00571,                0.00571
                     15,                0.77094,                0.55421,                 1.4292,                0.65588,                0.65718,                0.64885,                 0.4942,                0.78549,                 0.5713,                 1.5679,                0.00538,                0.00538,                0.00538
                     16,                0.77929,                0.55674,                 1.4275,                0.65414,                0.66775,                0.65891,                0.50636,                0.77752,                0.55696,                 1.5401,                0.00505,                0.00505,                0.00505
                     17,                0.76585,                0.54816,                 1.4274,                0.69438,                0.64937,                0.67061,                0.51917,                0.77472,                0.55441,                 1.5172,                0.00472,                0.00472,                0.00472
                     18,                0.76775,                0.54724,                 1.4282,                0.68144,                 0.6908,                0.69112,                0.52845,                0.77579,                0.55824,                 1.5256,                0.00439,                0.00439,                0.00439
                     19,                0.75756,                0.53386,                 1.4182,                0.69661,                0.64927,                0.67816,                0.51415,                0.78008,                0.55262,                 1.5529,                0.00406,                0.00406,                0.00406
                     20,                0.74987,                0.52832,                 1.4242,                0.68107,                0.68071,                0.69171,                0.53213,                0.77327,                0.54498,                 1.5116,                0.00373,                0.00373,                0.00373
                     21,                  0.752,                 0.5301,                  1.402,                0.69934,                0.68331,                0.69998,                0.53905,                0.77514,                0.54348,                 1.5212,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.7482,                0.51916,                 1.4069,                0.69965,                0.67343,                0.70535,                0.54681,                0.76395,                0.53806,                 1.5366,                0.00307,                0.00307,                0.00307
                     23,                0.73891,                0.51411,                 1.3926,                0.71405,                0.67061,                0.70584,                0.54525,                0.76799,                0.53544,                 1.5378,                0.00274,                0.00274,                0.00274
                     24,                0.73703,                0.51338,                 1.4074,                0.71229,                0.66023,                0.69136,                0.53368,                0.77016,                0.54146,                 1.5315,                0.00241,                0.00241,                0.00241
                     25,                0.73563,                0.50396,                 1.3945,                0.66832,                 0.7121,                0.70402,                0.54456,                0.76595,                0.53413,                 1.5257,                0.00208,                0.00208,                0.00208
                     26,                0.72537,                 0.4959,                 1.3975,                0.73131,                0.67455,                0.70666,                0.54575,                0.76141,                0.53051,                 1.5218,                0.00175,                0.00175,                0.00175
                     27,                0.72793,                0.49355,                 1.3908,                0.70062,                0.66463,                0.69919,                0.54133,                0.76993,                0.54238,                 1.5342,                0.00142,                0.00142,                0.00142
                     28,                0.73072,                 0.4929,                 1.3977,                0.65738,                0.71749,                0.70252,                0.54726,                0.76014,                0.53189,                 1.5204,                0.00109,                0.00109,                0.00109
                     29,                0.72467,                0.49243,                  1.396,                0.72348,                0.66022,                0.70996,                0.55259,                0.75882,                0.52734,                 1.5087,                0.00076,                0.00076,                0.00076
                     30,                0.71603,                0.48658,                 1.3877,                0.67273,                0.72309,                 0.7116,                0.55557,                0.75672,                0.52698,                 1.5094,                0.00043,                0.00043,                0.00043
