                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4297,                  1.888,                  1.862,                 0.2933,                0.34503,                0.30014,                0.20337,                 1.1419,                  1.031,                 1.8204,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1701,                 1.0419,                 1.5629,                0.55276,                 0.4745,                 0.3972,                0.27933,                 1.0138,                0.85619,                 1.6169,               0.040021,              0.0064209,              0.0064209
                      3,                0.97021,                0.84972,                 1.5049,                0.43849,                0.56385,                0.50509,                0.37787,                0.85284,                0.67928,                 1.5806,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88441,                0.74718,                 1.4931,                 0.4562,                0.60036,                0.53153,                0.39754,                0.83564,                0.67713,                 1.5521,                0.00901,                0.00901,                0.00901
                      5,                0.86034,                 0.7034,                 1.4833,                0.53702,                0.60862,                 0.5609,                0.41881,                0.84128,                 0.6517,                 1.6098,                0.00868,                0.00868,                0.00868
                      6,                0.84551,                0.66213,                 1.4762,                  0.545,                0.63173,                0.57377,                0.42748,                0.81638,                0.63026,                 1.5843,                0.00835,                0.00835,                0.00835
                      7,                0.84147,                0.64669,                 1.4604,                0.55532,                0.62404,                0.58427,                0.43715,                0.82917,                0.62277,                 1.5656,                0.00802,                0.00802,                0.00802
                      8,                0.81846,                0.63307,                  1.455,                0.58587,                0.65355,                0.60026,                0.45545,                0.79609,                0.60767,                 1.5551,                0.00769,                0.00769,                0.00769
                      9,                0.81079,                0.61484,                 1.4624,                 0.6319,                0.64127,                0.63832,                0.48336,                0.79411,                0.58937,                 1.5459,                0.00736,                0.00736,                0.00736
                     10,                  0.806,                0.60354,                 1.4654,                 0.6243,                0.66109,                 0.6324,                0.47895,                 0.7987,                0.58623,                 1.5422,                0.00703,                0.00703,                0.00703
                     11,                0.80728,                0.59451,                 1.4511,                0.65429,                0.65091,                0.63997,                0.48695,                0.79542,                0.57801,                 1.5374,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79645,                0.58749,                  1.438,                0.64011,                0.65549,                0.64716,                0.49742,                0.78661,                0.57589,                 1.5461,                0.00637,                0.00637,                0.00637
                     13,                0.79303,                0.57562,                 1.4466,                0.67352,                0.65296,                0.66069,                0.50882,                0.78453,                0.56247,                 1.5363,                0.00604,                0.00604,                0.00604
                     14,                0.78118,                0.56691,                 1.4348,                0.68825,                0.63743,                0.66035,                0.50671,                0.77703,                0.56445,                 1.5312,                0.00571,                0.00571,                0.00571
                     15,                0.76991,                0.55147,                 1.4295,                0.69008,                0.65253,                0.67408,                0.51913,                0.77484,                0.55467,                 1.5353,                0.00538,                0.00538,                0.00538
                     16,                0.77757,                0.55564,                 1.4259,                0.69025,                0.67339,                0.68093,                0.52032,                0.77682,                0.55526,                 1.5396,                0.00505,                0.00505,                0.00505
                     17,                0.76459,                0.54397,                 1.4275,                0.73635,                0.63875,                0.69031,                0.53415,                  0.773,                0.54227,                 1.5221,                0.00472,                0.00472,                0.00472
                     18,                0.76489,                0.54081,                 1.4286,                0.66787,                 0.6522,                0.66364,                0.50612,                0.78802,                0.57327,                 1.5479,                0.00439,                0.00439,                0.00439
                     19,                0.75444,                0.52953,                 1.4174,                0.69479,                0.67063,                0.68281,                0.52088,                0.77288,                0.54768,                 1.5477,                0.00406,                0.00406,                0.00406
                     20,                0.74623,                0.52339,                 1.4281,                 0.6937,                0.67763,                0.67926,                0.52406,                0.76756,                0.54536,                 1.5121,                0.00373,                0.00373,                0.00373
                     21,                0.75014,                0.52684,                 1.4015,                0.69035,                0.69208,                0.70053,                0.54182,                0.77575,                0.54387,                 1.5554,                 0.0034,                 0.0034,                 0.0034
                     22,                0.74625,                0.51655,                 1.4062,                0.67121,                0.67985,                0.68384,                0.52979,                0.76843,                0.54889,                 1.5275,                0.00307,                0.00307,                0.00307
                     23,                0.73715,                0.51044,                 1.3938,                0.68128,                0.67064,                 0.6886,                0.53205,                0.76897,                0.54821,                 1.5386,                0.00274,                0.00274,                0.00274
                     24,                0.73602,                0.50917,                 1.4078,                0.68672,                0.68809,                 0.7006,                0.54133,                0.77264,                0.53734,                 1.5558,                0.00241,                0.00241,                0.00241
                     25,                 0.7333,                0.49989,                 1.3972,                0.72156,                0.66891,                0.69679,                0.53853,                0.76781,                0.53858,                 1.5301,                0.00208,                0.00208,                0.00208
                     26,                0.72194,                0.49109,                 1.3966,                0.68603,                0.70322,                0.69979,                0.54248,                0.76122,                0.53154,                  1.527,                0.00175,                0.00175,                0.00175
                     27,                0.72494,                0.48865,                  1.394,                0.69396,                0.67162,                0.69188,                0.53478,                0.76938,                0.54426,                 1.5316,                0.00142,                0.00142,                0.00142
                     28,                0.72913,                 0.4908,                 1.3942,                0.68149,                0.69022,                0.69329,                0.53955,                0.76119,                0.53484,                 1.5172,                0.00109,                0.00109,                0.00109
                     29,                 0.7223,                0.48871,                  1.395,                0.69779,                0.70099,                0.71414,                0.55852,                0.75946,                0.52916,                 1.5181,                0.00076,                0.00076,                0.00076
                     30,                0.71411,                0.48126,                 1.3908,                0.69627,                0.70331,                0.71083,                0.55427,                0.75963,                0.52958,                 1.5223,                0.00043,                0.00043,                0.00043
