                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3669,                 1.9007,                 1.7086,                0.50929,                0.34661,                0.31219,                0.18914,                 1.5365,                  1.257,                 1.7833,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1631,                 1.0319,                 1.5389,                0.54622,                0.49065,                0.40085,                0.28206,                 1.0094,                0.86235,                 1.5965,               0.040021,              0.0064209,              0.0064209
                      3,                0.95103,                0.85359,                 1.4941,                0.41066,                0.53866,                0.48602,                0.36562,                0.85438,                0.73355,                 1.5924,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88244,                0.74349,                 1.4891,                0.42597,                0.59659,                0.51672,                0.38852,                0.83723,                0.67652,                 1.5691,                0.00901,                0.00901,                0.00901
                      5,                0.85857,                0.70287,                 1.4761,                0.56286,                0.61803,                0.57549,                0.42867,                0.82185,                0.63709,                 1.5608,                0.00868,                0.00868,                0.00868
                      6,                0.84237,                0.66008,                 1.4783,                0.55036,                0.63695,                0.58736,                  0.436,                0.80858,                0.61921,                 1.5757,                0.00835,                0.00835,                0.00835
                      7,                0.83936,                0.64743,                 1.4579,                0.61039,                0.62633,                0.61331,                0.46237,                0.82196,                0.60114,                 1.5396,                0.00802,                0.00802,                0.00802
                      8,                0.82282,                0.63264,                 1.4521,                0.58406,                0.65961,                0.59121,                0.44903,                0.79711,                0.60646,                  1.539,                0.00769,                0.00769,                0.00769
                      9,                0.81164,                0.61557,                 1.4621,                0.62237,                0.66741,                0.63788,                0.48301,                0.79267,                0.58467,                 1.5535,                0.00736,                0.00736,                0.00736
                     10,                0.80725,                0.60366,                 1.4609,                0.59834,                0.65189,                0.60437,                0.45553,                0.80872,                0.60142,                 1.5555,                0.00703,                0.00703,                0.00703
                     11,                 0.8089,                0.59661,                 1.4523,                0.64092,                0.63984,                0.64121,                0.48691,                0.79068,                0.57929,                 1.5427,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79656,                0.59055,                 1.4362,                0.66276,                0.62774,                0.64883,                0.49575,                 0.7879,                0.58917,                 1.5464,                0.00637,                0.00637,                0.00637
                     13,                 0.7959,                0.57784,                 1.4481,                0.66619,                 0.6945,                 0.6804,                0.52005,                0.78629,                 0.5556,                 1.5232,                0.00604,                0.00604,                0.00604
                     14,                0.78195,                0.56879,                 1.4299,                0.65436,                0.64536,                0.64581,                0.48905,                0.80072,                0.58562,                 1.5697,                0.00571,                0.00571,                0.00571
                     15,                0.77015,                0.55305,                 1.4268,                0.65948,                0.66283,                0.65818,                0.50386,                0.77363,                0.55967,                 1.5426,                0.00538,                0.00538,                0.00538
                     16,                0.77758,                0.55357,                 1.4261,                0.67069,                0.66821,                0.67009,                0.51326,                0.78222,                 0.5621,                 1.5596,                0.00505,                0.00505,                0.00505
                     17,                0.76534,                0.54629,                 1.4243,                0.68273,                0.64901,                0.67111,                0.51438,                0.78252,                0.56068,                 1.5301,                0.00472,                0.00472,                0.00472
                     18,                 0.7674,                0.54596,                 1.4282,                0.69413,                0.68826,                0.69811,                 0.5373,                0.76948,                0.54632,                 1.5218,                0.00439,                0.00439,                0.00439
                     19,                0.75708,                0.53406,                 1.4194,                0.67544,                0.65758,                0.66888,                0.51239,                0.76972,                0.55821,                 1.5252,                0.00406,                0.00406,                0.00406
                     20,                0.74765,                0.52302,                 1.4264,                0.68964,                0.69477,                0.69782,                0.53917,                 0.7705,                0.54324,                 1.5232,                0.00373,                0.00373,                0.00373
                     21,                0.75111,                0.52928,                 1.4008,                0.68159,                0.66564,                0.68391,                0.52401,                0.77639,                0.55401,                 1.5557,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.7473,                 0.5174,                 1.4084,                0.68607,                0.69676,                0.70334,                 0.5434,                0.76454,                0.53863,                 1.5313,                0.00307,                0.00307,                0.00307
                     23,                0.73737,                0.51142,                 1.3915,                0.71972,                0.66959,                0.70357,                0.54614,                0.76472,                0.53907,                 1.5283,                0.00274,                0.00274,                0.00274
                     24,                0.73672,                0.51107,                 1.4033,                0.68103,                0.70624,                0.70426,                 0.5474,                0.76836,                0.53873,                 1.5265,                0.00241,                0.00241,                0.00241
                     25,                0.73567,                0.50264,                 1.3934,                0.69867,                0.66076,                0.69628,                0.53941,                0.76587,                0.53577,                 1.5242,                0.00208,                0.00208,                0.00208
                     26,                0.72441,                0.49399,                 1.3948,                0.68816,                0.66737,                0.68531,                 0.5288,                 0.7684,                0.53988,                 1.5465,                0.00175,                0.00175,                0.00175
                     27,                0.72684,                0.49198,                 1.3929,                0.68411,                0.69041,                0.69403,                0.53923,                0.76316,                0.54058,                 1.5185,                0.00142,                0.00142,                0.00142
                     28,                0.73043,                0.49142,                 1.3962,                 0.7005,                0.67472,                0.69862,                0.54706,                0.75845,                0.53562,                 1.5228,                0.00109,                0.00109,                0.00109
                     29,                0.72419,                0.48968,                 1.3949,                0.69084,                0.68067,                0.70025,                0.54709,                0.75971,                0.53653,                 1.5135,                0.00076,                0.00076,                0.00076
                     30,                0.71637,                0.48357,                 1.3897,                0.69056,                0.68562,                0.69647,                0.54676,                0.75755,                0.53413,                 1.5142,                0.00043,                0.00043,                0.00043
