                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7405,                 2.6452,                 3.7054,                0.21451,                0.18151,                0.18383,                0.07679,                 2.0566,                 1.7697,                 3.5791,                0.07024,              0.0033067,              0.0033067
                      2,                 1.9812,                 1.7466,                 3.1445,                0.26951,                0.35784,                0.25923,                0.12675,                 1.6466,                 1.5139,                 3.1938,               0.040021,              0.0064209,              0.0064209
                      3,                 1.7169,                 1.5244,                 2.9066,                0.26452,                0.41013,                0.29235,                0.14183,                 1.5761,                 1.4121,                 3.0661,              0.0095818,              0.0093151,              0.0093151
                      4,                 1.5485,                 1.4005,                  2.737,                0.30489,                0.41429,                0.30632,                0.17335,                 1.4111,                 1.1893,                 2.7992,                0.00901,                0.00901,                0.00901
                      5,                 1.4163,                 1.2946,                 2.6218,                0.32358,                 0.5239,                0.35504,                0.21193,                 1.2556,                 1.1164,                 2.6217,                0.00868,                0.00868,                0.00868
                      6,                 1.3116,                 1.1602,                 2.5564,                0.34792,                0.48333,                 0.3844,                0.24028,                 1.1682,                 1.0637,                 2.6897,                0.00835,                0.00835,                0.00835
                      7,                 1.2572,                 1.1038,                 2.4871,                0.41944,                0.48343,                 0.4334,                0.28008,                 1.0988,                0.96859,                 2.5985,                0.00802,                0.00802,                0.00802
                      8,                 1.1859,                 1.0364,                 2.4594,                0.45558,                0.52951,                0.46452,                0.29567,                    1.1,                0.92989,                 2.5509,                0.00769,                0.00769,                0.00769
                      9,                 1.1408,                0.97704,                 2.4368,                0.42622,                0.55351,                 0.4555,                0.29587,                 1.0501,                0.90161,                 2.5753,                0.00736,                0.00736,                0.00736
                     10,                 1.1133,                0.94837,                 2.4166,                0.46257,                 0.5705,                0.48934,                0.31641,                  1.021,                0.83127,                 2.4902,                0.00703,                0.00703,                0.00703
                     11,                 1.0998,                0.91394,                 2.3849,                0.46814,                0.58681,                0.50835,                0.32933,                 1.0043,                0.82141,                 2.4928,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.0672,                0.88986,                 2.3534,                0.49771,                0.62799,                0.52729,                0.35499,                 0.9901,                0.79227,                 2.4057,                0.00637,                0.00637,                0.00637
                     13,                 1.0627,                0.86533,                 2.3314,                0.48554,                0.60976,                0.53686,                0.35601,                 0.9847,                0.77825,                 2.4194,                0.00604,                0.00604,                0.00604
                     14,                 1.0345,                0.84197,                 2.3131,                0.51736,                0.58386,                0.51249,                0.34308,                0.97832,                0.78299,                 2.3922,                0.00571,                0.00571,                0.00571
                     15,                 1.0143,                0.81557,                 2.2864,                0.51437,                0.62872,                0.53523,                0.35794,                0.96417,                0.74744,                 2.4121,                0.00538,                0.00538,                0.00538
                     16,                 1.0131,                0.81662,                 2.2772,                0.52592,                0.61387,                0.54536,                0.36526,                0.96565,                0.75737,                 2.3623,                0.00505,                0.00505,                0.00505
                     17,                0.99973,                 0.8057,                 2.2727,                0.53048,                0.60885,                0.56526,                0.38864,                0.94335,                0.73618,                 2.3843,                0.00472,                0.00472,                0.00472
                     18,                0.99639,                0.79616,                 2.2626,                0.54368,                0.63543,                0.55878,                0.38026,                0.93872,                0.75728,                 2.3468,                0.00439,                0.00439,                0.00439
                     19,                0.97941,                0.77953,                 2.2338,                0.52537,                0.60903,                0.54655,                0.37311,                0.92074,                0.73942,                   2.37,                0.00406,                0.00406,                0.00406
                     20,                0.96148,                0.76006,                 2.2373,                0.55066,                0.64546,                0.58143,                0.40154,                0.91315,                0.71085,                 2.3257,                0.00373,                0.00373,                0.00373
                     21,                0.96378,                0.76651,                 2.2011,                0.56719,                0.64037,                0.58154,                0.40306,                0.90934,                0.71767,                 2.3365,                 0.0034,                 0.0034,                 0.0034
                     22,                0.95076,                0.74948,                 2.2013,                0.53121,                0.65657,                0.57592,                0.40177,                0.89299,                0.70156,                 2.3399,                0.00307,                0.00307,                0.00307
                     23,                0.93875,                0.74359,                 2.1675,                0.56706,                0.62788,                 0.5803,                0.39767,                 0.9031,                0.71551,                 2.3248,                0.00274,                0.00274,                0.00274
                     24,                0.93535,                0.73783,                 2.1847,                0.57492,                0.63402,                0.58321,                0.40825,                0.90848,                0.70059,                 2.3348,                0.00241,                0.00241,                0.00241
                     25,                0.93447,                0.72568,                 2.1734,                0.57024,                0.64546,                0.59839,                 0.4181,                0.89967,                0.69183,                 2.3318,                0.00208,                0.00208,                0.00208
                     26,                0.91469,                0.71996,                 2.1671,                0.58568,                0.66221,                 0.6028,                0.42479,                0.88171,                0.68133,                 2.3053,                0.00175,                0.00175,                0.00175
                     27,                0.91956,                0.71897,                 2.1645,                0.58926,                0.62709,                 0.5919,                0.41348,                0.89308,                0.71574,                 2.3142,                0.00142,                0.00142,                0.00142
                     28,                0.91608,                0.71506,                 2.1598,                0.57755,                0.62633,                0.59091,                0.41928,                 0.8816,                0.68585,                 2.3101,                0.00109,                0.00109,                0.00109
                     29,                0.91011,                0.71176,                 2.1667,                0.60849,                0.64172,                0.60145,                0.42176,                0.88568,                0.67963,                 2.2992,                0.00076,                0.00076,                0.00076
                     30,                0.89892,                0.70457,                 2.1543,                0.59947,                0.63428,                0.59888,                0.42276,                0.88227,                0.67914,                  2.301,                0.00043,                0.00043,                0.00043
