                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4439,                  1.835,                 1.8711,                0.49214,                0.38537,                0.32836,                0.20618,                 1.4504,                 1.1903,                 1.8245,                0.07024,              0.0033067,              0.0033067
                      2,                  1.166,                 1.0342,                 1.5771,                0.34273,                0.55518,                0.41338,                0.27598,                 1.0878,                0.86043,                 1.6546,               0.040021,              0.0064209,              0.0064209
                      3,                0.96816,                0.85159,                 1.5044,                0.41491,                0.56466,                0.48356,                0.36091,                0.87556,                0.72548,                 1.6099,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88815,                0.74142,                 1.4973,                0.48353,                0.54145,                0.51311,                0.38395,                0.83554,                0.67416,                 1.5861,                0.00901,                0.00901,                0.00901
                      5,                0.86053,                0.70699,                 1.4801,                 0.5626,                0.61266,                0.57537,                0.43117,                0.82233,                0.63556,                 1.5676,                0.00868,                0.00868,                0.00868
                      6,                0.84547,                0.66336,                 1.4756,                0.56671,                0.64126,                0.58714,                  0.436,                0.81257,                0.61608,                 1.5664,                0.00835,                0.00835,                0.00835
                      7,                0.84047,                0.64799,                 1.4564,                0.59176,                0.63266,                0.61168,                0.45922,                0.82444,                0.61197,                 1.5408,                0.00802,                0.00802,                0.00802
                      8,                0.82218,                0.63452,                 1.4536,                 0.6141,                 0.6423,                0.62405,                0.47702,                0.79279,                0.59573,                 1.5298,                0.00769,                0.00769,                0.00769
                      9,                0.81055,                0.61609,                 1.4575,                0.64605,                0.64213,                0.64546,                0.48366,                0.80198,                0.58581,                 1.5633,                0.00736,                0.00736,                0.00736
                     10,                0.80687,                0.60402,                  1.467,                   0.63,                0.63039,                0.62896,                0.47469,                0.79493,                0.58701,                 1.5661,                0.00703,                0.00703,                0.00703
                     11,                0.80641,                0.59507,                 1.4517,                0.65364,                0.62391,                0.63845,                0.47903,                 0.7981,                0.58815,                 1.5545,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79642,                0.58803,                 1.4376,                0.68205,                0.61752,                 0.6442,                0.48877,                0.79301,                0.58942,                 1.5517,                0.00637,                0.00637,                0.00637
                     13,                0.79483,                0.57613,                 1.4476,                0.66177,                0.68763,                0.67353,                0.51573,                0.78367,                0.55781,                 1.5326,                0.00604,                0.00604,                0.00604
                     14,                0.78339,                0.56783,                 1.4367,                0.67834,                0.66839,                0.68113,                0.52015,                0.77974,                0.55797,                  1.534,                0.00571,                0.00571,                0.00571
                     15,                0.76983,                0.55407,                 1.4315,                0.67393,                0.66766,                0.67567,                0.51515,                0.78028,                0.56197,                 1.5428,                0.00538,                0.00538,                0.00538
                     16,                0.77896,                0.55742,                 1.4276,                0.67976,                0.68125,                0.69198,                0.53048,                0.77701,                0.55573,                 1.5416,                0.00505,                0.00505,                0.00505
                     17,                0.76535,                0.54746,                  1.429,                 0.6753,                 0.6946,                0.69722,                 0.5404,                0.78011,                0.55484,                 1.5065,                0.00472,                0.00472,                0.00472
                     18,                0.76561,                0.54382,                 1.4262,                0.65997,                0.67319,                0.67784,                 0.5159,                0.78462,                0.56551,                 1.5487,                0.00439,                0.00439,                0.00439
                     19,                0.75628,                0.53232,                 1.4198,                0.65999,                0.69943,                0.69092,                0.52601,                0.77378,                0.54587,                  1.537,                0.00406,                0.00406,                0.00406
                     20,                0.74722,                0.52425,                 1.4287,                0.71404,                0.67397,                0.69594,                0.53595,                0.77108,                 0.5418,                 1.5208,                0.00373,                0.00373,                0.00373
                     21,                0.75095,                 0.5292,                 1.4025,                0.70638,                 0.6735,                0.69757,                0.54024,                0.77286,                0.53517,                 1.5357,                 0.0034,                 0.0034,                 0.0034
                     22,                0.74672,                0.51797,                 1.4076,                0.68598,                0.71172,                0.71579,                0.55651,                0.76475,                0.53163,                 1.5339,                0.00307,                0.00307,                0.00307
                     23,                0.73919,                 0.5137,                 1.3956,                0.73599,                0.65623,                0.70402,                0.54295,                 0.7692,                0.53528,                 1.5405,                0.00274,                0.00274,                0.00274
                     24,                0.73775,                0.51197,                 1.4122,                0.71592,                0.69534,                0.71941,                0.55339,                0.77088,                0.52978,                 1.5466,                0.00241,                0.00241,                0.00241
                     25,                0.73541,                0.50242,                 1.3979,                0.71449,                0.67928,                0.70861,                0.54696,                0.76588,                0.52958,                 1.5251,                0.00208,                0.00208,                0.00208
                     26,                 0.7243,                0.49459,                 1.3954,                0.70731,                0.69735,                 0.7085,                0.54692,                0.76578,                0.52873,                 1.5424,                0.00175,                0.00175,                0.00175
                     27,                0.72829,                0.49231,                 1.3973,                0.68817,                0.71342,                0.71178,                0.55191,                0.76264,                0.53044,                 1.5287,                0.00142,                0.00142,                0.00142
                     28,                0.73065,                0.49214,                 1.4012,                0.70275,                0.70023,                0.71151,                0.55061,                0.76181,                0.52958,                 1.5229,                0.00109,                0.00109,                0.00109
                     29,                0.72383,                0.49092,                 1.4003,                0.71956,                0.68938,                0.71671,                 0.5545,                0.76076,                0.52619,                 1.5195,                0.00076,                0.00076,                0.00076
                     30,                0.71552,                0.48533,                 1.3903,                0.71467,                0.69266,                0.71745,                0.55704,                0.76105,                0.52418,                  1.516,                0.00043,                0.00043,                0.00043
