                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3526,                 1.8938,                 1.7543,                0.39223,                0.37124,                0.28782,                 0.1803,                 1.1467,                 1.0064,                 1.7505,                0.07024,              0.0033067,              0.0033067
                      2,                 1.1479,                 1.0414,                 1.5225,                 0.3571,                0.54026,                0.39615,                0.28311,                0.91977,                0.81518,                 1.6211,               0.040021,              0.0064209,              0.0064209
                      3,                0.95796,                0.85381,                 1.4905,                0.42507,                0.56702,                0.49149,                0.37017,                0.87223,                 0.7004,                 1.5693,              0.0095818,              0.0093151,              0.0093151
                      4,                0.88263,                0.74266,                 1.4909,                0.43198,                0.58706,                0.51444,                0.38417,                0.83253,                0.66033,                 1.5703,                0.00901,                0.00901,                0.00901
                      5,                0.86085,                0.70125,                 1.4802,                0.53942,                0.60545,                0.54867,                0.40499,                0.85985,                0.65409,                 1.6146,                0.00868,                0.00868,                0.00868
                      6,                0.84607,                0.66018,                 1.4756,                0.56749,                0.64138,                0.60606,                0.45276,                0.81441,                0.60975,                 1.5583,                0.00835,                0.00835,                0.00835
                      7,                0.84213,                 0.6483,                 1.4577,                0.59604,                 0.6425,                0.60978,                0.46097,                0.82357,                0.60621,                 1.5292,                0.00802,                0.00802,                0.00802
                      8,                0.82321,                0.63425,                 1.4529,                0.59669,                0.64255,                0.60365,                0.46217,                0.79761,                0.60452,                 1.5445,                0.00769,                0.00769,                0.00769
                      9,                0.81142,                0.61627,                 1.4631,                0.62263,                0.64759,                0.63878,                0.47968,                0.80311,                0.58327,                 1.5742,                0.00736,                0.00736,                0.00736
                     10,                0.80692,                0.60173,                 1.4617,                0.62304,                0.66243,                0.63346,                0.48052,                0.80019,                0.58444,                  1.526,                0.00703,                0.00703,                0.00703
                     11,                0.80756,                0.59719,                 1.4528,                 0.6047,                0.68729,                0.64383,                0.48707,                0.79206,                0.58122,                 1.5513,                 0.0067,                 0.0067,                 0.0067
                     12,                0.79657,                0.58985,                 1.4446,                0.63877,                 0.6467,                0.64822,                0.49298,                0.78627,                0.57829,                 1.5368,                0.00637,                0.00637,                0.00637
                     13,                0.79569,                0.57859,                 1.4497,                0.67628,                 0.6819,                0.67707,                0.51475,                0.78215,                0.55643,                  1.535,                0.00604,                0.00604,                0.00604
                     14,                0.78233,                0.56753,                 1.4331,                0.63781,                0.65987,                0.65726,                0.49646,                0.79791,                0.58158,                 1.5554,                0.00571,                0.00571,                0.00571
                     15,                 0.7684,                0.55417,                 1.4311,                0.67431,                 0.6579,                0.66969,                0.51252,                0.77385,                 0.5562,                 1.5514,                0.00538,                0.00538,                0.00538
                     16,                0.77784,                0.55575,                 1.4266,                0.69066,                0.65646,                 0.6796,                0.52566,                 0.7776,                0.55225,                 1.5441,                0.00505,                0.00505,                0.00505
                     17,                0.76386,                0.54482,                 1.4281,                0.68842,                0.67621,                0.68343,                0.52871,                0.77385,                0.54851,                  1.517,                0.00472,                0.00472,                0.00472
                     18,                0.76479,                0.54386,                 1.4243,                0.65319,                0.66006,                0.65509,                0.49443,                0.79939,                0.58861,                 1.5666,                0.00439,                0.00439,                0.00439
                     19,                0.75551,                0.53372,                 1.4185,                0.67737,                  0.685,                0.68368,                0.52662,                0.77252,                0.55694,                 1.5271,                0.00406,                0.00406,                0.00406
                     20,                0.74741,                0.52491,                 1.4287,                0.67515,                0.68653,                0.68167,                0.52731,                0.77008,                0.54863,                   1.53,                0.00373,                0.00373,                0.00373
                     21,                 0.7492,                0.52811,                 1.4016,                0.68678,                0.68638,                0.68983,                0.53666,                0.77365,                0.54453,                 1.5251,                 0.0034,                 0.0034,                 0.0034
                     22,                0.74456,                0.51746,                 1.4053,                0.69804,                0.68674,                0.69396,                0.54121,                0.76554,                0.54293,                 1.5288,                0.00307,                0.00307,                0.00307
                     23,                0.73693,                0.51337,                 1.3925,                0.72669,                0.68378,                0.69703,                0.53854,                0.76686,                0.53877,                   1.52,                0.00274,                0.00274,                0.00274
                     24,                0.73503,                   0.51,                 1.4029,                0.69148,                0.70115,                 0.7038,                0.54689,                0.76713,                0.53461,                  1.527,                0.00241,                0.00241,                0.00241
                     25,                 0.7321,                0.49993,                 1.3943,                0.71831,                0.68012,                0.70991,                 0.5503,                0.76499,                0.52934,                  1.537,                0.00208,                0.00208,                0.00208
                     26,                0.72199,                0.49267,                 1.3945,                0.70512,                0.69497,                 0.7077,                0.55049,                0.76554,                0.53266,                 1.5386,                0.00175,                0.00175,                0.00175
                     27,                0.72518,                0.49077,                 1.3931,                 0.6848,                0.70331,                0.70307,                0.54784,                0.76651,                0.54384,                 1.5279,                0.00142,                0.00142,                0.00142
                     28,                0.72894,                0.49189,                 1.3966,                0.69437,                0.70322,                0.70953,                0.55425,                0.75945,                0.53152,                   1.52,                0.00109,                0.00109,                0.00109
                     29,                0.72235,                0.48947,                 1.3961,                0.70809,                0.71196,                0.71566,                0.55952,                0.75785,                0.52788,                 1.5154,                0.00076,                0.00076,                0.00076
                     30,                0.71379,                0.48308,                  1.389,                0.70747,                0.70882,                0.71592,                0.55959,                0.75677,                0.52578,                 1.5124,                0.00043,                0.00043,                0.00043
